time,open,high,low,close,tick_volume
1472477400,55.54000,56.08000,55.46000,55.71200,2274500
1472563800,55.77400,56.03000,55.35600,55.99200,2975000
1472650200,55.85400,56.43000,55.74800,56.40400,3154500
1472736600,56.51400,57.29400,56.33200,56.87000,3703500
1472823000,57.04400,57.11400,56.70400,57.07400,1921000
1473168600,57.14200,57.40400,56.76000,56.97200,3946000
1473255000,56.62400,56.79200,56.33000,56.73000,2363000
1473341400,56.61000,56.70000,56.32000,56.50600,2683000
1473427800,56.34200,56.66800,56.07200,56.45000,4113500
1473687000,55.76000,57.14600,55.76000,56.99800,4145500
1473773400,56.62000,56.83200,56.12800,56.33000,4095000
1473859800,56.15800,56.45200,55.92200,55.96000,4206000
1473946200,55.97400,56.52000,55.96200,56.34400,2561000
1474032600,56.14000,56.41200,55.84000,56.30000,3187000
1474291800,56.44600,56.68800,56.22400,56.45000,1803000
1474378200,56.54800,56.76600,56.04200,56.04200,1459000
1474464600,56.17000,56.50400,56.00000,56.45200,1703000
1474551000,56.65000,56.72000,55.91200,56.14400,1952000
1474637400,56.06600,56.07200,55.22200,55.22200,2997500
1474896600,55.15000,55.28400,54.66000,54.80800,2608000
1474983000,54.67800,54.97600,54.47600,54.70600,2403000
1475069400,54.76600,54.87800,53.88600,54.19200,3871000
1475155800,54.00600,54.50000,53.41600,53.68000,2953500
1475242200,53.97000,54.21200,53.80000,53.87200,3410500
1475501400,53.66800,53.92200,53.43600,53.53400,4497000
1475587800,53.59800,54.05000,53.47600,53.55200,2449000
1475674200,53.59200,53.72800,53.32600,53.66200,3207500
1475760600,53.50800,53.67600,53.35400,53.54400,1792500
1475847000,53.62000,53.65400,53.15600,53.46200,1692500
1476106200,53.77200,53.96000,53.38800,53.68000,2680000
1476192600,53.70000,53.82800,52.98400,53.07000,3266500
1476279000,53.16000,53.55200,52.91000,53.46600,2350500
1476365400,53.17400,53.39200,52.93400,53.31200,3073000
1476451800,53.69600,54.50200,53.57400,54.25800,3297000
1476711000,54.24200,54.38600,53.14800,53.17800,2349500
