time,open,high,low,close,tick_volume
1472477400,4.04000,4.09000,4.01000,4.02000,166500
1472563800,4.08000,4.30000,4.05000,4.23000,397900
1472650200,4.21000,4.29000,4.19000,4.28000,159500
1472736600,4.24000,4.26000,4.20000,4.21000,34900
1472823000,4.25000,4.34000,4.23000,4.29000,56900
1473168600,4.25000,4.29000,4.22000,4.24000,44600
1473255000,4.22000,4.26000,4.18000,4.18000,71600
1473341400,4.21000,4.22000,4.18000,4.20000,36300
1473427800,4.14000,4.14000,4.03000,4.05000,165100
1473687000,4.02000,4.10000,4.01000,4.09000,51900
1473773400,4.04000,4.06000,3.93500,3.95000,149300
1473859800,3.99000,4.00500,3.94000,3.96000,48100
1473946200,3.96000,4.00000,3.93000,4.00000,37200
1474032600,3.99000,4.01000,3.91100,3.98000,144100
1474291800,4.00000,4.00000,3.95000,3.95000,18600
1474378200,4.03000,4.07000,4.02000,4.05000,84100
1474464600,3.99000,4.11000,3.99000,4.11000,74600
1474551000,4.08000,4.09000,4.04000,4.09000,93000
1474637400,4.05000,4.06000,4.04000,4.06000,44500
1474896600,4.01000,4.01000,3.97000,3.99000,75400
1474983000,3.92000,3.98000,3.92000,3.98000,63500
1475069400,3.93000,3.97000,3.91000,3.95000,88300
1475155800,3.88000,3.91000,3.86000,3.87000,104300
1475242200,3.87000,3.90000,3.83000,3.90000,47900
1475501400,3.88000,3.88000,3.84000,3.87000,27400
1475587800,3.84000,3.88000,3.83000,3.87000,152000
1475674200,3.84000,3.85000,3.78000,3.83000,180600
1475760600,3.83000,3.88000,3.81000,3.85000,65800
1475847000,3.85000,3.85000,3.80000,3.82000,21400
1476106200,3.86000,3.88000,3.84500,3.87000,51800
1476192600,3.85000,3.93000,3.79000,3.80000,106200
1476279000,3.83000,3.84000,3.79000,3.81000,52700
1476365400,3.80000,3.80000,3.74000,3.80000,59100
1476451800,3.79000,3.80000,3.75000,3.75000,26700
1476711000,3.77000,3.80000,3.71000,3.75000,79700
1476797400,3.72000,3.82000,3.72000,3.78000,235400
1476883800,3.73000,3.77000,3.72700,3.76000,56000
1476970200,3.71000,3.72000,3.69000,3.72000,86900
1477056600,3.72000,3.72000,3.68000,3.72000,61900
1477315800,3.70000,3.72000,3.69000,3.70000,162700
1477402200,3.71000,3.72000,3.69000,3.69000,137300
1477488600,3.68000,3.71000,3.67000,3.68000,96300
1477575000,3.67000,3.67000,3.63000,3.63000,154300
1477661400,3.63000,3.63000,3.58000,3.60000,120200
1477920600,3.56000,3.59000,3.53000,3.53000,287100
1478007000,3.55000,3.60000,3.52000,3.53000,827800
1478093400,3.53000,3.55000,3.52000,3.54000,266300
1478179800,3.60000,3.63000,3.59000,3.60000,247400
1478266200,3.58000,3.61000,3.58000,3.60000,229900
1478529000,3.70000,3.73000,3.68000,3.71000,287000
1478615400,3.72000,3.82000,3.72000,3.81000,135300
1478701800,3.75000,3.84000,3.74000,3.80000,133200
1478788200,3.80000,3.82000,3.75000,3.81000,243400
1478874600,3.79000,3.80000,3.77000,3.79000,82500
1479133800,3.82000,3.82000,3.75700,3.77000,58200
1479220200,3.76000,3.82000,3.73000,3.82000,126500
1479306600,3.73000,3.77000,3.71000,3.75000,95300
1479393000,3.73000,3.83000,3.73000,3.76000,51200
1479479400,3.78000,3.83000,3.74000,3.81000,62900
1479738600,3.76000,3.86000,3.76000,3.86000,129500
