time,open,high,low,close,tick_volume
1472540400,3992.00000,4015.50000,3971.00000,3993.00000,2689434
1472626800,3993.00000,4012.00000,3986.50000,3993.50000,2139950
1472713200,4003.00000,4022.50000,3942.50000,3962.50000,2028791
1472799600,3972.50000,4135.50000,3961.50000,4130.00000,3430097
1473058800,4127.00000,4135.00000,4028.00000,4054.00000,1486012
1473145200,4030.00000,4048.00000,4005.00000,4035.50000,1360497
1473231600,4015.00000,4027.50000,3991.50000,4020.50000,2184907
1473318000,4029.50000,4079.00000,3996.50000,3998.50000,1265815
1473404400,3976.50000,4015.00000,3909.50000,3925.00000,1680059
1473663600,3895.50000,3915.50000,3877.50000,3907.50000,2172768
1473750000,3920.50000,3970.00000,3897.00000,3952.00000,2106585
1473836400,3945.00000,3979.50000,3911.50000,3911.50000,1555546
1473922800,3910.00000,3955.50000,3888.00000,3945.00000,1696810
1474009200,3947.00000,3993.00000,3937.00000,3950.00000,2468702
1474268400,3950.00000,3974.50000,3945.00000,3964.00000,1415118
1474354800,3968.00000,4042.50000,3948.50000,4007.00000,1158495
1474441200,4007.00000,4011.00000,3919.50000,3929.00000,2643378
1474527600,3930.00000,3965.00000,3916.50000,3955.00000,2337598
1474614000,3948.00000,3992.00000,3928.00000,3989.50000,1641147
1474873200,3983.50000,3989.50000,3946.50000,3972.50000,1156546
1474959600,3997.00000,4015.00000,3957.00000,3980.00000,1631290
1475046000,3987.50000,3994.50000,3925.50000,3930.00000,2357026
1475132400,3960.00000,3995.00000,3951.00000,3960.50000,1892736
1475218800,3937.50000,3979.50000,3922.50000,3973.50000,2603663
1475478000,3981.00000,4051.00000,3976.00000,4042.50000,2281233
1475564400,4064.50000,4128.50000,4050.00000,4090.00000,4423660
1475650800,4070.00000,4094.00000,3945.00000,3953.00000,3519301
1475737200,3955.00000,3958.00000,3887.50000,3887.50000,2870815
1475823600,3900.50000,3919.50000,3858.50000,3858.50000,3429058
1476082800,3884.00000,3888.09106,3843.50000,3855.00000,2434266
1476169200,3859.00000,3903.50000,3837.00000,3890.50000,2034505
1476255600,3887.50000,3915.00000,3863.79004,3900.50000,2520281
1476342000,3887.00000,3915.00000,3871.50000,3908.50000,1942429
1476428400,3912.00000,3921.00000,3885.00000,3890.00000,2113123
1476687600,3861.00000,3871.50000,3817.50000,3818.00000,2497468
1476774000,3819.00000,3864.50000,3810.50000,3836.50000,1923774
1476860400,3846.50000,3846.50000,3808.00000,3825.50000,1172147
1476946800,3845.50000,3872.00000,3824.00000,3862.00000,1855686
1477033200,3925.00000,4001.50000,3880.81299,3965.50000,7117113
1477292400,3964.00000,3981.00000,3909.00000,3930.00000,4307758
1477378800,3936.50000,3960.50000,3915.00000,3919.50000,1762491
1477465200,3922.00000,3922.00000,3856.50000,3880.50000,1477267
1477551600,3881.00000,3938.39404,3874.50000,3938.00000,1758837
1477638000,3925.00000,4004.50000,3912.00000,3993.00000,3390315
1477900800,3990.50000,4007.00000,3952.00000,3955.50000,2404796
1477987200,3968.50000,3998.50000,3908.00000,3916.50000,1811154
1478073600,3890.00000,3948.00000,3883.50000,3907.00000,1333530
1478160000,3889.00000,3922.00000,3837.50000,3843.00000,2146309
1478246400,3819.00000,3838.00000,3800.50000,3821.00000,2079670
1478505600,3835.00000,3872.50000,3795.00000,3803.00000,3525608
1478592000,3650.00000,3800.71802,3648.50000,3689.00000,4169058
1478678400,3610.00000,3685.50000,3608.00000,3610.50000,4910069
1478764800,3628.50000,3640.50000,3373.50000,3389.00000,6887414
1478851200,3356.50000,3460.00000,3350.50000,3434.50000,4763502
1479110400,3460.00000,3468.50000,3420.00000,3423.00000,4314616
1479196800,3420.00000,3518.00000,3420.00000,3498.50000,3569776
1479283200,3516.00000,3534.00000,3446.50000,3468.00000,2503029
1479369600,3426.50000,3493.10010,3409.00000,3470.00000,3001223
1479456000,3479.00000,3525.97510,3444.50000,3461.00000,3528498
