time,open,high,low,close,tick_volume
1609770600,11.12500,11.25000,10.50000,10.80000,150500
1609857000,10.85000,11.83000,10.75000,11.11000,165300
1609943400,11.50000,11.50000,11.00000,11.05000,175600
1610029800,11.50000,11.50000,11.05000,11.11000,94200
1610116200,11.65000,12.35000,11.00000,11.01000,137500
1610375400,11.80000,11.80000,10.80000,11.17000,162600
1610461800,11.80000,11.80000,11.07000,11.18000,210700
1610548200,11.34000,11.37000,10.97000,11.20000,386100
1610634600,11.31000,11.70000,11.22500,11.44000,291000
1610721000,11.57000,11.79000,11.11000,11.22000,269600
1611066600,11.40000,11.48000,11.09000,11.32000,573900
1611153000,11.33000,11.45000,11.25000,11.32000,434000
1611239400,11.39000,11.72000,11.24000,11.50000,401600
1611325800,11.55000,12.20000,11.50000,12.00000,503900
1611585000,12.50000,12.58000,11.80000,12.09000,621100
1611671400,12.38000,12.45000,11.83000,11.91000,695000
1611757800,11.52000,11.68000,11.26000,11.45000,919500
1611844200,11.50000,11.68000,11.35000,11.37000,183400
1611930600,11.42000,11.45000,11.10000,11.35000,230900
1612189800,11.45000,11.68000,11.40000,11.55000,244800
1612276200,11.77000,12.12000,11.72000,11.90000,159600
1612362600,11.98000,12.21000,11.96000,12.00000,164600
1612449000,12.15000,12.21000,11.93000,11.99000,142000
1612535400,12.20000,12.20000,11.74000,11.76000,162400
1612794600,11.98000,11.98000,11.58000,11.78000,527500
1612881000,11.77000,11.99000,11.56000,11.99000,240500
1612967400,11.86000,11.91000,11.65000,11.88000,151300
1613053800,11.88000,11.94000,11.56000,11.77000,83200
1613140200,11.65000,11.80000,11.61000,11.80000,117200
1613485800,11.80000,11.89000,11.61000,11.70000,265500
1613572200,11.85000,11.85000,11.67000,11.81000,177400
1613658600,12.27000,12.46000,12.11000,12.24000,460300
1613745000,12.37000,13.19000,12.37000,12.71000,424300
1614004200,12.66000,13.29000,12.55800,12.75000,506900
1614090600,12.25000,12.32000,11.40000,12.14000,379700
1614177000,14.05000,15.39000,13.61000,14.44000,7375300
1614263400,14.00000,14.56000,13.03300,13.12000,2067400
1614349800,13.34000,14.80000,12.60000,14.47000,1714800
1614609000,14.61000,14.84000,13.70000,14.60000,959500
1614695400,14.50000,14.75000,12.86000,12.86000,830100
1614781800,13.00000,13.15000,11.73000,11.87000,1067100
1614868200,11.95000,12.15000,10.86000,11.97000,1296400
1614954600,12.05000,12.80000,11.52000,12.70000,959800
1615213800,12.15000,12.29000,10.76000,10.90000,5674000
1615300200,11.32000,11.50000,10.91000,11.31000,2175400
1615386600,11.70000,11.88000,10.80000,11.08000,2130500
1615473000,11.20000,11.36000,11.00000,11.20000,1644300
1615559400,11.07000,11.60000,11.05000,11.51000,1135900
1615815000,11.92000,11.93000,11.20000,11.53000,1467500
1615901400,11.38000,11.58000,10.96000,11.02000,1387300
1615987800,10.94000,11.22000,10.90000,11.00000,1278700
1616074200,10.95000,11.15000,10.78000,10.81000,873200
1616160600,10.77000,11.05000,10.75000,11.05000,475200
1616419800,11.25000,11.25000,10.86000,10.94000,564300
1616506200,10.89000,10.96000,10.50000,10.63000,732200
1616592600,10.65000,10.78000,10.50000,10.52000,972300
1616679000,10.50000,10.62000,10.18000,10.56000,1178200
1616765400,10.51000,10.73000,10.33000,10.52000,647300
1617024600,10.57000,10.79000,10.46000,10.73000,317300
1617111000,10.64000,10.69000,10.31000,10.50000,447100
1617197400,10.52000,10.77000,10.41000,10.77000,398700
1617283800,10.87000,10.94000,10.45000,10.57000,481200
1617629400,10.77000,10.79000,10.60000,10.69000,362000
1617715800,10.56000,10.78000,10.55000,10.78000,370700
1617802200,10.78000,10.96000,10.62000,10.69000,435700
1617888600,10.79000,11.04000,10.73000,11.00000,648400
1617975000,10.97000,11.08900,10.92000,11.03000,299700
1618234200,11.00000,11.02000,10.78000,10.84000,450000
1618320600,10.75000,10.90000,10.70000,10.75000,465500
1618407000,10.70000,10.78900,10.48000,10.59000,435900
1618493400,10.49000,10.63000,10.45000,10.54000,299300
1618579800,10.50000,10.58000,10.25000,10.37000,545500
1618839000,10.42000,10.49000,10.23000,10.25000,694700
1618925400,10.25000,10.36700,10.12000,10.30000,526300
1619011800,10.20000,10.48000,10.17000,10.48000,249200
1619098200,10.38000,10.61000,10.13000,10.39000,479200
1619184600,10.32000,10.50000,10.30000,10.49000,156100
1619443800,10.50000,10.55000,10.48000,10.54000,230900
1619530200,10.50000,10.59500,10.29000,10.50000,214600
1619616600,10.42000,10.63000,10.42000,10.60000,181100
1619703000,10.50000,10.66000,10.50000,10.66000,322700
1619789400,10.65000,10.80000,10.63000,10.78000,275900
1620048600,10.85000,10.85000,10.66000,10.81000,266500
1620135000,10.78000,10.78000,10.50000,10.63000,145300
1620221400,10.63000,10.68000,10.35000,10.40000,154700
1620307800,10.34000,10.37000,10.25000,10.26000,200000
1620394200,10.28000,10.34000,9.99000,10.21000,407500
1620653400,10.20000,10.29000,10.11000,10.14000,224500
1620739800,10.00000,10.09000,9.92000,10.02000,885300
1620826200,9.95000,10.10000,9.94000,10.02000,753700
1620912600,10.00000,10.15000,10.00000,10.08000,247700
1620999000,10.11000,10.14000,10.01000,10.05000,160000
1621258200,10.00000,10.02000,9.96000,10.00000,674400
1621344600,10.03000,10.03000,9.94000,9.95000,352700
1621431000,9.95000,9.95000,9.88000,9.91000,437700
1621517400,9.93000,9.99000,9.90000,9.94000,1701000
1621603800,9.99000,10.02000,9.96000,10.00000,907700
1621863000,10.02000,10.02000,9.97000,10.00000,163000
1621949400,10.00000,10.03000,9.97000,9.97000,345100
1622035800,9.99000,10.03000,9.95000,10.00000,328400
1622122200,10.00000,10.04000,9.92000,9.93000,63300
1622208600,9.96000,10.03000,9.96000,9.98000,265600
1622554200,10.00000,10.02000,9.96000,9.98000,344600
1622640600,9.98000,10.02000,9.98000,10.00000,185100
1622727000,10.03000,10.11000,9.98000,10.05000,177000
1622813400,10.10000,10.11000,10.07000,10.10000,184400
1623072600,10.21000,10.29000,10.12500,10.24000,464900
1623159000,10.34000,10.49000,10.23000,10.44000,939900
1623245400,10.63000,10.89000,10.49000,10.60000,1145400
1623331800,10.60000,10.84000,10.51000,10.55000,626100
1623418200,10.76000,10.88500,10.54000,10.57000,338100
1623677400,10.67000,10.77000,10.50000,10.52000,193500
1623763800,10.55000,10.60000,10.43000,10.45000,98100
1623850200,10.41000,10.45000,10.26000,10.43000,164500
1623936600,10.44000,10.46000,10.27000,10.31000,182900
1624023000,10.24000,10.32000,10.24000,10.29000,112700
1624282200,10.34000,10.35000,10.14000,10.16000,195700
1624368600,10.16000,10.16000,10.00000,10.10000,554000
1624455000,10.11000,10.13000,10.08000,10.11000,124200
1624541400,10.16000,10.31000,10.15500,10.30000,700500
1624627800,10.26000,10.44000,10.26000,10.39000,348100
1624887000,10.54000,10.80000,10.45000,10.49000,551200
1624973400,10.49000,10.58000,10.31000,10.55000,285900
1625059800,10.80000,10.80000,10.35000,10.69000,440200
1625146200,10.64000,10.71000,10.61200,10.70000,247300
1625232600,10.70000,10.73000,10.45500,10.48000,147100
1625578200,10.53000,10.65000,10.33000,10.53000,356100
1625664600,10.60000,10.65000,10.39000,10.44000,274500
1625751000,10.44000,10.52000,10.35000,10.42000,341200
1625837400,10.38000,10.51000,10.36000,10.50000,325500
1626096600,10.53000,10.59000,10.42000,10.46000,173900
1626183000,10.46000,10.46000,10.28000,10.31000,118400
1626269400,10.40000,10.40000,10.04000,10.13000,339900
1626355800,10.16000,10.35000,10.10000,10.11000,276600
1626442200,10.11000,10.25000,10.09000,10.12000,214800
1626701400,10.20000,10.20000,9.94000,9.95000,701800
1626787800,9.99000,10.03500,9.93000,9.95000,728400
1626874200,9.95000,9.97000,9.90000,9.92000,626900
1626960600,9.93000,9.97000,9.90000,9.96000,709500
1627047000,9.98000,9.98000,9.92000,9.95000,240900
1627306200,9.94000,10.03000,9.93000,9.95000,243000
1627392600,9.95000,9.98000,9.92000,9.93000,200000
1627479000,9.95000,9.96000,9.91000,9.93000,302000
1627565400,9.91000,10.00000,9.91000,9.91000,282700
1627651800,9.91000,9.96000,9.91000,9.92000,139100
1627911000,9.93000,9.98000,9.91000,9.93000,197400
1627997400,9.95000,9.96000,9.92000,9.94000,142600
1628083800,9.97000,9.98000,9.92000,9.96000,185100
1628170200,9.94000,9.98000,9.93000,9.98000,372300
1628256600,9.99000,10.00000,9.93000,9.94000,283400
1628515800,9.99000,10.00500,9.98000,10.00000,540100
1628602200,9.98000,10.01000,9.97000,10.00000,201600
1628688600,10.05000,10.05000,9.99000,10.00000,400300
1628775000,10.00000,10.05000,9.95000,10.01000,1199600
1628861400,10.04000,10.05000,9.95000,10.02000,631400
