time,open,high,low,close,tick_volume
1472477400,8.63000,8.63000,8.12000,8.20000,297300
1472563800,8.17000,8.39000,8.10000,8.37000,215700
1472650200,8.32000,8.57000,7.91000,7.96000,457800
1472736600,8.01000,8.33000,7.76000,7.97000,253000
1472823000,8.03000,8.09000,7.86000,7.97000,116400
1473168600,8.03000,8.21000,7.94000,8.04000,181600
1473255000,8.05000,8.24000,7.99000,8.17000,149900
1473341400,8.16000,8.36000,8.09000,8.20000,142400
1473427800,8.07000,8.24000,7.88000,7.93000,245900
1473687000,7.84000,8.27000,7.84000,8.26000,203700
1473773400,8.16000,8.24000,7.76000,7.91000,196900
1473859800,7.97000,8.10000,7.73000,7.93000,238700
1473946200,7.97000,8.24000,7.89000,8.18000,234400
1474032600,8.20000,8.40000,8.10000,8.38000,563900
1474291800,8.39000,8.61000,8.33000,8.34000,230500
1474378200,8.45000,8.47000,8.19000,8.29000,216500
1474464600,8.36000,8.48000,8.10000,8.31000,154600
1474551000,8.36000,8.37000,8.15000,8.20000,246000
1474637400,8.20000,8.27000,7.90000,7.99000,321900
1474896600,7.87000,8.07000,7.85000,7.89000,260000
1474983000,7.90000,7.98000,7.79000,7.97000,333400
1475069400,7.99000,8.00000,7.77000,7.95000,175000
1475155800,7.96000,7.98000,7.71000,7.87000,253300
1475242200,7.93000,8.26000,7.84000,8.23000,256700
1475501400,8.23000,8.23000,7.97000,8.07000,166500
1475587800,8.11000,8.31000,8.00000,8.05000,165200
1475674200,8.06000,8.19000,7.97000,8.02000,201100
1475760600,7.95000,8.00000,7.70000,7.75000,369400
1475847000,7.77000,7.80000,7.45000,7.54000,189000
1476106200,7.60000,7.90000,7.50000,7.60000,159300
1476192600,7.55000,7.60000,7.10000,7.25000,196000
1476279000,7.25000,7.35000,6.60000,6.70000,434800
1476365400,6.70000,6.90000,6.55000,6.80000,301300
1476451800,6.80000,6.90000,6.10000,6.35000,325200
1476711000,6.10000,6.50000,6.10000,6.40000,200000
1476797400,6.45000,6.50000,6.15000,6.40000,130500
1476883800,6.40000,6.50000,6.20000,6.40000,127300
1476970200,6.35000,6.55000,6.30000,6.50000,178700
1477056600,6.40000,6.70000,6.35000,6.45000,129000
1477315800,6.55000,6.60000,6.30000,6.45000,74500
1477402200,6.45000,6.50000,6.25000,6.30000,86900
1477488600,6.25000,6.35000,6.00000,6.10000,177200
1477575000,6.15000,6.15000,5.90000,6.00000,283500
1477661400,5.95000,6.30000,5.95000,6.25000,213600
1477920600,6.25000,6.50000,6.10000,6.25000,416000
1478007000,6.30000,6.55000,5.95000,6.05000,215200
1478093400,6.10000,6.25000,5.88000,5.90000,250400
1478179800,5.95000,6.18000,5.80000,5.85000,211500
1478266200,5.80000,6.15000,5.60000,5.80000,283300
1478529000,6.00000,6.25000,5.80000,6.15000,408200
1478615400,6.15000,6.25000,5.95000,6.25000,263700
1478701800,6.35000,7.00000,6.35000,7.00000,685600
1478788200,7.20000,7.75000,6.95000,7.55000,490800
1478874600,7.55000,7.60000,7.25000,7.60000,461500
1479133800,7.70000,7.70000,7.35000,7.55000,409900
1479220200,7.50000,7.55000,7.25000,7.45000,249700
1479306600,7.45000,7.70000,7.35000,7.55000,160700
1479393000,7.60000,7.65000,7.40000,7.50000,119800
1479479400,7.50000,7.55000,7.34000,7.45000,176000
1479738600,7.40000,7.45000,7.20000,7.30000,165300
1479825000,7.35000,7.35000,7.05000,7.25000,237700
1479911400,7.20000,7.35000,7.05000,7.30000,237600
1480084200,7.30000,7.35000,7.15000,7.35000,75100
1480343400,7.30000,7.35000,6.88000,6.95000,225100
1480429800,7.00000,7.15000,6.70000,6.80000,205600
1480516200,6.85000,6.85000,6.50000,6.65000,232700
1480602600,6.65000,6.80000,6.10000,6.20000,260700
1480689000,6.25000,6.45000,5.95000,6.00000,301000
1480948200,6.10000,6.35000,6.05000,6.35000,258900
1481034600,6.40000,6.70000,6.10000,6.63000,312800
1481121000,6.60000,6.65000,6.25000,6.50000,236300
1481207400,6.50000,6.70000,6.30000,6.60000,215400
1481293800,6.65000,7.15000,6.60000,7.00000,376500
1481553000,7.00000,7.18000,6.73000,7.10000,226300
1481639400,7.20000,7.35000,6.95000,7.00000,190700
1481725800,6.95000,7.20000,6.90000,7.10000,216400
1481812200,7.10000,7.35000,7.00000,7.05000,237000
1481898600,7.10000,7.48000,7.05000,7.35000,445900
