time,open,high,low,close,tick_volume
1637159400,28.00000,28.25000,21.46000,24.45000,5815300
1637245800,24.31000,25.06000,21.68000,23.40000,1145900
1637332200,23.77000,25.13000,23.05000,24.80000,986400
1637591400,25.00000,25.21000,22.08500,22.64000,1123600
1637677800,22.50000,24.00000,20.88000,21.00000,474900
1637764200,21.00000,21.05000,18.83000,20.07000,442200
1637937000,19.45000,20.92000,18.83000,18.99000,216600
1638196200,19.20000,19.91600,18.91300,19.06000,295300
1638282600,19.16000,19.30800,17.13000,18.15000,640600
1638369000,17.85000,19.30000,17.85000,18.47000,338600
1638455400,18.24000,19.00000,16.93800,17.26000,179300
1638541800,17.13000,17.50000,15.06000,15.43000,459700
1638801000,15.20000,16.04000,14.28000,15.36000,376400
1638887400,15.82000,16.73000,15.67000,16.18000,373300
1638973800,16.69000,16.87000,14.82000,15.52000,305500
1639060200,15.61000,16.00000,13.90000,14.86000,391700
1639146600,14.75000,15.20000,13.12000,14.40000,600900
1639405800,14.52000,14.52000,13.50000,13.52000,605300
1639492200,13.50000,13.54000,12.50000,12.99000,338700
1639578600,12.60000,13.85000,12.60000,13.78000,333600
1639665000,13.94000,14.19000,13.26000,14.02000,184000
1639751400,13.78000,17.70000,12.61000,17.70000,1360400
1640010600,16.00000,17.85000,15.50000,17.31000,555000
1640097000,17.20000,18.10000,16.78000,17.97000,276800
1640183400,18.00000,18.50000,16.75000,16.96000,175600
1640269800,16.75000,17.33000,16.11000,17.16000,243800
1640615400,17.20000,17.51000,15.55000,15.84000,149500
1640701800,15.84000,17.09000,15.69000,16.79000,226900
1640788200,16.93000,17.13000,16.10000,16.67000,226500
1640874600,16.75000,17.37000,16.68000,16.87000,198400
1640961000,17.00000,17.34000,16.08000,16.17000,167100
1641220200,16.25000,16.51000,15.16000,15.23000,156900
1641306600,15.23000,15.35000,13.44000,13.46000,161100
1641393000,13.90000,13.90000,12.99000,12.99000,149700
1641479400,13.00000,13.46000,12.00000,12.51000,165500
1641565800,12.57000,12.87000,11.72500,11.99000,217600
1641825000,11.98000,12.18000,11.04000,11.16000,347800
1641911400,11.25000,12.65000,11.15000,12.33000,231100
1641997800,12.61000,12.94800,12.00000,12.41000,108700
1642084200,12.58000,12.88000,12.00000,12.07000,75200
1642170600,12.28000,12.49000,11.78000,12.34000,96000
1642516200,12.55000,12.93700,11.03000,11.24000,167000
1642602600,11.27600,11.89000,11.24000,11.56000,76000
1642689000,11.76000,12.10000,11.34000,11.40000,66900
1642775400,11.33000,11.69000,9.18000,9.58000,394200
1643034600,9.28000,9.54000,8.55100,9.31000,310900
1643121000,9.26000,9.70500,9.05500,9.55000,175900
1643207400,10.00000,11.49000,9.90000,10.75000,253000
1643293800,11.33500,11.60700,10.01000,10.15000,140700
1643380200,10.24000,11.17500,9.71000,11.00000,223400
1643639400,11.55000,13.20000,11.52000,13.17000,327500
1643725800,13.49000,14.31000,13.20000,13.83000,140900
1643812200,13.99000,14.19000,12.24000,12.49000,106700
1643898600,12.15000,13.23000,12.00000,12.50000,82100
1643985000,12.57000,13.45000,12.09000,13.15000,85700
1644244200,13.79000,15.48400,13.50000,15.36000,198400
1644330600,15.56000,15.56000,14.08000,14.36000,123200
1644417000,14.81000,14.82000,13.92000,14.28000,143800
1644503400,13.84000,15.49000,13.84000,14.74000,125500
1644589800,14.31000,15.60500,14.31000,14.78000,103200
1644849000,15.15000,15.24000,13.52500,14.10000,152000
1644935400,14.99000,15.18000,14.03000,14.52000,105300
1645021800,14.54000,15.23000,13.97000,14.78000,125900
1645108200,14.65000,15.06000,13.50000,13.59000,93400
1645194600,13.62000,14.44900,13.45000,13.54000,113800
1645540200,13.38000,14.55000,12.74000,14.16000,136000
1645626600,14.17000,14.89800,13.20000,13.39000,116000
1645713000,12.61000,13.93000,12.58000,13.86000,94900
1645799400,14.06000,14.69000,14.00000,14.47000,112300
