time,open,high,low,close,tick_volume
1472477400,76.16444,76.70778,75.92333,76.39445,3219300
1472563800,76.43222,76.57889,75.71000,76.39222,1307700
1472650200,76.60555,76.61444,75.90667,76.26889,1343700
1472736600,76.31778,76.80556,75.92778,76.63223,1872000
1472823000,77.04889,77.05000,76.42555,76.48556,1279800
1473168600,76.66556,77.02666,75.72667,77.01334,1548900
1473255000,76.66778,77.21222,76.56223,76.67445,1502100
1473341400,76.42222,76.95889,76.23778,76.79444,1553400
1473427800,76.12444,76.22778,75.11444,75.13556,1932300
1473687000,75.03889,76.02000,74.86333,75.93222,1937700
1473773400,75.30111,75.76000,74.53111,74.69222,2691000
1473859800,74.75111,75.27778,74.55111,74.79111,1968300
1473946200,74.53889,76.44111,74.50000,76.02111,2743200
1474032600,76.34111,76.42445,75.79556,76.26334,3438000
1474291800,76.86000,77.27778,76.73444,77.06111,1834200
1474378200,77.35333,77.88223,77.19000,77.65222,2529000
1474464600,77.58222,78.22222,77.12334,78.11777,2882700
1474551000,78.69000,79.89555,78.42778,79.80000,3054600
1474637400,79.77778,79.77778,78.78889,78.91333,2228400
1474896600,78.68777,78.88889,78.22778,78.58222,2485800
1474983000,78.77778,80.10445,78.55666,80.02111,2558700
1475069400,79.98000,80.37111,79.38111,79.75222,2008800
1475155800,80.44444,80.44444,79.16333,79.99889,2462400
1475242200,79.77444,80.79222,79.70556,80.53667,2927700
1475501400,80.17333,80.42667,79.42778,79.77111,1581300
1475587800,79.77556,80.12778,79.22000,79.62444,1685700
1475674200,79.63889,80.08111,79.40889,79.78889,1349100
1475760600,79.62556,79.89000,79.35000,79.57667,1745100
1475847000,79.99889,79.99889,79.24778,79.78222,1202400
1476106200,79.86222,80.80556,79.86222,80.51222,1249200
1476192600,80.45889,80.45889,78.48666,78.92222,2123100
1476279000,79.11111,79.24778,78.74667,78.99223,1543500
1476365400,78.77222,79.53333,78.57111,79.27111,2348100
1476451800,79.84222,79.84222,78.96667,79.43444,1907100
1476711000,79.47556,79.87556,78.68000,78.82667,2365200
1476797400,79.66000,80.36777,78.89000,80.19222,4664700
1476883800,78.44444,78.47889,75.62111,75.68111,11053800
1476970200,75.77666,76.60667,75.33556,75.75777,5040900
1477056600,75.60555,75.82555,75.10222,75.33556,3669300
1477315800,76.11777,76.38667,75.75444,76.11111,2737800
1477402200,76.11111,76.22111,75.17667,75.50000,2264400
1477488600,75.18667,75.18667,73.89667,73.96889,2644200
1477575000,74.16556,74.39555,73.08000,73.69222,2956500
1477661400,73.60333,75.06111,73.53000,74.06111,3105900
1477920600,73.97667,74.82667,73.15222,74.67555,2634300
1478007000,74.82667,74.88223,73.91666,74.41333,2318400
1478093400,74.48666,74.92555,74.00222,74.06333,2390400
1478179800,74.44556,74.91000,74.19444,74.81111,2627100
1478266200,74.65222,75.42000,74.50889,74.60222,3080700
1478529000,75.33667,75.86444,75.20444,75.38111,2126700
1478615400,75.43000,76.46333,75.23000,76.12556,1951200
1478701800,73.74556,74.20556,72.30444,72.38445,7863300
1478788200,72.45778,72.71333,70.07111,70.61333,7083000
1478874600,70.49667,71.36444,68.53333,69.08444,6356700
1479133800,69.00000,70.22222,68.74223,69.40000,5384700
1479220200,69.69000,71.33889,69.69000,71.17222,2991600
1479306600,71.28667,71.72222,70.77778,71.48444,2640600
1479393000,71.47889,72.89000,71.47889,72.73333,2511000
1479479400,72.68222,73.11111,72.52222,72.76556,2367000
1479738600,73.13556,73.73778,72.77556,73.56556,3835800
1479825000,73.11111,73.18777,70.84222,71.13445,6006600
1479911400,71.23556,71.82222,70.83222,71.69778,3320100
1480084200,72.04778,73.47778,71.75000,72.94556,2205900
1480343400,72.99333,73.18222,71.86333,71.96555,3473100
1480429800,72.10889,72.75222,72.00000,72.25667,2817000
1480516200,72.25333,72.58000,70.75111,71.52666,7995600
1480602600,71.38445,71.55556,69.79000,70.25889,4026600
1480689000,70.55444,71.53889,70.12444,70.73778,3800700
1480948200,70.81111,70.94667,70.47667,70.77222,2641500
1481034600,70.66778,70.76778,68.76556,69.06556,3961800
1481121000,68.94667,69.13000,67.85667,68.77889,5584500
1481207400,68.66333,69.22222,68.26444,68.82889,2707200
1481293800,68.87111,69.76444,68.75555,69.46778,2608200
1481553000,69.31223,70.56111,69.31223,70.41556,3565800
1481639400,70.66666,72.46667,70.63667,70.66333,5863500
1481725800,70.84889,71.55778,70.44778,70.73222,3519000
1481812200,70.79333,71.28889,70.23556,71.00000,3099600
1481898600,71.05556,71.43111,70.46333,71.26556,4982400
1482157800,71.06333,71.27556,70.58334,70.87889,2618100
1482244200,70.94222,71.09666,70.00333,70.44556,2374200
1482330600,70.45333,70.51222,70.00000,70.03222,1613700
1482417000,70.19111,71.05000,69.99556,70.84222,2625300
1482503400,71.00889,71.63111,70.92445,71.19444,1699200
1482849000,71.44889,71.91111,71.03000,71.05666,1074600
1482935400,71.08889,71.37889,70.41444,70.61667,1450800
1483021800,70.50777,71.00000,70.50777,70.72778,1418400
1483108200,70.92445,70.93222,70.25000,70.46333,2405700
1483453800,70.66000,71.35333,70.55556,71.31000,2378700
1483540200,70.88889,70.88889,69.41333,69.94334,4085100
1483626600,70.02111,70.85667,69.71667,70.32333,3331800
1483713000,70.44444,71.20667,70.44444,70.67889,2650500
