time,open,high,low,close,tick_volume
1472477400,119.71000,120.67000,119.58000,120.49000,1057700
1472563800,120.48000,120.48000,119.87000,120.17000,1162400
1472650200,119.94000,119.98000,118.75000,118.85000,1604700
1472736600,118.86000,119.65000,118.04000,119.64000,1427200
1472823000,123.50000,123.50000,119.95000,121.12000,1519400
1473168600,121.03000,121.31000,119.07000,119.82000,2116900
1473255000,119.50000,119.77000,119.04000,119.66000,1062000
1473341400,119.16000,119.89000,118.92000,119.02000,1268300
1473427800,118.09000,118.32000,115.78000,115.78000,1800400
1473687000,115.14000,118.04000,114.91000,117.76000,1542400
1473773400,116.79000,117.39000,115.45000,115.69000,2287200
1473859800,115.72000,116.51000,115.52000,116.12000,1591900
1473946200,116.07000,117.64000,115.83000,117.35000,974100
1474032600,116.94000,116.97000,115.82000,116.19000,1743800
1474291800,117.00000,117.98000,116.71000,117.16000,999200
1474378200,117.91000,118.95000,117.80000,118.40000,1731900
1474464600,118.80000,119.21000,117.78000,119.06000,1537700
1474551000,120.11000,120.56000,119.62000,119.69000,998200
1474637400,119.35000,119.43000,117.70000,117.81000,1112800
1474896600,117.54000,118.63000,117.00000,117.73000,1134000
1474983000,117.69000,119.46000,117.29000,119.00000,1582200
1475069400,118.73000,120.07000,118.54000,120.01000,1473100
1475155800,119.57000,120.53000,118.99000,119.04000,1515100
1475242200,119.83000,120.74000,119.28000,119.84000,1962300
1475501400,119.37000,120.94000,119.12000,119.89000,1587600
1475587800,119.61000,120.12000,118.69000,119.06000,1724100
1475674200,119.65000,120.00000,119.03000,119.27000,999600
1475760600,119.07000,119.72000,118.68000,119.56000,1070800
1475847000,119.36000,119.58000,117.05000,117.20000,2175500
1476106200,117.58000,118.49000,116.16000,116.41000,1824200
1476192600,116.11000,116.41000,113.82000,115.04000,3983300
1476279000,115.25000,117.20000,115.18000,116.80000,1781200
1476365400,116.03000,116.22000,115.48000,115.84000,1297900
1476451800,117.07000,117.07000,115.87000,115.89000,1195300
1476711000,115.99000,116.75000,115.90000,116.07000,1500300
1476797400,116.86000,117.14000,114.96000,115.08000,1790500
1476883800,115.57000,115.93000,115.06000,115.72000,2659000
1476970200,113.72000,115.00000,111.84000,113.28000,3767000
1477056600,112.14000,113.78000,112.13000,113.06000,2427400
1477315800,113.50000,113.85000,112.48000,113.09000,2232400
1477402200,112.68000,113.13000,111.84000,111.84000,1807300
1477488600,111.68000,114.62000,111.50000,113.38000,2324600
1477575000,113.60000,113.93000,112.27000,113.32000,1668500
1477661400,113.51000,114.76000,113.25000,113.84000,1264200
1477920600,114.33000,114.37000,113.54000,113.57000,1465300
1478007000,113.57000,113.85000,111.53000,112.12000,1400500
1478093400,112.25000,113.99000,111.85000,113.42000,2484100
1478179800,113.82000,113.91000,113.13000,113.56000,1322500
1478266200,113.63000,114.97000,113.23000,114.02000,1945400
1478529000,115.32000,117.29000,115.00000,117.16000,1605400
1478615400,116.97000,118.88000,116.68000,117.74000,1462700
1478701800,116.47000,121.65000,116.00000,121.15000,2558200
1478788200,121.59000,123.59000,121.58000,123.25000,2256100
1478874600,122.76000,124.19000,122.52000,123.91000,1655400
1479133800,124.48000,124.97000,123.26000,123.51000,1482200
1479220200,123.27000,124.98000,122.60000,124.97000,1345800
1479306600,124.63000,125.15000,123.90000,124.57000,1308800
1479393000,124.50000,124.98000,123.90000,124.09000,1161800
1479479400,123.94000,124.39000,123.22000,123.96000,1064800
1479738600,123.36000,124.44000,123.26000,123.48000,1897400
1479825000,123.52000,124.62000,123.19000,124.44000,1569900
