time,open,high,low,close,tick_volume
1472540400,4406.66650,4460.19580,4401.33350,4456.00000,422216
1472626800,4442.66650,4457.33350,4422.66650,4450.66650,471134
1472713200,4448.00000,4477.33350,4388.00000,4396.00000,381473
1472799600,4421.33350,4432.00000,4376.00000,4418.66650,457896
1473058800,4438.66650,4456.00000,4408.00000,4420.00000,215945
1473145200,4424.00000,4432.00000,4394.66650,4402.66650,291687
1473231600,4420.00000,4420.00000,4373.33350,4389.33350,502653
1473318000,4378.66650,4438.66650,4358.66650,4362.66650,334793
1473404400,4356.00000,4376.00000,4300.00000,4317.33350,258319
1473663600,4274.66650,4286.66650,4186.66650,4226.66650,400602
1473750000,4245.33350,4258.66650,4218.66650,4226.66650,303525
1473836400,4237.33350,4293.33350,4226.66650,4268.00000,313152
1473922800,4282.66650,4328.00000,4257.33350,4318.66650,212826
1474009200,4316.00000,4338.66650,4245.33350,4253.33350,502802
1474268400,4292.00000,4316.00000,4279.61328,4280.00000,294066
1474354800,4286.66650,4400.00000,4277.33350,4362.66650,448650
1474441200,4390.66650,4406.66650,4361.33350,4393.33350,369912
1474527600,4440.00000,4464.00000,4416.00000,4441.33350,271026
1474614000,4433.33350,4433.33350,4362.66650,4369.33350,434316
1474873200,4356.00000,4356.00000,4277.33350,4301.33350,504701
1474959600,4328.00000,4330.66650,4269.73340,4302.66650,369561
1475046000,4317.33350,4349.33350,4313.33350,4333.33350,1026064
1475132400,4373.33350,4413.33350,4358.66650,4374.66650,803357
1475218800,4346.66650,4393.33350,4309.33350,4392.00000,931821
1475478000,4381.33350,4502.66650,4381.33350,4496.00000,335686
1475564400,4517.33350,4646.66650,4512.00000,4614.66650,812762
1475650800,4592.00000,4625.33350,4584.00000,4618.66650,498681
1475737200,4636.00000,4636.00000,4601.33350,4601.33350,376550
1475823600,4624.00000,4672.00000,4600.08008,4634.66650,620445
1476082800,4654.66650,4702.66650,4648.00000,4666.66650,404254
1476169200,4656.00000,4717.33350,4656.00000,4698.66650,485390
1476255600,4704.00000,4712.00000,4637.33350,4645.33350,415167
1476342000,4640.00000,4658.66650,4622.66650,4650.66650,390692
1476428400,4674.66650,4757.33350,4674.66650,4720.00000,535206
1476687600,4720.00000,4721.33350,4648.00000,4652.00000,505884
1476774000,4674.66650,4688.00000,4584.00000,4608.00000,427762
1476860400,4601.33350,4668.00000,4569.33350,4668.00000,323914
1476946800,4681.33350,4708.00000,4624.00000,4676.00000,341942
1477033200,4654.66650,4684.00000,4558.69336,4617.33350,469538
1477292400,4634.66650,4669.33350,4584.00000,4586.66650,348234
1477378800,4602.66650,4642.66650,4577.33350,4600.00000,380562
1477465200,4582.66650,4626.66650,4472.00000,4488.00000,469851
1477551600,4469.33350,4533.33350,4456.00000,4494.66650,386540
1477638000,4482.66650,4534.66650,4436.00000,4512.00000,323841
1477900800,4490.66650,4557.33350,4477.33350,4546.66650,534686
1477987200,4561.33350,4565.33350,4486.66650,4505.33350,364035
1478073600,4488.00000,4516.00000,4469.33350,4492.00000,322074
1478160000,4477.33350,4488.00000,4341.33350,4353.33350,592259
1478246400,4302.66650,4334.66650,4250.66650,4322.66650,478002
1478505600,4369.33350,4393.33350,4330.66650,4369.33350,325010
1478592000,4366.66650,4420.00000,4361.33350,4410.66650,562272
1478678400,4301.33350,4430.66650,4266.66650,4430.66650,398894
1478764800,4461.33350,4480.00000,4370.66650,4402.66650,427817
1478851200,4398.66650,4406.66650,4301.33350,4346.66650,299796
1479110400,4384.00000,4438.66650,4353.33350,4353.33350,294328
1479196800,4366.66650,4401.33350,4360.00000,4394.66650,510815
1479283200,4421.33350,4662.66650,4410.66650,4446.66650,1041028
1479369600,4398.66650,4526.66650,4257.33350,4302.66650,1525410
1479456000,4325.33350,4362.66650,4321.33350,4329.33350,662537
1479715200,4354.66650,4361.33350,4278.66650,4286.66650,652539
1479801600,4314.66650,4332.00000,4282.66650,4322.66650,578851
1479888000,4348.00000,4400.00000,4298.66650,4298.66650,670242
1479974400,4276.00000,4298.66650,4228.00000,4246.66650,511196
1480060800,4258.66650,4258.66650,4198.66650,4213.33350,463781
1480320000,4217.33350,4236.00000,4176.00000,4194.66650,575736
1480406400,4193.33350,4216.00000,4160.44678,4188.00000,511586
1480492800,4169.33350,4229.33350,4162.66650,4173.33350,755899
1480579200,4158.66650,4192.00000,4124.00000,4138.66650,459450
1480665600,4121.33350,4125.33350,4063.23071,4109.33350,375369
1480924800,4113.33350,4177.33350,4082.54126,4124.00000,679418
1481011200,4126.66650,4132.55322,4005.33325,4005.33325,614272
1481097600,4024.00000,4126.66650,4020.00000,4073.33325,757127
1481184000,4076.00000,4090.29736,4034.66650,4052.00000,589857
1481270400,4065.33325,4065.33325,4028.00000,4060.00000,364776
1481529600,4054.66650,4081.33325,4006.66650,4022.66650,307047
1481616000,4034.66650,4104.00000,4009.33325,4094.66650,577179
1481702400,4094.66650,4160.00000,4086.66650,4134.66650,778335
1481788800,4133.33350,4144.00000,4094.66650,4109.33350,652889
1481875200,4113.33350,4140.00000,4090.66650,4094.66650,663037
1482134400,4097.33350,4165.33350,4076.00000,4136.00000,323345
1482220800,4136.00000,4240.00000,4124.00000,4146.66650,421715
1482307200,4150.66650,4185.33350,4122.66650,4172.00000,515313
1482393600,4160.00000,4257.33350,4160.00000,4228.00000,474816
1482480000,4234.66650,4262.66650,4204.00000,4204.00000,128739
1482912000,4229.33350,4237.33350,4206.66650,4230.66650,299297
1482998400,4228.00000,4261.33350,4209.33350,4237.33350,171758
1483084800,4230.66650,4242.66650,4206.66650,4242.66650,162416
1483430400,4258.66650,4273.33350,4217.33350,4248.00000,529531
1483516800,4236.00000,4238.66650,4205.33350,4234.66650,353557
1483603200,4236.00000,4238.66650,4176.00000,4190.66650,571967
1483689600,4178.66650,4232.00000,4177.33350,4213.33350,325977
1483948800,4214.66650,4256.00000,4202.04785,4250.66650,278847
1484035200,4246.66650,4272.00000,4224.00000,4257.33350,276903
1484121600,4249.33350,4288.00000,4238.66650,4280.00000,254144
1484208000,4278.66650,4294.19189,4252.00000,4293.33350,360417
1484294400,4293.33350,4332.00000,4285.33350,4330.66650,410628
1484553600,4344.00000,4357.33350,4302.66650,4302.66650,345752
1484640000,4288.00000,4294.66650,4198.66650,4200.00000,684120
1484726400,4212.00000,4236.00000,4182.66650,4234.66650,474470
1484812800,4232.00000,4238.66650,4189.33350,4202.66650,752016
1484899200,4201.33350,4218.66650,4172.00000,4189.33350,713858
1485158400,4170.66650,4230.66650,4157.33350,4224.00000,1034200
1485244800,4248.00000,4290.66650,4228.00000,4280.00000,664176
1485331200,4301.33350,4349.33350,4274.66650,4324.00000,443649
1485417600,4330.66650,4330.66650,4272.00000,4293.33350,716933
1485504000,4304.00000,4340.00000,4286.66650,4337.33350,566709
1485763200,4325.33350,4358.66650,4293.33350,4332.00000,1171043
1485849600,4333.33350,4389.33350,4312.09717,4334.66650,818549
1485936000,4340.00000,4376.00000,4329.33350,4376.00000,506517
1486022400,4390.66650,4436.00000,4304.00000,4320.00000,772015
1486108800,4349.33350,4349.33350,4240.00000,4242.66650,681697
1486368000,4236.00000,4280.00000,4210.66650,4238.66650,466017
1486454400,4248.00000,4282.66650,4229.33350,4240.00000,607638
1486540800,4228.00000,4254.66650,4218.66650,4248.00000,619353
1486627200,4245.33350,4277.33350,4224.00000,4253.33350,260717
1486713600,4252.00000,4266.66650,4213.33350,4226.66650,473691
1486972800,4226.66650,4228.00000,4162.66650,4205.33350,621246
1487059200,4192.00000,4202.66650,4142.66650,4153.33350,553983
1487145600,4176.00000,4181.14648,4114.66650,4152.00000,516366
1487232000,4152.00000,4152.00000,4064.00000,4096.00000,560261
1487318400,4100.00000,4101.33350,4046.66650,4082.66650,848932
1487577600,4077.33325,4096.00000,4054.66650,4082.66650,391276
1487664000,4093.33325,4093.33325,4037.33325,4069.33325,784953
1487750400,4072.00000,4094.66650,4049.33325,4058.66650,515317
1487836800,4060.00000,4061.33325,3993.33325,3994.66650,473256
1487923200,3985.33325,4034.66650,3947.75049,4017.33325,789863
1488182400,4045.33325,4065.33325,4017.33325,4058.66650,820590
1488268800,4066.66650,4102.66650,4041.33325,4085.33325,639702
1488355200,4090.66650,4129.33350,4088.00000,4114.66650,506431
1488441600,4101.33350,4140.00000,4094.66650,4113.33350,357986
1488528000,4114.66650,4114.66650,4042.66650,4074.66650,625589
1488787200,4084.00000,4084.00000,4016.00000,4025.33325,361185
1488873600,4030.66650,4030.66650,3960.00000,3969.33325,650196
1488960000,3950.66650,3974.66650,3926.66650,3954.66650,442197
1489046400,3961.33325,3973.33325,3912.00000,3930.66650,691041
1489132800,3940.00000,3941.33325,3861.62012,3881.33325,651912
1489392000,3894.66650,3946.66650,3874.66650,3936.00000,616305
1489478400,3946.66650,3974.66650,3932.00000,3937.33325,682644
1489564800,3950.66650,3960.00000,3936.00000,3940.00000,497526
1489651200,3970.66650,3986.66650,3942.66650,3952.00000,673395
1489737600,3952.00000,4009.33325,3948.35205,4009.33325,1092064
1489996800,4000.00000,4024.00000,3980.00000,4024.00000,421365
1490083200,4038.66650,4038.66650,3990.66650,4004.00000,524833
1490169600,3981.33325,3990.66650,3929.33325,3944.00000,393387
1490256000,3944.00000,3984.00000,3932.00000,3960.00000,516801
1490342400,3929.33325,3965.33325,3866.66650,3897.33325,884857
1490598000,3892.00000,3932.00000,3868.00000,3922.66650,592379
1490684400,3949.33325,4012.00000,3917.33325,4010.66650,686013
1490770800,4016.00000,4054.66650,4004.00000,4029.33325,540273
1490857200,4029.33325,4105.33350,4026.66650,4074.66650,598075
1490943600,4062.66650,4120.00000,4040.00000,4106.66650,930048
1491202800,4109.33350,4110.66650,4061.33325,4066.66650,552688
1491289200,4066.66650,4108.00000,4062.66650,4069.33325,526217
1491375600,4061.33325,4076.00000,4004.00000,4008.00000,869184
1491462000,4000.00000,4013.33325,3980.00000,3994.66650,785107
1491548400,3977.33325,4038.66650,3973.33325,4038.66650,565901
1491807600,4038.66650,4042.40527,3958.66650,3962.66650,490725
1491894000,3954.66650,4018.66650,3944.00000,3980.00000,530710
1491980400,3980.00000,4019.70654,3966.66650,4017.33325,560782
1492066800,4004.00000,4021.33325,4000.29321,4021.33325,322152
1492498800,4028.00000,4038.66650,3868.00000,3868.00000,661242
1492585200,3865.33325,3894.66650,3841.33325,3865.33325,547411
1492671600,3860.00000,3878.66650,3826.13330,3868.00000,610791
1492758000,3873.33325,3892.00000,3808.00000,3808.00000,412334
