time,open,high,low,close,tick_volume
1472477400,93.52000,93.78000,93.10000,93.39000,778300
1472563800,93.46000,93.71000,92.92000,93.17000,963200
1472650200,93.18000,93.86000,92.93000,93.70000,1107000
1472736600,93.59000,93.78000,92.61000,93.32000,1182800
1472823000,93.59000,94.57000,93.42000,94.46000,945900
1473168600,94.33000,94.68000,93.45000,93.97000,1460700
1473255000,93.57000,93.97000,92.75000,93.55000,1295000
1473341400,93.15000,93.88000,92.77000,92.99000,1172800
1473427800,91.93000,91.93000,89.83000,89.84000,1488900
1473687000,90.19000,91.35000,89.94000,91.26000,1561100
1473773400,91.03000,91.36000,89.97000,90.05000,1284300
1473859800,90.19000,90.80000,90.03000,90.28000,756800
1473946200,90.11000,90.54000,89.90000,90.22000,1031600
1474032600,90.09000,90.89000,89.45000,90.75000,1381100
1474291800,90.66000,90.98000,90.60000,90.77000,886900
1474378200,91.09000,91.35000,90.49000,90.79000,1200400
1474464600,90.71000,91.64000,90.14000,91.40000,996200
1474551000,91.83000,92.23000,91.53000,92.00000,1068100
1474637400,91.62000,92.22000,91.20000,91.61000,1261800
1474896600,91.50000,91.51000,90.20000,90.29000,1178300
1474983000,90.84000,90.95000,90.20000,90.65000,1283800
1475069400,90.80000,91.36000,90.50000,91.28000,1110200
1475155800,91.47000,91.99000,90.60000,90.72000,1042700
1475242200,91.17000,91.65000,90.60000,91.31000,969500
1475501400,90.93000,90.98000,90.11000,90.76000,1101800
1475587800,88.25000,88.88000,85.32000,86.86000,3466500
1475674200,87.03000,88.15000,86.95000,87.12000,2147600
1475760600,86.81000,88.32000,86.71000,88.04000,1211300
1475847000,88.13000,88.24000,87.04000,87.49000,1251500
1476106200,87.61000,87.91000,87.01000,87.79000,1052700
1476192600,87.73000,87.83000,86.77000,87.14000,860400
1476279000,87.21000,87.59000,86.84000,87.35000,1597000
1476365400,86.99000,87.64000,86.66000,87.36000,1250100
1476451800,87.36000,87.74000,87.02000,87.12000,1048500
1476711000,87.36000,87.70000,87.01000,87.67000,1019600
1476797400,88.10000,88.37000,87.64000,87.66000,752400
1476883800,87.62000,88.29000,87.02000,88.02000,1235500
1476970200,88.00000,88.36000,87.04000,87.12000,966900
1477056600,87.00000,87.94000,86.82000,87.86000,1015600
1477315800,87.87000,88.58000,87.76000,88.32000,1199400
1477402200,88.08000,88.41000,87.65000,88.32000,1540400
