time,open,high,low,close,tick_volume
1472477400,21.39000,21.80000,21.23000,21.77000,10225400
1472563800,21.85000,21.95000,21.70000,21.91000,9114700
1472650200,21.50000,21.91000,21.41000,21.85000,13213100
1472736600,21.76000,21.79000,21.31000,21.61000,12442300
1472823000,21.80000,22.04000,21.73000,21.92000,7635600
1473168600,22.03000,22.41000,21.76000,22.40000,13721700
1473255000,22.46000,22.75000,22.17000,22.70000,13395200
1473341400,22.84000,23.00000,22.44000,22.69000,32143300
1473427800,22.48000,22.48000,22.12000,22.12000,20099700
1473687000,21.71000,22.60000,21.45000,22.40000,22352100
1473773400,22.12000,22.32000,21.68000,21.86000,17567600
1473859800,21.71000,22.01000,21.46000,21.55000,19026300
1473946200,21.67000,21.92000,21.54000,21.56000,13929100
1474032600,21.28000,21.62000,21.22000,21.47000,30436600
1474291800,21.67000,22.22000,21.53000,21.90000,17056300
1474378200,21.98000,22.14000,21.87000,21.88000,14542400
1474464600,22.09000,22.23000,21.97000,22.14000,17538600
1474551000,22.34000,22.44000,22.03000,22.11000,13129600
1474637400,22.04000,22.47000,21.87000,21.94000,15729100
1474896600,22.00000,22.36000,21.71000,21.78000,11506800
1474983000,21.60000,21.90000,21.43000,21.83000,15198100
1475069400,21.96000,22.76000,21.62000,22.74000,18953500
1475155800,22.72000,23.20000,22.48000,22.76000,15824800
1475242200,22.89000,23.19000,22.60000,23.13000,15056300
1475501400,23.18000,23.36000,22.86000,23.01000,9525900
1475587800,22.67000,22.95000,22.21000,22.26000,12860900
1475674200,22.57000,22.69000,22.37000,22.38000,11127800
1475760600,22.49000,22.63000,22.06000,22.09000,11032700
1475847000,22.17000,22.17000,21.57000,21.68000,15421900
1476106200,21.84000,21.96000,21.37000,21.42000,14998900
1476192600,21.35000,21.38000,20.79000,20.82000,18770400
1476279000,20.77000,21.08000,20.72000,20.75000,16214100
1476365400,20.65000,20.78000,20.29000,20.55000,22102300
1476451800,20.82000,21.06000,20.36000,20.36000,15661800
1476711000,20.36000,20.57000,20.14000,20.19000,13060400
1476797400,20.39000,20.46000,19.97000,20.18000,13857700
1476883800,20.37000,20.74000,20.22000,20.71000,25777400
1476970200,21.40000,21.45000,20.90000,21.19000,32863600
1477056600,21.06000,21.17000,20.57000,21.11000,23122100
1477315800,21.30000,21.64000,21.12000,21.62000,19785100
1477402200,21.67000,21.73000,21.29000,21.32000,17869600
1477488600,21.15000,21.62000,20.95000,21.49000,14410300
1477575000,21.60000,21.65000,20.97000,20.97000,15569000
1477661400,20.81000,20.99000,20.37000,20.43000,19638800
1477920600,20.40000,20.60000,20.30000,20.43000,14300800
1478007000,20.62000,20.65000,19.96000,20.20000,13665100
1478093400,19.95000,19.96000,19.43000,19.71000,18047700
1478179800,19.74000,19.94000,19.57000,19.93000,11487400
1478266200,19.88000,20.18000,19.79000,19.87000,9441000
1478529000,20.07000,20.32000,20.02000,20.17000,9773400
1478615400,20.02000,20.50000,20.00000,20.41000,8925400
1478701800,20.31000,21.46000,20.23000,21.32000,24256400
1478788200,21.49000,21.98000,21.41000,21.53000,22993200
1478874600,21.70000,21.77000,20.48000,20.65000,16703700
1479133800,20.60000,21.07000,20.58000,20.97000,13175700
1479220200,21.50000,21.85000,21.34000,21.83000,15888600
1479306600,21.67000,21.71000,21.11000,21.29000,9342400
1479393000,21.45000,21.61000,21.34000,21.38000,8736000
1479479400,21.42000,21.76000,21.40000,21.67000,11044400
1479738600,21.96000,22.04000,21.86000,22.03000,13686500
1479825000,22.01000,22.04000,21.70000,21.89000,13254600
1479911400,21.75000,22.03000,21.75000,21.80000,8195900
1480084200,21.80000,21.83000,21.58000,21.81000,3624900
1480343400,21.80000,21.81000,21.38000,21.43000,11102400
1480429800,21.28000,21.41000,21.05000,21.40000,12272900
1480516200,22.31000,22.55000,21.88000,22.20000,29390300
1480602600,22.40000,22.45000,21.45000,21.49000,14679900
1480689000,21.45000,21.70000,21.34000,21.36000,11264300
1480948200,21.22000,21.65000,21.16000,21.46000,15723000
1481034600,21.27000,21.34000,20.61000,21.12000,24964400
1481121000,21.16000,21.29000,20.94000,21.29000,17175200
1481207400,21.29000,21.29000,21.01000,21.20000,11873600
1481293800,21.20000,21.23000,21.02000,21.09000,12323300
1481553000,21.31000,21.72000,21.21000,21.28000,14887000
1481639400,21.38000,21.44000,21.06000,21.34000,14029600
1481725800,21.20000,21.38000,20.80000,20.82000,13381200
1481812200,20.79000,21.14000,20.75000,21.02000,13484500
1481898600,21.05000,21.40000,20.94000,21.34000,24514900
1482157800,21.30000,21.35000,20.96000,21.01000,8801600
1482244200,21.08000,21.14000,20.72000,20.77000,15608500
1482330600,20.80000,21.21000,20.72000,21.17000,15596300
1482417000,21.01000,21.23000,20.90000,20.99000,10226000
1482503400,20.93000,21.21000,20.81000,21.13000,8700600
1482849000,21.11000,21.25000,21.05000,21.14000,9173200
1482935400,21.15000,21.44000,20.72000,20.73000,12503600
1483021800,20.72000,20.90000,20.71000,20.76000,7704200
1483108200,20.71000,20.82000,20.62000,20.71000,10629300
1483453800,20.92000,21.63000,20.88000,21.61000,16489400
1483540200,21.67000,21.74000,21.45000,21.72000,8773300
1483626600,21.79000,21.84000,21.46000,21.69000,10612800
1483713000,21.71000,21.91000,21.58000,21.81000,9319300
1483972200,21.56000,21.88000,21.42000,21.64000,10413000
1484058600,21.74000,21.80000,21.49000,21.57000,14680200
1484145000,21.56000,21.97000,21.52000,21.94000,10211500
1484231400,22.00000,22.22000,21.74000,22.19000,14239000
1484317800,22.09000,22.49000,22.00000,22.42000,16135600
1484663400,22.50000,22.68000,22.43000,22.55000,14012200
1484749800,22.46000,22.62000,22.32000,22.44000,14458300
1484836200,22.00000,22.75000,21.86000,22.47000,16315300
1484922600,22.73000,22.94000,22.36000,22.49000,17148900
1485181800,22.56000,22.59000,22.08000,22.14000,12711500
1485268200,22.32000,22.73000,22.18000,22.62000,12002600
1485354600,22.62000,22.70000,22.22000,22.60000,19065000
1485441000,22.64000,22.75000,22.40000,22.42000,9862800
1485527400,22.42000,22.47000,22.20000,22.38000,10606800
1485786600,22.22000,22.26000,21.83000,21.98000,11029300
1485873000,22.01000,22.35000,21.88000,22.34000,9147300
1485959400,22.48000,22.56000,22.05000,22.23000,9352800
1486045800,22.32000,22.65000,22.22000,22.65000,11032600
1486132200,22.65000,23.01000,22.56000,22.94000,10785200
1486391400,22.92000,22.97000,22.47000,22.50000,8540800
1486477800,22.40000,22.54000,22.04000,22.12000,10529600
1486564200,22.02000,22.43000,21.82000,22.41000,11419100
1486650600,22.41000,22.75000,22.35000,22.38000,13105800
1486737000,22.58000,22.71000,22.44000,22.48000,20023800
1486996200,22.43000,22.55000,22.31000,22.55000,10190400
1487082600,22.61000,22.64000,22.39000,22.54000,8569900
1487169000,22.41000,22.49000,22.21000,22.27000,11872700
1487255400,22.28000,22.28000,21.75000,21.79000,17715700
1487341800,21.75000,21.89000,21.58000,21.77000,14646600
1487687400,21.82000,22.10000,21.79000,21.99000,10145500
1487773800,21.80000,21.85000,21.46000,21.51000,10998600
1487860200,21.74000,21.80000,21.45000,21.54000,11906500
1487946600,21.40000,21.53000,21.12000,21.24000,12515500
1488205800,21.31000,21.45000,21.20000,21.40000,11047800
1488292200,21.29000,21.44000,21.21000,21.31000,9969400
1488378600,21.51000,21.95000,21.41000,21.77000,11848100
1488465000,21.56000,21.91000,21.53000,21.85000,8926800
1488551400,21.85000,21.98000,21.65000,21.75000,8533400
1488810600,21.69000,21.86000,21.54000,21.76000,7829700
1488897000,21.76000,21.80000,21.56000,21.63000,9535500
1488983400,21.62000,21.96000,21.19000,21.29000,18117900
1489069800,21.14000,21.37000,20.82000,21.27000,12122300
1489156200,21.40000,21.60000,21.30000,21.50000,10855900
1489411800,21.45000,21.66000,21.41000,21.51000,8594400
1489498200,21.22000,21.29000,20.95000,21.04000,9545600
1489584600,21.30000,21.71000,21.20000,21.66000,11011100
1489671000,21.66000,21.70000,21.36000,21.56000,7700400
1489757400,21.61000,21.74000,21.26000,21.28000,14405500
1490016600,21.10000,21.23000,20.99000,21.19000,10023900
1490103000,21.25000,21.42000,20.74000,20.94000,16276800
1490189400,20.92000,21.16000,20.71000,20.98000,12288200
1490275800,21.02000,21.26000,20.98000,21.15000,10778100
1490362200,21.15000,21.44000,21.09000,21.15000,10210000
1490621400,20.97000,21.14000,20.86000,21.03000,8336900
1490707800,21.13000,21.45000,21.05000,21.42000,9820900
1490794200,21.35000,21.50000,21.22000,21.41000,12615100
1490880600,21.49000,21.69000,21.38000,21.43000,14187900
1490967000,21.41000,21.77000,21.35000,21.74000,13907500
1491226200,21.74000,21.82000,21.32000,21.59000,7553000
1491312600,21.66000,21.68000,21.42000,21.64000,7458200
1491399000,21.79000,21.92000,21.45000,21.47000,9573500
1491485400,21.56000,21.88000,21.44000,21.75000,11314800
1491571800,21.75000,21.83000,21.53000,21.56000,8390500
1491831000,21.65000,21.85000,21.63000,21.75000,7664000
1491917400,21.72000,21.73000,21.46000,21.61000,8441500
1492003800,21.64000,21.73000,21.49000,21.66000,9605200
1492090200,21.67000,21.85000,21.35000,21.39000,9865300
1492435800,21.40000,21.49000,21.32000,21.37000,7357700
1492522200,21.22000,21.40000,21.16000,21.16000,16576200
1492608600,21.17000,21.29000,20.91000,20.98000,11856200
1492695000,20.89000,21.18000,20.56000,20.72000,20558900
1492781400,20.73000,20.75000,20.22000,20.27000,18141500
1493040600,20.44000,20.66000,20.38000,20.63000,13383600
1493127000,20.62000,20.95000,20.46000,20.90000,11542300
1493213400,20.82000,21.22000,20.80000,20.92000,10691700
1493299800,20.65000,20.83000,20.51000,20.62000,8616500
1493386200,20.73000,20.74000,20.53000,20.63000,10316600
1493645400,20.61000,20.67000,20.48000,20.54000,8000300
1493731800,20.59000,20.72000,20.43000,20.45000,9383600
1493818200,20.40000,20.57000,20.27000,20.28000,12907000
1493904600,20.20000,20.28000,19.60000,19.76000,16440200
1493991000,19.80000,20.23000,19.76000,20.19000,9884600
1494250200,20.19000,20.26000,19.93000,20.15000,9881400
1494336600,20.14000,20.29000,19.84000,19.90000,14743700
1494423000,20.01000,20.44000,19.93000,20.19000,18083500
1494509400,20.21000,20.27000,20.00000,20.11000,11107900
1494595800,20.12000,20.14000,19.87000,19.91000,10860700
1494855000,20.21000,20.29000,19.89000,19.90000,12215300
1494941400,19.96000,20.04000,19.77000,19.80000,9262400
1495027800,19.80000,19.80000,19.50000,19.50000,10978500
1495114200,19.49000,19.63000,19.32000,19.45000,14591700
1495200600,19.55000,19.76000,19.42000,19.52000,15958200
1495459800,19.63000,19.65000,19.43000,19.51000,7472300
1495546200,19.53000,19.63000,19.46000,19.52000,10712400
1495632600,19.53000,19.76000,19.17000,19.37000,17924100
1495719000,19.36000,19.79000,19.29000,19.42000,15081800
1495805400,19.32000,19.39000,19.19000,19.25000,10475500
1496151000,18.97000,19.00000,18.40000,18.42000,20200300
1496237400,18.38000,18.95000,18.31000,18.76000,25332100
1496323800,18.77000,19.09000,18.72000,18.99000,18123600
1496410200,18.95000,19.02000,18.89000,18.95000,15632500
1496669400,18.90000,19.02000,18.83000,18.96000,12502000
1496755800,18.90000,18.94000,18.62000,18.80000,10396900
1496842200,18.75000,18.92000,18.57000,18.68000,13538200
1496928600,18.68000,18.90000,18.60000,18.76000,12625500
1497015000,18.75000,19.15000,18.75000,19.08000,11446800
1497274200,19.19000,19.39000,19.13000,19.13000,13912400
1497360600,19.18000,19.30000,19.13000,19.23000,10052300
1497447000,19.21000,19.24000,18.83000,18.96000,13734800
1497533400,18.92000,19.03000,18.77000,18.81000,10248200
1497619800,18.99000,19.20000,18.85000,19.19000,16112500
1497879000,19.19000,19.27000,19.01000,19.06000,7169700
1497965400,18.90000,18.92000,18.45000,18.52000,13964100
1498051800,18.55000,18.83000,18.46000,18.51000,13817400
1498138200,18.49000,18.70000,18.40000,18.58000,13035900
1498224600,18.56000,18.83000,18.56000,18.79000,10714100
1498483800,18.78000,18.96000,18.74000,18.88000,11195700
1498570200,18.97000,19.08000,18.87000,18.91000,10553600
1498656600,19.00000,19.18000,18.86000,19.02000,13048000
1498743000,19.09000,19.25000,18.93000,19.04000,11998800
1498829400,19.15000,19.25000,18.98000,19.16000,13034600
1499088600,19.17000,19.65000,19.17000,19.52000,6358800
1499261400,19.44000,19.48000,19.21000,19.31000,8669500
1499347800,19.36000,19.43000,19.10000,19.13000,7189200
1499434200,19.13000,19.21000,18.92000,19.17000,7365200
1499693400,19.09000,19.16000,18.98000,19.08000,7183000
1499779800,19.06000,19.23000,18.97000,19.22000,9271600
1499866200,19.35000,19.50000,19.25000,19.41000,9497600
1499952600,19.41000,19.45000,19.27000,19.33000,5927400
1500039000,19.38000,19.62000,19.33000,19.54000,10701800
1500298200,19.55000,19.67000,19.50000,19.55000,8329400
1500384600,19.60000,19.61000,19.36000,19.50000,7202800
1500471000,19.50000,19.69000,19.43000,19.67000,10420500
1500557400,20.65000,21.25000,20.35000,20.56000,34813100
1500643800,20.51000,20.79000,20.42000,20.69000,17070800
1500903000,20.69000,20.70000,20.26000,20.33000,13265300
1500989400,20.55000,20.60000,20.21000,20.25000,10153800
1501075800,20.27000,20.60000,20.21000,20.34000,11231200
1501162200,20.23000,20.47000,20.13000,20.47000,13093500
1501248600,20.40000,20.56000,20.28000,20.40000,7682400
1501507800,20.44000,20.51000,20.20000,20.43000,9687500
1501594200,20.47000,20.47000,20.27000,20.35000,8449100
1501680600,20.20000,20.35000,20.15000,20.33000,6268500
1501767000,20.27000,20.34000,20.15000,20.23000,8986300
1501853400,20.27000,20.29000,20.15000,20.20000,6072000
1502112600,20.15000,20.20000,20.07000,20.15000,7177100
1502199000,20.01000,20.14000,19.71000,19.75000,10587500
1502285400,19.75000,19.80000,19.59000,19.75000,10680000
1502371800,19.77000,19.85000,19.32000,19.39000,12089800
1502458200,19.32000,19.42000,18.98000,19.07000,8612600
1502717400,19.19000,19.28000,18.96000,19.03000,8107100
1502803800,19.02000,19.03000,18.78000,18.85000,9785200
