time,open,high,low,close,tick_volume
1472540400,1166.93335,1180.80005,1160.53333,1162.66663,1520459
1472626800,1159.46655,1172.26660,1156.26660,1166.93335,2163871
1472713200,1169.06665,1189.33325,1169.06665,1181.86658,2218524
1472799600,1184.00000,1185.06665,1166.93335,1171.19995,3032807
1473058800,1177.59998,1178.66663,1159.46655,1170.13330,1496735
1473145200,1166.93335,1169.06665,1156.26660,1157.33325,2125651
1473231600,1156.26660,1159.59045,1152.00000,1157.33325,1964444
1473318000,1147.73328,1156.26660,1137.06665,1152.00000,2182980
1473404400,1143.46655,1153.72803,1127.46655,1128.53333,2624390
1473663600,1110.40002,1138.34875,1100.12158,1108.26660,2579343
1473750000,1114.66663,1117.86658,1081.59998,1081.59998,3217920
1473836400,1085.86658,1086.93335,1074.13330,1085.86658,3100402
1473922800,1084.80005,1088.00000,1073.06665,1080.53333,2770501
1474009200,1080.53333,1082.66663,1070.93335,1074.13330,4162349
1474268400,1078.40002,1091.19995,1071.73328,1090.13330,2683218
1474354800,1091.19995,1119.48694,1091.19995,1106.13330,2743440
1474441200,1112.53333,1120.00000,1101.86658,1104.00000,1533438
1474527600,1114.66663,1130.66663,1112.53333,1129.59998,1289799
1474614000,1129.59998,1130.66663,1117.23303,1121.06665,2228436
1474873200,1115.73328,1116.80005,1099.73328,1115.73328,1525751
1474959600,1125.33325,1125.33325,1105.06665,1123.19995,1741560
1475046000,1122.13330,1128.53333,1116.80005,1118.93335,1106123
1475132400,1123.19995,1124.26660,1110.40002,1114.66663,1412058
1475218800,1108.26660,1128.62402,1098.30933,1128.53333,2549190
1475478000,1124.26660,1130.66663,1120.00000,1128.53333,2257546
1475564400,1133.86658,1140.26660,1123.19995,1124.26660,3213870
1475650800,1120.00000,1125.33325,1088.00000,1090.13330,3256296
1475737200,1094.40002,1094.40002,1073.45056,1080.53333,2725299
1475823600,1085.86658,1088.00000,1051.73328,1051.73328,4719557
1476082800,1058.13330,1059.73328,1034.13330,1035.73328,4196703
1476169200,1039.46655,1060.26660,1035.73328,1047.46655,2599564
1476255600,1045.33325,1052.26660,1032.00000,1033.59998,2373918
1476342000,1031.46655,1055.46655,1026.66663,1052.26660,2377102
1476428400,1054.93335,1068.80005,1051.19995,1060.26660,2578230
1476687600,1064.53333,1065.06665,1051.73328,1052.26660,2111449
1476774000,1053.86658,1072.53333,1053.86658,1067.73328,1591873
1476860400,1066.13330,1072.00000,1055.65857,1067.73328,2941001
1476946800,1067.73328,1096.53333,1065.06665,1088.00000,2566233
1477033200,1086.93335,1090.13330,1070.93335,1078.40002,2117644
1477292400,1082.66663,1096.53333,1075.19995,1084.80005,1624882
1477378800,1089.06665,1098.66663,1086.93335,1093.33325,1964060
1477465200,1093.33325,1093.33325,1064.53333,1070.93335,1635223
1477551600,1063.46655,1066.66663,1038.40002,1050.66663,2148585
1477638000,1046.40002,1065.59998,1024.53333,1058.13330,2608574
1477900800,1059.73328,1068.80005,1042.66663,1065.59998,2452945
1477987200,1074.13330,1074.13330,1046.40002,1049.06665,2036831
1478073600,1041.06665,1056.53333,1038.97375,1048.53333,2111939
1478160000,1042.66663,1104.76160,1042.66663,1074.13330,4762759
1478246400,1068.80005,1068.80005,1041.59998,1046.40002,2056335
1478505600,1062.93335,1068.80005,1052.26660,1061.33325,1676634
1478592000,1056.53333,1072.00000,1050.13330,1060.80005,1881278
1478678400,1029.33325,1061.33325,1029.33325,1061.33325,2915328
1478764800,1066.66663,1081.59998,1032.53333,1040.53333,2868930
1478851200,1041.59998,1062.93335,1041.59998,1053.33325,2077560
1479110400,1062.40002,1068.80005,1048.53333,1050.66663,2620570
1479196800,1091.19995,1100.80005,1061.33325,1068.80005,3578985
1479283200,1066.66663,1079.46655,1043.19995,1052.80005,3239327
