time,open,high,low,close,tick_volume
1524749400,23.00000,28.24000,22.24000,26.95000,3906000
1524835800,26.20000,26.70000,24.05000,25.01000,626300
1525095000,25.65000,26.37200,24.86000,24.93000,229000
1525181400,25.22000,27.00000,25.00000,26.87000,474500
1525267800,26.96000,29.84000,26.91300,29.08000,456900
1525354200,29.00000,30.00000,28.68900,29.39000,299600
1525440600,29.85000,30.04000,28.91000,29.26000,96500
1525699800,29.32000,30.00000,28.50100,29.15000,112100
1525786200,29.41000,30.21000,29.18000,29.92000,135500
1525872600,30.05000,31.50000,30.05000,30.96000,127600
1525959000,31.24000,31.71600,30.98000,31.20000,75000
1526045400,31.20000,31.20000,29.81000,30.06000,56500
1526304600,30.42000,30.98000,30.01000,30.72000,88100
1526391000,30.47000,31.00000,29.17000,30.06000,46300
1526477400,30.18000,30.49000,29.81500,29.99000,43500
1526563800,30.00000,30.25000,29.85000,29.99000,45000
1526650200,30.25000,30.48000,29.80000,29.97000,83300
1526909400,31.00000,31.38800,29.95000,30.50000,202100
1526995800,32.00000,36.16000,30.12000,31.80000,498700
1527082200,31.00000,32.00000,29.18000,29.93000,365600
1527168600,31.13000,36.37000,30.25000,36.37000,758700
1527255000,36.46000,39.55800,36.30000,37.43000,397700
1527600600,37.75000,39.83000,37.05000,37.87000,215100
1527687000,38.42000,39.33900,36.00000,36.99000,280100
1527773400,36.87000,38.00000,36.07800,37.15000,143300
1527859800,37.42000,41.99000,36.88000,40.84000,182800
1528119000,41.48000,42.79000,39.69000,40.45000,390500
1528205400,40.64000,41.45000,37.31000,38.51000,278800
1528291800,39.06000,41.00000,38.50000,40.20000,256700
1528378200,40.35000,40.92900,37.93000,38.16000,319500
1528464600,38.21000,38.23000,33.82000,34.27000,287700
1528723800,34.82000,37.09000,34.51000,35.60000,201800
1528810200,35.59000,38.50000,35.01500,38.11000,496200
1528896600,38.04000,40.33000,37.46000,37.66000,749500
1528983000,37.99000,39.28800,37.84500,39.02000,222200
1529069400,38.34000,39.50000,37.77000,38.59000,457200
1529328600,38.74000,40.19000,37.75400,38.42000,282600
1529415000,38.96000,39.00000,33.50000,34.58000,435600
1529501400,34.96000,37.26000,34.96000,35.70000,175500
1529587800,35.79000,36.87200,34.55000,35.17000,130000
1529674200,35.35000,36.61900,34.61000,35.00000,1002500
1529933400,34.74000,36.09000,34.16000,34.99000,224000
1530019800,34.99000,37.52000,34.72700,37.31000,138400
1530106200,37.26000,38.43000,35.57000,35.73000,159700
1530192600,35.50000,37.11000,32.00000,33.27000,322700
1530279000,33.34000,35.30000,32.55500,33.06000,193700
1530538200,32.90000,33.66000,31.71000,32.57000,170600
1530624600,32.49000,33.00000,32.31500,32.86000,38000
1530797400,33.00000,33.00000,32.14300,32.50000,121000
1530883800,32.34000,32.85000,31.30000,31.93000,187500
1531143000,32.14000,33.00000,31.70000,32.28000,84300
1531229400,32.46000,34.26000,32.22000,33.85000,161300
1531315800,33.88000,33.99000,32.57000,33.85000,136500
1531402200,33.98000,34.64000,32.98000,34.52000,117800
1531488600,34.50000,35.38000,33.15000,35.21000,97500
1531747800,35.25000,38.19000,35.18000,37.41000,205600
1531834200,37.77000,41.80000,37.53300,40.90000,372900
1531920600,41.27000,43.63000,39.74000,40.35000,317000
1532007000,40.28000,41.13900,39.24000,39.66000,147200
1532093400,40.00000,41.18000,39.83000,40.17000,99500
1532352600,40.92000,41.78000,40.01000,40.30000,235100
1532439000,40.43000,40.82400,38.50100,38.85000,151900
1532525400,38.37000,39.20000,36.59000,36.90000,200600
1532611800,36.85000,39.70000,36.03000,39.36000,174200
1532698200,39.45000,40.00000,37.54000,38.46000,137200
1532957400,38.50000,39.77000,36.32000,36.67000,98100
1533043800,33.20000,33.96000,28.42000,30.53000,1466200
1533130200,30.74000,33.59200,30.00000,30.50000,320500
1533216600,30.15000,30.85000,28.27000,30.48000,649300
1533303000,30.15000,31.02500,29.89000,30.68000,211400
1533562200,30.52000,32.92000,30.50900,32.41000,175600
1533648600,32.71000,33.56000,31.26000,31.47000,195600
1533735000,32.71000,32.75000,29.45000,30.16000,406700
1533821400,33.10000,35.24000,30.30000,32.52000,665200
1533907800,33.10000,35.36000,31.67000,34.30000,297000
1534167000,34.30000,35.02500,33.98000,34.38000,170500
1534253400,34.59000,34.59000,33.40100,34.58000,159900
1534339800,34.34000,34.95000,33.48000,34.83000,186100
1534426200,35.00000,35.73000,34.12800,34.25000,150300
1534512600,33.82000,34.43000,32.13100,32.51000,230900
1534771800,32.15000,32.68100,30.09000,30.82000,310500
1534858200,30.86000,31.00000,29.50000,29.82000,400300
1534944600,29.78000,29.94000,27.77000,28.52000,544800
1535031000,28.50000,29.68900,28.20000,28.90000,456900
1535117400,28.92000,29.99000,28.92000,29.97000,195200
1535376600,30.03000,32.28700,30.03000,31.19000,202700
1535463000,28.83000,31.48000,28.38000,30.83000,623100
1535549400,30.48000,30.88500,29.00000,29.17000,236200
1535635800,29.13000,29.32000,28.50000,28.96000,347200
1535722200,29.00000,31.08000,29.00000,30.81000,214900
1536067800,29.34000,29.75200,27.97000,27.99000,308500
1536154200,27.99000,28.30000,26.00000,28.15000,548600
1536240600,27.81000,28.09000,26.82400,27.41000,409100
1536327000,27.26000,28.38000,26.90000,27.04000,2388100
1536586200,27.11000,27.82000,27.00000,27.54000,290100
1536672600,27.05000,27.55000,26.78000,27.11000,333800
1536759000,27.00000,27.10000,25.49000,26.86000,572000
1536845400,26.90000,27.02000,26.39000,26.72000,360800
1536931800,26.95000,27.26000,25.76000,26.06000,560600
1537191000,26.25000,26.28000,24.06000,24.15000,637400
1537277400,24.20000,25.09500,24.00000,24.89000,310600
1537363800,24.89000,25.49000,24.26200,24.79000,331800
1537450200,24.75000,25.61000,24.50000,24.58000,234500
1537536600,27.66000,27.66000,25.50500,26.24000,793600
1537795800,26.00000,26.20000,24.74000,25.25000,299200
1537882200,25.25000,25.31000,24.66000,24.83000,313000
1537968600,24.87000,25.35000,23.43000,23.55000,408300
1538055000,23.61000,24.10000,22.60000,24.01000,534700
1538141400,23.83000,23.90600,21.82000,22.21000,1088200
1538400600,22.41000,22.80600,21.75000,22.19000,317600
1538487000,22.13000,22.46000,20.48000,20.80000,481100
1538573400,20.99000,21.93000,20.85000,21.89000,496400
1538659800,21.91000,21.98000,20.52000,21.44000,258000
1538746200,20.51000,20.74000,18.85000,19.28000,703100
1539005400,16.55000,19.55000,16.55000,18.56000,776000
1539091800,18.41000,19.07600,17.85000,17.91000,344600
1539178200,17.69000,17.75000,16.40000,17.39000,522900
1539264600,17.46000,18.50000,17.27100,17.97000,308200
1539351000,18.41000,19.34000,17.95000,19.13000,444200
1539610200,19.11000,19.37000,18.07000,18.95000,276300
1539696600,19.14000,19.72000,18.70000,19.52000,291200
1539783000,19.75000,20.19000,18.91000,19.14000,212600
1539869400,19.33000,19.52000,18.02000,18.12000,187000
1539955800,18.12000,18.43000,16.65000,17.76000,775500
1540215000,17.40000,18.68000,17.20100,18.56000,277000
1540301400,18.05000,18.51000,16.59500,18.00000,804600
1540387800,18.01000,18.50000,16.70000,16.76500,539800
1540474200,17.01000,17.85000,16.67000,17.01000,456000
1540560600,16.40000,17.77000,16.25000,17.57000,346400
1540819800,17.32000,17.63000,16.77000,17.01000,258200
1540906200,16.90000,17.96000,16.40000,17.73000,645700
1540992600,18.14000,18.92000,17.56000,17.84000,354500
1541079000,17.94000,19.16000,17.33000,19.12000,386800
1541165400,18.93000,20.66000,18.93000,20.50000,543700
1541428200,20.50000,20.55000,18.57000,19.30000,629300
1541514600,20.50000,23.94000,20.49500,21.96000,1163400
1541601000,22.05000,22.05000,20.25000,21.25000,775100
1541687400,21.25000,21.33200,20.40800,20.79000,316900
1541773800,20.52000,21.46000,20.03000,20.48000,262400
1542033000,20.03000,20.91000,18.98800,19.63000,317900
1542119400,19.74000,21.20000,19.24000,20.08000,679300
1542205800,20.27000,20.87000,19.85000,20.28000,321100
1542292200,20.07000,21.34000,20.07000,21.07000,361100
1542378600,20.33000,20.71000,17.80000,19.98000,1336200
1542637800,18.76000,19.38000,18.66000,18.93000,283300
1542724200,18.53000,18.80000,17.77000,18.61000,535400
1542810600,18.86000,19.61000,18.43000,18.61000,282100
1542983400,18.50000,19.12000,17.98000,18.94000,200900
1543242600,19.23000,19.59000,18.38000,19.23000,356700
1543329000,19.02000,19.92000,18.98000,19.26000,216400
1543415400,19.47000,20.00000,18.61000,19.84000,250500
1543501800,19.74000,20.07000,19.04000,19.32000,284500
1543588200,19.12000,19.25000,18.66000,19.10000,517400
1543847400,19.65000,20.11000,19.50000,19.95000,403200
1543933800,19.65000,20.38000,19.50000,20.00000,1228500
1544106600,19.50000,20.16000,18.37400,19.68000,463900
1544193000,19.55000,19.68000,18.72500,19.11000,539500
1544452200,19.04000,20.52500,19.04000,20.35000,1076100
1544538600,20.75000,20.91000,19.21000,19.73000,673400
1544625000,19.98000,20.26800,19.35000,19.54000,449500
1544711400,19.60000,19.93000,19.04000,19.09000,427000
1544797800,18.39000,18.58000,16.39000,17.11000,1829100
1545057000,17.12000,18.24400,16.87000,17.11000,1186400
1545143400,17.34000,17.70000,16.77000,17.11000,935800
1545229800,17.15000,17.83000,16.74000,16.75000,538900
1545316200,16.75000,17.52000,16.66000,16.92000,530200
1545402600,16.93000,17.42000,16.49000,16.72000,2190900
1545661800,16.54000,16.97000,16.42000,16.62000,151200
1545834600,16.80000,17.66000,16.53000,17.57000,229200
1545921000,17.27000,17.42000,16.60900,17.41000,384800
1546007400,17.42000,17.89000,17.05000,17.67000,203900
1546266600,17.80000,18.47000,17.34000,17.78000,333300
1546439400,17.42000,18.50000,17.32700,18.23000,150600
