time,open,high,low,close,tick_volume
1485959400,12.50000,13.32000,12.12000,13.25000,10697800
1486045800,13.06000,13.19000,12.75000,13.00000,1666500
1486132200,12.90000,13.30000,12.90000,13.27000,1202100
1486391400,13.34000,13.41000,13.06000,13.38000,724200
1486477800,13.45000,13.55000,13.21000,13.41000,459800
1486564200,13.25000,13.33000,12.93000,13.13000,809000
1486650600,13.10000,13.46000,12.99500,13.13000,379800
1486737000,13.13000,13.35000,13.13000,13.26000,998700
1486996200,13.24000,13.45000,13.20000,13.31000,478500
1487082600,13.23000,13.42000,13.15000,13.21000,182600
1487169000,12.99000,13.42000,12.94500,13.10000,319400
1487255400,13.04000,13.13000,13.00000,13.09000,530200
1487341800,13.17000,13.17000,13.00000,13.11000,177700
1487687400,13.02000,13.40000,13.00000,13.39000,715900
1487773800,13.23000,13.45000,12.55000,13.12000,1166000
1487860200,13.20000,13.29000,13.00000,13.18000,595100
1487946600,13.05000,13.27000,12.90500,13.24000,855700
1488205800,13.27000,13.41000,13.03000,13.16000,1240400
1488292200,13.00000,13.25000,12.93000,13.02000,839600
1488378600,13.00000,13.18000,12.86000,12.98000,665300
1488465000,12.89000,13.24000,12.44000,12.57000,656400
1488551400,12.65000,12.69000,12.19000,12.50000,517900
1488810600,12.21000,13.22500,12.21000,12.87000,1084700
1488897000,12.92000,13.10000,12.59000,12.80000,527300
1488983400,13.07000,13.13000,12.61000,12.84000,692100
1489069800,12.95000,12.95000,12.31500,12.53000,1282600
1489156200,12.48000,12.85000,12.46000,12.76000,671700
1489411800,12.71000,13.02000,12.71000,12.97000,682400
1489498200,12.92000,12.98000,12.60000,12.80000,321600
1489584600,12.82000,13.08000,12.70000,13.06000,625200
1489671000,13.03000,13.14000,12.72000,12.94000,641300
1489757400,13.00000,13.70000,12.94000,13.43000,3525700
1490016600,13.44000,13.95000,13.27000,13.76000,643000
1490103000,13.86000,13.99000,13.69000,13.87000,631900
1490189400,13.82000,13.87000,13.50000,13.73000,479800
1490275800,13.72000,13.81000,13.38000,13.65000,810900
1490362200,13.64000,13.89000,13.23000,13.34000,472500
