time,open,high,low,close,tick_volume
1472477400,3.48000,3.56000,3.41000,3.41000,19600
1472563800,3.45000,3.55000,3.42000,3.43000,23800
1472650200,3.45000,3.49000,3.40000,3.46000,10600
1472736600,3.43000,3.50000,3.39000,3.50000,18900
1472823000,3.46000,3.50000,3.43000,3.50000,11800
1473168600,3.52000,3.55000,3.40000,3.46000,21300
1473255000,3.50000,3.52000,3.41000,3.41000,16000
1473341400,3.38000,3.50000,3.38000,3.46000,10700
1473427800,3.45000,3.50000,3.38000,3.43000,23100
1473687000,3.45000,3.60000,3.41000,3.46000,15600
1473773400,3.48000,3.52000,3.42000,3.45000,21200
1473859800,3.45000,3.45000,3.35000,3.43000,12600
1473946200,3.45000,3.50000,3.42000,3.47000,5800
1474032600,3.42000,3.50000,3.41000,3.50000,11100
1474291800,3.48000,3.50000,3.45000,3.45000,6600
1474378200,3.50000,3.64000,3.44000,3.51000,29100
1474464600,3.51000,3.51000,3.49000,3.50000,21200
1474551000,3.85000,4.30000,3.65000,3.75000,541900
1474637400,3.77000,3.81000,3.60000,3.80000,43900
1474896600,3.79000,3.81000,3.70000,3.81000,8900
1474983000,3.81000,3.95000,3.72000,3.90000,29900
1475069400,3.85000,4.25000,3.85000,4.00000,66400
1475155800,4.20000,4.22000,3.91000,3.97000,25100
1475242200,4.13000,4.13000,3.97000,3.98000,9800
1475501400,3.96000,3.99000,3.75000,3.87000,16900
1475587800,3.81000,3.85000,3.75000,3.80000,6800
1475674200,3.85000,4.00000,3.75000,3.86000,20000
1475760600,3.79000,3.96000,3.79000,3.86000,13100
1475847000,3.90000,4.05000,3.82000,3.89000,15400
1476106200,3.83000,3.94000,3.76000,3.81000,17600
1476192600,3.83000,4.01000,3.77000,3.77000,16100
1476279000,3.80000,3.92000,3.80000,3.83000,6700
1476365400,3.83000,3.85000,3.80000,3.80000,9100
1476451800,3.85000,4.03000,3.80000,3.83000,25500
1476711000,3.84000,3.88000,3.75000,3.78000,24200
1476797400,3.80000,3.90000,3.75000,3.83000,9800
1476883800,3.82000,3.97000,3.76000,3.79000,25200
1476970200,3.90000,3.90000,3.75000,3.82000,4100
1477056600,3.77000,3.85000,3.75000,3.78000,15900
1477315800,3.85000,3.89000,3.80000,3.81000,25300
1477402200,3.81000,3.87000,3.80000,3.85000,2700
1477488600,3.83000,3.98000,3.83000,3.97000,27500
1477575000,3.91000,3.95000,3.86000,3.93000,5400
1477661400,3.92000,3.97000,3.86000,3.92000,8000
1477920600,3.98000,3.98000,3.87000,3.88000,5000
1478007000,3.88000,4.00000,3.85000,3.96000,14400
1478093400,3.97000,4.36000,3.97000,4.09000,111600
1478179800,4.21000,4.25000,3.93000,3.93000,43000
1478266200,3.96000,4.03000,3.93000,3.93000,8200
1478529000,4.00000,4.17000,3.90000,3.96000,35800
1478615400,4.00000,4.13000,3.85000,4.00000,40500
1478701800,3.94000,4.28000,3.80000,3.96000,22200
1478788200,4.00000,4.07000,3.85000,3.90000,46100
1478874600,3.88000,4.19000,3.88000,3.96000,31500
1479133800,4.01000,4.24000,4.01000,4.15000,51000
1479220200,4.16000,4.42000,4.16000,4.26000,113800
1479306600,4.24000,4.54000,4.17000,4.44000,87500
1479393000,4.51000,4.68000,4.18000,4.39000,88000
1479479400,4.60000,4.60000,4.30000,4.44000,16900
1479738600,4.44000,4.60000,4.40000,4.49000,22000
1479825000,4.51000,4.74000,4.51000,4.66000,50800
1479911400,4.73000,5.07000,4.69000,4.79000,100500
1480084200,4.90000,5.23000,4.90000,5.14000,55000
1480343400,5.25000,5.84000,5.18000,5.77000,182000
1480429800,5.90000,5.90000,5.49000,5.90000,70000
1480516200,6.18000,7.08000,6.18000,6.51000,181200
