time,open,high,low,close,tick_volume
1472477400,33.83000,34.60000,33.80500,34.53000,407700
1472563800,34.55000,35.25000,34.16000,34.55000,664200
1472650200,34.48000,35.25000,34.34000,35.12000,797100
1472736600,35.24000,35.45000,34.47000,34.50000,1731600
1472823000,34.75000,35.25000,34.08000,35.24000,567500
1473168600,35.45000,36.85000,35.39000,36.25000,1550200
1473255000,36.83000,37.45000,36.57000,37.35000,1404000
1473341400,37.33000,37.82000,36.94000,37.60000,768000
1473427800,37.60000,38.00000,36.20000,36.43000,1120900
1473687000,35.98000,37.50000,35.37000,37.35000,1041700
1473773400,37.28000,37.77000,36.79500,37.19000,757100
1473859800,37.25000,38.91600,37.25000,38.30000,862100
1473946200,38.30000,39.57000,38.30000,39.15000,964300
1474032600,39.89000,39.90000,39.00000,39.21000,2173700
1474291800,39.98000,41.18400,39.80100,40.55000,1392300
1474378200,41.00000,41.12000,39.20000,39.87000,1245200
1474464600,39.88000,40.96000,39.58000,40.32000,1036200
1474551000,40.36000,41.80500,40.36000,41.79000,1050600
1474637400,41.59000,41.77000,40.81000,40.97000,864000
1474896600,41.05000,41.47000,40.32000,40.98000,929200
1474983000,40.75000,41.92000,40.41000,41.84000,803800
1475069400,42.07000,42.35400,41.44000,41.99000,639500
1475155800,41.99000,41.99000,41.03000,41.36000,721800
1475242200,41.59000,41.97000,41.18000,41.77000,1017100
1475501400,41.95000,41.97000,41.14000,41.45000,507300
1475587800,41.63000,42.24000,41.43000,42.12000,590700
1475674200,42.99000,43.81000,42.50000,43.37000,945100
1475760600,43.37000,44.69000,43.19000,44.48000,895800
1475847000,44.73000,45.25000,43.88000,44.24000,757100
1476106200,44.36000,44.99000,44.36000,44.50000,492700
1476192600,41.03000,42.87000,39.84000,40.73000,2954700
1476279000,40.70000,41.43000,40.11000,40.97000,840900
1476365400,40.38000,40.79000,39.12000,40.73000,1088900
1476451800,40.75000,41.41400,40.45000,40.47000,420400
1476711000,40.50000,40.79900,39.99000,40.25000,497900
1476797400,40.70000,40.80000,40.23000,40.39000,447500
1476883800,40.44000,40.78000,40.13000,40.64000,277800
1476970200,40.50000,41.11000,40.18000,41.04000,598300
1477056600,40.63000,40.97000,40.32100,40.40000,352100
1477315800,40.75000,41.55000,40.55000,41.40000,475000
1477402200,41.50000,41.99000,40.75000,40.85000,489600
1477488600,40.85000,41.40000,40.20000,40.65000,545200
1477575000,40.80000,41.50000,38.50000,38.90000,2157400
1477661400,37.50000,41.15000,34.70000,37.45000,2135800
1477920600,37.75000,37.95000,32.90000,33.60000,3507500
1478007000,33.60000,36.20000,33.60000,35.80000,2301200
1478093400,36.05000,37.10000,35.05000,35.60000,975500
1478179800,35.60000,36.40000,35.40000,35.45000,704200
1478266200,35.45000,35.80000,34.20000,34.40000,867800
1478529000,36.35000,37.05000,35.75000,35.85000,1332400
