time,open,high,low,close,tick_volume
1472540400,2763.00000,2813.00000,2762.00000,2799.00000,190303
1472626800,2758.00000,2784.00000,2740.00000,2755.00000,385430
1472713200,2739.00000,2797.00000,2735.90894,2750.00000,213153
1472799600,2770.00000,2782.00000,2734.00000,2767.00000,654449
1473058800,2801.00000,2801.00000,2745.00000,2745.00000,157919
1473145200,2739.00000,2748.00000,2725.00000,2739.00000,432985
1473231600,2755.00000,2766.00000,2730.00000,2744.00000,262967
1473318000,2702.00000,2754.00000,2702.00000,2736.00000,643156
1473404400,2721.00000,2730.00000,2698.00000,2699.00000,246494
1473663600,2653.00000,2680.00000,2649.00000,2663.00000,790228
1473750000,2670.00000,2717.00000,2654.00000,2697.00000,369910
1473836400,2715.00000,2729.00000,2657.00000,2698.00000,919591
1473922800,2701.00000,2731.00000,2664.00000,2728.00000,332669
1474009200,2739.00000,2746.00000,2712.00000,2735.00000,747325
1474268400,2713.00000,2780.00000,2713.00000,2780.00000,336773
1474354800,2754.00000,2821.36011,2754.00000,2797.00000,328090
1474441200,2814.00000,2849.00000,2777.60010,2829.00000,242231
1474527600,2834.00000,2856.00000,2823.00000,2853.00000,238356
1474614000,2839.00000,2846.00000,2818.00000,2829.00000,230084
1474873200,2830.00000,2848.00000,2766.00000,2844.00000,441725
1474959600,2880.00000,2880.00000,2780.00000,2800.00000,355556
1475046000,2802.00000,2837.00000,2757.00000,2801.00000,578907
1475132400,2722.00000,2839.00000,2722.00000,2833.00000,420266
1475218800,2789.00000,2807.00000,2751.00000,2800.00000,524054
1475478000,2791.00000,2886.00000,2746.00000,2880.00000,307433
1475564400,2850.00000,2944.00000,2846.00000,2922.00000,1291241
1475650800,2910.00000,2916.00000,2846.00000,2846.00000,403144
1475737200,2844.00000,2865.00000,2831.00000,2831.00000,266036
1475823600,2846.00000,2846.00000,2799.00000,2800.00000,565120
1476082800,2812.00000,2837.00000,2797.00000,2816.00000,524138
1476169200,2806.00000,2843.00000,2806.00000,2829.00000,296294
1476255600,2821.00000,2836.00000,2795.00000,2795.00000,623584
1476342000,2803.00000,2835.00000,2770.00000,2827.00000,534051
1476428400,2800.00000,2856.00000,2800.00000,2843.00000,1058624
1476687600,2868.00000,2876.50000,2799.00000,2812.00000,663718
1476774000,2817.00000,2880.00000,2806.00000,2812.00000,790188
1476860400,2814.00000,2815.00000,2788.00000,2813.00000,401024
1476946800,2802.00000,2870.00000,2802.00000,2842.00000,425316
1477033200,2811.00000,2865.00000,2811.00000,2865.00000,1260955
1477292400,2886.00000,2927.00000,2867.00000,2871.00000,311723
1477378800,2884.00000,2903.00000,2854.00000,2890.00000,221784
1477465200,2871.00000,2892.00000,2847.00000,2868.00000,269616
1477551600,2810.00000,2889.00000,2808.00000,2850.00000,532300
1477638000,2806.00000,2846.00000,2806.00000,2832.00000,351724
1477900800,2815.00000,2822.00000,2800.00000,2810.00000,685858
1477987200,2826.00000,2828.00000,2800.00000,2815.00000,244578
1478073600,2792.00000,2801.00000,2775.00000,2788.00000,798735
1478160000,2758.00000,2801.00000,2743.00000,2743.00000,312840
1478246400,2714.00000,2730.00000,2693.00000,2707.00000,353848
1478505600,2735.00000,2769.00000,2713.10303,2763.00000,433617
1478592000,2742.00000,2780.00000,2731.00000,2733.00000,264492
1478678400,2650.00000,2789.00000,2650.00000,2789.00000,332906
1478764800,2794.00000,2931.00000,2783.00000,2863.00000,474670
1478851200,2884.00000,2903.47998,2791.00000,2802.00000,680178
1479110400,2846.00000,2853.00000,2813.00000,2813.00000,274515
1479196800,2840.00000,2853.00000,2826.07788,2841.00000,369630
1479283200,2836.00000,2857.00000,2820.00000,2829.00000,316217
1479369600,2837.00000,2863.00000,2821.00000,2863.00000,227280
1479456000,2871.00000,2892.31909,2830.69702,2876.00000,223377
1479715200,2876.00000,2885.00000,2818.00000,2830.00000,433545
1479801600,2870.00000,2871.00000,2840.00000,2847.00000,221112
1479888000,2836.00000,2856.00000,2827.00000,2840.00000,319582
1479974400,2853.00000,2857.80811,2823.00000,2840.00000,129013
1480060800,2853.00000,2853.00000,2802.00000,2827.00000,227860
1480320000,2800.00000,2815.00000,2770.00000,2788.00000,315816
1480406400,2798.00000,2798.00000,2761.00000,2776.00000,393154
1480492800,2819.00000,2819.00000,2747.17603,2748.00000,973390
1480579200,2726.00000,2740.15991,2665.00000,2684.00000,549962
1480665600,2659.00000,2691.48193,2643.00000,2671.00000,468790
1480924800,2671.00000,2683.00000,2643.00000,2656.00000,377488
1481011200,2653.00000,2653.00000,2611.00000,2621.00000,336536
1481097600,2631.00000,2687.00000,2623.00000,2687.00000,743978
1481184000,2703.00000,2769.00000,2633.16602,2759.00000,2243178
1481270400,2763.00000,2812.00000,2751.00000,2774.00000,739560
1481529600,2761.00000,2765.00000,2700.00000,2701.00000,521187
1481616000,2725.00000,2755.00000,2677.00000,2744.00000,326837
1481702400,2725.00000,2745.00000,2701.00000,2719.00000,1495835
1481788800,2737.00000,2773.00000,2714.00000,2767.00000,540466
1481875200,2795.00000,2809.00000,2776.00000,2802.00000,1487303
1482134400,2822.00000,2840.00000,2789.00000,2789.00000,351611
1482220800,2792.00000,2812.00000,2765.00000,2812.00000,363858
1482307200,2808.00000,2816.00000,2799.00000,2812.00000,263681
1482393600,2807.00000,2829.00000,2800.00000,2829.00000,226949
1482480000,2821.00000,2870.00000,2811.00000,2844.00000,155363
1482912000,2898.00000,2898.00000,2841.00000,2858.00000,245485
1482998400,2839.00000,2864.00000,2838.00000,2855.00000,148840
1483084800,2859.00000,2914.00000,2807.00000,2914.00000,218989
1483430400,2928.00000,2928.73193,2890.00000,2900.00000,613820
1483516800,2914.00000,2923.00000,2877.00000,2915.00000,496180
1483603200,2924.00000,3390.94092,2889.00000,2909.00000,363157
1483689600,2922.00000,2934.00000,2899.00000,2924.00000,184580
1483948800,2915.00000,2938.00000,2914.00000,2926.00000,270870
1484035200,2916.00000,2960.00000,2912.00000,2953.00000,371453
1484121600,2939.00000,2950.00000,2920.00000,2935.00000,290481
1484208000,2942.00000,2942.00000,2912.00000,2934.00000,246824
1484294400,2949.00000,2950.00000,2922.00000,2933.00000,617687
1484553600,2935.00000,2955.00000,2918.06104,2946.00000,439034
1484640000,2933.00000,2973.81299,2933.00000,2946.00000,936152
1484726400,2937.00000,2966.00000,2937.00000,2953.00000,400658
1484812800,2950.00000,3015.00000,2945.00000,3010.00000,409933
1484899200,3015.00000,3072.00000,2985.00000,3049.00000,956336
1485158400,3038.00000,3097.00000,3019.00000,3097.00000,896842
1485244800,3117.00000,3138.00000,3067.00000,3074.00000,587819
1485331200,3081.00000,3116.00000,3077.00000,3080.00000,898585
1485417600,3118.00000,3129.00000,3057.00000,3065.00000,1044369
1485504000,3079.00000,3123.00000,3071.00000,3100.00000,828967
1485763200,3076.00000,3150.00000,3076.00000,3108.00000,463188
1485849600,3128.00000,3185.00000,3107.00000,3171.00000,2678252
1485936000,3197.00000,3204.00000,3174.00000,3197.00000,545811
1486022400,3198.00000,3205.00000,3145.00000,3187.00000,672115
1486108800,3200.00000,3216.79810,3183.00000,3199.00000,310763
1486368000,3191.00000,3199.00000,3149.00000,3159.00000,362857
1486454400,3179.00000,3187.00000,3139.00000,3139.00000,694261
1486540800,3129.00000,3163.91406,3065.00000,3084.00000,521834
1486627200,3082.00000,3094.00000,3067.39209,3084.00000,353156
1486713600,3087.00000,3109.00000,3067.00000,3071.00000,1086770
1486972800,3059.00000,3115.00000,3059.00000,3110.00000,358667
1487059200,3116.00000,3138.00000,3095.00000,3117.00000,639307
1487145600,3142.00000,3146.00000,3114.00000,3117.00000,254312
1487232000,3108.00000,3147.00000,3108.00000,3119.00000,307093
1487318400,3113.00000,3131.00000,3104.00000,3130.00000,541431
1487577600,3127.00000,3164.00000,3127.00000,3133.00000,293607
1487664000,3139.00000,3140.00000,3109.00000,3112.00000,1309162
1487750400,3109.00000,3146.00000,3099.00000,3114.00000,729069
1487836800,3131.00000,3136.00000,3102.00000,3125.00000,973808
1487923200,3117.00000,3133.00000,3112.84302,3125.00000,548000
1488182400,3070.00000,3126.00000,2964.43994,3090.00000,1084189
1488268800,3118.00000,3119.00000,3050.00000,3078.00000,772874
1488355200,3096.00000,3156.00000,3077.00000,3141.00000,828137
1488441600,3148.00000,3160.00000,3109.00000,3143.00000,714748
1488528000,3198.00000,3198.00000,3052.00000,3116.00000,640673
1488787200,3088.00000,3116.00000,3088.00000,3104.00000,332819
1488873600,3110.00000,3115.00000,3077.00000,3082.00000,494523
1488960000,3072.00000,3081.00000,3060.00000,3071.00000,635059
1489046400,3090.00000,3111.00000,3068.00000,3081.00000,587075
1489132800,3088.00000,3106.00000,3060.00000,3060.00000,2013220
1489392000,3071.00000,3078.00000,3056.00000,3056.00000,297298
1489478400,3063.00000,3067.00000,3042.63989,3044.00000,313042
1489564800,3041.00000,3083.00000,3041.00000,3065.00000,1288311
1489651200,3072.00000,3092.00000,3061.00000,3070.00000,384465
1489737600,3069.00000,3076.00000,3034.00000,3070.00000,533218
1489996800,3073.00000,3108.00000,3055.00000,3098.00000,249655
1490083200,3104.00000,3124.00000,3061.00000,3065.00000,443605
1490169600,3042.00000,3045.00000,2997.00000,3018.00000,749732
1490256000,3013.00000,3049.00000,3001.00000,3033.00000,618713
1490342400,3019.00000,3034.00000,3001.00000,3016.00000,364817
