time,open,high,low,close,tick_volume
1472477400,28.89000,29.00000,28.64000,28.75000,4011300
1472563800,28.75000,28.85000,28.46000,28.57000,4945000
1472650200,28.05000,28.19000,27.72000,27.80000,4472600
1472736600,27.88000,27.96000,27.54000,27.74000,4470200
1472823000,27.92000,28.10000,27.77000,27.94000,3048200
1473168600,27.96000,28.27000,27.92000,28.17000,2992300
1473255000,28.17000,28.42000,28.08000,28.40000,3210800
1473341400,28.40000,28.43000,28.23000,28.35000,3404200
1473427800,28.35000,28.94000,27.86000,27.86000,7008400
1473687000,27.63000,28.11000,27.42000,28.04000,4772000
1473773400,27.80000,27.84000,27.18000,27.44000,4497100
1473859800,27.48000,27.68000,27.32000,27.43000,2958100
1473946200,27.39000,27.59000,26.94000,26.98000,7595200
1474032600,26.96000,27.00000,26.51000,26.89000,7114400
1474291800,26.98000,27.25000,26.81000,27.04000,4457000
1474378200,27.25000,27.28000,26.72000,26.75000,3345400
1474464600,26.84000,27.20000,26.65000,26.92000,4296800
1474551000,27.08000,27.72000,26.95000,27.61000,5095000
1474637400,27.46000,27.62000,27.32000,27.42000,3853900
1474896600,27.39000,27.49000,27.22000,27.31000,2357700
1474983000,27.33000,27.51000,27.10000,27.35000,2844900
1475069400,27.35000,27.57000,27.13000,27.55000,2598200
1475155800,27.49000,27.74000,27.29000,27.52000,2611000
1475242200,27.69000,27.81000,27.42000,27.43000,3363400
1475501400,27.44000,27.56000,27.33000,27.52000,3048400
1475587800,27.52000,27.55000,26.90000,27.08000,4342400
1475674200,27.13000,27.27000,26.84000,27.03000,4826400
1475760600,27.00000,27.03000,26.67000,26.97000,3531300
1475847000,27.11000,29.08000,27.01000,27.76000,13519700
1476106200,27.88000,28.14000,27.70000,27.84000,3118200
1476192600,27.89000,28.10000,27.56000,27.64000,5412900
1476279000,27.65000,27.79000,27.51000,27.57000,2580400
1476365400,27.43000,27.62000,27.09000,27.39000,2750600
1476451800,27.49000,27.64000,27.31000,27.34000,2003300
1476711000,27.32000,27.61000,27.20000,27.37000,3118100
1476797400,27.49000,27.99000,27.45000,27.90000,3770400
1476883800,27.99000,28.31000,27.89000,28.18000,3274300
1476970200,28.14000,28.18000,27.77000,27.97000,4336600
1477056600,27.85000,28.33000,27.83000,28.21000,4790600
1477315800,28.28000,28.68000,28.17000,28.32000,3193700
1477402200,28.32000,28.59000,28.28000,28.45000,3390400
1477488600,28.42000,28.42000,28.06000,28.25000,3289300
1477575000,28.31000,33.45000,27.82000,31.00000,36625600
1477661400,30.21000,31.00000,29.81000,30.39000,15383000
1477920600,30.39000,30.39000,26.45000,26.58000,71943600
1478007000,26.50000,26.50000,24.88000,24.97000,36114900
1478093400,25.00000,25.08000,24.17000,24.18000,21126800
1478179800,23.90000,24.20000,22.86000,23.00000,30038500
1478266200,23.29000,23.56000,22.92000,23.05000,21633400
1478529000,23.36000,23.45000,23.03000,23.32000,21786900
1478615400,23.69000,24.37000,23.62000,24.16000,15356200
1478701800,23.90000,24.42000,23.76000,24.29000,10430200
1478788200,24.61000,24.64000,23.81000,23.81000,15049700
1478874600,23.83000,23.99000,23.58000,23.80000,9553900
1479133800,24.43000,24.46000,24.02000,24.31000,12285600
1479220200,24.50000,24.78000,24.05000,24.72000,12754200
1479306600,24.70000,24.79000,24.42000,24.52000,8711400
1479393000,24.65000,24.83000,24.26000,24.26000,8752400
1479479400,24.45000,24.83000,24.31000,24.79000,9857800
1479738600,24.94000,25.56000,24.86000,25.54000,11041900
1479825000,25.82000,25.90000,25.23000,25.24000,10374100
1479911400,24.68000,24.80000,24.33000,24.40000,8858700
1480084200,24.58000,24.83000,24.52000,24.66000,3946700
1480343400,24.66000,24.84000,24.56000,24.64000,7507300
1480429800,24.65000,24.72000,24.19000,24.21000,8364000
1480516200,24.25000,24.31000,23.52000,23.52000,13063900
1480602600,23.54000,23.81000,23.24000,23.74000,10562300
1480689000,23.76000,23.97000,23.59000,23.92000,5972200
1480948200,23.88000,24.21000,23.70000,24.19000,9987100
1481034600,24.23000,24.25000,23.76000,24.01000,6004300
1481121000,24.18000,24.46000,24.00000,24.28000,6772000
1481207400,24.34000,24.49000,24.03000,24.13000,7191500
1481293800,24.13000,24.25000,24.06000,24.12000,7962700
1481553000,24.25000,24.40000,23.86000,23.93000,7229400
1481639400,24.14000,24.44000,24.07000,24.43000,10799900
1481725800,24.40000,24.45000,23.82000,23.87000,8607600
1481812200,23.85000,23.99000,23.51000,23.97000,9779200
1481898600,24.02000,24.19000,23.80000,24.17000,11383900
1482157800,24.22000,24.31000,24.04000,24.19000,5889600
1482244200,24.16000,24.42000,24.04000,24.13000,6605000
1482330600,24.10000,24.20000,23.77000,23.77000,6241400
1482417000,23.81000,23.95000,23.67000,23.87000,6008900
1482503400,23.85000,24.14000,23.77000,24.06000,6512200
1482849000,24.04000,24.32000,23.96000,24.14000,3957700
1482935400,24.17000,24.24000,23.95000,24.03000,5067200
1483021800,24.03000,24.18000,23.86000,24.03000,4556800
1483108200,24.02000,24.18000,23.68000,23.78000,6971400
1483453800,24.35000,25.43000,24.26000,25.35000,17376400
1483540200,25.49000,25.65000,25.34000,25.48000,10443800
1483626600,25.52000,25.67000,25.15000,25.50000,7921700
1483713000,25.49000,25.52000,25.32000,25.38000,5736200
1483972200,25.43000,25.51000,25.19000,25.23000,6765300
1484058600,25.35000,25.36000,25.09000,25.20000,8275000
1484145000,25.31000,25.35000,24.94000,25.24000,5567000
1484231400,25.18000,25.20000,24.90000,25.18000,7340800
1484317800,25.24000,25.39000,25.02000,25.26000,5313100
1484663400,25.26000,25.52000,25.04000,25.47000,7753900
1484749800,25.59000,25.69000,25.42000,25.47000,5841800
1484836200,25.57000,25.63000,25.40000,25.50000,4364200
1484922600,25.63000,25.82000,25.52000,25.56000,4866500
1485181800,25.56000,25.83000,25.44000,25.81000,4439800
1485268200,25.57000,25.71000,25.50000,25.57000,5655100
1485354600,25.78000,25.85000,25.54000,25.69000,7489200
1485441000,25.65000,26.17000,25.40000,26.06000,7653700
1485527400,26.06000,26.15000,25.80000,25.96000,4935100
1485786600,26.01000,26.05000,25.55000,25.81000,4880700
1485873000,25.93000,26.05000,25.60000,25.86000,11316000
1485959400,25.95000,26.29000,25.43000,25.51000,8832800
1486045800,25.50000,25.57000,25.07000,25.26000,6190600
1486132200,25.46000,25.49000,25.28000,25.42000,5228400
1486391400,25.50000,25.53000,24.99000,25.05000,6353000
1486477800,25.11000,25.12000,24.75000,24.88000,6022200
1486564200,24.85000,24.86000,24.25000,24.43000,13671500
1486650600,24.43000,24.85000,24.01000,24.42000,10179900
1486737000,24.40000,24.52000,24.22000,24.49000,5882600
1486996200,24.54000,24.78000,24.51000,24.62000,6555700
1487082600,24.66000,24.70000,24.46000,24.54000,4962900
1487169000,24.48000,24.52000,24.29000,24.40000,5599600
1487255400,24.45000,24.45000,24.21000,24.28000,5162900
1487341800,24.24000,24.29000,24.10000,24.28000,5123000
1487687400,24.30000,24.71000,24.29000,24.67000,6846800
1487773800,24.74000,24.93000,24.64000,24.83000,6431600
1487860200,24.89000,24.97000,24.56000,24.71000,6598000
1487946600,24.63000,24.73000,24.43000,24.58000,6056600
1488205800,24.57000,24.73000,24.45000,24.61000,6722200
1488292200,24.63000,24.70000,24.19000,24.26000,13031800
1488378600,23.92000,24.15000,23.41000,24.04000,14735800
1488465000,23.93000,23.99000,23.53000,23.53000,10003100
1488551400,23.63000,23.64000,23.38000,23.48000,8418900
1488810600,23.38000,23.42000,22.96000,23.10000,8175100
1488897000,23.03000,23.09000,22.37000,22.50000,11620900
1488983400,22.55000,22.70000,22.40000,22.45000,7310200
1489069800,22.40000,22.86000,22.40000,22.73000,7984300
1489156200,22.78000,23.15000,22.75000,23.14000,6382000
1489411800,23.10000,23.47000,23.09000,23.46000,8358900
1489498200,23.46000,23.46000,23.06000,23.34000,5893000
1489584600,23.34000,23.85000,23.34000,23.77000,10642800
1489671000,23.79000,23.87000,23.28000,23.37000,10729000
1489757400,23.51000,23.82000,23.36000,23.65000,24891600
1490016600,23.68000,23.75000,23.51000,23.64000,8139000
1490103000,23.70000,23.75000,23.22000,23.36000,7234700
1490189400,23.30000,23.31000,22.61000,22.81000,12577300
1490275800,22.75000,22.89000,22.58000,22.64000,6887400
1490362200,22.72000,22.94000,22.62000,22.76000,5890200
1490621400,22.66000,22.68000,22.35000,22.61000,9057400
1490707800,22.52000,22.59000,22.33000,22.52000,7325800
1490794200,22.78000,23.19000,22.70000,23.09000,8208200
1490880600,23.10000,23.42000,23.01000,23.41000,7465900
1490967000,23.40000,23.63000,23.32000,23.57000,7533600
1491226200,23.56000,23.66000,23.33000,23.60000,6992500
1491312600,23.53000,23.97000,23.53000,23.96000,12820300
1491399000,23.97000,24.44000,23.85000,24.21000,12561400
1491485400,24.25000,24.65000,24.14000,24.46000,7640800
1491571800,24.51000,24.91000,24.42000,24.54000,9662300
1491831000,24.63000,24.97000,24.58000,24.87000,8136800
1491917400,24.90000,25.00000,24.63000,24.90000,8899900
1492003800,24.85000,25.14000,24.78000,25.14000,10806200
1492090200,25.11000,25.32000,24.85000,25.12000,9958700
1492435800,25.20000,25.50000,25.13000,25.30000,7317900
1492522200,25.24000,25.31000,25.00000,25.06000,7294900
1492608600,25.18000,25.30000,25.11000,25.29000,11207600
1492695000,25.22000,25.62000,25.04000,25.49000,8715400
1492781400,25.38000,25.42000,25.20000,25.32000,7432200
1493040600,25.50000,25.67000,25.36000,25.45000,7725600
1493127000,25.54000,25.94000,25.50000,25.93000,11383300
1493213400,26.00000,26.07000,25.79000,25.87000,8972300
1493299800,25.86000,26.02000,25.75000,25.79000,12119300
1493386200,25.77000,25.79000,25.31000,25.67000,11581200
1493645400,25.74000,25.75000,25.35000,25.38000,9826300
1493731800,25.41000,26.00000,25.38000,25.95000,9168400
1493818200,25.84000,25.87000,25.30000,25.42000,10400400
1493904600,24.75000,24.75000,23.05000,23.74000,28643400
1493991000,23.78000,23.87000,23.47000,23.60000,12349600
1494250200,23.65000,24.88000,23.57000,24.80000,26016500
1494336600,24.87000,25.12000,24.67000,25.03000,10142200
1494423000,24.86000,25.32000,24.75000,25.11000,7954700
1494509400,25.10000,25.13000,24.44000,24.44000,8698800
1494595800,24.51000,24.70000,24.38000,24.63000,8659600
1494855000,24.38000,24.85000,24.38000,24.81000,6936800
1494941400,24.91000,24.91000,24.58000,24.77000,8663900
1495027800,24.77000,24.87000,24.46000,24.55000,9125600
1495114200,24.51000,24.67000,24.30000,24.59000,7472600
1495200600,24.60000,25.03000,24.54000,24.87000,10497700
1495459800,24.91000,25.13000,24.70000,24.95000,7275300
1495546200,25.11000,25.41000,25.02000,25.19000,7264100
1495632600,25.17000,25.25000,24.82000,24.96000,5114500
