time,open,high,low,close,tick_volume
1472477400,36.41000,36.54000,36.32000,36.45000,4108700
1472563800,36.45000,37.34000,36.37000,37.18000,6007300
1472650200,37.20000,37.62000,36.40000,36.88000,8148200
1472736600,36.88000,37.25000,36.41000,36.59000,4781400
1472823000,36.57000,37.01000,36.52000,36.89000,4456000
1473168600,36.89000,37.07000,36.56000,36.95000,6383300
1473255000,37.32000,38.84000,37.28000,38.68000,11627700
1473341400,38.54000,39.06000,38.43000,38.76000,7353400
1473427800,38.68000,38.69000,37.18000,37.34000,9013300
1473687000,36.94000,37.93000,36.64000,37.82000,5192900
1473773400,37.73000,38.09000,37.01000,37.14000,6749000
1473859800,37.14000,37.41000,36.65000,36.84000,5071700
1473946200,36.81000,37.12000,36.45000,36.99000,4405400
1474032600,36.90000,36.90000,36.51000,36.59000,6268400
1474291800,36.71000,37.18000,36.59000,36.70000,5395200
1474378200,36.79000,37.20000,36.63000,36.82000,3312000
1474464600,36.80000,37.06000,36.31000,36.91000,4971100
1474551000,37.09000,37.67000,36.92000,37.33000,6559600
1474637400,37.25000,37.39000,36.77000,37.24000,4628200
1474896600,36.97000,37.16000,36.61000,36.87000,5718700
1474983000,36.78000,38.57000,36.78000,38.54000,10038200
1475069400,38.53000,38.95000,37.95000,38.07000,7121100
1475155800,38.02000,38.54000,37.95000,38.15000,5535000
1475242200,38.27000,39.18000,38.03000,38.89000,9364400
1475501400,38.85000,39.74000,38.70000,39.74000,8643600
1475587800,40.32000,40.49000,39.09000,39.16000,10682200
1475674200,39.02000,39.42000,38.83000,39.10000,4221600
1475760600,39.05000,39.32000,38.69000,39.17000,4816400
1475847000,39.14000,39.20000,38.18000,38.47000,6932900
1476106200,38.50000,39.95000,38.46000,39.77000,7815100
1476192600,40.03000,40.33000,39.51000,39.79000,9126600
1476279000,40.15000,40.38000,39.73000,40.01000,6634800
1476365400,39.68000,41.62000,39.13000,41.38000,11107200
1476451800,41.60000,42.41000,41.11000,41.32000,7296800
1476711000,41.40000,42.20000,41.16000,41.24000,5509900
1476797400,41.56000,41.99000,41.19000,41.68000,8755600
1476883800,41.74000,42.40000,41.57000,42.25000,6335000
1476970200,42.15000,42.47000,41.76000,42.29000,7813300
1477056600,41.91000,42.46000,41.75000,42.43000,5448000
1477315800,42.52000,42.93000,42.20000,42.33000,5311400
1477402200,42.15000,42.73000,41.71000,41.95000,11101800
1477488600,41.95000,41.95000,36.91000,38.40000,43824900
1477575000,38.50000,39.58000,37.65000,39.24000,22002700
1477661400,39.29000,39.84000,38.95000,39.18000,10321200
1477920600,39.49000,40.47000,39.15000,40.05000,8148800
1478007000,39.98000,40.42000,39.33000,39.68000,8004600
1478093400,39.57000,40.10000,39.43000,39.61000,6691500
1478179800,39.82000,40.39000,39.51000,39.70000,5187600
1478266200,39.69000,40.93000,39.56000,40.38000,7294000
1478529000,41.00000,41.57000,40.71000,41.57000,7740800
1478615400,41.57000,42.00000,41.22000,41.93000,8784000
1478701800,40.80000,42.46000,40.75000,42.37000,8472600
1478788200,42.64000,43.85000,42.58000,43.64000,10325700
1478874600,43.50000,43.85000,42.99000,43.84000,7906600
1479133800,43.90000,45.45000,43.88000,45.35000,11144700
1479220200,46.55000,47.30000,45.68000,46.25000,9921400
1479306600,46.04000,46.34000,45.45000,45.85000,6502600
1479393000,45.69000,46.74000,45.35000,46.69000,5915500
1479479400,46.91000,47.25000,46.68000,47.06000,6783000
1479738600,47.08000,47.68000,46.98000,47.36000,6760700
1479825000,47.69000,47.99000,46.75000,47.10000,7401300
1479911400,46.99000,47.46000,46.13000,47.37000,5316200
1480084200,47.31000,47.91000,47.23000,47.45000,2499100
1480343400,47.41000,47.77000,47.15000,47.52000,4230900
1480429800,47.56000,47.83000,47.21000,47.24000,4453400
1480516200,46.10000,47.33000,44.70000,46.61000,6640900
1480602600,46.36000,47.44000,46.19000,47.07000,5594800
1480689000,47.37000,48.24000,47.30000,47.91000,4843600
1480948200,48.08000,48.46000,47.04000,47.07000,4734200
1481034600,47.39000,47.90000,47.16000,47.68000,4573200
1481121000,47.71000,49.88000,47.40000,49.85000,7738800
1481207400,49.98000,49.98000,49.24000,49.60000,6643200
1481293800,49.89000,50.68000,49.22000,49.79000,6700900
1481553000,49.36000,49.69000,48.92000,49.37000,8801300
1481639400,49.47000,50.43000,49.45000,49.55000,6603700
1481725800,49.50000,50.00000,48.90000,49.28000,5920400
