time,open,high,low,close,tick_volume
1472477400,79.08000,79.75000,79.08000,79.67000,1776500
1472563800,79.67000,80.45000,78.51000,79.94000,2059500
1472650200,79.53000,80.33000,78.33000,78.89000,2838000
1472736600,78.87000,79.27000,78.22000,78.48000,2415900
1472823000,79.23000,80.03000,79.13000,79.72000,1677500
1473168600,79.66000,79.97000,78.40000,79.47000,2501000
1473255000,79.21000,80.29000,79.14000,79.50000,2937100
1473341400,79.59000,79.76000,78.28000,78.53000,3423200
1473427800,78.22000,78.98000,76.17000,76.19000,3804000
1473687000,75.73000,77.25000,75.55000,76.75000,3050400
1473773400,75.83000,76.29000,74.02000,74.47000,3696000
1473859800,74.53000,75.74000,74.08000,75.46000,7890600
1473946200,75.46000,76.67000,75.33000,76.52000,4585100
1474032600,75.92000,77.31000,75.56000,77.12000,5193600
1474291800,77.87000,78.79000,77.76000,78.44000,2882300
1474378200,78.71000,78.99000,77.47000,77.54000,2835700
1474464600,78.10000,78.80000,77.52000,78.14000,3230900
1474551000,78.65000,79.34000,78.01000,78.18000,1873900
1474637400,77.84000,78.36000,77.39000,77.39000,2132400
1474896600,77.34000,77.34000,76.33000,76.49000,2373300
1474983000,76.15000,77.86000,75.76000,77.78000,3777700
1475069400,78.23000,80.07000,77.19000,80.00000,4113900
1475155800,79.98000,81.75000,79.85000,80.47000,4314100
1475242200,80.84000,81.44000,80.29000,80.66000,3776700
1475501400,80.85000,81.01000,79.97000,80.84000,3204400
1475587800,81.11000,81.95000,79.44000,79.84000,3076600
1475674200,80.48000,82.45000,80.38000,81.33000,3249700
1475760600,81.32000,84.59000,81.20000,84.09000,5045100
1475847000,83.84000,83.94000,80.96000,81.44000,3353000
1476106200,82.21000,83.32000,81.99000,82.26000,2351200
1476192600,81.50000,81.77000,79.85000,80.30000,3283000
1476279000,80.25000,80.46000,79.16000,80.00000,2106900
1476365400,78.94000,80.20000,78.12000,79.90000,2854000
1476451800,80.87000,81.40000,79.55000,79.55000,2735300
1476711000,79.50000,80.12000,78.98000,79.53000,3454100
1476797400,80.83000,81.50000,80.08000,80.18000,4162400
1476883800,80.41000,81.84000,79.65000,81.65000,2887700
1476970200,81.12000,82.35000,81.04000,81.56000,2089200
1477056600,80.97000,81.98000,80.70000,81.87000,2772600
1477315800,81.95000,82.96000,81.33000,81.62000,1798000
1477402200,81.65000,81.79000,79.81000,79.96000,3571800
1477488600,79.37000,80.51000,79.16000,80.35000,2242300
1477575000,81.14000,81.16000,79.93000,80.25000,1567800
1477661400,80.52000,81.42000,79.54000,80.28000,2118700
1477920600,80.08000,80.24000,79.40000,79.55000,4374300
1478007000,80.01000,80.55000,77.23000,78.21000,4303200
1478093400,77.94000,78.14000,76.71000,77.39000,3749400
1478179800,77.70000,78.58000,77.57000,78.31000,2764300
1478266200,78.49000,79.20000,77.64000,78.45000,2701300
1478529000,79.64000,80.13000,78.95000,79.16000,1938200
