time,open,high,low,close,tick_volume
1472477400,46.40000,46.72000,45.92000,46.40000,363
1472563800,46.08000,46.72000,45.92000,46.72000,838
1472650200,46.40000,46.72000,45.60000,46.08000,1669
1472736600,45.12000,47.84000,45.12000,47.84000,425
1472823000,46.72000,47.52000,45.92000,46.40000,1844
1473168600,47.36000,47.36000,46.24000,46.40000,2813
1473255000,45.76000,47.04000,44.48000,45.28000,5988
1473341400,45.44000,47.04000,45.44000,47.04000,1069
1473427800,46.40000,46.40000,44.80000,45.12000,625
1473687000,46.56000,47.68000,44.96000,46.24000,213
1473773400,45.60000,45.60000,44.96000,45.60000,300
1473859800,44.96000,46.24000,44.80000,46.24000,1025
1473946200,45.76000,46.40000,44.80000,46.08000,1813
1474032600,46.24000,47.68000,44.80000,44.80000,2794
1474291800,44.64000,46.56000,44.64000,45.28000,506
1474378200,45.60000,45.60000,41.44000,44.32000,2275
1474464600,44.32000,44.32000,43.04000,44.00000,1488
1474551000,43.68000,45.44000,42.72000,43.68000,4806
1474637400,43.84000,45.12000,43.36000,45.12000,406
1474896600,44.80000,44.80000,43.20000,44.16000,1469
1474983000,44.64000,45.12000,44.00000,44.64000,306
1475069400,44.64000,45.12000,43.20000,43.20000,1081
1475155800,42.72000,44.96000,42.72000,42.88000,581
1475242200,43.84000,44.96000,43.20000,44.96000,713
1475501400,44.96000,44.96000,43.36000,44.48000,575
1475587800,44.16000,44.64000,42.24000,43.04000,994
1475674200,42.72000,43.52000,39.84000,42.40000,975
1475760600,40.00000,40.80000,39.04000,39.68000,2750
1475847000,39.52000,42.08000,35.84000,38.72000,2025
1476106200,36.64000,38.88000,36.16000,38.56000,1200
1476192600,40.16000,40.16000,38.08000,38.08000,169
1476279000,37.92000,38.24000,37.92000,38.08000,513
1476365400,38.08000,39.84000,35.20000,38.56000,3694
1476451800,39.20000,42.88000,38.24000,39.52000,2513
1476711000,37.92000,38.72000,37.12000,37.76000,644
1476797400,37.44000,38.40000,36.80000,37.12000,1575
1476883800,38.40000,38.40000,36.16000,37.28000,1800
1476970200,35.84000,36.80000,33.44000,36.00000,2000
1477056600,36.00000,37.92000,32.64000,37.28000,9263
1477315800,37.60000,41.12000,37.60000,39.68000,4963
1477402200,40.48000,40.48000,36.48000,37.76000,888
1477488600,39.68000,39.68000,35.20000,35.52000,1175
1477575000,36.00000,36.00000,35.04000,35.04000,463
1477661400,34.56000,37.60000,33.28000,36.64000,4094
1477920600,36.16000,37.60000,34.40000,35.20000,4738
1478007000,36.32000,41.76000,33.28000,34.72000,9881
1478093400,34.40000,36.32000,32.48000,32.48000,4531
1478179800,32.64000,32.96000,30.40000,31.36000,2719
1478266200,31.84000,33.76000,28.16000,33.76000,3925
1478529000,33.60000,33.60000,29.12000,33.60000,10463
1478615400,33.28000,38.24000,31.52000,35.04000,3013
1478701800,34.08000,41.12000,31.52000,37.12000,2275
1478788200,36.96000,37.28000,33.60000,37.28000,1113
1478874600,36.80000,36.96000,33.60000,36.80000,1263
1479133800,36.80000,39.68000,36.00000,39.20000,2563
1479220200,32.00000,37.60000,32.00000,37.44000,7731
1479306600,37.44000,39.68000,34.56000,39.04000,5356
1479393000,38.40000,39.20000,33.76000,34.72000,19356
1479479400,35.68000,36.96000,30.56000,31.20000,8363
1479738600,32.00000,34.72000,31.20000,33.60000,5125
1479825000,33.60000,33.60000,30.40000,31.84000,5869
1479911400,32.00000,32.00000,26.72000,29.12000,12400
1480084200,29.28000,30.56000,27.04000,30.24000,606
1480343400,30.40000,30.40000,27.36000,29.44000,1838
1480429800,28.96000,31.36000,28.96000,29.28000,7213
1480516200,29.44000,29.92000,28.32000,28.96000,4700
1480602600,29.28000,29.28000,27.20000,28.00000,10606
1480689000,27.52000,27.52000,26.08000,26.72000,4081
1480948200,26.40000,27.84000,25.60000,26.56000,8156
1481034600,26.72000,28.00000,25.92000,26.40000,3013
1481121000,27.36000,27.36000,26.40000,26.40000,3163
1481207400,26.72000,27.36000,25.92000,26.88000,5469
1481293800,25.92000,26.08000,23.36000,24.64000,31688
1481553000,24.32000,24.64000,23.04000,24.64000,14038
1481639400,24.48000,24.96000,24.16000,24.80000,7444
1481725800,24.48000,25.28000,24.00000,24.32000,2550
1481812200,24.80000,26.88000,24.64000,24.96000,7600
1481898600,25.28000,29.44000,25.28000,27.84000,6919
1482157800,27.84000,28.80000,26.72000,28.16000,5613
1482244200,28.16000,28.32000,27.20000,27.84000,6800
1482330600,27.84000,28.00000,24.96000,26.72000,15494
1482417000,24.96000,26.08000,24.48000,24.48000,8294
1482503400,24.80000,27.84000,24.48000,24.48000,2594
1482849000,24.32000,25.60000,24.32000,25.44000,1738
1482935400,25.28000,25.76000,24.80000,25.76000,2100
1483021800,25.92000,26.40000,25.60000,25.76000,2275
1483108200,26.24000,27.84000,25.44000,27.52000,3581
1483453800,25.44000,29.76000,25.44000,28.64000,5144
1483540200,29.44000,29.92000,28.00000,29.44000,3075
1483626600,29.60000,32.96000,29.60000,32.80000,7631
1483713000,32.00000,33.44000,29.28000,30.40000,6675
1483972200,30.40000,30.40000,29.60000,30.40000,4463
1484058600,29.92000,30.40000,29.60000,29.92000,3656
1484145000,29.92000,31.20000,29.60000,30.56000,3738
1484231400,30.08000,32.48000,30.08000,32.00000,3688
1484317800,30.56000,32.16000,30.56000,30.88000,1625
1484663400,31.20000,31.84000,29.12000,29.28000,4681
1484749800,29.12000,29.28000,28.64000,29.28000,1763
1484836200,28.96000,29.28000,28.00000,28.00000,2206
1484922600,28.96000,28.96000,28.00000,28.16000,256
1485181800,28.16000,28.48000,28.00000,28.48000,2706
1485268200,28.64000,34.72000,28.32000,33.92000,76669
1485354600,34.40000,36.64000,32.16000,34.08000,31825
1485441000,34.88000,34.88000,33.12000,33.28000,9400
1485527400,33.76000,33.76000,29.76000,30.40000,15288
1485786600,31.20000,31.84000,27.20000,30.56000,38975
1485873000,30.40000,31.20000,27.20000,28.00000,24719
1485959400,28.16000,28.80000,25.60000,25.60000,10700
1486045800,25.60000,27.20000,25.60000,27.04000,6681
1486132200,27.04000,28.16000,26.56000,27.68000,6269
1486391400,27.84000,28.96000,25.28000,25.92000,11350
1486477800,26.56000,26.88000,25.28000,25.60000,7263
1486564200,25.28000,25.76000,24.80000,25.28000,7350
1486650600,24.80000,26.08000,24.80000,25.60000,3113
1486737000,25.60000,25.92000,24.96000,25.28000,5044
1486996200,25.60000,25.60000,22.72000,22.72000,23669
1487082600,23.20000,23.68000,20.96000,21.76000,12744
1487169000,21.76000,23.52000,21.12000,23.20000,9994
1487255400,23.52000,24.64000,22.08000,22.08000,5331
1487341800,21.76000,24.32000,20.48000,21.44000,13025
1487687400,21.76000,24.00000,21.60000,21.60000,18688
1487773800,21.92000,23.52000,21.28000,22.24000,6906
1487860200,22.88000,22.88000,21.60000,21.76000,1738
1487946600,21.60000,23.52000,21.12000,21.60000,13506
1488205800,22.08000,23.36000,21.60000,21.92000,14406
1488292200,22.56000,22.56000,22.08000,22.40000,3069
1488378600,22.88000,22.88000,21.76000,22.08000,4069
1488465000,22.88000,22.88000,21.12000,21.44000,3388
1488551400,21.92000,21.92000,20.80000,21.60000,2919
1488810600,21.12000,23.04000,21.12000,22.88000,2525
1488897000,23.36000,23.36000,21.76000,22.40000,2138
1488983400,21.92000,22.40000,21.28000,22.40000,4144
1489069800,21.92000,22.24000,20.80000,20.96000,4081
1489156200,20.96000,22.08000,20.96000,21.12000,2256
1489411800,21.44000,22.24000,20.96000,21.12000,1606
1489498200,21.12000,22.40000,20.96000,21.44000,2494
1489584600,21.92000,22.40000,21.12000,21.12000,2075
1489671000,21.12000,21.44000,19.52000,19.52000,7981
1489757400,19.20000,19.52000,17.12000,17.12000,8594
1490016600,17.12000,18.08000,16.32000,16.80000,12394
1490103000,16.80000,17.60000,10.08000,10.40000,48338
1490189400,13.44000,13.60000,10.72000,12.00000,51938
1490275800,12.64000,12.64000,11.20000,11.68000,21919
1490362200,12.00000,13.60000,12.00000,13.60000,32819
1490621400,14.24000,18.08000,13.92000,16.96000,44469
1490707800,16.96000,18.40000,16.80000,16.80000,32288
1490794200,16.80000,17.12000,14.56000,15.52000,12394
1490880600,16.16000,16.16000,14.56000,15.20000,9806
1490967000,18.56000,19.20000,12.48000,16.32000,53006
1491226200,16.16000,16.32000,14.24000,14.40000,9894
1491312600,14.24000,15.52000,14.24000,14.72000,5413
1491399000,14.88000,15.68000,14.24000,14.40000,8238
1491485400,14.08000,14.40000,12.96000,13.12000,14388
1491571800,12.96000,14.40000,12.96000,13.28000,3794
1491831000,13.28000,14.40000,13.12000,13.60000,6050
1491917400,13.60000,14.24000,13.28000,13.44000,6481
1492003800,13.60000,14.24000,13.28000,13.44000,2175
1492090200,13.60000,13.76000,13.12000,13.44000,4838
1492435800,13.60000,13.92000,13.28000,13.28000,1569
1492522200,13.28000,13.76000,10.08000,10.24000,68025
1492608600,10.08000,10.56000,8.32000,8.64000,48263
1492695000,8.48000,9.60000,8.48000,9.12000,22288
1492781400,9.44000,9.76000,9.12000,9.60000,14219
1493040600,9.12000,9.76000,9.12000,9.60000,7831
1493127000,9.28000,9.76000,9.12000,9.76000,8381
1493213400,9.76000,9.76000,9.28000,9.44000,5525
1493299800,9.12000,9.60000,9.12000,9.44000,10169
1493386200,9.44000,9.60000,8.32000,8.64000,6675
1493645400,8.80000,9.44000,8.32000,9.28000,4150
1493731800,8.64000,9.44000,8.32000,8.64000,2763
1493818200,8.32000,9.76000,8.00000,9.12000,27188
1493904600,9.12000,9.28000,8.00000,8.64000,8288
1493991000,8.32000,8.48000,7.20000,8.00000,7094
1494250200,8.32000,8.48000,7.20000,7.68000,13781
1494336600,7.68000,8.00000,6.72000,6.72000,12600
1494423000,7.04000,7.04000,5.76000,6.40000,39488
1494509400,6.08000,6.56000,6.08000,6.08000,7569
1494595800,5.92000,6.40000,5.12000,5.92000,22563
1494855000,6.40000,6.40000,5.44000,6.08000,27025
1494941400,5.76000,5.76000,4.48000,5.44000,56019
1495027800,5.44000,5.44000,4.80000,4.96000,12581
1495114200,4.48000,5.44000,4.48000,4.80000,9375
1495200600,4.64000,6.24000,4.00000,4.32000,95600
1495459800,4.80000,4.80000,2.56000,2.88000,170588
1495546200,3.36000,4.48000,3.04000,3.84000,123306
1495632600,4.00000,6.08000,4.00000,4.48000,340900
1495719000,4.96000,5.60000,3.84000,4.00000,189444
1495805400,4.16000,4.32000,3.36000,4.00000,58788
1496151000,3.68000,4.00000,3.52000,4.00000,27525
1496237400,3.68000,4.00000,3.04000,3.68000,33475
1496323800,3.36000,3.84000,3.36000,3.52000,20194
1496410200,3.52000,4.96000,3.52000,4.32000,157475
1496669400,4.32000,4.32000,3.52000,3.52000,117531
1496755800,3.68000,4.16000,3.36000,3.68000,134644
1496842200,3.84000,3.84000,3.36000,3.68000,61469
1496928600,3.68000,3.68000,3.20000,3.36000,52456
1497015000,3.52000,3.52000,3.04000,3.20000,57638
1497274200,2.88000,3.20000,2.72000,3.20000,69988
1497360600,3.20000,3.20000,2.88000,3.20000,19006
1497447000,3.04000,3.36000,2.72000,2.88000,95875
1497533400,2.88000,2.88000,2.56000,2.56000,78594
1497619800,2.72000,2.72000,2.40000,2.56000,63481
1497879000,2.56000,2.72000,2.24000,2.56000,65388
1497965400,2.56000,2.56000,2.08000,2.40000,113519
1498051800,2.56000,5.44000,2.24000,4.80000,927300
1498138200,4.48000,5.92000,3.52000,3.52000,953050
1498224600,4.00000,7.68000,3.84000,5.44000,2134063
1498483800,6.72000,8.80000,5.92000,8.16000,2059113
1498570200,8.16000,8.16000,6.72000,7.36000,475525
1498656600,6.40000,7.04000,5.76000,6.08000,330406
1498743000,6.40000,8.32000,5.12000,6.56000,606488
1498829400,6.24000,6.56000,5.76000,6.08000,218163
1499088600,6.08000,6.08000,5.76000,5.92000,78869
1499261400,5.76000,5.92000,5.28000,5.44000,111381
1499347800,5.60000,7.52000,5.44000,6.56000,660388
1499434200,7.04000,7.04000,5.76000,5.92000,231763
1499693400,6.08000,6.24000,5.76000,6.08000,84444
1499779800,6.24000,6.24000,5.60000,5.92000,99150
1499866200,5.92000,6.08000,5.44000,5.60000,86731
1499952600,5.76000,5.76000,4.80000,5.28000,153863
1500039000,5.44000,5.44000,4.80000,5.12000,74350
1500298200,5.12000,5.12000,4.64000,4.80000,72650
1500384600,4.96000,4.96000,4.64000,4.64000,61088
1500471000,5.12000,5.12000,4.48000,4.80000,40488
1500557400,4.80000,4.80000,4.48000,4.48000,43813
1500643800,4.80000,4.80000,4.16000,4.16000,111138
1500903000,4.16000,4.32000,4.00000,4.16000,46113
1500989400,4.32000,5.12000,4.00000,4.80000,186331
1501075800,4.64000,5.44000,4.16000,4.32000,172688
1501162200,4.32000,4.80000,4.00000,4.16000,71138
1501248600,4.32000,4.48000,4.16000,4.16000,30219
1501507800,4.32000,5.12000,4.32000,4.96000,192894
1501594200,5.12000,5.12000,4.48000,4.64000,70088
1501680600,4.48000,4.64000,4.16000,4.16000,67725
1501767000,4.48000,4.80000,4.16000,4.32000,55900
1501853400,4.32000,4.48000,4.32000,4.32000,19369
1502112600,4.32000,4.48000,4.16000,4.32000,19119
1502199000,4.32000,4.64000,4.16000,4.32000,42181
1502285400,4.48000,4.64000,4.16000,4.32000,38494
1502371800,3.84000,4.16000,3.52000,4.00000,84763
1502458200,3.84000,4.16000,3.68000,4.00000,18144
1502717400,4.16000,4.48000,3.84000,4.48000,56206
1502803800,4.48000,4.48000,3.84000,4.16000,79844
1502890200,4.16000,4.32000,4.00000,4.16000,57694
1502976600,4.16000,4.32000,4.00000,4.16000,51456
1503063000,4.32000,5.12000,4.00000,4.96000,189425
1503322200,4.80000,4.80000,4.16000,4.64000,64831
