time,open,high,low,close,tick_volume
1666791000,26.71000,29.86000,26.03000,28.97000,28655000
1666877400,26.95000,29.59000,26.55000,27.40000,5687400
1666963800,27.06000,28.63000,27.00000,27.00000,3214100
1667223000,27.00000,27.12000,26.00000,26.38000,3930900
1667309400,26.38000,26.40000,25.37000,25.90000,2363000
1667395800,25.84000,26.32000,25.25000,25.49000,2343100
1667482200,25.04000,26.54000,24.85000,26.01000,3110600
1667568600,26.38000,26.78000,25.77000,25.89000,842200
1667831400,25.84000,26.03000,25.00000,25.89000,1178600
1667917800,25.99000,27.24000,25.52000,26.20000,1100000
1668004200,26.36000,26.58000,25.71000,25.89000,717700
1668090600,26.48000,28.24000,26.30000,28.09000,1177400
1668177000,28.25000,30.42000,27.84000,29.95000,1660200
1668436200,30.54000,31.88000,28.78000,29.39000,2931900
1668522600,30.74000,31.38000,29.60000,29.91000,1844800
1668609000,29.74000,29.99000,27.72000,28.81000,1095900
1668695400,27.61000,29.93000,27.51000,29.01000,895500
1668781800,29.15000,29.68000,27.60000,28.42000,651000
1669041000,29.44000,30.00000,26.65000,27.22000,2369700
1669127400,27.22000,29.84000,27.02000,29.55000,1327400
1669213800,29.55000,30.77000,28.02000,29.31000,1267200
1669386600,29.50000,30.46000,29.20000,29.40000,361500
1669645800,29.42000,29.80000,27.60000,27.87000,635500
1669732200,27.87000,28.31000,26.17000,27.44000,1659800
1669818600,27.62000,29.38000,27.41000,28.51000,879700
1669905000,29.15000,30.60000,28.41000,29.77000,1496500
1669991400,29.50000,32.90000,29.25000,31.94000,2061000
1670250600,32.43000,33.39000,31.28000,31.50000,2127800
1670337000,31.50000,31.82000,29.54000,30.49000,1495900
1670423400,32.43000,33.95000,31.13000,32.13000,3768600
1670509800,33.50000,33.50000,31.37000,31.59000,1723600
1670596200,31.60000,34.38000,31.57000,33.70000,2361300
1670855400,34.00000,34.24000,32.89000,33.05000,1028400
1670941800,35.00000,36.00000,33.20000,34.66000,2501200
1671028200,35.00000,37.31000,34.50000,35.43000,2121300
1671114600,35.52000,35.85000,33.36000,34.50000,2300400
1671201000,34.33000,35.41000,32.59000,33.81000,5407700
1671460200,34.00000,36.37000,32.82000,35.04000,2879500
1671546600,35.04000,35.70000,33.60000,33.72000,1455000
1671633000,34.20000,35.80000,33.50000,35.47000,1904000
1671719400,35.36000,35.52000,32.68000,33.88000,1225900
1671805800,34.10000,35.29000,33.32000,33.98000,1137700
1672151400,34.11000,35.50000,33.81000,34.32000,1264500
1672237800,34.31000,34.76000,32.78000,33.58000,1460800
1672324200,33.74000,34.54000,32.17000,34.51000,1532200
1672410600,34.19000,35.25000,34.19000,35.06000,1566100
1672756200,35.64000,36.49000,32.39000,32.71000,1950700
1672842600,32.73000,32.79000,29.83000,31.13000,3412600
1672929000,31.10000,31.10000,29.44000,30.04000,2262300
1673015400,30.00000,32.83000,28.73000,31.62000,3841600
1673274600,31.99000,34.25000,30.05000,33.41000,4722900
1673361000,33.41000,34.59000,32.51000,33.43000,2619200
1673447400,33.86000,34.18000,31.40000,33.15000,2566300
1673533800,33.20000,34.40000,32.70000,34.37000,1686300
1673620200,33.99000,34.15000,31.96000,32.98000,1809200
1673965800,33.16000,33.39000,31.24000,31.55000,2669400
1674052200,32.35000,34.85000,32.10000,33.48000,3854000
1674138600,33.48000,33.78000,32.10000,32.68000,1196400
1674225000,33.09000,34.73000,32.91000,34.36000,1804700
1674484200,34.59000,35.47000,33.82000,35.23000,1710000
1674570600,35.00000,36.62000,33.85000,34.12000,2160000
1674657000,33.84000,34.09000,32.70000,33.95000,2749100
1674743400,36.85000,39.19000,33.61000,35.97000,6732300
1674829800,36.50000,37.35000,34.92000,35.79000,4278200
1675089000,35.50000,36.99000,35.41000,36.12000,2060100
1675175400,36.20000,38.73000,36.00000,38.60000,3687700
1675261800,39.00000,41.95000,38.26000,41.06000,4242500
