time,open,high,low,close,tick_volume
1472477400,43.17000,43.18000,42.77000,43.04000,4381900
1472563800,44.85000,45.09000,44.21000,44.74000,14198400
1472650200,44.73000,45.16000,44.59000,45.02000,11220500
1472736600,45.14000,45.20000,43.71000,43.95000,14287200
1472823000,44.22000,44.57000,44.05000,44.19000,5968000
1473168600,44.53000,44.88000,43.90000,44.42000,5182200
1473255000,44.44000,44.51000,43.54000,43.60000,7266100
1473341400,43.99000,43.99000,43.45000,43.64000,6539800
1473427800,43.09000,43.27000,42.09000,42.09000,10857200
1473687000,42.42000,43.62000,41.96000,43.55000,14138000
1473773400,42.97000,43.18000,42.54000,42.69000,11695500
1473859800,42.66000,42.93000,42.33000,42.54000,9360400
1473946200,42.38000,43.09000,42.28000,43.02000,6936700
1474032600,42.66000,43.07000,42.54000,42.91000,10721600
1474291800,42.97000,43.38000,42.84000,42.87000,13094700
1474378200,43.28000,43.83000,42.80000,42.84000,7264900
1474464600,42.81000,43.06000,42.51000,42.93000,10801400
1474551000,43.34000,43.57000,43.14000,43.37000,7446300
1474637400,43.34000,43.43000,43.09000,43.16000,4948100
1474896600,42.68000,43.01000,42.65000,42.72000,5585900
1474983000,43.39000,43.39000,42.75000,43.16000,8302200
1475069400,43.11000,43.47000,43.06000,43.40000,6266300
1475155800,43.19000,43.88000,43.11000,43.14000,8816400
1475242200,43.33000,44.12000,43.22000,43.90000,9351000
1475501400,43.71000,43.90000,43.37000,43.78000,5349900
1475587800,43.54000,43.98000,43.03000,43.16000,6014700
1475674200,43.34000,43.45000,42.95000,43.03000,5878300
1475760600,42.90000,43.11000,42.66000,43.01000,4203100
1475847000,43.11000,43.18000,42.43000,42.69000,6807500
1476106200,42.83000,43.24000,42.82000,43.04000,5214400
1476192600,42.98000,43.05000,42.08000,42.33000,6037300
1476279000,42.28000,42.55000,42.12000,42.41000,4281000
1476365400,41.93000,42.12000,41.54000,41.87000,5906700
1476451800,42.21000,42.53000,41.99000,42.05000,4500100
1476711000,41.91000,42.20000,41.90000,41.99000,4057300
1476797400,42.35000,42.54000,42.11000,42.12000,4991900
1476883800,42.09000,42.28000,41.77000,42.13000,5974200
1476970200,42.10000,42.38000,41.73000,42.09000,8088200
1477056600,41.81000,42.25000,41.44000,42.21000,7541300
1477315800,42.43000,42.78000,42.22000,42.61000,5457500
1477402200,42.65000,42.88000,42.42000,42.76000,9774700
1477488600,44.74000,44.74000,43.03000,44.32000,21415300
1477575000,44.55000,44.57000,43.83000,43.90000,7592200
1477661400,44.68000,45.43000,43.75000,45.20000,11470100
1477920600,45.33000,45.66000,44.93000,44.94000,10294100
1478007000,45.03000,45.22000,44.20000,44.40000,7425700
1478093400,44.47000,44.59000,43.97000,43.99000,7351700
1478179800,44.04000,44.05000,43.28000,43.31000,6943700
1478266200,42.66000,43.18000,42.44000,42.61000,7520800
1478529000,43.17000,44.25000,43.16000,44.22000,8820000
1478615400,44.91000,46.40000,44.46000,46.01000,15393600
1478701800,44.06000,45.63000,43.92000,44.01000,15781800
1478788200,43.79000,43.85000,41.37000,41.92000,20053100
1478874600,41.85000,41.92000,40.98000,41.19000,12640600
1479133800,41.31000,41.69000,40.67000,41.42000,11783100
1479220200,41.62000,42.59000,41.54000,42.37000,9941300
1479306600,42.16000,42.75000,42.11000,42.55000,9498200
1479393000,42.70000,43.01000,42.11000,42.99000,9950600
1479479400,42.75000,43.21000,42.40000,42.92000,9760000
1479738600,42.72000,43.20000,42.72000,42.98000,6073500
1479825000,43.08000,43.48000,42.94000,43.40000,7599300
1479911400,43.10000,43.36000,42.39000,42.50000,8454500
1480084200,42.53000,43.41000,42.53000,43.28000,3702900
1480343400,43.23000,43.28000,42.73000,42.92000,8303300
1480429800,42.92000,43.12000,42.64000,42.86000,4870700
1480516200,42.90000,43.07000,41.21000,41.24000,12184000
1480602600,41.34000,41.45000,40.69000,40.84000,14247000
1480689000,40.99000,41.29000,40.85000,41.17000,7444600
1480948200,41.34000,41.56000,40.93000,41.03000,7456100
1481034600,41.04000,41.14000,40.50000,40.65000,9695900
1481121000,41.20000,41.98000,41.06000,41.94000,8967700
1481207400,41.92000,41.92000,41.27000,41.33000,6691000
1481293800,41.41000,41.95000,41.26000,41.95000,6261600
1481553000,41.84000,42.74000,41.82000,42.66000,6232100
1481639400,42.73000,43.51000,42.53000,43.08000,7706400
1481725800,43.17000,43.60000,42.52000,42.83000,10851400
1481812200,44.90000,45.77000,44.00000,44.71000,21568200
1481898600,44.87000,44.87000,44.00000,44.37000,17684700
1482157800,44.48000,44.65000,44.06000,44.59000,17984700
1482244200,43.93000,44.83000,43.93000,44.32000,6531900
1482330600,44.41000,45.15000,44.41000,44.87000,8179300
1482417000,44.86000,45.11000,44.70000,44.98000,5285100
1482503400,44.90000,45.05000,44.77000,45.01000,2354000
1482849000,45.12000,45.29000,44.93000,45.04000,5964900
1482935400,44.98000,45.12000,44.64000,44.72000,8334300
1483021800,44.70000,45.03000,44.67000,44.84000,3226700
1483108200,44.96000,44.97000,44.21000,44.33000,5595100
1483453800,44.71000,44.88000,44.42000,44.85000,6169900
1483540200,44.85000,45.20000,44.67000,44.80000,4817700
1483626600,44.77000,45.13000,44.65000,45.00000,7145800
1483713000,45.08000,45.37000,44.60000,45.06000,5118600
1483972200,45.28000,45.28000,44.62000,44.69000,6490100
1484058600,44.56000,44.76000,44.11000,44.17000,10070500
1484145000,44.12000,45.29000,44.11000,45.07000,8076800
1484231400,45.00000,45.18000,44.75000,44.89000,4278800
1484317800,44.97000,45.17000,44.41000,44.60000,5273100
1484663400,44.56000,44.90000,44.40000,44.90000,5090900
1484749800,45.00000,45.46000,44.90000,45.03000,5577000
1484836200,45.01000,45.03000,44.40000,44.59000,6937700
1484922600,44.93000,45.45000,44.69000,45.20000,9815200
1485181800,45.06000,45.20000,44.52000,44.86000,7453400
1485268200,44.84000,45.16000,44.67000,44.93000,8751900
1485354600,45.15000,45.37000,44.92000,45.09000,6783000
1485441000,45.09000,45.09000,44.58000,44.61000,4829800
1485527400,44.68000,44.76000,44.15000,44.20000,9441400
1485786600,44.18000,44.89000,44.03000,44.43000,7350200
1485873000,44.42000,44.55000,43.92000,44.28000,10229500
1485959400,44.18000,44.35000,43.65000,43.89000,6027200
1486045800,43.88000,44.35000,43.88000,44.01000,5258300
1486132200,44.32000,44.53000,44.00000,44.36000,5238700
1486391400,44.35000,44.49000,43.91000,44.01000,4567100
1486477800,44.04000,44.14000,43.83000,43.93000,7063200
1486564200,43.59000,45.23000,43.58000,44.47000,15334500
1486650600,44.60000,45.21000,44.49000,44.70000,11048800
1486737000,44.80000,45.30000,44.61000,44.99000,9971200
1486996200,45.07000,45.17000,44.40000,45.03000,6873100
1487082600,45.01000,45.17000,44.72000,44.99000,5640700
1487169000,44.79000,45.48000,44.50000,45.37000,5831900
1487255400,45.23000,45.29000,43.02000,43.20000,20664000
1487341800,41.86000,42.91000,41.30000,42.50000,29197400
1487687400,44.26000,45.04000,43.94000,44.97000,17097600
1487773800,44.61000,44.85000,44.33000,44.65000,8174900
1487860200,44.69000,45.12000,44.17000,44.89000,6280300
1487946600,44.98000,45.39000,44.86000,45.38000,5972200
1488205800,44.74000,44.75000,43.73000,43.77000,9277300
1488292200,43.85000,44.08000,43.65000,43.92000,8218900
1488378600,44.16000,44.40000,43.93000,44.04000,11534800
1488465000,44.23000,44.23000,43.72000,43.78000,7334000
1488551400,43.85000,43.90000,43.47000,43.73000,5758800
1488810600,43.42000,43.84000,43.34000,43.65000,5435700
1488897000,43.48000,43.70000,43.18000,43.23000,7799000
1488983400,43.22000,43.43000,43.08000,43.14000,7231200
1489069800,43.27000,43.93000,43.11000,43.80000,7432300
1489156200,44.00000,44.02000,43.72000,43.85000,7144600
1489411800,43.74000,44.24000,43.55000,44.21000,5812100
1489498200,44.13000,44.27000,43.82000,43.86000,9841200
1489584600,44.12000,44.96000,44.01000,44.55000,7940500
1489671000,44.55000,44.90000,44.32000,44.88000,6882600
1489757400,45.06000,45.12000,44.66000,44.75000,15067000
1490016600,44.64000,44.71000,44.28000,44.44000,6801100
1490103000,44.51000,44.54000,44.06000,44.10000,6383900
