time,open,high,low,close,tick_volume
1472477400,124.35000,126.73000,124.35000,126.54000,15925900
1472563800,126.60000,126.60000,125.15000,125.84000,17804300
1472650200,125.60000,126.22000,125.10000,126.12000,14200600
1472736600,126.38000,126.63000,125.60000,126.17000,13536100
1472823000,126.85000,126.86000,126.00000,126.51000,12118800
1473168600,126.67000,129.94000,126.47000,129.73000,26278400
1473255000,130.03999,131.98000,129.95000,131.05000,27990800
1473341400,130.92000,131.08000,129.81000,130.27000,15676600
1473427800,129.71001,129.95000,127.10000,127.10000,27100700
1473687000,125.96000,128.75999,125.75000,128.69000,21252800
1473773400,128.03000,128.35001,126.66000,127.21000,18016200
1473859800,126.89000,128.80000,126.89000,127.77000,15691100
1473946200,127.98000,129.10001,127.67000,128.35001,15077200
1474032600,128.20000,129.17999,128.20000,129.07001,24119200
1474291800,129.91000,129.94000,128.25999,128.64999,14958800
1474378200,128.64999,129.17000,128.03000,128.64000,11083800
1474464600,129.13000,130.00999,128.39000,129.94000,14068300
1474551000,130.50000,130.73000,129.56000,130.08000,15538300
1474637400,127.56000,128.60001,127.30000,127.96000,28326300
1474896600,127.37000,128.16000,126.80000,127.31000,15064900
1474983000,127.61000,129.00999,127.43000,128.69000,15637100
1475069400,129.21001,129.47000,128.39999,129.23000,12047600
1475155800,129.17999,129.28999,127.55000,128.09000,14532200
1475242200,128.03000,128.59000,127.45000,128.27000,18402900
1475501400,128.38000,129.09000,127.80000,128.77000,13156900
1475587800,129.17000,129.28000,127.55000,128.19000,14307500
1475674200,128.25000,128.80000,127.83000,128.47000,12386800
1475760600,128.42999,129.06000,128.08000,128.74001,11682700
1475847000,129.03999,129.25000,128.33000,128.99001,12804400
1476106200,129.67999,130.70000,129.20000,130.24001,15138700
1476192600,130.23000,130.64000,128.23000,128.88000,17537900
1476279000,129.00999,129.66000,128.46001,129.05000,11073000
1476365400,128.21001,128.25000,126.75000,127.82000,17139300
1476451800,128.49001,128.95000,127.58000,127.88000,13345300
1476711000,128.20000,128.47000,127.32000,127.54000,11351700
1476797400,128.67999,129.39000,128.00999,128.57001,13504000
1476883800,128.74001,130.47000,128.60001,130.11000,16752300
1476970200,130.07001,130.66000,129.50000,130.00000,13167500
1477056600,129.78000,132.13000,129.70000,132.07001,19088800
1477315800,132.72000,133.41000,132.14999,133.28000,17470200
1477402200,133.50000,133.50000,132.22000,132.28999,13336800
1477488600,131.64000,132.25999,130.94000,131.03999,13084700
1477575000,131.74001,131.80000,129.27000,129.69000,16741400
1477661400,130.50000,132.97000,129.92999,131.28999,24545500
1477920600,132.00999,132.12000,130.88000,130.99001,15669000
1478007000,131.41000,131.94000,128.64999,129.50000,22077800
1478093400,130.23000,130.23000,126.28000,127.17000,39640900
1478179800,122.00000,123.28000,119.50000,120.00000,63766300
1478266200,119.59000,121.93000,119.25000,120.75000,30545500
1478529000,122.83000,123.21000,121.35000,122.15000,23008900
1478615400,122.03000,124.61000,121.54000,124.22000,19460800
1478701800,121.50000,123.81000,120.51000,123.18000,31916000
1478788200,123.93000,124.18000,115.27000,120.80000,67846700
1478874600,119.53000,120.70000,118.15000,119.02000,32840100
1479133800,119.13000,119.13000,113.55000,115.08000,51377000
1479220200,116.73000,118.49000,115.83000,117.20000,34681400
1479306600,114.48000,117.88000,114.21000,116.34000,32397900
1479393000,116.81000,117.79000,116.01000,117.79000,18597800
1479479400,118.39000,119.13000,116.84000,117.02000,22879300
1479738600,118.20000,121.95000,117.80000,121.77000,35415400
1479825000,122.40000,122.98000,120.90000,121.47000,26089200
1479911400,121.23000,121.31000,119.94000,120.84000,15672100
1480084200,121.01000,121.14000,120.07000,120.38000,8658600
1480343400,120.12000,121.69000,119.82000,120.41000,18101300
1480429800,120.57000,122.10000,120.40000,120.87000,18891000
1480516200,120.32000,121.79000,117.95000,118.42000,30188900
1480602600,118.38000,118.45000,114.00000,115.10000,43277000
1480689000,115.11000,116.48000,114.30000,115.40000,25070400
1480948200,115.95000,117.57000,115.07000,117.43000,20201500
1481034600,117.69000,117.80000,116.33000,117.31000,19131200
1481121000,117.00000,117.95000,116.57000,117.95000,21913700
1481207400,117.98000,119.50000,117.64000,118.91000,22442800
1481293800,119.22000,119.94000,118.95000,119.68000,17464700
1481553000,119.22000,119.24000,117.65000,117.77000,17805500
1481639400,117.86000,121.52000,117.61000,120.31000,29768000
1481725800,120.00000,121.69000,118.85000,120.21000,25913100
1481812200,120.08000,122.50000,119.63000,120.57000,20139600
1481898600,120.90000,121.50000,119.27000,119.87000,25324300
1482157800,119.85000,120.36000,118.51000,119.24000,15918100
1482244200,119.50000,119.77000,118.80000,119.09000,13684400
1482330600,118.92000,119.20000,118.48000,119.04000,10767600
1482417000,118.86000,118.99000,116.93000,117.40000,16258600
1482503400,117.00000,117.56000,116.30000,117.27000,10890000
1482849000,116.96000,118.68000,116.86000,118.01000,12051500
1482935400,118.19000,118.25000,116.65000,116.92000,12087400
1483021800,117.00000,117.53000,116.06000,116.35000,9934900
1483108200,116.60000,116.83000,114.77000,115.05000,18684100
1483453800,116.03000,117.84000,115.51000,116.86000,20663900
1483540200,117.55000,119.66000,117.29000,118.69000,19630900
1483626600,118.86000,120.95000,118.32000,120.67000,19492200
1483713000,120.98000,123.88000,120.03000,123.41000,28545300
1483972200,123.55000,125.43000,123.04000,124.90000,22880400
1484058600,124.82000,125.50000,124.28000,124.35000,17324600
1484145000,124.35000,126.12000,124.06000,126.09000,18356500
1484231400,125.61000,126.73000,124.80000,126.62000,18653900
1484317800,127.49000,129.27000,127.37000,128.34000,24884300
1484663400,128.03999,128.34000,127.40000,127.87000,15294500
1484749800,128.41000,128.42999,126.84000,127.92000,13145900
1484836200,128.23000,128.35001,127.45000,127.55000,12195500
1484922600,128.10001,128.48000,126.78000,127.04000,19097200
1485181800,127.31000,129.25000,126.95000,128.92999,16593600
1485268200,129.38000,129.89999,128.38000,129.37000,15162700
1485354600,130.00000,131.74001,129.77000,131.48000,18731300
1485441000,131.63000,133.14000,131.44000,132.78000,20020100
1485527400,132.67999,132.95000,131.08000,132.17999,19539500
1485786600,131.58000,131.58000,129.60001,130.98000,18956100
1485873000,130.17000,130.66000,129.52000,130.32001,19790500
1485959400,132.25000,133.49001,130.67999,133.23000,50139800
1486045800,133.22000,135.49001,130.39999,130.84000,54366400
1486132200,131.24001,132.85001,130.75999,130.98000,24804900
1486391400,130.98000,132.06000,130.30000,132.06000,17058500
1486477800,132.24001,133.00000,131.66000,131.84000,14596400
1486564200,132.60001,134.44000,132.44000,134.20000,22390600
1486650600,134.49001,134.50000,133.31000,134.14000,16470600
1486737000,134.10001,134.94000,133.67999,134.19000,15061900
1486996200,134.70000,134.70000,133.70000,134.05000,13526200
1487082600,134.10001,134.23000,132.55000,133.85001,14364900
1487169000,133.45000,133.70000,132.66000,133.44000,13226500
1487255400,133.07001,133.87000,133.02000,133.84000,12831100
1487341800,133.50000,134.09000,133.17000,133.53000,12276500
1487687400,133.50000,133.91000,132.89999,133.72000,14759100
1487773800,133.60001,136.78999,133.46001,136.12000,27360100
1487860200,135.89000,136.12000,134.33000,135.36000,18422500
1487946600,134.16000,135.62000,134.16000,135.44000,12625700
1488205800,135.25999,137.17999,135.02000,136.41000,14306700
1488292200,136.78999,136.81000,134.75000,135.53999,16112100
1488378600,136.47000,137.48000,136.30000,137.42000,16257000
1488465000,137.09000,137.82001,136.31000,136.75999,12294800
1488551400,136.63000,137.33000,136.08000,137.17000,11160600
1488810600,136.88000,137.83000,136.50999,137.42000,12748200
1488897000,137.03000,138.37000,136.99001,137.30000,13527100
1488983400,137.14999,137.99001,137.05000,137.72000,10184500
1489069800,137.72000,138.57001,137.39999,138.24001,15535300
1489156200,138.91000,139.49001,138.22000,138.78999,16314100
1489411800,138.71001,139.67999,138.67000,139.60001,10955500
1489498200,139.46001,139.46001,138.52000,139.32001,12944000
1489584600,139.28999,140.10001,138.49001,139.72000,19344800
1489671000,140.20000,140.25000,139.73000,139.99001,13612900
1489757400,140.34000,140.34000,139.70000,139.84000,20592800
1490016600,139.71001,140.19000,139.25000,139.94000,12099500
1490103000,141.14999,142.31000,138.39999,138.50999,29894800
1490189400,137.92999,139.78999,137.60001,139.59000,17055400
1490275800,139.48000,140.39000,139.09000,139.53000,13022800
1490362200,140.08000,141.02000,139.75999,140.34000,16664700
1490621400,139.05000,140.64999,138.77000,140.32001,12800500
1490707800,140.36000,141.95000,140.00999,141.75999,14679400
1490794200,141.99001,142.86000,141.42999,142.64999,16527600
1490880600,142.39999,142.95000,141.85001,142.41000,12404000
1490967000,142.31000,142.63000,141.89000,142.05000,11478300
1491226200,141.92999,142.47000,140.82001,142.28000,13564000
1491312600,141.86000,142.09000,141.27000,141.73000,12948600
1491399000,142.25999,143.44000,141.28999,141.85001,17158100
1491485400,142.11000,142.22000,140.91000,141.17000,15103400
1491571800,141.20000,141.55000,140.24001,140.78000,11818300
1491831000,141.00000,141.42999,140.63000,141.03999,9039400
1491917400,140.80000,141.03000,138.81000,139.92000,16638100
1492003800,139.72000,140.39999,139.44000,139.58000,11612500
1492090200,139.62000,140.58000,139.33000,139.39000,10965600
1492435800,139.75999,141.55000,139.75000,141.42000,11519700
1492522200,141.27000,141.91000,140.61000,140.96001,14807500
1492608600,141.35001,143.03999,141.27000,142.27000,15563900
1492695000,142.95000,144.25000,142.69000,143.80000,15968200
1492781400,143.89999,144.17000,142.27000,143.67999,12382000
1493040600,144.96001,145.67000,144.34000,145.47000,14407200
1493127000,145.78999,147.14999,145.78999,146.49001,17767500
1493213400,147.09000,147.59000,146.09000,146.56000,12395000
1493299800,146.67000,147.75000,146.14000,147.70000,11275100
1493386200,149.50000,151.53000,149.07001,150.25000,30652200
1493645400,151.74001,152.57001,151.42000,152.46001,25218300
1493731800,153.34000,153.44000,151.66000,152.78000,21870400
1493818200,153.60001,153.60001,151.34000,151.80000,29782500
1493904600,150.17000,151.52000,148.72000,150.85001,36225500
1493991000,151.45000,151.63000,149.78999,150.24001,17148500
1494250200,150.71001,151.08000,149.74001,151.06000,15827500
1494336600,151.49001,152.59000,150.21001,150.48000,17453900
1494423000,150.23000,150.52000,148.86000,150.28999,12080700
1494509400,150.31000,150.64999,149.41000,150.03999,11841900
1494595800,150.39999,150.46001,149.63000,150.33000,9598200
1494855000,150.17000,151.48000,149.77000,150.19000,15064700
1494941400,150.11000,150.21001,149.03000,149.78000,14550800
1495027800,148.00000,148.67000,144.42000,144.85001,28300100
1495114200,144.72000,148.14999,144.50999,147.66000,23031600
1495200600,148.45000,149.39000,147.96001,148.06000,16187900
1495459800,148.08000,148.59000,147.69000,148.24001,12586700
1495546200,148.52000,148.81000,147.25000,148.07001,12817800
1495632600,148.50999,150.23000,148.42000,150.03999,17862400
1495719000,150.30000,152.59000,149.95000,151.96001,19891400
1495805400,152.23000,152.25000,151.14999,152.13000,14996200
1496151000,151.97000,152.89999,151.64000,152.38000,13226000
1496237400,152.70000,153.35001,151.09000,151.46001,18023900
1496323800,151.75000,152.28999,150.30000,151.53000,14530600
