time,open,high,low,close,tick_volume
1472477400,30.52000,30.80000,30.52000,30.60000,234325
1472563800,30.68000,30.68000,30.44000,30.56000,279675
1472650200,30.56000,30.88000,30.40000,30.88000,539775
1472736600,30.88000,30.88000,30.52000,30.80000,355525
1472823000,30.88000,31.24000,30.84000,31.16000,317400
1473168600,30.92000,31.16000,30.80000,31.12000,476675
1473255000,31.08000,31.36000,30.92000,31.36000,437800
1473341400,31.36000,31.36000,31.16000,31.20000,290225
1473427800,31.16000,31.20000,30.12000,30.16000,424800
1473687000,30.00000,30.40000,29.72000,30.20000,1269875
1473773400,30.20000,30.20000,29.88000,29.88000,363600
1473859800,29.88000,30.20000,29.76000,29.88000,325375
1473946200,29.88000,30.28000,29.72000,30.24000,313650
1474032600,30.08000,30.12000,29.68000,29.80000,814050
1474291800,29.92000,30.28000,29.92000,30.20000,336600
1474378200,30.28000,30.32000,30.12000,30.12000,352625
1474464600,30.28000,30.48000,30.00000,30.40000,411325
1474551000,30.64000,31.04000,30.48000,31.00000,493800
1474637400,30.96000,31.04000,30.68000,30.72000,489475
1474896600,29.92000,30.36000,29.84000,30.04000,595800
1474983000,30.12000,30.36000,30.08000,30.08000,373900
1475069400,30.20000,30.24000,29.84000,30.12000,427300
1475155800,30.16000,30.16000,29.60000,29.84000,630925
1475242200,29.96000,30.16000,29.80000,29.92000,476425
1475501400,29.96000,30.00000,29.40000,29.40000,380900
1475587800,29.36000,29.48000,28.60000,28.60000,649925
1475674200,28.64000,28.72000,28.40000,28.40000,452475
1475760600,28.28000,28.56000,28.16000,28.28000,454675
1475847000,28.32000,28.52000,28.12000,28.32000,516300
1476106200,28.36000,29.00000,28.36000,28.76000,509050
1476192600,28.72000,28.96000,28.60000,28.92000,621425
1476279000,28.92000,29.24000,28.76000,29.00000,395025
1476365400,29.00000,29.32000,28.88000,29.20000,376800
1476451800,29.24000,29.24000,28.80000,28.84000,386550
1476711000,28.92000,28.96000,28.68000,28.72000,232950
1476797400,28.80000,29.20000,28.68000,29.16000,358450
1476883800,29.20000,29.32000,28.96000,29.12000,358150
1476970200,29.20000,29.20000,28.88000,29.08000,178900
1477056600,29.04000,29.28000,28.92000,29.16000,305800
1477315800,29.24000,29.48000,29.12000,29.48000,296950
1477402200,29.48000,29.84000,29.48000,29.84000,232075
1477488600,29.84000,29.88000,29.60000,29.68000,319125
1477575000,29.68000,29.68000,29.24000,29.32000,299250
1477661400,29.24000,29.52000,29.00000,29.20000,237150
1477920600,29.16000,29.40000,29.04000,29.24000,427300
1478007000,29.28000,29.48000,28.84000,28.88000,407525
1478093400,28.96000,29.08000,28.68000,28.76000,322900
1478179800,28.88000,29.44000,28.84000,29.24000,455550
1478266200,29.36000,29.72000,29.28000,29.52000,446300
1478529000,29.76000,29.92000,29.52000,29.60000,374900
1478615400,29.64000,29.92000,29.52000,29.76000,400875
1478701800,29.08000,29.88000,28.88000,29.48000,588400
1478788200,29.44000,29.60000,29.04000,29.04000,553550
1478874600,28.96000,29.56000,28.96000,29.32000,372650
1479133800,29.36000,29.56000,29.28000,29.48000,531475
1479220200,29.48000,29.84000,29.24000,29.76000,691350
1479306600,29.72000,30.12000,29.36000,29.40000,747325
1479393000,29.28000,30.08000,29.28000,29.92000,770950
1479479400,29.88000,30.64000,29.88000,30.56000,813975
1479738600,30.76000,31.24000,30.68000,31.08000,821425
1479825000,31.24000,31.44000,31.04000,31.24000,872975
1479911400,31.20000,31.32000,30.88000,30.96000,401875
1480084200,31.00000,31.28000,30.96000,31.16000,297975
1480343400,31.16000,31.48000,31.16000,31.36000,359450
1480429800,31.40000,31.84000,31.28000,31.40000,643475
1480516200,31.28000,31.40000,31.08000,31.28000,657700
1480602600,31.24000,31.36000,30.60000,30.64000,609125
1480689000,30.68000,31.00000,30.44000,30.60000,665050
1480948200,30.52000,31.04000,30.52000,30.92000,589275
1481034600,31.08000,31.08000,30.68000,30.68000,2249000
1481121000,30.80000,31.32000,30.72000,31.12000,1205800
1481207400,31.24000,31.72000,31.08000,31.60000,1202975
1481293800,31.64000,32.20000,31.56000,32.04000,893350
1481553000,32.00000,32.16000,31.40000,31.52000,539825
1481639400,31.52000,31.60000,30.92000,31.00000,668625
1481725800,31.00000,31.16000,30.52000,30.64000,562125
1481812200,30.56000,30.64000,30.12000,30.24000,557325
1481898600,30.44000,31.08000,30.36000,30.84000,822425
1482157800,30.96000,31.56000,30.96000,31.52000,510675
1482244200,31.44000,31.60000,31.20000,31.40000,425425
1482330600,31.40000,31.84000,31.28000,31.64000,673500
1482417000,31.68000,31.76000,31.36000,31.72000,663725
1482503400,30.84000,30.96000,30.48000,30.56000,499700
1482849000,30.56000,30.68000,30.36000,30.40000,335550
1482935400,30.40000,30.64000,30.24000,30.40000,455925
1483021800,30.36000,30.72000,30.32000,30.64000,382250
1483108200,30.68000,30.76000,30.40000,30.52000,275150
1483453800,30.60000,31.08000,30.52000,31.04000,388525
1483540200,31.16000,31.60000,31.12000,31.60000,635800
1483626600,31.60000,31.72000,31.40000,31.72000,598650
1483713000,31.68000,31.84000,31.52000,31.76000,475100
1483972200,31.76000,31.76000,31.12000,31.20000,670700
1484058600,31.28000,31.52000,31.00000,31.24000,1141075
1484145000,31.24000,31.60000,31.12000,31.20000,958125
1484231400,31.16000,31.24000,30.92000,31.04000,1033325
1484317800,31.12000,31.48000,30.92000,31.32000,522625
1484663400,31.44000,31.60000,31.20000,31.28000,331300
1484749800,31.28000,31.52000,31.16000,31.40000,345075
1484836200,31.44000,31.52000,31.12000,31.32000,334175
1484922600,31.32000,31.52000,31.20000,31.52000,234275
1485181800,31.60000,31.80000,31.44000,31.76000,297375
1485268200,31.80000,31.80000,31.48000,31.60000,373575
1485354600,31.68000,31.68000,31.44000,31.60000,345550
1485441000,31.68000,31.72000,31.48000,31.56000,476400
1485527400,31.64000,31.64000,31.28000,31.48000,245950
1485786600,31.40000,31.52000,31.20000,31.44000,344350
1485873000,31.32000,31.68000,30.68000,31.56000,1141650
1485959400,31.60000,31.92000,31.44000,31.56000,830300
1486045800,31.60000,31.84000,31.52000,31.80000,430075
1486132200,31.92000,32.12000,31.80000,31.96000,485725
1486391400,31.96000,32.32000,31.92000,32.20000,388475
1486477800,32.08000,32.28000,32.00000,32.16000,403425
1486564200,31.88000,32.20000,31.80000,32.12000,630775
1486650600,32.16000,32.36000,32.00000,32.04000,1227450
1486737000,32.16000,32.32000,32.08000,32.24000,423025
1486996200,32.36000,32.40000,32.08000,32.12000,461850
1487082600,32.24000,32.24000,31.84000,32.08000,366025
1487169000,32.00000,32.16000,31.68000,32.16000,610250
1487255400,31.84000,32.56000,31.84000,32.16000,599550
1487341800,32.16000,32.20000,31.80000,31.92000,447775
1487687400,32.08000,32.12000,31.80000,32.08000,403700
1487773800,31.96000,32.20000,31.92000,32.00000,395125
1487860200,32.12000,32.24000,32.04000,32.16000,465075
1487946600,32.16000,32.32000,31.96000,32.16000,323400
1488205800,32.08000,32.28000,32.08000,32.12000,439075
1488292200,32.08000,32.24000,32.00000,32.08000,727650
1488378600,32.12000,32.52000,32.04000,32.24000,578575
1488465000,32.28000,32.36000,32.12000,32.28000,328100
1488551400,32.24000,32.40000,32.12000,32.40000,255850
1488810600,32.32000,32.36000,32.20000,32.32000,333500
1488897000,32.12000,32.44000,32.12000,32.24000,241550
1488983400,32.24000,32.28000,31.60000,31.60000,574625
1489069800,31.60000,31.92000,31.48000,31.60000,443425
1489156200,31.68000,32.00000,31.68000,31.96000,360300
1489411800,32.04000,32.16000,31.72000,31.80000,329700
1489498200,31.80000,31.88000,31.56000,31.60000,441225
1489584600,31.68000,32.20000,31.64000,32.04000,526450
1489671000,32.16000,32.20000,31.84000,32.04000,331075
1489757400,32.04000,32.44000,32.04000,32.36000,667475
1490016600,32.48000,32.56000,32.28000,32.32000,359500
1490103000,32.32000,32.48000,32.08000,32.28000,531275
1490189400,32.32000,32.52000,32.24000,32.48000,354150
1490275800,32.52000,32.72000,32.44000,32.60000,485400
1490362200,32.56000,32.64000,32.24000,32.28000,556600
1490621400,31.60000,31.80000,31.32000,31.72000,597775
1490707800,31.72000,31.96000,31.72000,31.84000,526275
1490794200,31.92000,32.28000,31.88000,32.24000,481500
1490880600,32.20000,32.36000,32.12000,32.20000,322800
1490967000,32.28000,32.44000,32.16000,32.32000,444500
1491226200,32.32000,32.48000,32.20000,32.44000,495250
1491312600,32.40000,32.68000,32.32000,32.56000,486900
1491399000,32.60000,32.68000,32.20000,32.20000,476575
1491485400,32.24000,32.52000,32.08000,32.52000,268400
1491571800,32.56000,32.56000,32.24000,32.32000,315225
1491831000,32.32000,32.48000,32.24000,32.32000,528225
1491917400,32.32000,32.72000,32.24000,32.52000,386150
1492003800,32.56000,32.60000,32.36000,32.44000,257100
1492090200,32.48000,32.68000,32.40000,32.56000,319625
1492435800,32.52000,32.80000,32.52000,32.80000,339275
1492522200,32.80000,32.88000,32.44000,32.72000,317600
1492608600,32.76000,32.80000,32.40000,32.52000,336050
1492695000,32.60000,32.76000,32.28000,32.52000,309450
1492781400,32.64000,32.80000,32.52000,32.68000,351175
1493040600,32.76000,33.04000,32.52000,32.88000,433750
1493127000,32.96000,33.24000,32.88000,33.20000,499800
1493213400,33.20000,33.72000,33.16000,33.72000,556475
1493299800,33.72000,34.08000,33.60000,34.00000,618950
1493386200,33.92000,34.04000,33.08000,33.24000,751325
1493645400,33.36000,33.64000,33.28000,33.60000,319525
1493731800,33.40000,33.48000,33.12000,33.24000,395250
1493818200,33.28000,33.28000,32.84000,33.00000,378625
1493904600,33.20000,33.48000,32.40000,32.72000,530850
1493991000,31.24000,32.00000,31.20000,31.68000,5279475
1494250200,31.92000,32.16000,31.84000,31.96000,1262125
1494336600,31.96000,32.16000,31.68000,31.84000,1150450
1494423000,31.76000,32.32000,31.72000,32.12000,1020375
1494509400,32.08000,32.32000,31.92000,32.16000,660300
1494595800,32.12000,32.48000,32.12000,32.28000,653350
1494855000,32.28000,32.56000,32.20000,32.20000,449650
1494941400,32.28000,32.52000,32.20000,32.48000,538550
1495027800,32.36000,32.48000,32.20000,32.36000,519825
1495114200,32.40000,32.68000,32.24000,32.48000,457250
1495200600,32.48000,32.68000,32.40000,32.48000,492325
1495459800,32.52000,32.96000,32.48000,32.84000,384675
1495546200,32.84000,33.20000,32.80000,33.08000,309825
1495632600,33.08000,33.28000,33.00000,33.28000,365500
1495719000,33.32000,33.60000,33.16000,33.24000,460750
1495805400,33.20000,33.36000,33.00000,33.32000,227700
1496151000,33.24000,33.32000,33.04000,33.16000,192800
1496237400,33.20000,33.32000,32.84000,33.28000,407275
1496323800,33.28000,33.44000,33.16000,33.36000,727575
1496410200,33.36000,33.80000,33.24000,33.32000,529325
1496669400,33.28000,33.36000,32.96000,33.00000,549200
1496755800,33.08000,33.24000,32.84000,33.04000,383950
1496842200,33.00000,33.32000,33.00000,33.24000,477000
1496928600,33.20000,33.80000,33.12000,33.72000,549700
1497015000,33.64000,33.88000,33.60000,33.84000,264025
1497274200,33.92000,34.00000,33.60000,33.72000,407575
1497360600,33.72000,34.12000,33.72000,34.08000,421975
1497447000,34.08000,34.36000,34.04000,34.32000,1004725
1497533400,34.16000,34.32000,34.04000,34.16000,382250
1497619800,34.08000,34.32000,33.96000,34.32000,1749800
1497879000,34.40000,34.56000,34.24000,34.52000,664650
1497965400,34.52000,34.56000,34.28000,34.44000,315775
1498051800,34.48000,34.64000,34.08000,34.08000,650875
1498138200,34.12000,34.20000,33.96000,34.08000,765875
1498224600,34.08000,34.36000,33.96000,34.20000,901175
1498483800,34.24000,34.52000,34.20000,34.44000,482300
1498570200,33.60000,33.72000,33.32000,33.40000,633500
