time,open,high,low,close,tick_volume
1472477400,26.08833,26.17667,25.86333,25.99000,4269000
1472563800,25.97500,26.01833,25.52167,25.63500,5248200
1472650200,25.66167,25.74833,25.48833,25.64833,6022800
1472736600,25.72167,25.86333,25.48333,25.72167,4079400
1472823000,25.78667,25.91833,25.52167,25.64167,3489000
1473168600,25.60500,25.65333,25.29167,25.64500,8449800
1473255000,25.64000,25.69667,25.31333,25.36167,3820200
1473341400,25.34333,25.41667,25.17500,25.35333,5379000
1473427800,25.09167,25.35333,24.58667,24.59167,7888200
1473687000,24.52667,24.86500,24.38500,24.71667,6745800
1473773400,24.52500,24.53667,23.91167,23.98667,9349200
1473859800,23.94833,24.19333,23.71833,23.81667,5682000
1473946200,23.86500,24.52833,23.77500,24.39167,11277000
1474032600,24.31667,24.48333,24.13833,24.38500,13794600
1474291800,24.46833,24.64000,24.30000,24.57333,5796000
1474378200,24.64000,24.72167,24.46333,24.51667,4489800
1474464600,24.50000,24.60000,24.25000,24.51667,5172000
1474551000,24.66500,24.91333,24.62667,24.82333,3766200
1474637400,24.87500,24.93667,24.72000,24.74667,3256200
1474896600,24.64333,24.74333,24.41667,24.60000,2916600
1474983000,24.57333,24.75667,24.54333,24.62667,3381000
1475069400,24.72500,24.79000,24.40333,24.47167,2845800
1475155800,24.45667,24.45833,24.14333,24.22833,3885000
1475242200,24.36000,24.58167,24.22833,24.46833,4328400
1475501400,24.34333,24.37000,24.17667,24.29833,2682600
1475587800,24.43500,24.47667,24.17500,24.21667,3397800
1475674200,24.30833,24.39833,24.15167,24.20667,6526800
1475760600,24.16833,24.59000,24.16667,24.45667,3106800
1475847000,24.51833,24.51833,24.10500,24.30667,3878400
1476106200,24.33167,24.48333,24.30000,24.37000,2413200
1476192600,24.36167,24.36167,23.79333,23.85333,5042400
1476279000,23.86833,24.21333,23.76000,24.19333,3522000
1476365400,24.10333,24.39500,23.99500,24.33000,3970800
1476451800,23.96667,24.52667,23.46333,24.18000,7814400
1476711000,24.16667,24.17500,23.83667,24.05000,3718800
1476797400,24.22333,24.76833,24.22333,24.45333,4827600
1476883800,24.50000,24.67833,24.37167,24.58167,3218400
1476970200,24.65000,24.71167,24.35333,24.43500,3459000
1477056600,24.46833,24.56167,24.22833,24.54333,3381000
1477315800,24.69000,25.31500,24.67833,25.02000,6842400
1477402200,25.05167,25.17000,24.91500,24.96833,3376800
1477488600,24.98167,24.98167,24.34167,24.35000,3849600
1477575000,24.41333,24.41500,23.83167,23.88333,5599200
1477661400,23.88000,24.12833,23.88000,23.98667,5484600
1477920600,24.01000,24.17833,23.87333,24.05667,4535400
1478007000,24.35833,24.42833,23.82167,23.93833,4614600
1478093400,23.99000,24.37333,23.99000,24.04833,4927800
1478179800,24.13500,24.16500,23.31667,23.36833,9057000
1478266200,21.75500,23.15167,21.08333,22.53833,36476400
1478529000,22.75833,22.78500,22.27333,22.69000,8246400
1478615400,22.70833,22.83167,22.40500,22.66667,5959800
1478701800,21.92500,22.50500,21.66833,22.09833,10206600
1478788200,22.39000,22.43000,21.15000,21.16500,7230600
1478874600,21.19500,21.33000,20.71500,20.96000,5676400
1479133800,20.89500,21.15000,20.32000,20.43500,8057000
1479220200,20.51000,20.92500,20.43000,20.81000,9331800
1479306600,20.76500,21.27000,20.73500,21.03000,7788200
1479393000,21.01000,21.17000,20.75500,20.98500,7280000
1479479400,20.87000,21.00000,20.80500,20.84000,5534600
1479738600,20.81500,21.85500,20.77500,21.79500,18131200
1479825000,21.86500,22.82500,21.79500,22.63000,13816600
1479911400,22.51000,22.82000,22.30500,22.37000,5981800
1480084200,22.36500,22.51500,22.31500,22.42500,2658200
1480343400,22.38500,22.73500,22.34000,22.64500,7403800
1480429800,22.63500,22.87000,22.54000,22.64000,7970600
1480516200,22.61500,22.64500,22.27500,22.37500,7934600
1480602600,22.25000,22.40000,21.76500,21.82000,8284400
1480689000,22.50000,22.50000,21.72000,22.22000,6165600
1480948200,22.74000,22.74000,22.21500,22.44500,5219000
1481034600,22.44000,22.49000,21.92500,22.18500,5570600
1481121000,22.18500,22.38000,22.12500,22.23500,5542400
1481207400,22.18500,22.26500,21.50000,21.52500,5759200
1481293800,21.53500,22.11000,21.53000,22.02000,5057200
1481553000,21.92500,22.25000,21.92500,22.13500,3965400
1481639400,22.08000,22.60000,21.94500,22.50000,5259000
1481725800,22.49500,22.55000,21.90000,22.01000,4069600
1481812200,21.90500,22.28000,21.87500,22.14500,3121200
1481898600,22.14000,22.37500,21.95500,22.25000,7848800
1482157800,22.20000,22.25000,21.84500,21.93500,4398600
1482244200,21.95500,22.00000,21.73000,21.77000,5104000
1482330600,22.64000,22.88500,22.18500,22.68500,8610200
1482417000,22.75500,22.79500,22.24500,22.65000,4580200
1482503400,22.52500,23.01000,22.51500,22.78500,4020800
1482849000,22.80000,23.04500,22.57000,22.76500,3449000
1482935400,22.81500,22.81500,22.35000,22.45500,3342200
