time,open,high,low,close,tick_volume
1472477400,54.31000,54.32000,53.76000,54.10000,600900
1472563800,53.98000,54.34000,53.77000,54.32000,758100
1472650200,54.41000,54.57000,53.05000,53.81000,447600
1472736600,53.67000,54.13000,52.78000,53.54000,486800
1472823000,53.64000,55.33000,53.06000,55.33000,1285500
1473168600,55.23000,56.36000,54.44000,55.00000,1020700
1473255000,55.00000,57.23000,55.00000,56.94000,893200
1473341400,55.00000,57.75000,55.00000,57.09000,1464400
1473427800,56.68000,57.06000,55.96000,56.29000,765300
1473687000,56.05000,56.50000,55.51000,56.43000,689000
1473773400,56.17000,56.69000,54.50000,54.81000,1109600
1473859800,54.88000,55.29000,54.30000,54.69000,571700
1473946200,54.45000,55.53000,54.13000,55.49000,445500
1474032600,55.49000,56.58000,55.42000,55.74000,699000
1474291800,56.48000,58.15000,56.41000,57.06000,1106200
1474378200,57.41000,57.45000,56.45000,56.84000,413200
1474464600,56.83000,58.44000,56.83000,58.41000,631100
1474551000,58.26000,59.09000,58.26000,58.88000,626200
1474637400,58.76000,59.15000,58.34000,58.72000,599500
1474896600,58.48000,58.63000,57.51000,57.56000,546000
1474983000,57.74000,58.16000,57.22000,58.09000,353600
1475069400,58.25000,58.74000,57.38000,58.19000,257500
1475155800,57.98000,58.45000,57.26000,57.30000,304900
1475242200,57.78000,58.57000,57.09000,58.32000,415000
1475501400,57.91000,57.91000,56.55000,56.73000,436600
1475587800,56.68000,57.31000,56.03000,56.49000,332800
1475674200,56.54000,57.12000,56.54000,57.11000,380800
1475760600,56.83000,57.45000,56.42000,57.37000,292900
1475847000,57.61000,57.75000,56.86000,57.01000,375800
1476106200,56.92000,59.00000,56.92000,58.95000,512500
1476192600,58.60000,58.98000,57.12000,57.53000,884400
1476279000,57.39000,57.74000,56.55000,56.98000,548200
1476365400,56.68000,56.69000,55.69000,56.11000,436500
1476451800,56.44000,56.69000,55.60000,55.98000,598700
1476711000,56.10000,56.46000,55.58000,55.94000,231600
1476797400,57.08000,58.55000,56.77000,57.69000,607700
1476883800,57.68000,58.59000,57.25000,58.47000,712000
1476970200,58.58000,58.85000,58.06000,58.24000,568700
1477056600,57.96000,59.65000,57.75000,59.50000,766400
1477315800,59.83000,60.45000,59.55000,59.60000,1120400
1477402200,59.82000,60.66000,59.05000,59.42000,647500
1477488600,59.18000,59.84000,56.92000,58.02000,862300
1477575000,58.04000,58.74000,57.51000,57.70000,685900
1477661400,54.98000,56.50000,53.59000,54.59000,2575000
1477920600,55.22000,55.33000,54.14000,54.41000,909800
1478007000,54.52000,54.67000,53.44000,53.94000,757000
