time,open,high,low,close,tick_volume
1472477400,33.38000,33.93000,33.23000,33.55000,397700
1472563800,33.55000,34.00000,33.13000,33.68000,942400
1472650200,33.41000,33.67000,32.59000,33.13000,1038500
1472736600,33.03000,33.45000,32.51000,33.40000,629700
1472823000,33.55000,33.80000,33.18000,33.50000,460800
1473168600,33.72000,33.93000,33.43000,33.64000,634800
1473255000,33.73000,34.08000,33.30000,33.94000,1011800
1473341400,34.25000,34.36000,33.88000,34.22000,1041000
1473427800,33.94000,34.10000,32.92000,32.93000,1085600
1473687000,32.66000,33.08000,32.45000,32.75000,1207900
1473773400,32.22000,32.59000,31.95000,32.10000,1536600
1473859800,31.96000,32.49000,31.64000,31.90000,1824100
1473946200,31.99000,32.20000,31.67000,31.93000,1708400
1474032600,31.60000,32.36000,31.60000,32.31000,1059900
1474291800,32.54000,32.80000,32.00000,32.30000,1062100
1474378200,32.22000,32.33000,31.74000,31.85000,767000
1474464600,32.15000,32.74000,32.02000,32.70000,670200
1474551000,32.99000,33.31000,32.74000,33.03000,873500
1474637400,32.72000,33.41000,32.72000,32.86000,989800
1474896600,33.04000,33.67000,32.65000,32.81000,779700
1474983000,32.48000,32.73000,32.00000,32.32000,604700
1475069400,32.64000,33.17000,32.03000,33.06000,1135100
1475155800,32.97000,33.29000,32.72000,32.80000,517800
1475242200,33.13000,33.89000,32.42000,33.86000,933600
1475501400,33.61000,33.95000,32.65000,32.70000,1068800
1475587800,32.66000,32.67000,31.86000,32.09000,916400
1475674200,32.39000,32.60000,32.05000,32.26000,1137500
1475760600,32.43000,32.43000,31.08000,31.64000,2087700
1475847000,31.80000,31.99000,31.37000,31.49000,1729400
1476106200,31.78000,31.89000,31.28000,31.48000,1465800
1476192600,31.26000,31.42000,30.62000,31.15000,1639500
1476279000,31.00000,31.01000,30.23000,30.36000,1140600
1476365400,30.38000,30.59000,30.14000,30.31000,900600
1476451800,30.42000,30.77000,30.09000,30.68000,1263100
1476711000,30.31000,31.37000,30.31000,31.36000,1312700
1476797400,31.53000,31.77000,31.28000,31.30000,761300
