time,open,high,low,close,tick_volume
1472477400,12.40000,12.60000,12.28000,12.30000,2659700
1472563800,12.27000,12.48000,12.17000,12.30000,3011600
1472650200,12.42000,12.59000,12.29000,12.40000,4895700
1472736600,12.45000,12.88000,12.40000,12.87000,8178900
1472823000,12.96000,13.06000,12.70000,13.01000,7731500
1473168600,12.51000,12.94000,12.13000,12.94000,21742600
1473255000,12.57000,12.82000,12.55000,12.63000,7478100
1473341400,12.59000,12.83000,12.52000,12.55000,6410300
1473427800,12.54000,12.69000,12.09000,12.31000,6891500
1473687000,12.07000,12.54000,12.03000,12.54000,6237200
1473773400,12.42000,12.64000,12.26000,12.45000,4178500
1473859800,12.48000,12.55000,12.25000,12.46000,2831900
1473946200,12.49000,12.70000,12.45000,12.57000,4361900
1474032600,12.95000,12.99000,12.60000,12.74000,9954100
1474291800,12.77000,13.04000,12.77000,12.90000,9254000
1474378200,12.90000,12.94000,12.55000,12.59000,4774700
1474464600,12.70000,12.94000,12.65000,12.92000,5813900
1474551000,12.95000,13.04000,12.84000,12.96000,3400700
1474637400,12.91000,13.12000,12.73000,13.01000,5332000
1474896600,12.90000,13.02000,12.83000,12.87000,6302100
1474983000,12.83000,13.10000,12.77000,13.09000,5479200
1475069400,13.15000,13.45000,13.04000,13.17000,7100700
1475155800,13.18000,13.46000,13.05000,13.24000,6707500
1475242200,13.25000,13.56000,13.25000,13.27000,7375600
1475501400,13.20000,13.33000,13.00000,13.02000,4013100
1475587800,13.07000,13.23000,12.95000,13.02000,3315100
1475674200,13.10000,13.24000,13.09000,13.17000,2248900
1475760600,13.13000,13.20000,12.98000,13.18000,1914400
1475847000,13.16000,13.18000,13.03000,13.11000,2538500
1476106200,13.16000,13.26000,13.08000,13.17000,1666600
1476192600,13.14000,13.20000,12.73000,12.83000,5039800
1476279000,13.16000,13.20000,12.79000,12.94000,4371900
1476365400,12.80000,13.05000,12.58000,13.00000,4670200
1476451800,13.10000,13.20000,12.98000,13.00000,3459100
1476711000,12.92000,13.02000,12.78000,12.87000,3287300
1476797400,13.00000,13.04000,12.94000,13.01000,2187700
1476883800,12.84000,13.02000,12.76000,12.91000,3772700
1476970200,12.91000,13.13000,12.85000,13.05000,3425900
1477056600,12.99000,13.07000,12.84000,12.90000,2681100
1477315800,12.95000,13.08000,12.91000,13.07000,1943300
1477402200,13.10000,13.32000,12.97000,13.16000,3577600
1477488600,13.05000,13.51000,13.05000,13.40000,5967700
1477575000,13.42000,13.61000,13.10000,13.12000,3973300
1477661400,13.54000,13.54000,13.05000,13.10000,7224900
1477920600,13.14000,13.20000,12.96000,13.03000,2958600
1478007000,13.18000,13.23000,12.79000,12.95000,4219200
1478093400,12.95000,13.10000,12.85000,12.94000,3856200
1478179800,12.85000,12.89000,12.41000,12.63000,4594300
1478266200,12.57000,12.68000,12.44000,12.52000,3844000
1478529000,12.69000,12.87000,12.60000,12.85000,4462100
1478615400,12.81000,12.87000,12.68000,12.70000,3028200
1478701800,12.39000,12.78000,12.30000,12.70000,4299400
1478788200,12.83000,12.96000,12.31000,12.49000,4804000
1478874600,12.48000,12.99000,12.48000,12.98000,6270500
1479133800,12.98000,13.24000,12.88000,13.19000,6260900
1479220200,13.31000,13.52000,13.15000,13.43000,4803400
1479306600,13.41000,13.52000,13.36000,13.43000,3933000
1479393000,13.45000,13.58000,13.23000,13.36000,7846000
1479479400,14.63000,14.80000,14.15000,14.80000,25437300
1479738600,14.73000,15.00000,14.67000,14.75000,9770000
1479825000,14.82000,14.88000,14.73000,14.81000,5527500
1479911400,14.75000,14.82000,14.61000,14.69000,3734200
1480084200,14.64000,14.79000,14.61000,14.66000,1412700
1480343400,14.53000,14.70000,14.46000,14.48000,4930400
1480429800,14.44000,14.50000,14.30000,14.38000,3883500
1480516200,14.35000,14.54000,14.30000,14.34000,5543100
1480602600,14.33000,14.46000,13.85000,13.98000,7527900
1480689000,13.86000,14.06000,13.80000,14.02000,4081600
