time,open,high,low,close,tick_volume
1472477400,31.21000,31.60000,31.15000,31.41000,9167800
1472563800,31.41000,32.19000,31.41000,32.19000,13745600
1472650200,32.13000,32.31000,31.72000,32.06000,15561200
1472736600,32.14000,32.37000,31.44000,31.91000,11986500
1472823000,31.96000,32.21000,31.67000,31.89000,12288200
1473168600,31.96000,32.22000,31.55000,31.75000,14191400
1473255000,31.68000,31.94000,31.58000,31.69000,10845000
1473341400,31.70000,32.21000,31.61000,32.04000,12696100
1473427800,31.98000,32.27000,31.59000,31.59000,16493900
1473687000,31.32000,32.32000,31.14000,32.24000,13888100
1473773400,31.69000,32.00000,31.27000,31.46000,13954100
1473859800,31.49000,31.81000,31.31000,31.56000,11687600
1473946200,31.55000,32.14000,31.50000,31.95000,9947900
1474032600,31.67000,31.80000,31.38000,31.59000,14756200
1474291800,31.72000,32.10000,31.52000,31.60000,7806500
1474378200,31.84000,32.00000,31.65000,31.70000,8849000
1474464600,31.84000,32.06000,31.50000,31.92000,10073600
1474551000,32.13000,32.44000,31.98000,32.24000,8185300
1474637400,32.12000,32.25000,31.67000,31.91000,9400600
1474896600,31.53000,31.57000,30.96000,31.03000,10217700
1474983000,30.82000,31.49000,30.62000,31.35000,9753500
1475069400,31.44000,31.80000,31.32000,31.77000,7425100
1475155800,31.77000,32.11000,30.74000,31.04000,12529700
1475242200,31.27000,32.32000,31.00000,32.06000,16269700
1475501400,32.02000,32.15000,31.47000,31.95000,10324300
1475587800,32.07000,32.40000,31.81000,32.04000,9525400
1475674200,32.17000,32.73000,32.10000,32.56000,11157700
1475760600,32.48000,32.65000,32.20000,32.39000,11347200
1475847000,32.34000,32.52000,31.95000,32.31000,11406100
1476106200,32.62000,32.71000,32.41000,32.56000,6609200
1476192600,32.49000,32.76000,31.95000,32.18000,6827700
1476279000,32.18000,32.38000,31.88000,31.91000,6743300
1476365400,31.49000,33.00000,30.96000,31.73000,13893500
1476451800,32.24000,32.79000,31.89000,32.07000,13734100
1476711000,32.05000,32.17000,31.61000,31.79000,10114300
1476797400,32.25000,32.51000,32.04000,32.32000,13091600
1476883800,32.84000,33.00000,32.18000,32.93000,18522700
1476970200,32.84000,33.19000,32.58000,32.90000,10650700
1477056600,32.60000,33.52000,32.54000,33.44000,13910300
1477315800,33.57000,33.68000,33.34000,33.38000,9221300
1477402200,33.39000,33.59000,33.20000,33.35000,7912200
1477488600,33.15000,33.65000,33.06000,33.59000,9113000
1477575000,33.82000,34.01000,33.58000,33.82000,12608400
1477661400,33.69000,34.03000,33.17000,33.52000,10183500
1477920600,33.71000,33.88000,33.49000,33.57000,8687200
