time,open,high,low,close,tick_volume
1472477400,16.92000,17.25000,16.61000,16.91000,34467800
1472563800,17.00000,17.01000,16.51000,16.74000,23620900
1472650200,16.70000,16.74000,16.14000,16.49000,21963700
1472736600,16.61000,16.80000,16.30000,16.64000,15719500
1472823000,16.96000,16.97000,16.57000,16.70000,16099500
1473168600,16.80000,17.08000,16.75000,17.01000,22998600
1473255000,17.21000,17.35000,17.02000,17.16000,23023500
1473341400,17.18000,17.86000,16.88000,17.45000,39212100
1473427800,17.33000,17.74000,16.69000,16.81000,31389600
1473687000,16.61000,17.20000,16.37000,17.15000,28239200
1473773400,16.92000,17.15000,16.46000,16.75000,24345800
1473859800,16.88000,17.08000,16.65000,16.93000,18591300
1473946200,16.90000,17.46000,16.85000,17.45000,24303700
1474032600,18.08000,18.08000,17.34000,17.48000,37447400
1474291800,17.63000,17.77000,16.85000,16.95000,23999900
1474378200,17.05000,17.27000,16.72000,16.92000,17775800
1474464600,17.25000,17.70000,17.23000,17.66000,31384900
1474551000,17.89000,18.05000,17.41000,17.59000,25278000
1474637400,17.45000,17.74000,17.43000,17.48000,17947600
1474896600,17.35000,17.60000,17.18000,17.36000,19567200
1474983000,17.53000,18.08000,17.35000,18.00000,28621000
1475069400,18.16000,18.16000,17.15000,17.44000,42715600
1475155800,17.45000,17.77000,17.35000,17.54000,31870200
1475242200,17.75000,18.00000,17.58000,17.78000,21363100
1475501400,17.99000,18.02000,17.60000,17.73000,26856100
1475587800,17.98000,18.04000,17.66000,17.80000,54502800
1475674200,17.55000,18.33000,17.28000,17.70000,67739500
1475760600,17.64000,17.89000,17.54000,17.73000,21606800
1475847000,17.72000,17.80000,17.30000,17.61000,23849000
1476106200,17.72000,17.84000,17.49000,17.50000,18857600
1476192600,17.40000,17.47000,16.53000,16.86000,38070200
1476279000,16.88000,17.04000,16.67000,16.78000,17901800
1476365400,16.56000,17.00000,16.17000,16.85000,28593700
1476451800,17.03000,17.41000,16.99000,17.13000,23539800
