time,open,high,low,close,tick_volume
1472477400,49.67000,49.80000,48.96000,49.31000,437800
1472563800,49.43000,49.93000,48.83000,49.17000,518900
1472650200,48.92000,49.72000,48.27000,48.46000,569100
1472736600,48.63000,50.28000,48.35000,50.12000,568900
1472823000,50.19000,50.25000,49.00000,49.44000,409700
1473168600,49.71000,51.15000,49.63000,50.84000,791500
1473255000,50.66000,51.05000,50.10000,50.90000,844400
1473341400,50.33000,50.99000,49.93000,50.50000,852600
1473427800,49.75000,50.64000,49.13000,49.19000,934500
1473687000,48.84000,51.25000,48.56000,51.20000,816700
1473773400,50.49000,50.83000,49.24000,50.27000,591700
1473859800,50.63000,51.66000,50.57000,51.53000,676600
1473946200,51.56000,53.00000,50.94000,52.70000,656200
1474032600,52.75000,54.13000,52.51000,54.00000,1146900
1474291800,54.02000,55.03000,53.30000,54.06000,1313600
1474378200,54.67000,55.15000,54.30000,54.63000,983400
1474464600,54.74000,55.10000,52.97000,54.22000,658800
1474551000,54.74000,54.98000,53.38000,54.16000,578900
1474637400,54.39000,54.64000,53.64000,53.94000,573700
1474896600,53.70000,53.75000,52.97000,53.25000,665600
1474983000,53.08000,53.85000,52.72000,53.36000,656300
1475069400,53.37000,53.54000,50.41000,51.42000,814500
1475155800,51.39000,51.91000,49.73000,50.33000,594300
1475242200,50.49000,51.76000,50.00000,50.64000,1040600
1475501400,50.38000,50.81000,49.52000,50.17000,502700
1475587800,50.46000,50.88000,50.01000,50.27000,653500
1475674200,50.27000,51.56000,49.94000,51.26000,599500
1475760600,50.77000,50.89000,47.44000,47.57000,1379400
1475847000,47.55000,47.98000,46.30000,46.98000,1143100
1476106200,47.37000,47.48000,46.49000,46.58000,711500
1476192600,47.35000,47.69000,44.65000,45.00000,985400
1476279000,44.97000,45.56000,43.04000,43.07000,1216800
1476365400,42.75000,44.63000,42.64000,44.16000,1237800
1476451800,44.39000,44.62000,42.22000,42.27000,742900
1476711000,42.30000,42.88000,41.29000,42.30000,865200
1476797400,43.00000,44.72000,43.00000,44.59000,1068000
1476883800,45.28000,45.28000,43.52000,44.30000,1122400
1476970200,44.18000,46.34000,43.83000,45.67000,1149500
1477056600,45.42000,46.25000,44.74000,45.65000,829500
1477315800,45.65000,45.79000,45.03000,45.06000,498600
1477402200,44.81000,46.01000,44.27000,45.95000,882800
1477488600,45.95000,46.56000,44.65000,44.70000,890200
1477575000,45.50000,46.29000,44.65000,44.78000,757300
1477661400,44.49000,45.47000,43.03000,44.38000,536500
1477920600,44.51000,44.97000,43.68000,43.77000,501800
1478007000,43.82000,44.91000,43.21000,44.63000,455000
1478093400,44.37000,44.37000,42.44000,42.56000,1105300
1478179800,44.67000,45.50000,39.91000,40.16000,2275000
1478266200,40.16000,41.91000,40.16000,41.35000,1075900
1478529000,42.05000,44.62000,41.49000,44.13000,1330100
1478615400,43.79000,46.00000,43.79000,45.66000,843800
1478701800,49.00000,51.63000,47.64000,51.47000,2074500
1478788200,52.12000,53.68000,50.90000,52.99000,1630600
1478874600,52.69000,52.94000,51.40000,52.58000,855600
1479133800,52.79000,54.91000,51.46000,54.77000,1223400
1479220200,54.36000,54.70000,52.17000,52.93000,1253400
1479306600,52.57000,53.47000,51.25000,51.34000,689600
1479393000,50.81000,52.41000,50.58000,52.27000,603900
1479479400,52.48000,52.59000,50.54000,51.01000,648900
1479738600,51.08000,51.45000,50.30000,50.89000,687500
1479825000,50.27000,50.85000,48.71000,49.05000,702300
1479911400,47.88000,50.40000,47.62000,50.31000,596300
1480084200,50.57000,51.17000,49.75000,51.06000,326100
1480343400,50.66000,51.15000,48.88000,49.19000,650500
1480429800,49.18000,49.38000,48.25000,48.49000,706700
1480516200,48.86000,49.40000,46.22000,46.45000,911200
1480602600,46.81000,47.29000,43.20000,43.22000,1458000
1480689000,43.14000,44.22000,42.47000,43.23000,977200
1480948200,43.75000,45.00000,42.85000,43.61000,1530000
1481034600,43.77000,45.43000,42.75000,45.03000,1463400
1481121000,43.82000,44.60000,41.63000,42.94000,1222100
1481207400,42.94000,42.94000,40.59000,41.71000,1683400
1481293800,42.17000,42.75000,41.39000,41.66000,616500
1481553000,41.11000,42.18000,41.01000,42.01000,675900
1481639400,42.14000,43.53000,42.06000,43.40000,1275100
1481725800,43.12000,43.65000,42.70000,43.23000,669000
1481812200,43.50000,43.89000,42.70000,43.86000,997700
1481898600,43.55000,44.26000,42.13000,42.45000,1129900
1482157800,42.35000,42.66000,40.27000,40.60000,823900
1482244200,40.64000,41.52000,40.51000,41.35000,696200
1482330600,41.31000,41.71000,40.08000,40.19000,775100
1482417000,40.24000,40.78000,38.47000,39.04000,1637000
1482503400,39.13000,39.81000,38.81000,39.65000,870100
1482849000,39.79000,39.79000,37.90000,38.31000,1298200
1482935400,38.37000,38.80000,37.80000,37.99000,687200
1483021800,37.91000,38.33000,37.35000,37.90000,740800
1483108200,38.01000,38.72000,37.56000,38.70000,835100
1483453800,38.79000,39.80000,38.38000,38.66000,937300
1483540200,38.80000,41.94000,38.61000,41.28000,1568700
1483626600,41.05000,41.74000,41.02000,41.38000,1073600
1483713000,44.00000,45.20000,42.13000,44.04000,3101400
1483972200,44.50000,45.29000,44.05000,45.00000,1457000
1484058600,45.25000,45.89000,42.48000,42.61000,1667000
1484145000,42.41000,42.57000,40.00000,40.64000,1621200
1484231400,40.27000,41.92000,40.07000,41.11000,1045500
1484317800,41.17000,43.57000,41.09000,42.25000,1457000
1484663400,41.94000,42.81000,39.87000,40.17000,1784700
1484749800,39.50000,43.44000,38.84000,42.04000,3426500
1484836200,41.93000,42.15000,40.36000,41.62000,1218100
1484922600,41.60000,41.89000,40.80000,41.27000,768900
1485181800,41.27000,41.57000,38.77000,38.84000,1083500
1485268200,38.72000,40.30000,38.43000,40.12000,877400
1485354600,40.49000,40.78000,39.51000,40.12000,797600
1485441000,40.23000,40.25000,39.35000,39.86000,506800
1485527400,41.30000,41.46000,40.31000,40.36000,1406500
1485786600,40.13000,40.28000,38.98000,40.13000,850300
1485873000,39.63000,43.00000,39.28000,42.91000,1399600
1485959400,43.00000,43.23000,41.15000,42.55000,1329800
1486045800,42.28000,42.60000,41.29000,42.15000,1026600
1486132200,42.50000,43.35000,41.66000,43.31000,968400
1486391400,43.25000,43.63000,42.59000,43.24000,725000
1486477800,43.41000,44.66000,42.93000,43.60000,862400
1486564200,43.24000,44.44000,42.77000,43.85000,745400
1486650600,43.89000,45.37000,43.51000,45.36000,935800
1486737000,44.45000,45.20000,43.95000,44.44000,1238500
1486996200,44.66000,44.66000,41.81000,42.14000,1146100
1487082600,42.10000,42.59000,40.57000,41.53000,1275200
1487169000,42.44000,44.00000,41.62000,42.45000,1030900
1487255400,42.60000,43.63000,42.39000,43.15000,926600
1487341800,42.90000,44.12000,42.48000,44.05000,618000
1487687400,44.18000,44.47000,43.64000,43.90000,773000
1487773800,43.85000,44.34000,42.58000,42.60000,808600
1487860200,42.61000,43.84000,42.17000,43.08000,857200
1487946600,42.78000,43.14000,41.89000,42.72000,651600
1488205800,42.47000,45.19000,42.47000,45.13000,1058700
1488292200,45.09000,45.15000,43.99000,44.16000,1015100
1488378600,44.83000,45.51000,44.22000,44.77000,1124000
1488465000,44.78000,45.76000,43.77000,44.18000,968500
1488551400,44.18000,44.89000,43.67000,43.92000,788200
1488810600,43.84000,44.16000,43.13000,43.64000,884000
1488897000,43.17000,43.95000,42.63000,43.49000,497300
1488983400,43.67000,45.13000,43.48000,44.78000,848900
1489069800,44.93000,45.57000,44.51000,44.86000,456900
1489156200,45.06000,46.42000,44.56000,46.31000,829500
1489411800,46.30000,47.25000,46.18000,47.13000,907700
1489498200,46.80000,46.80000,45.35000,45.58000,678000
1489584600,45.73000,47.43000,45.73000,47.26000,747800
1489671000,47.19000,47.19000,45.16000,45.17000,822300
1489757400,45.17000,45.62000,44.10000,44.50000,1091900
1490016600,44.49000,44.66000,43.55000,43.89000,594700
1490103000,44.66000,45.28000,41.57000,41.77000,1237200
1490189400,42.36000,42.36000,40.98000,41.72000,700600
1490275800,41.65000,42.24000,41.29000,41.50000,718600
1490362200,41.65000,42.26000,41.38000,41.98000,462600
1490621400,42.19000,42.94000,41.32000,42.35000,544500
1490707800,42.26000,42.55000,41.46000,41.64000,470400
1490794200,41.71000,43.20000,41.32000,42.93000,934100
1490880600,42.82000,42.89000,40.96000,41.78000,1382400
1490967000,41.85000,43.53000,41.52000,43.30000,807500
1491226200,43.53000,44.35000,43.13000,43.24000,1230300
1491312600,43.25000,44.65000,43.00000,43.22000,1206500
1491399000,43.27000,43.45000,40.59000,40.67000,1319800
1491485400,40.65000,41.01000,39.21000,40.24000,1722000
1491571800,40.25000,41.00000,39.50000,40.88000,1254600
1491831000,40.88000,42.19000,40.22000,40.31000,1757400
1491917400,40.51000,41.97000,39.98000,41.48000,2477500
1492003800,51.70000,53.20000,50.00000,51.80000,13095600
1492090200,51.70000,54.72000,51.67000,53.39000,4219400
1492435800,53.49000,54.82000,53.03000,54.32000,1600400
1492522200,53.91000,54.43000,51.62000,52.06000,1953100
1492608600,52.11000,52.96000,51.30000,51.91000,935400
1492695000,52.25000,52.83000,51.36000,51.51000,1306600
1492781400,51.30000,52.12000,50.67000,51.10000,882400
1493040600,51.69000,52.18000,51.34000,51.78000,932100
1493127000,51.95000,53.85000,51.95000,53.62000,1275000
1493213400,51.95000,54.14000,51.85000,53.28000,3317700
1493299800,53.84000,54.10000,53.43000,53.59000,2313900
1493386200,53.54000,53.85000,52.56000,53.40000,971600
1493645400,53.72000,54.81000,53.59000,54.65000,1199100
1493731800,54.88000,55.38000,52.82000,53.83000,1338600
1493818200,53.55000,54.25000,52.88000,53.57000,827400
1493904600,53.75000,54.17000,53.34000,53.63000,1028900
1493991000,54.01000,54.41000,53.43000,53.74000,898000
1494250200,53.50000,53.73000,51.43000,51.66000,897200
1494336600,51.82000,52.68000,51.33000,52.60000,1068200
1494423000,52.41000,54.18000,51.02000,53.42000,1159200
1494509400,53.25000,53.88000,51.67000,52.12000,1016000
1494595800,52.17000,53.67000,51.88000,53.63000,822900
1494855000,54.00000,54.68000,52.91000,52.96000,882100
1494941400,53.15000,54.02000,52.96000,53.93000,567800
1495027800,52.89000,54.09000,52.01000,52.82000,838600
1495114200,52.81000,53.69000,52.26000,53.58000,692500
1495200600,53.62000,54.17000,52.64000,52.79000,578300
1495459800,52.89000,53.80000,52.30000,53.64000,582000
1495546200,53.71000,53.78000,52.95000,53.53000,755100
1495632600,50.50000,50.74000,48.00000,48.89000,6006500
1495719000,49.24000,49.39000,47.81000,48.65000,2235700
1495805400,48.53000,48.66000,45.69000,46.22000,1625800
1496151000,46.50000,46.54000,42.67000,43.52000,2645400
1496237400,43.85000,44.09000,42.20000,43.47000,2048900
1496323800,43.48000,45.33000,43.23000,45.09000,1793600
1496410200,44.90000,46.40000,44.58000,46.25000,1399500
1496669400,46.11000,46.67000,44.85000,45.09000,1094600
1496755800,45.20000,46.07000,44.77000,45.48000,1310400
1496842200,45.77000,46.47000,44.50000,44.64000,1062200
1496928600,44.54000,45.10000,43.45000,43.78000,1067000
1497015000,43.83000,45.01000,43.54000,43.65000,835400
1497274200,43.52000,44.24000,42.05000,43.70000,1050300
1497360600,43.73000,44.44000,43.25000,44.23000,628400
1497447000,44.11000,44.49000,43.50000,43.95000,662000
1497533400,43.45000,43.67000,41.76000,42.49000,1578000
1497619800,42.69000,44.15000,41.92000,43.97000,1264600
1497879000,43.89000,46.08000,43.79000,45.36000,1149000
1497965400,45.31000,46.78000,45.01000,45.67000,966900
1498051800,45.64000,47.59000,45.60000,47.47000,1216100
1498138200,47.60000,48.52000,46.93000,47.12000,880900
1498224600,46.98000,47.54000,46.17000,47.35000,1048300
1498483800,47.59000,48.08000,46.69000,47.31000,656700
1498570200,46.86000,47.34000,45.41000,45.56000,1324400
1498656600,45.78000,47.22000,45.37000,46.77000,1214100
1498743000,46.52000,46.76000,45.83000,46.24000,673700
1498829400,46.25000,46.68000,45.67000,46.00000,667500
1499088600,46.03000,47.29000,45.83000,46.77000,363900
1499261400,46.64000,48.23000,46.35000,47.99000,958100
1499347800,47.49000,47.81000,46.30000,46.84000,784800
1499434200,47.10000,47.25000,46.37000,46.73000,777600
1499693400,46.69000,46.69000,45.29000,45.52000,730700
1499779800,45.27000,45.71000,44.75000,45.29000,740500
1499866200,45.31000,46.65000,45.07000,46.26000,839500
1499952600,46.45000,48.03000,45.40000,47.25000,852300
1500039000,47.17000,48.60000,47.06000,48.19000,870700
1500298200,48.20000,48.50000,46.76000,46.83000,781200
1500384600,46.66000,47.43000,46.13000,47.37000,766000
1500471000,47.89000,48.58000,47.34000,47.73000,866300
1500557400,47.87000,48.20000,47.42000,47.79000,517200
1500643800,47.90000,48.12000,46.50000,47.07000,1019800
1500903000,47.08000,48.87000,46.72000,48.69000,612600
1500989400,48.91000,49.75000,48.41000,48.66000,829200
1501075800,48.93000,49.33000,48.60000,49.00000,520700
1501162200,49.17000,50.75000,48.67000,48.83000,1873200
1501248600,48.66000,49.88000,48.66000,49.46000,698000
1501507800,49.22000,49.47000,47.93000,48.03000,670600
1501594200,48.48000,48.48000,47.00000,47.97000,620800
1501680600,48.04000,48.83000,47.41000,48.56000,690000
1501767000,48.99000,48.99000,47.24000,48.84000,943300
1501853400,50.00000,54.00000,49.38000,53.50000,2836500
1502112600,52.31000,54.25000,51.96000,53.80000,1474600
1502199000,53.71000,54.57000,52.71000,53.65000,1058000
1502285400,53.47000,55.13000,53.17000,54.78000,1043300
1502371800,54.58000,54.66000,53.27000,53.85000,726600
1502458200,53.26000,54.66000,52.89000,54.07000,705100
1502717400,54.64000,55.22000,53.81000,53.98000,809900
1502803800,54.40000,54.89000,53.57000,54.04000,650000
1502890200,54.15000,54.59000,53.30000,53.55000,827700
1502976600,53.63000,54.25000,53.01000,53.12000,528700
1503063000,53.00000,53.78000,52.07000,52.15000,778100
1503322200,52.11000,52.59000,50.88000,52.13000,1105000
1503408600,52.14000,52.83000,51.48000,52.66000,713400
1503495000,52.34000,52.45000,51.62000,51.98000,739300
1503581400,52.16000,54.31000,51.89000,54.01000,834400
1503667800,54.21000,54.48000,52.62000,52.83000,744200
1503927000,53.46000,53.75000,52.56000,52.82000,695300
1504013400,52.29000,52.83000,51.42000,52.64000,626500
1504099800,52.43000,54.58000,52.22000,53.80000,1051200
