time,open,high,low,close,tick_volume
1472477400,30.46750,30.79750,30.40250,30.58500,8560400
1472563800,30.56500,30.73500,30.26250,30.30500,6802400
1472650200,30.29250,30.41750,30.15500,30.23500,8194000
1472736600,30.18750,30.31000,30.05500,30.25000,8328800
1472823000,30.50250,30.92250,30.32750,30.78250,9426000
1473168600,30.93750,31.32250,30.89000,31.32250,9724000
1473255000,31.74000,31.74000,31.10500,31.26500,9802400
1473341400,31.06750,31.44250,31.06750,31.34500,6993600
1473427800,31.08750,31.13750,30.18750,30.21500,10747200
1473687000,30.25000,30.89500,30.16250,30.82250,10174000
1473773400,30.70000,30.80500,30.27250,30.38500,7679200
1473859800,30.50000,30.73000,30.38000,30.52500,7883600
1473946200,30.50000,30.76000,30.35500,30.68250,5134400
1474032600,30.56250,30.88500,30.43000,30.83000,13406000
1474291800,30.91250,31.22250,30.85500,31.18500,4990400
1474378200,31.21000,31.44000,31.21000,31.26750,8329600
1474464600,31.29500,31.96750,31.26250,31.96000,7809600
1474551000,32.10250,32.21750,31.92250,32.00750,6233200
1474637400,31.39000,31.92250,31.01250,31.68750,9808400
1474896600,31.63750,31.74500,31.45250,31.55750,5540800
1474983000,31.77250,32.14750,31.63750,31.69750,9823200
1475069400,31.83000,31.86250,31.33000,31.62000,6843200
1475155800,31.47250,31.48500,30.68500,30.92500,11084800
1475242200,31.07500,31.22000,30.44000,30.58000,12255200
1475501400,30.61500,30.67000,30.06000,30.28250,6773600
1475587800,30.28500,30.28500,29.52500,29.72500,9205200
1475674200,29.76750,30.03750,29.60250,29.63500,8268800
1475760600,29.53000,29.77750,29.38000,29.50750,10979600
1475847000,29.97250,30.81500,29.91750,30.43500,19343200
1476106200,30.46500,30.73500,30.31250,30.69500,8225600
1476192600,30.53750,30.62000,30.19500,30.28750,7655600
1476279000,30.33500,30.78500,30.30250,30.74500,7682400
1476365400,30.73250,31.29250,30.63000,31.15750,8133200
1476451800,31.08750,31.26000,30.97250,31.00750,5538000
1476711000,31.08750,31.11750,30.90500,31.01500,4531600
1476797400,31.25250,31.36250,30.91750,31.27750,5262800
1476883800,31.22500,31.34250,31.03250,31.14500,6226400
1476970200,31.14500,31.40250,30.97750,31.03250,7426000
1477056600,30.88250,31.04750,30.72250,30.92750,4504800
1477315800,31.05250,31.13500,30.87250,31.09500,5948000
1477402200,31.03500,31.40000,30.97500,31.38000,5546800
1477488600,31.39250,31.63000,31.21500,31.55000,5264000
1477575000,31.46250,31.60000,31.08250,31.28000,6072400
1477661400,31.33250,31.61250,31.22750,31.43250,7975200
1477920600,31.76250,32.11500,31.44250,32.00000,12201200
1478007000,32.04750,32.07000,31.36250,31.47250,6615200
1478093400,30.82500,31.07000,30.54750,30.92000,24144400
1478179800,30.92500,31.09750,30.73250,30.96000,8894000
