time,open,high,low,close,tick_volume
1472477400,39.57000,41.14000,39.52000,40.91000,5955100
1472563800,40.91000,40.91000,38.27000,38.60000,8804200
1472650200,38.02000,38.56000,37.76000,38.24000,8366200
1472736600,38.03000,39.44000,37.62000,39.43000,7784100
1472823000,40.29000,40.99000,39.87000,40.52000,8112400
1473168600,41.09000,42.00000,40.26000,42.00000,7722800
1473255000,41.76000,42.12000,41.13000,42.09000,5033400
1473341400,41.97000,42.69000,41.47000,41.59000,4776800
1473427800,41.28000,41.30000,39.14000,39.30000,7819700
1473687000,38.75000,40.58000,38.40000,40.36000,7326400
1473773400,39.88000,40.06000,38.56000,39.02000,6053500
1473859800,39.18000,39.46000,38.08000,38.60000,7504600
1473946200,38.38000,39.40000,38.23000,39.20000,7312300
1474032600,38.83000,38.94000,37.86000,38.26000,12826600
1474291800,38.79000,38.88000,38.22000,38.43000,5123800
1474378200,38.38000,38.67000,37.78000,38.15000,5386600
1474464600,38.84000,41.15000,38.68000,41.03000,11186200
1474551000,41.51000,41.97000,40.25000,40.77000,7111600
1474637400,40.41000,40.91000,39.31000,39.56000,7189000
1474896600,39.54000,40.05000,39.24000,39.26000,5351500
1474983000,38.87000,38.87000,37.91000,38.48000,6278100
1475069400,38.39000,39.37000,37.81000,39.21000,4896300
1475155800,38.97000,39.36000,38.58000,39.05000,4168400
1475242200,39.48000,39.87000,39.14000,39.29000,6140500
1475501400,39.04000,39.33000,37.85000,38.10000,5285400
1475587800,36.68000,36.87000,34.00000,34.25000,13009200
1475674200,34.65000,35.10000,34.01000,34.59000,8820100
1475760600,33.62000,34.28000,33.47000,34.05000,10485800
1475847000,34.78000,34.85000,33.57000,33.97000,8303000
1476106200,34.19000,34.56000,33.78000,34.06000,4365800
1476192600,33.92000,34.44000,33.29000,33.85000,7894700
1476279000,33.93000,34.79000,33.72000,34.52000,5932200
1476365400,34.90000,35.65000,34.30000,34.81000,5922400
1476451800,34.35000,35.02000,34.22000,34.23000,4875300
1476711000,34.65000,35.33000,34.59000,35.03000,4987500
1476797400,35.60000,36.29000,35.25000,36.17000,6027500
1476883800,36.88000,37.16000,35.94000,36.98000,7041400
1476970200,36.97000,37.15000,36.35000,37.01000,5315200
1477056600,36.80000,37.00000,36.00000,36.35000,4813900
1477315800,36.57000,36.67000,35.56000,35.84000,5191900
1477402200,35.97000,36.96000,35.79000,36.59000,6185700
1477488600,36.46000,36.67000,35.76000,36.18000,4607100
1477575000,36.06000,36.38000,34.15000,34.79000,8294700
1477661400,34.90000,35.92000,34.57000,35.38000,6244900
1477920600,35.59000,37.10000,35.26000,37.04000,8033200
1478007000,37.70000,38.47000,37.23000,37.95000,10721000
1478093400,38.56000,38.87000,36.94000,37.18000,8628600
1478179800,37.38000,37.90000,37.01000,37.75000,4604300
1478266200,37.61000,37.95000,37.19000,37.80000,5716400
1478529000,36.82000,36.82000,35.81000,36.49000,8040400
1478615400,36.58000,37.05000,35.64000,36.06000,7005400
1478701800,38.25000,38.40000,36.24000,37.04000,11900500
1478788200,36.88000,36.90000,34.39000,34.68000,11046400
1478874600,34.38000,34.56000,31.36000,31.59000,15364100
1479133800,31.24000,32.76000,30.19000,32.60000,13662100
1479220200,32.36000,34.03000,32.25000,33.91000,9748500
1479306600,33.82000,33.89000,33.05000,33.76000,6468600
1479393000,33.89000,34.27000,32.17000,32.70000,8020400
1479479400,32.51000,33.34000,32.25000,32.69000,8559100
1479738600,33.11000,33.41000,32.75000,33.07000,5606400
1479825000,33.37000,33.39000,32.12000,33.20000,7886900
1479911400,31.68000,31.94000,30.82000,31.50000,9077900
1480084200,31.72000,32.15000,31.56000,31.92000,3520300
1480343400,32.25000,33.50000,32.06000,33.45000,8924900
1480429800,32.75000,33.83000,32.55000,33.55000,7872900
1480516200,33.00000,33.20000,31.80000,32.44000,12803100
1480602600,32.10000,32.85000,31.52000,32.27000,13594400
1480689000,32.55000,33.67000,32.15000,33.58000,8708700
1480948200,32.71000,33.97000,32.65000,33.48000,9297200
1481034600,33.40000,33.86000,32.90000,33.02000,7289500
1481121000,33.45000,34.02000,33.25000,33.62000,8641200
1481207400,33.73000,34.06000,33.47000,33.87000,6028300
1481293800,33.61000,33.66000,32.59000,32.79000,9196200
1481553000,33.07000,33.11000,32.47000,32.60000,7250700
1481639400,32.57000,33.94000,32.47000,33.87000,8398100
1481725800,34.08000,34.43000,31.65000,31.68000,12015900
1481812200,30.82000,31.37000,30.40000,30.91000,11613800
1481898600,31.27000,31.80000,30.93000,31.66000,16748500
1482157800,31.71000,32.08000,31.30000,31.78000,6990000
1482244200,31.17000,31.76000,30.85000,31.66000,5781100
1482330600,31.88000,31.96000,31.24000,31.55000,5305600
1482417000,31.40000,31.88000,31.27000,31.44000,4499800
1482503400,31.47000,32.56000,31.45000,32.46000,4803500
1482849000,32.81000,33.24000,32.17000,32.59000,5522700
1482935400,32.61000,32.87000,32.28000,32.78000,6162700
1483021800,33.27000,35.31000,33.15000,35.27000,12097000
1483108200,35.41000,36.09000,34.07000,34.07000,11056600
1483453800,34.12000,35.00000,33.95000,34.63000,8000900
1483540200,34.90000,34.99000,34.19000,34.96000,7553000
1483626600,35.60000,37.25000,35.59000,36.57000,10485100
1483713000,36.00000,36.49000,34.99000,35.42000,7380000
1483972200,36.08000,36.16000,35.21000,35.36000,9028800
1484058600,35.65000,36.17000,34.85000,35.08000,7583400
1484145000,34.78000,34.79000,33.52000,34.37000,10796700
1484231400,35.22000,35.35000,34.14000,34.47000,7439000
1484317800,34.00000,34.65000,33.75000,34.53000,5209600
1484663400,35.64000,35.84000,34.92000,35.14000,6762700
