time,open,high,low,close,tick_volume
1472477400,92.23000,94.30000,92.12000,94.01000,1721000
1472563800,94.01000,94.37000,93.54000,94.37000,1398900
1472650200,94.07000,94.43000,93.26000,93.90000,1544700
1472736600,94.11000,94.25000,92.88000,93.80000,1142600
1472823000,94.09000,94.80000,93.69000,94.16000,774200
1473168600,94.16000,95.15000,94.04000,95.15000,1553600
1473255000,94.93000,95.97000,93.76000,93.94000,2427700
1473341400,94.00000,94.92000,93.24000,93.99000,1271600
1473427800,93.29000,93.29000,90.75000,90.78000,1646200
1473687000,90.69000,93.03000,90.21000,92.38000,1413500
1473773400,91.44000,92.12000,90.30000,90.74000,1102300
1473859800,90.52000,91.66000,90.22000,90.67000,1714200
1473946200,90.36000,91.94000,89.92000,91.51000,1476500
1474032600,91.06000,91.78000,90.44000,91.35000,2074000
1474291800,91.76000,92.67000,91.76000,92.03000,1111100
1474378200,92.38000,92.53000,91.61000,91.92000,1369500
1474464600,92.03000,93.31000,91.89000,93.11000,1253700
1474551000,93.78000,94.39000,93.64000,93.91000,1280100
1474637400,93.48000,94.23000,93.25000,93.62000,889500
1474896600,93.07000,94.05000,92.84000,93.28000,1114700
1474983000,93.25000,94.72000,93.15000,94.48000,1086500
1475069400,94.50000,95.62000,94.17000,95.53000,1100000
1475155800,95.55000,95.87000,94.84000,95.15000,1796500
1475242200,95.52000,97.28000,95.29000,97.06000,1921300
1475501400,96.59000,97.12000,96.33000,96.91000,1350200
1475587800,97.11000,97.73000,95.37000,95.79000,1456800
1475674200,96.23000,97.17000,96.05000,97.04000,1200000
1475760600,97.04000,97.82000,96.65000,97.45000,1638500
1475847000,97.30000,97.40000,96.05000,96.78000,1441700
1476106200,97.22000,97.59000,95.69000,95.83000,1743000
1476192600,96.59000,97.00000,94.25000,94.67000,3044200
1476279000,93.85000,94.34000,93.20000,93.42000,2167300
1476365400,92.81000,95.03000,92.47000,94.82000,1923000
1476451800,95.51000,96.40000,94.85000,94.94000,1473600
1476711000,94.82000,95.53000,94.57000,94.84000,1021400
1476797400,95.25000,95.69000,94.48000,94.98000,999300
1476883800,95.25000,96.38000,94.90000,95.64000,1009200
1476970200,95.01000,95.15000,92.94000,93.13000,1569400
1477056600,92.35000,93.01000,92.07000,92.92000,1884700
1477315800,93.84000,94.27000,92.85000,92.95000,1350500
1477402200,92.79000,93.56000,92.56000,93.27000,2111300
1477488600,91.90000,92.37000,89.95000,90.03000,2340800
1477575000,90.65000,91.58000,90.53000,91.35000,2478600
1477661400,91.51000,93.16000,91.36000,92.27000,2454700
1477920600,92.73000,93.54000,92.42000,93.00000,1833800
1478007000,93.28000,93.29000,90.98000,91.60000,1552300
1478093400,91.42000,92.53000,91.32000,91.99000,1687900
1478179800,92.21000,92.53000,91.55000,91.76000,1295700
1478266200,91.79000,92.39000,91.28000,91.62000,766900
1478529000,92.49000,94.99000,92.49000,94.95000,1490200
1478615400,94.55000,96.34000,94.09000,96.00000,1553900
1478701800,95.71000,100.73000,95.10000,98.80000,5764400
