time,open,high,low,close,tick_volume
1472477400,43.40000,43.49200,42.61000,42.71400,4668000
1472563800,43.13400,43.13400,41.84200,42.20000,5068000
1472650200,42.30800,42.55400,41.85200,42.39400,3803000
1472736600,42.38000,43.41600,42.18400,43.18200,5644500
1472823000,43.40000,43.67400,42.40000,42.98200,7736500
1473168600,43.50200,44.83600,43.32600,44.40000,10868500
1473255000,44.37800,44.52400,43.58000,43.78600,5701000
1473341400,43.80000,44.65000,43.50200,44.33600,3581500
1473427800,44.00000,44.48800,42.24200,42.63400,4699500
1473687000,41.66000,46.11000,41.60400,46.01400,8782000
1473773400,45.73800,48.09400,45.73600,46.25400,14067000
1473859800,46.47000,48.63000,46.47000,46.95200,12452500
1473946200,47.15200,47.84000,46.51400,47.55000,4489000
1474032600,47.50000,48.59600,47.25000,47.60600,6091000
1474291800,48.42600,50.48400,48.10600,49.79800,10960000
1474378200,49.99400,50.59400,48.22000,48.82800,7442000
1474464600,49.59800,50.29400,49.20000,49.90800,6630000
1474551000,50.25000,50.89600,49.94800,50.41000,6424500
1474637400,49.62000,49.98000,49.16400,49.48400,5099000
1474896600,48.64200,48.76600,47.44600,48.24200,8469500
1474983000,48.77400,49.71400,48.50000,48.83000,5160500
1475069400,49.00000,49.24600,48.31000,48.69800,2974000
1475155800,48.49000,48.86000,48.21800,48.41200,4202500
1475242200,48.69400,48.79600,47.60400,48.15600,3846500
1475501400,48.74800,49.57400,48.66200,48.97200,3238000
1475587800,49.34400,50.19400,49.24000,49.72000,5011000
1475674200,49.74000,49.95000,49.45200,49.62600,3154000
1475760600,49.49400,51.34800,48.97800,51.19600,5404000
1475847000,51.00400,51.51200,50.07400,50.59000,4046500
1476106200,50.90000,52.54400,50.90000,52.26800,4332000
1476192600,52.26800,52.26800,50.66000,50.84000,5732500
1476279000,51.03200,54.18600,50.90000,52.28400,10183500
1476365400,51.65200,52.70000,50.46400,52.39600,6806500
1476451800,53.17600,54.51600,51.96400,52.27400,8335000
1476711000,52.29600,52.77400,51.71800,52.22000,4160000
1476797400,52.92800,53.79800,52.89600,53.11400,4400500
1476883800,53.47600,53.73800,52.39600,52.77800,3114500
1476970200,52.77800,53.11000,52.40000,52.90000,4203500
1477056600,52.67400,52.99800,52.20000,52.70600,2215500
1477315800,53.59600,53.67200,53.00000,53.43600,4643000
1477402200,53.62600,54.08800,53.13400,53.92000,4885000
1477488600,53.65200,53.65200,53.04200,53.14800,3037500
1477575000,53.64400,54.33200,52.65400,53.41000,5147500
1477661400,53.40000,53.41000,52.64200,52.99400,3551500
1477920600,53.09600,53.79600,51.37200,51.39800,5608500
1478007000,51.80000,51.97800,49.32800,49.80600,12938000
1478093400,49.75400,49.80000,48.20600,48.58800,8325500
1478179800,48.62400,49.23000,47.53200,48.68400,4542000
1478266200,48.08000,49.17600,48.04000,48.68600,3481500
1478529000,50.28600,51.20000,50.00600,50.23600,6053500
1478615400,50.20000,50.38000,49.40000,49.79200,4381000
1478701800,48.29000,51.14000,48.13200,50.37200,8054000
1478788200,47.95200,50.42000,44.94200,45.72400,23145000
