time,open,high,low,close,tick_volume
1472477400,69.41000,70.15000,69.41000,69.89000,830100
1472563800,69.80000,70.82000,69.79000,70.82000,861900
1472650200,70.40000,71.15000,69.97000,70.59000,1832700
1472736600,70.97000,71.66000,69.79000,70.41000,1293900
1472823000,70.54000,71.04000,70.27000,70.65000,780700
1473168600,70.78000,70.79000,69.54000,69.86000,866000
1473255000,69.61000,70.20000,69.43000,69.69000,729000
1473341400,69.81000,70.11000,69.51000,69.83000,1028600
1473427800,69.79000,70.23000,68.95000,68.95000,1149200
1473687000,68.86000,69.94000,68.33000,69.72000,1211600
1473773400,68.91000,69.59000,68.25000,68.78000,835700
1473859800,68.59000,68.90000,68.06000,68.46000,1156000
1473946200,68.49000,69.51000,68.30000,69.38000,637100
1474032600,68.71000,68.78000,68.11000,68.36000,1273000
1474291800,68.66000,69.46000,68.27000,68.51000,871900
1474378200,68.92000,69.35000,68.56000,68.63000,527700
1474464600,68.85000,69.40000,68.62000,69.16000,677000
1474551000,69.76000,69.82000,68.99000,69.40000,795600
1474637400,69.39000,69.54000,68.95000,69.31000,993000
1474896600,68.73000,68.73000,67.44000,67.46000,1077100
1474983000,67.20000,67.68000,66.60000,67.55000,1004100
1475069400,67.89000,67.89000,67.05000,67.59000,1170900
1475155800,67.80000,68.27000,66.40000,66.70000,1036300
1475242200,67.16000,68.28000,66.83000,67.99000,1631300
1475501400,67.73000,68.45000,67.64000,68.15000,940600
1475587800,67.71000,69.99000,67.58000,69.83000,1985100
1475674200,70.25000,72.09000,70.05000,71.90000,1686500
1475760600,71.79000,72.08000,71.31000,72.04000,1188100
1475847000,72.04000,72.08000,71.31000,71.95000,1168100
1476106200,72.35000,72.74000,72.00000,72.07000,643900
1476192600,71.88000,72.04000,70.60000,71.07000,887700
1476279000,71.16000,71.70000,70.78000,71.11000,639500
1476365400,70.35000,70.35000,68.78000,69.81000,994000
1476451800,70.57000,71.30000,70.31000,70.59000,951800
1476711000,70.80000,71.63000,70.01000,70.27000,935600
1476797400,71.20000,71.36000,70.84000,70.95000,814700
1476883800,69.93000,71.59000,69.46000,71.13000,1697000
1476970200,71.14000,71.98000,70.89000,70.98000,1044600
1477056600,70.27000,71.02000,70.00000,70.98000,1652300
1477315800,71.46000,71.65000,70.94000,70.98000,885600
1477402200,70.97000,71.28000,70.27000,70.32000,1124600
1477488600,70.12000,71.59000,69.92000,71.46000,927600
1477575000,71.95000,72.77000,71.32000,72.40000,1915800
1477661400,72.71000,72.79000,71.77000,72.40000,1394500
1477920600,72.72000,72.91000,72.37000,72.42000,1170900
1478007000,72.88000,72.93000,72.11000,72.72000,1513200
1478093400,72.44000,72.50000,71.62000,72.02000,1060600
1478179800,72.35000,73.16000,72.11000,72.38000,1060200
