time,open,high,low,close,tick_volume
1472477400,48.63000,49.58000,48.63000,49.44000,1847000
1472563800,49.44000,49.44000,48.46000,48.60000,2824300
1472650200,48.34000,48.73000,48.18000,48.51000,3143700
1472736600,48.60000,49.47000,48.51000,49.30000,2700600
1472823000,49.78000,50.34000,48.77000,49.03000,2427600
1473168600,49.12000,49.68000,48.74000,49.58000,2263800
1473255000,49.30000,49.97000,49.13000,49.97000,2853700
1473341400,49.75000,49.75000,49.01000,49.05000,1933000
1473427800,48.59000,48.61000,46.83000,46.83000,3693100
1473687000,46.06000,47.89000,46.06000,47.71000,4360500
1473773400,46.99000,47.13000,45.75000,46.02000,3451400
1473859800,45.50000,45.76000,44.81000,45.35000,4593600
1473946200,45.27000,45.85000,44.94000,45.62000,3029300
1474032600,45.52000,46.12000,45.18000,45.74000,3482500
1474291800,46.28000,46.46000,45.82000,46.00000,2460300
1474378200,46.18000,46.36000,45.90000,46.17000,3010100
1474464600,46.50000,47.90000,46.50000,47.86000,3562500
1474551000,48.65000,48.92000,47.81000,47.87000,2252300
1474637400,47.62000,49.01000,47.55000,48.81000,5321500
1474896600,48.66000,49.19000,48.43000,48.92000,3697700
1474983000,48.60000,49.18000,48.35000,49.07000,2447500
1475069400,49.07000,49.76000,48.93000,49.73000,2125300
1475155800,49.67000,49.97000,48.62000,48.86000,2100200
1475242200,49.05000,49.73000,48.72000,49.45000,2745700
1475501400,49.25000,49.41000,48.54000,48.82000,3005300
1475587800,48.55000,48.67000,47.55000,47.62000,2642600
1475674200,48.04000,48.20000,47.67000,48.05000,2297300
1475760600,47.83000,48.21000,47.73000,47.96000,2068100
1475847000,48.21000,48.39000,46.82000,47.39000,2361200
1476106200,47.70000,48.33000,47.64000,47.73000,1434100
1476192600,47.43000,48.06000,47.24000,47.40000,2065500
1476279000,47.46000,47.71000,47.02000,47.25000,3907200
1476365400,46.55000,46.76000,45.90000,46.54000,3182700
1476451800,46.88000,47.26000,46.72000,46.86000,2096900
1476711000,46.96000,47.35000,46.79000,46.80000,1912200
1476797400,47.38000,47.46000,46.71000,47.15000,3142400
1476883800,47.37000,48.23000,47.29000,48.03000,3102200
1476970200,47.68000,48.89000,45.30000,48.36000,5786600
1477056600,47.92000,48.21000,47.30000,47.87000,3547600
1477315800,48.31000,48.32000,47.58000,47.68000,1812100
1477402200,47.97000,47.97000,46.86000,47.00000,2818200
1477488600,46.96000,47.46000,46.52000,47.34000,1857800
1477575000,47.32000,47.32000,46.61000,46.74000,2674100
1477661400,46.75000,48.30000,46.64000,47.61000,2717400
1477920600,47.87000,48.95000,47.68000,48.85000,3179000
1478007000,49.14000,49.29000,47.53000,47.83000,3503600
1478093400,47.59000,48.99000,47.59000,48.15000,2752600
1478179800,48.25000,49.03000,48.23000,48.78000,2057100
1478266200,48.74000,50.42000,48.63000,49.95000,3393300
1478529000,50.85000,51.54000,50.79000,51.33000,3516600
1478615400,50.91000,51.94000,50.59000,51.37000,1893500
1478701800,54.23000,58.53000,54.23000,57.62000,9065600
1478788200,57.52000,59.82000,57.41000,59.14000,7220700
1478874600,59.25000,59.58000,57.65000,58.75000,4541100
1479133800,59.42000,60.09000,59.08000,59.60000,4010700
