time,open,high,low,close,tick_volume
1472477400,71.19176,71.49641,70.97670,71.36201,725846
1472563800,71.25448,71.37097,71.03943,71.09319,887332
1472650200,70.53764,70.62724,70.21506,70.58244,1677348
1472736600,69.99104,70.17921,69.64158,70.13441,4204642
1472823000,70.83334,71.20071,70.70789,71.12903,1509948
1473168600,71.50538,71.95341,71.40681,71.81899,1461402
1473255000,72.07885,72.32975,71.87276,72.00717,1816178
1473341400,72.15950,72.32975,71.83692,71.90860,1639850
1473427800,71.38889,71.39785,70.46595,70.47491,1980342
1473687000,70.73476,71.99821,70.68996,71.93549,1549454
1473773400,71.29929,71.46057,70.65412,70.89606,1442430
1473859800,70.86918,71.30824,70.72581,70.88710,1335406
1473946200,70.78853,71.83692,70.60932,71.57706,1406160
1474032600,71.28136,71.36201,70.90502,71.09319,1240211
1474291800,71.52330,71.88172,71.47849,71.63082,1535393
1474378200,72.75986,72.91219,72.57169,72.63441,1497784
1474464600,72.62545,73.19892,72.22222,73.04659,1459951
1474551000,73.42294,73.69176,73.29749,73.50359,1779462
1474637400,72.68817,73.18996,72.66129,73.01075,1150819
1474896600,72.61649,72.69714,72.20430,72.33871,1394219
1474983000,71.55018,72.49104,71.42473,72.47312,1658264
1475069400,72.76881,72.93011,72.25806,72.77778,1669313
1475155800,72.15950,72.29391,70.86918,71.01254,2149862
1475242200,70.25986,70.91398,70.14337,70.75269,4057330
1475501400,70.73476,70.86021,70.51971,70.78853,1297462
1475587800,70.76165,71.04839,70.34946,70.66308,1511287
1475674200,70.89606,71.01254,70.64516,70.90502,1044464
1475760600,70.49283,70.54659,70.22401,70.29570,1096358
1475847000,70.38531,70.44803,69.67742,70.15233,1593425
1476106200,69.08602,69.74911,69.03226,69.66846,2900596
1476192600,69.18459,69.31004,68.64695,68.82616,3919057
1476279000,67.96595,68.67384,67.73297,68.43190,4538214
1476365400,66.91756,69.23835,66.85484,68.78136,8801446
1476451800,68.74552,69.07706,68.18101,68.18101,4513774
1476711000,67.77778,67.91219,67.47312,67.72401,3369427
1476797400,68.00179,68.44982,67.93907,68.37814,3248899
1476883800,68.00179,68.08244,67.75986,67.78674,1754687
1476970200,67.70609,68.29749,67.68817,68.02867,1922422
1477056600,67.32079,67.75089,67.24911,67.68817,1996970
1477315800,67.06093,68.00179,67.00717,67.60753,4785408
1477402200,65.24194,65.59140,64.92831,65.08064,6841638
1477488600,63.89785,64.33692,63.58423,63.73656,3550331
1477575000,64.63261,64.77599,64.01434,64.16666,3244993
1477661400,64.19355,64.25627,63.62903,63.68280,4868996
1477920600,64.26524,64.28316,63.57527,63.63799,3520980
1478007000,63.63799,64.15771,63.56631,63.93369,3344764
1478093400,64.48029,64.51613,63.78136,63.85305,3566401
1478179800,63.81720,63.82616,62.58065,62.65233,4534085
1478266200,62.96595,63.10036,62.75986,62.94803,3335054
1478529000,63.46774,63.77240,63.36021,63.53046,3107948
1478615400,63.79928,64.13979,63.49463,63.87097,2392481
1478701800,65.99462,66.76524,65.39426,66.56810,8172022
1478788200,66.11111,66.74731,65.68996,66.37097,5834225
1478874600,66.08423,66.28136,65.38531,65.85126,3167654
1479133800,64.25627,64.82975,64.22043,64.55197,4502725
1479220200,63.79032,64.56093,63.65591,64.42652,3210732
1479306600,64.04122,64.92831,64.04122,64.68638,8151376
1479393000,64.91039,65.17025,64.67742,65.00000,3512387
1479479400,63.87993,64.03226,63.21685,63.29749,3198233
1479738600,62.67025,62.93907,62.61649,62.84050,3130938
1479825000,61.56810,61.62186,60.60036,61.01255,6064456
1479911400,60.42115,61.67563,60.28674,61.65771,5416060
1480084200,62.85842,62.85842,62.29391,62.34767,1975878
1480343400,62.30287,62.47312,61.87276,61.89964,2530195
1480429800,61.81900,62.12366,61.69355,61.79211,2042280
1480516200,62.23118,62.23118,61.60394,61.61290,2443705
1480602600,61.14695,61.30824,60.51971,60.70789,2679851
1480689000,60.62724,61.20072,60.54660,61.08423,2761319
1480948200,61.52330,61.90860,61.37993,61.80107,3334496
1481034600,61.70251,61.89964,61.42473,61.79211,2382437
1481121000,61.58602,61.61290,60.94086,61.48745,3557696
1481207400,60.08065,60.61828,59.97312,60.56451,6043140
1481293800,61.96236,62.67025,61.90860,62.49104,3592627
1481553000,61.94444,62.33871,61.83692,62.22222,3575441
1481639400,63.67384,64.04122,63.63799,63.81720,3591400
1481725800,64.16666,64.25627,63.40502,63.56631,5634907
1481812200,63.79928,63.97850,63.50359,63.67384,2877494
1481898600,64.06810,64.37276,63.95161,64.31899,3837143
1482157800,64.39964,64.68638,64.13979,64.18459,3189305
1482244200,64.56989,64.68638,64.19355,64.48029,2952601
1482330600,64.60574,64.65950,64.06810,64.07706,2150755
1482417000,64.62366,64.65054,64.22939,64.31004,2669360
1482503400,64.45341,64.54301,64.23835,64.38172,1641859
1482849000,65.00896,65.03584,64.48925,64.55197,2095848
1482935400,64.95520,64.96416,64.16666,64.17563,1768414
1483021800,65.17921,65.26881,64.85663,64.91039,2455423
1483108200,65.48387,65.73476,65.04480,65.26881,4105876
1483453800,65.31362,65.51075,64.92831,65.25986,3759692
1483540200,64.68638,65.16129,64.45341,65.07169,4088689
1483626600,66.03943,66.65771,65.75269,66.37097,3825983
1483713000,65.92294,66.15591,65.80645,65.85126,4077752
1483972200,66.02151,66.64874,65.79749,66.46057,3249122
1484058600,66.57706,66.70251,66.35305,66.40681,2369045
1484145000,65.75269,65.92294,64.39068,65.16129,4203972
1484231400,64.26524,65.26881,64.23835,65.22401,6082312
1484317800,65.19714,65.19714,64.76703,64.87455,6863400
1484663400,64.08602,64.56093,63.81720,64.50717,8265989
1484749800,64.36380,64.58781,64.24731,64.41756,2931955
1484836200,63.17204,63.51255,62.93011,63.10932,6314663
1484922600,63.09140,63.43190,62.99283,63.30645,3378244
1485181800,62.89426,63.09140,62.56273,62.84946,5277676
1485268200,62.67025,62.89426,62.30287,62.75090,4543906
1485354600,63.82616,64.81183,63.40502,64.65950,7220185
1485441000,64.72222,64.80286,64.31004,64.43549,5451772
1485527400,64.24731,64.72222,64.06810,64.70430,5053025
1485786600,64.47133,64.96416,64.34588,64.78494,4573368
1485873000,64.95520,66.26344,64.74014,66.23656,3907897
1485959400,65.51075,65.81541,65.17921,65.78853,5940803
1486045800,65.19714,65.62724,65.16129,65.48387,4701038
1486132200,65.96774,66.28136,65.85126,66.20968,3369204
1486391400,65.99462,66.39785,65.99462,66.37993,2227201
1486477800,66.65771,66.71147,66.29032,66.43369,2248963
1486564200,66.26344,66.88172,66.17384,66.84588,2925036
1486650600,66.84588,67.56272,66.84588,67.31183,2938874
1486737000,67.02509,67.55376,66.98029,67.39247,2260346
1486996200,67.58961,67.61649,67.33871,67.58961,3198233
1487082600,67.19534,67.50000,66.78316,67.34767,3438061
1487169000,67.11469,68.01971,67.07885,67.94803,3499888
1487255400,68.49462,68.77240,68.21684,68.75448,2787433
1487341800,68.34229,69.18459,68.30645,69.17563,3980549
1487687400,68.57527,69.30108,68.53046,69.03226,4350056
1487773800,68.54839,69.09498,68.53046,68.86201,4443354
1487860200,69.31899,69.58781,69.05914,69.39964,3942158
1487946600,69.39964,69.39964,68.83513,69.24731,3067772
1488205800,69.31004,69.62366,69.25627,69.51613,1825441
1488292200,69.65950,70.36739,69.61469,70.04480,3113640
1488378600,67.57169,68.05556,67.49104,67.85842,3037975
1488465000,66.71147,67.40144,66.67563,67.05197,6910049
1488551400,67.50000,68.14516,67.43728,68.02867,3589614
1488810600,67.84050,67.93011,67.53584,67.69714,2165933
1488897000,66.09319,66.80108,65.95878,66.63979,4703159
1488983400,66.38889,66.81899,66.36201,66.54122,3899304
1489069800,66.70251,67.38351,66.66666,67.30286,3478460
1489156200,67.41039,67.84050,67.22222,67.74194,3359048
1489411800,67.78674,67.86739,67.38351,67.75089,2535887
1489498200,67.16846,67.47312,67.11469,67.25806,3989477
1489584600,66.97133,67.75986,66.83692,67.71506,4202856
1489671000,67.61649,67.84050,67.49104,67.80466,2337462
1489757400,67.87634,68.08244,67.69714,67.69714,1962374
1490016600,68.09140,68.25269,67.81362,67.81362,1604473
1490103000,68.00179,68.05556,66.56810,66.65771,4178639
1490189400,66.65771,66.69355,66.26344,66.47849,3651775
1490275800,66.71147,67.10574,66.61290,66.69355,2379982
1490362200,66.54122,66.74731,66.37097,66.63979,1827338
1490621400,67.03405,67.49104,67.00717,67.29391,2096741
1490707800,67.37455,67.46416,67.05197,67.05197,2158456
1490794200,67.07885,67.30286,67.04301,67.06989,2034356
1490880600,67.23119,67.49104,66.91756,66.98925,2048976
1490967000,66.87276,66.88172,66.53226,66.55018,1691856
1491226200,66.71147,66.90860,66.37993,66.66666,1572779
1491312600,66.62186,67.15054,66.54122,66.99821,2056342
1491399000,66.50538,66.88172,66.08423,66.10215,2960078
1491485400,66.39785,66.42473,65.99462,66.04839,1678129
1491571800,66.00359,66.33513,65.94086,66.05735,1310519
1491831000,66.14695,66.18279,65.86918,65.86918,2662553
1491917400,66.37993,66.43369,66.01254,66.27240,1864278
1492003800,66.34409,66.47849,66.10215,66.31721,1471223
1492090200,65.86021,66.02151,65.51971,65.54659,2545931
1492435800,65.48387,65.87814,65.41219,65.70789,1467317
1492522200,65.57348,65.59140,65.16129,65.34946,2639340
1492608600,65.38531,65.63620,65.11649,65.17921,1579586
1492695000,66.20968,66.22760,65.80645,65.96774,4397040
1492781400,66.01254,66.15591,65.68996,65.77061,2596151
1493040600,66.68459,66.89068,66.36201,66.85484,3324676
1493127000,68.36021,68.61111,67.93011,68.31541,3984901
1493213400,67.77778,68.68279,67.75986,68.41398,2070180
1493299800,69.03226,69.45341,68.98746,69.05018,4183772
1493386200,68.68279,69.03226,68.63799,69.02330,1977552
1493645400,68.98746,69.19355,68.90681,68.99641,1385849
1493731800,69.51613,69.84767,69.36380,69.83871,2115490
1493818200,69.74014,69.74014,69.19355,69.52509,2161580
1493904600,69.48029,69.72222,69.34588,69.72222,1869077
1493991000,69.79391,69.83871,69.46236,69.73119,1560280
1494250200,70.09856,70.13441,69.71326,69.80286,2281104
1494336600,70.39426,70.67204,70.16129,70.35842,3986017
1494423000,70.60036,70.68101,70.21506,70.63620,1748660
1494509400,70.12545,70.65412,70.12545,70.53764,1991279
1494595800,71.76524,72.33871,71.64874,72.11469,3538613
1494855000,72.01613,72.38351,71.98925,72.20430,2436563
1494941400,73.41398,73.42294,72.19534,72.45520,5111280
1495027800,72.45520,72.98387,71.52330,71.55914,4935733
1495114200,71.55914,72.24911,71.29032,71.75627,7589358
1495200600,72.25806,72.42831,71.98925,72.06093,5094763
1495459800,72.98387,73.28853,72.67025,72.84050,6564758
1495546200,72.68817,72.96595,72.48208,72.63441,2767457
