time,open,high,low,close,tick_volume
1472477400,88.69000,89.55000,88.68000,88.94000,1590000
1472563800,89.20000,89.61000,88.05000,88.50000,1894200
1472650200,88.13000,88.40000,87.51000,88.02000,2155700
1472736600,88.38000,88.99000,87.39000,87.95000,3157100
1472823000,88.25000,88.25000,87.46000,88.15000,2126100
1473168600,87.89000,87.98000,86.52000,87.83000,3001200
1473255000,87.63000,87.78000,86.59000,86.61000,2929600
1473341400,86.51000,86.84000,85.36000,85.89000,3393900
1473427800,84.80000,84.93000,81.22000,81.40000,5737500
1473687000,80.99000,83.20000,80.13000,82.91000,4312400
1473773400,83.15000,83.31000,81.56000,82.50000,3462900
1473859800,81.91000,83.55000,81.91000,83.55000,2848600
1473946200,83.48000,85.85000,83.28000,85.54000,2851200
1474032600,85.87000,86.23000,83.45000,83.75000,3917900
1474291800,84.35000,84.54000,82.35000,82.99000,3383500
1474378200,83.77000,83.90000,82.48000,82.79000,2345400
1474464600,83.17000,83.67000,82.64000,83.38000,1896200
1474551000,84.30000,84.53000,83.71000,84.39000,1845300
1474637400,84.03000,85.00000,83.53000,83.90000,2730500
1474896600,83.05000,83.74000,82.40000,82.53000,2711500
1474983000,82.23000,83.20000,81.74000,82.43000,3477000
1475069400,82.54000,83.40000,81.81000,82.24000,2563000
1475155800,82.11000,98.09000,81.50000,96.12000,24577600
1475242200,99.70000,104.64000,99.70000,102.01000,23753400
1475501400,102.98000,105.00000,101.98000,102.76000,6897100
1475587800,102.76000,104.95000,102.50000,103.23000,5738100
1475674200,103.19000,104.31000,102.36000,102.50000,4683700
1475760600,102.50000,105.29000,100.82000,103.49000,10835100
1475847000,103.82000,103.92000,102.09000,102.99000,4721400
1476106200,102.36000,103.71000,102.05000,102.83000,3123500
1476192600,102.77000,102.77000,100.69000,101.93000,4392800
1476279000,101.52000,103.20000,100.75000,102.74000,2853400
1476365400,101.87000,102.00000,100.30000,101.84000,3388200
1476451800,102.36000,103.09000,101.13000,101.40000,2078300
1476711000,100.87000,101.94000,100.60000,100.88000,1857700
1476797400,101.65000,102.23000,101.25000,101.65000,1280500
1476883800,101.20000,101.65000,100.88000,101.03000,1939100
1476970200,100.48000,107.54000,99.39000,104.49000,7829100
1477056600,105.39000,105.56000,100.80000,101.71000,14438900
1477315800,101.62000,102.00000,100.51000,101.84000,3358500
1477402200,101.65000,101.65000,100.50000,100.64000,3971000
1477488600,100.41000,101.15000,97.87000,98.66000,6458000
1477575000,100.36000,100.70000,98.74000,99.08000,36614100
1477661400,99.75000,100.26000,99.20000,99.78000,13881200
1477920600,99.81000,100.30000,99.72000,100.00000,7926700
1478007000,100.00000,100.05000,99.33000,99.55000,6967000
1478093400,99.51000,99.67000,99.00000,99.03000,5181900
1478179800,99.25000,99.60000,98.69000,98.74000,4918500
1478266200,98.72000,99.25000,98.32000,98.70000,3284600
1478529000,99.11000,99.34000,98.65000,98.72000,5906800
1478615400,98.80000,99.43000,98.55000,99.01000,4715300
1478701800,98.50000,98.76000,97.01000,97.28000,7985400
1478788200,97.41000,97.56000,95.88000,96.59000,8361900
1478874600,96.50000,98.05000,96.50000,97.73000,3810200
1479133800,98.00000,98.00000,96.61000,96.74000,4583200
1479220200,96.63000,98.04000,96.33000,97.80000,3477500
1479306600,97.82000,98.69000,97.68000,97.83000,2306800
1479393000,98.00000,98.57000,97.65000,98.06000,2281700
1479479400,98.51000,99.05000,98.35000,98.88000,2341900
1479738600,99.28000,99.43000,98.31000,98.59000,2814100
1479825000,98.95000,99.25000,98.34000,98.84000,1986900
1479911400,98.60000,99.52000,98.50000,99.33000,2021800
