time,open,high,low,close,tick_volume
1472540400,5500.00000,5555.00000,5500.00000,5515.00000,342785
1472626800,5500.00000,5570.00000,5500.00000,5525.00000,519259
1472713200,5535.00000,5620.00000,5520.00000,5595.00000,562929
1472799600,5615.00000,5705.00000,5555.00000,5680.00000,470789
1473058800,5690.00000,5705.00000,5595.00000,5610.00000,354943
1473145200,5635.00000,5675.00000,5590.00000,5655.00000,491188
1473231600,5645.00000,5665.00000,5595.00000,5600.00000,655126
1473318000,5595.00000,5645.00000,5565.00000,5620.00000,385748
1473404400,5585.00000,5600.00000,5415.00000,5440.00000,737328
1473663600,5360.00000,5379.08789,5240.00000,5290.00000,811511
1473750000,5300.00000,5320.00000,5220.00000,5230.00000,998337
1473836400,5290.00000,5290.00000,5199.21094,5210.00000,547036
1473922800,5165.00000,5165.00000,4915.00000,4957.00000,1608262
1474009200,4974.00000,5040.00000,4880.00000,5005.00000,1001204
1474268400,5025.00000,5055.00000,4984.25391,5040.00000,506288
1474354800,5030.00000,5055.00000,4897.00000,4897.00000,529142
1474441200,4922.00000,4968.00000,4902.00000,4909.00000,363440
1474527600,4937.00000,4950.00000,4888.00000,4911.00000,423897
1474614000,4916.00000,4932.00000,4814.00000,4822.00000,594132
1474873200,4818.00000,4822.00000,4696.00000,4726.00000,520769
1474959600,4730.00000,4762.00000,4672.00000,4748.00000,591666
1475046000,4750.00000,4818.00000,4714.00000,4781.00000,529042
1475132400,4790.00000,4815.00000,4743.00000,4801.00000,705984
1475218800,4750.00000,4815.00000,4710.00000,4776.00000,681610
1475478000,4753.00000,4768.00000,4705.00000,4743.00000,511162
1475564400,4720.00000,4863.00000,4689.00000,4805.00000,909984
1475650800,4818.00000,4834.00000,4779.00000,4805.00000,607922
1475737200,4818.00000,4818.00000,4706.00000,4747.00000,875917
1475823600,4748.00000,4757.12012,4478.00000,4520.00000,1536339
1476082800,4513.00000,4563.00000,4497.00000,4534.00000,682550
1476169200,4572.00000,4749.00000,4561.00000,4712.00000,912968
1476255600,4716.00000,4725.12109,4657.00000,4675.00000,714744
1476342000,4661.00000,4681.00000,4546.00000,4579.00000,726017
1476428400,4587.00000,4663.00000,4587.00000,4602.00000,499864
1476687600,4588.00000,4612.00000,4493.00000,4504.00000,654592
1476774000,4525.00000,4747.00000,4522.00000,4744.00000,941472
1476860400,4749.00000,4887.00000,4720.00000,4873.00000,936530
1476946800,4855.00000,4903.00000,4811.00000,4856.00000,863427
1477033200,4847.00000,4880.00000,4794.00000,4810.00000,583708
1477292400,4840.00000,4882.00000,4807.00000,4807.00000,413542
1477378800,4820.00000,4822.00000,4693.00000,4720.00000,746243
1477465200,4695.00000,4757.00000,4670.00000,4730.00000,412605
1477551600,4722.00000,4812.00000,4640.00000,4806.00000,861146
1477638000,4807.00000,4989.00000,4737.00000,4974.00000,1185701
