time,open,high,low,close,tick_volume
1472477400,46.98000,47.42000,46.56000,47.36000,1412900
1472563800,47.60000,47.87000,46.93000,47.16000,1509500
1472650200,46.86000,47.39000,46.56000,46.89000,2114200
1472736600,46.73000,47.23000,46.26000,47.21000,1731700
1472823000,47.80000,48.87000,47.73000,48.26000,1905600
1473168600,48.56000,49.46000,48.55000,49.26000,1775000
1473255000,49.32000,50.14000,49.22000,49.92000,1907200
1473341400,50.46000,51.13000,50.21000,51.00000,2285500
1473427800,50.23000,50.30000,48.70000,48.81000,2039600
1473687000,48.28000,49.86000,47.50000,49.30000,2556400
1473773400,48.51000,48.63000,46.47000,46.95000,3825500
1473859800,46.78000,48.21000,46.49000,46.70000,2598800
1473946200,46.91000,47.60000,46.67000,46.83000,2154600
1474032600,46.24000,46.54000,45.89000,46.08000,3731500
1474291800,46.54000,47.86000,46.37000,47.39000,1882700
1474378200,47.42000,47.89000,46.99000,47.02000,1534300
1474464600,47.70000,48.99000,47.56000,48.94000,2609300
1474551000,49.70000,50.12000,49.23000,49.64000,2203400
1474637400,49.39000,50.03000,48.46000,48.62000,2040700
1474896600,48.86000,49.43000,48.45000,48.84000,1609500
1474983000,48.14000,48.88000,47.50000,48.80000,1571600
1475069400,49.27000,51.72000,48.82000,51.24000,2787800
1475155800,51.00000,51.56000,50.37000,50.94000,2177000
1475242200,51.49000,51.60000,50.85000,51.39000,2050800
1475501400,51.43000,51.62000,50.41000,51.11000,1496100
1475587800,50.48000,50.98000,49.05000,49.54000,1959000
1475674200,50.05000,50.45000,49.35000,49.58000,1998000
1475760600,49.77000,50.20000,49.12000,49.67000,1421400
1475847000,49.97000,50.08000,49.04000,49.36000,1529900
1476106200,50.00000,50.90000,49.92000,50.35000,1346500
1476192600,50.34000,50.52000,49.27000,49.82000,1114900
1476279000,49.50000,50.32000,49.17000,50.21000,1091300
1476365400,49.69000,50.13000,48.96000,49.80000,1736200
1476451800,50.05000,50.68000,49.97000,50.13000,1838300
1476711000,50.03000,50.29000,49.40000,49.45000,1103100
1476797400,50.17000,50.25000,49.23000,50.03000,1015200
1476883800,50.64000,51.67000,50.53000,51.04000,1376200
1476970200,50.55000,50.99000,50.05000,50.91000,1010600
1477056600,50.50000,50.73000,50.31000,50.63000,806300
1477315800,50.63000,51.20000,49.57000,50.37000,976600
1477402200,50.38000,50.54000,49.11000,49.17000,1480800
