time,open,high,low,close,tick_volume
1607092200,5.95000,6.50000,5.70000,6.15000,1001400
1607351400,6.53000,6.53000,5.95000,6.07000,126300
1607437800,6.18000,6.18000,5.95000,6.00000,80800
1607524200,6.00000,6.09000,5.86000,6.00000,74300
1607610600,6.01000,6.06000,5.90000,6.00000,82400
1607697000,6.07000,6.12500,5.97000,5.99000,141900
1607956200,6.09000,6.15000,5.90000,6.00000,258700
1608042600,6.00000,6.24000,5.92000,6.00000,361900
1608129000,5.99000,6.25000,5.95000,6.20000,287300
1608215400,6.26000,8.64000,6.05000,7.25000,701800
1608301800,7.50000,7.69000,6.26000,6.79000,318000
1608561000,6.47000,7.00000,6.02500,6.45000,149900
1608647400,6.46000,8.00000,6.45000,6.92000,172200
1608733800,7.47000,9.75000,6.85000,7.55000,1975300
1608820200,7.34000,7.87000,7.15000,7.65000,113300
1609165800,7.89000,8.75000,7.25000,8.59000,396100
1609252200,8.57000,9.49000,7.99000,8.05000,810200
1609338600,8.12000,10.74000,8.00000,9.50000,481700
1609425000,9.54000,9.99000,9.03000,9.33000,185400
1609770600,9.49000,9.85000,8.54400,8.81000,224000
1609857000,8.79000,9.66100,8.62600,9.29000,289300
1609943400,9.50000,9.52000,8.66000,8.79000,252900
1610029800,8.85000,9.84500,8.85000,8.98000,210900
1610116200,8.85000,9.37900,8.85000,9.25000,112500
1610375400,9.28000,9.40000,8.93000,9.26000,169600
1610461800,9.24000,10.00000,8.86000,9.82000,411400
1610548200,10.00000,14.90000,9.26000,12.28000,2881200
1610634600,13.25000,13.42000,11.69000,12.10000,525700
1610721000,12.49000,14.25000,12.02000,12.68000,983300
1611066600,12.89000,14.50000,12.12000,14.09000,574500
1611153000,14.18000,14.25000,12.75000,13.50000,392200
1611239400,13.23000,13.61000,12.05000,13.13000,248700
1611325800,12.95000,13.49000,11.89000,12.06000,422300
1611585000,12.70000,13.25000,12.00000,12.72000,394100
1611671400,12.54000,14.25000,12.40900,13.02000,1067500
1611757800,12.31000,13.41600,12.30000,12.32000,323800
1611844200,12.36000,12.68000,11.85000,12.13000,384000
1611930600,12.81000,13.20000,11.95000,12.12000,561500
1612189800,12.16000,12.99000,11.57000,12.70000,714400
1612276200,12.80000,12.80000,12.15000,12.49000,288200
1612362600,12.58000,12.80000,12.31800,12.65000,344300
1612449000,12.79500,13.79000,12.21000,12.70000,765600
1612535400,12.70000,13.05000,12.28000,12.83000,513100
1612794600,12.99000,14.12000,12.40700,13.25000,914100
1612881000,13.16000,13.25000,12.60000,12.73000,598300
1612967400,12.93000,13.48900,12.00000,13.09000,950600
1613053800,13.20000,13.22000,12.15000,12.65000,505000
1613140200,12.59000,12.97000,12.25000,12.92000,249000
1613485800,13.41000,16.00000,13.34000,15.40000,1236700
1613572200,15.10000,15.32500,13.11000,13.33000,970800
1613658600,12.91000,13.35000,12.25000,12.68000,911700
1613745000,12.70000,13.12200,12.25000,12.27000,508000
1614004200,12.40000,14.08000,12.31000,12.89000,1343600
1614090600,12.04000,14.10900,11.75000,13.39000,1485000
1614177000,13.74000,14.46000,13.30000,14.00000,508200
1614263400,14.06000,14.70000,12.25000,13.00000,695900
1614349800,12.64000,13.36000,12.26700,12.47000,495400
1614609000,12.60000,13.27400,12.47000,12.95000,251200
1614695400,13.10000,13.20000,12.31000,12.31000,204200
1614781800,12.46000,12.70700,12.05000,12.25000,407000
1614868200,12.03000,12.50000,10.20000,10.92000,1185100
1614954600,11.30000,11.98000,8.94000,11.92000,1071700
1615213800,12.04000,12.74000,9.10000,9.54000,1040700
1615300200,9.95000,10.50000,9.83000,9.91000,484000
1615386600,10.05000,10.90700,9.92000,10.09000,286400
1615473000,10.45000,11.40000,10.28000,11.30000,404600
1615559400,11.04000,11.21900,10.52000,10.99000,278800
1615815000,11.00000,11.85000,10.80000,11.75000,294500
1615901400,11.91000,12.15000,11.08000,11.29000,306100
1615987800,11.06000,11.90000,11.06000,11.80000,331200
1616074200,11.56000,12.25000,11.21000,11.26000,335800
1616160600,11.51000,12.24000,11.09000,11.32000,880600
1616419800,11.56000,12.05000,11.47800,11.70000,215300
1616506200,11.66000,11.91000,10.52000,10.73000,396800
1616592600,10.96000,11.18000,9.58000,9.76000,258700
1616679000,9.49000,10.42000,9.25000,10.16000,161800
1616765400,10.03000,10.75000,9.44000,9.84000,307600
1617024600,9.77000,10.06500,9.20000,9.28000,195100
1617111000,9.14000,9.71900,9.10000,9.65000,259200
1617197400,9.71000,9.91000,9.42000,9.69000,293000
1617283800,9.84000,10.00000,9.35000,9.44000,391900
1617629400,9.50000,9.69000,7.74000,8.38000,1399500
1617715800,8.30000,8.60900,8.15000,8.22000,337300
1617802200,8.30000,8.30000,7.70000,7.84000,455700
1617888600,7.95000,8.90000,7.76000,8.81000,725200
1617975000,8.61000,8.66000,8.03000,8.27000,398400
1618234200,8.29000,8.81000,8.09000,8.72000,307500
1618320600,8.82000,8.87100,7.95000,8.00000,306800
1618407000,8.17000,8.99000,8.05000,8.64000,358900
1618493400,8.75000,8.81000,7.78000,7.88000,295100
1618579800,7.80000,8.14000,7.51000,8.10000,307300
