time,open,high,low,close,tick_volume
1472477400,18.53200,18.75467,18.52733,18.66867,9147000
1472563800,18.69400,18.70200,18.44467,18.53133,12045000
1472650200,18.53933,18.69933,18.51200,18.66333,10314000
1472736600,18.71333,18.90067,18.66667,18.80867,7887000
1472823000,18.82267,18.87333,18.76733,18.83867,9877500
1473168600,18.83533,18.88333,18.74800,18.87267,8667000
1473255000,18.88800,18.88933,18.73733,18.84867,8836500
1473341400,18.80000,18.87267,18.71800,18.79667,12348000
1473427800,18.66933,18.79333,18.54000,18.54733,20533500
1473687000,18.50467,18.69933,18.45733,18.61533,15561000
1473773400,18.50200,18.62133,18.43733,18.56133,14679000
1473859800,18.59333,18.63667,18.40467,18.43200,10914000
1473946200,18.41200,18.47000,18.32533,18.40267,9973500
1474032600,18.29267,18.36267,18.16133,18.17867,16699500
1474291800,18.20267,18.40400,18.20267,18.36400,9823500
1474378200,18.42667,18.54800,18.30200,18.34333,11094000
1474464600,18.66667,18.66667,18.33267,18.63667,14700000
1474551000,18.70067,19.04000,18.64333,18.90600,19273500
1474637400,18.78867,18.89733,18.63867,18.78467,11323500
1474896600,18.73533,18.91333,18.66867,18.79733,12483000
1474983000,18.88533,19.04467,18.79267,18.96933,13284000
1475069400,18.96133,18.97133,18.75467,18.79800,10137000
1475155800,18.80867,18.90800,18.58400,18.59333,10165500
1475242200,18.65600,18.74867,18.59333,18.67400,7738500
1475501400,18.62867,18.66600,18.39000,18.40533,11868000
1475587800,18.42333,18.52933,18.23733,18.29133,9987000
1475674200,18.35933,18.43667,18.30733,18.32400,8160000
1475760600,18.29533,18.51867,18.20733,18.50400,7815000
1475847000,18.57467,18.57467,18.30933,18.35867,7582500
1476106200,18.38667,18.56600,18.37933,18.51533,4782000
1476192600,18.47933,18.47933,18.28467,18.30600,8584500
1476279000,18.26267,18.46267,18.26067,18.41733,9582000
1476365400,18.35133,18.60067,18.30467,18.59267,9220500
1476451800,18.67333,18.88067,18.60800,18.62133,7819500
1476711000,18.60467,18.69400,18.51733,18.53133,12306000
1476797400,18.65600,18.74067,18.42133,18.53800,7638000
1476883800,18.40067,18.76533,18.23667,18.53733,13530000
1476970200,18.49067,18.65267,18.24333,18.25867,11005500
1477056600,18.18533,18.41667,18.12000,18.37067,9976500
1477315800,18.52800,18.63533,18.48333,18.61933,9345000
1477402200,18.53533,18.69267,18.48000,18.68467,10882500
1477488600,18.66333,18.66333,18.45733,18.47733,14454000
1477575000,18.00000,18.23467,16.77467,16.86667,50460000
1477661400,16.86800,17.61733,16.86800,17.56667,40878000
1477920600,17.57867,17.68333,17.42267,17.62933,20676000
1478007000,17.59333,17.72867,17.49667,17.61600,15825000
1478093400,17.60600,17.73133,17.50333,17.51333,12129000
1478179800,17.51400,17.63267,17.41467,17.45600,10783500
1478266200,17.31133,17.59867,17.31133,17.41333,15951000
1478529000,17.65000,17.65800,17.26667,17.30733,19872000
1478615400,17.29067,17.45733,17.22200,17.30533,15582000
1478701800,16.95200,17.67933,16.67133,17.61000,16647000
1478788200,17.60000,17.76267,17.40533,17.50267,14148000
1478874600,17.42867,17.63400,17.40333,17.51933,14511000
1479133800,17.54400,17.61133,17.40267,17.47600,22843500
1479220200,17.85933,17.94733,17.56067,17.87000,17892000
1479306600,17.80933,17.99867,17.70400,17.99333,13011000
1479393000,17.89200,18.15267,17.86333,18.06600,12627000
1479479400,17.98333,18.14600,17.66133,17.71600,13734000
1479738600,17.71667,18.04467,17.70533,18.00067,12183000
1479825000,18.11200,18.34467,18.00467,18.33333,12190500
1479911400,18.35267,18.51267,18.22667,18.36467,12030000
1480084200,18.33333,18.60000,18.32867,18.44067,4863000
1480343400,18.44733,18.62400,18.29200,18.30867,9138000
1480429800,18.30867,18.54733,18.28867,18.35933,8428500
1480516200,18.38133,18.42933,18.27600,18.30000,13429500
1480602600,18.24133,18.41267,18.16133,18.20400,11272500
1480689000,18.21800,18.35733,18.14467,18.26267,10840500
1480948200,18.29667,18.52067,18.29533,18.43133,13672500
1481034600,18.50067,18.58600,18.40133,18.51200,7603500
1481121000,18.54867,19.03000,18.54000,19.01333,13384500
1481207400,18.95933,19.05600,18.44533,18.48733,14443500
1481293800,18.46267,18.51133,18.24600,18.39733,9957000
1481553000,18.37067,18.46267,18.28667,18.45800,7203000
1481639400,18.62133,18.90200,18.60533,18.83533,11179500
1481725800,18.83400,18.91267,18.41667,18.45533,10725000
1481812200,18.42600,18.83800,18.38267,18.53600,9139500
1481898600,18.63000,18.74200,18.55733,18.62000,14553000
1482157800,18.62000,18.94400,18.53400,18.87400,10111500
1482244200,18.95400,19.04733,18.83733,19.01000,6885000
1482330600,19.00000,19.10467,18.91867,19.03533,7599000
1482417000,19.01867,19.02667,18.83467,18.86600,10792500
1482503400,18.85867,18.91933,18.80467,18.88133,4438500
1482849000,18.86733,18.98267,18.86733,18.91000,6555000
1482935400,18.95333,18.99933,18.68267,18.71133,6699000
1483021800,18.75333,18.83067,18.72733,18.77600,6022500
1483108200,18.83933,18.89133,18.49133,18.56067,8670000
1483453800,18.66667,18.73800,18.53733,18.72133,14512500
1483540200,18.72133,18.85333,18.62000,18.80733,7389000
1483626600,18.72267,18.87467,18.68133,18.85400,9660000
1483713000,18.85400,18.93133,18.75600,18.78533,7089000
1483972200,18.71733,18.79867,18.58600,18.62667,7872000
1484058600,18.64467,18.87867,18.58933,18.75333,6655500
1484145000,18.78533,18.92133,18.61800,18.75533,7152000
1484231400,18.67467,18.79867,18.61400,18.77200,6975000
1484317800,18.79133,18.85533,18.59200,18.61000,7023000
1484663400,18.56667,18.78067,18.41800,18.58400,9900000
1484749800,18.67733,18.74400,18.56667,18.72067,8611500
1484836200,18.66933,18.76667,18.32000,18.33667,8421000
1484922600,18.45067,18.49400,18.22467,18.26733,14701500
1485181800,17.96667,17.96667,17.54200,17.66600,21271500
1485268200,17.70400,17.91667,17.68200,17.83067,15261000
1485354600,17.88867,17.91200,17.71467,17.73800,14854500
1485441000,17.69867,17.82800,17.52200,17.53333,14578500
1485527400,17.57133,17.68533,17.44400,17.58600,14590500
1485786600,17.46667,17.59867,17.27667,17.45933,22431000
1485873000,17.43067,17.55667,17.27933,17.48467,13723500
1485959400,17.47933,17.53333,16.94733,16.95667,24733500
1486045800,16.94600,17.21333,16.90267,17.11267,14976000
1486132200,17.22600,17.45600,17.14400,17.32267,14557500
1486391400,17.27000,17.40467,17.18667,17.22667,17734500
1486477800,17.29067,17.55267,17.27267,17.47933,30619500
1486564200,17.54667,18.25600,17.32933,18.11000,41793000
1486650600,18.35067,18.49333,18.07467,18.31867,26749500
1486737000,18.25000,18.36267,17.97200,18.12000,19012500
1486996200,18.16400,18.17533,17.87933,17.89867,13006500
1487082600,17.89933,18.01733,17.84400,17.96800,13758000
1487169000,17.91467,18.07733,17.91467,18.04133,9975000
1487255400,18.04467,18.06533,17.77067,17.79000,11349000
1487341800,17.79000,17.87733,17.63133,17.87467,11079000
1487687400,17.94067,18.17600,17.81067,17.91333,15723000
1487773800,17.94000,17.95800,17.75333,17.87267,11640000
1487860200,17.94533,17.94533,17.68733,17.72933,13812000
1487946600,17.71600,17.95200,17.62467,17.91533,10788000
1488205800,17.84200,17.98200,17.63733,17.88333,8265000
1488292200,17.86467,18.12867,17.82000,18.11400,20178000
1488378600,18.21600,18.29333,18.07533,18.10133,15091500
1488465000,18.06000,18.15133,17.98067,18.13200,11997000
1488551400,18.13667,18.20200,17.89267,18.04333,17122500
1488810600,18.01733,18.09933,17.89667,17.92400,12178500
1488897000,17.93667,18.01133,17.88200,17.98800,12315000
1488983400,17.96133,18.12667,17.80267,18.09667,9253500
1489069800,18.09733,18.12400,17.89333,17.94267,11302500
1489156200,18.03867,18.08200,17.89800,17.97533,10897500
1489411800,17.96467,18.33800,17.91267,18.29533,16371000
1489498200,18.29533,18.45000,18.27067,18.35933,13863000
1489584600,18.38400,18.43000,17.92200,18.04733,22476000
1489671000,18.06667,18.19467,18.02333,18.13733,9765000
1489757400,18.28867,18.32800,18.14267,18.28000,21514500
1490016600,18.33267,18.39600,18.12667,18.20533,9643500
1490103000,18.24733,18.32467,18.00600,18.03333,8194500
1490189400,18.08867,18.18667,17.94333,18.09333,10675500
1490275800,18.08667,18.19200,17.97467,18.09667,8673000
1490362200,18.16000,18.20200,18.06467,18.11733,6237000
1490621400,18.05333,18.13533,17.90467,17.98667,8902500
1490707800,17.96467,18.04133,17.86000,17.98067,10588500
1490794200,18.33333,18.36800,18.08600,18.31867,15162000
1490880600,18.34333,18.34867,18.04067,18.16067,12418500
1490967000,18.10333,18.18533,17.94867,17.98933,11781000
1491226200,17.73333,17.73333,16.92400,17.24600,36499500
1491312600,17.20000,17.34667,17.00800,17.03400,20700000
1491399000,17.03400,17.20467,16.99800,17.01133,11868000
1491485400,17.05000,17.11133,16.91733,16.95800,13254000
1491571800,17.03600,17.07333,16.84000,16.87933,14452500
1491831000,16.88200,17.16000,16.80333,16.99400,10921500
1491917400,16.97333,16.99333,16.84133,16.98267,10698000
1492003800,16.84200,16.93533,16.70267,16.86867,12606000
1492090200,16.86267,16.93400,16.77267,16.79933,11449500
1492435800,16.84600,16.97133,16.80467,16.93000,9858000
1492522200,16.79667,17.12467,16.79067,17.07067,11923500
1492608600,17.17733,17.57467,17.16667,17.25800,14731500
1492695000,17.33333,17.58733,17.23400,17.53333,11131500
1492781400,17.56400,17.73867,17.52333,17.69067,10816500
1493040600,17.81000,18.00667,17.70667,17.95200,19054500
1493127000,17.67667,17.88800,17.51867,17.59733,22056000
1493213400,17.67467,17.91533,17.55400,17.67133,21417000
1493299800,17.49933,17.87267,16.33400,17.14600,51705000
1493386200,17.13333,17.13333,16.38267,16.54333,47980500
1493645400,16.56267,16.58333,15.94133,16.11333,43371000
1493731800,16.02267,16.50733,16.02133,16.38800,26466000
