time,open,high,low,close,tick_volume
1602250200,97.00000,97.00000,97.00000,97.00000,10
1602509400,97.00000,97.00000,97.00000,97.00000,0
1602595800,97.00000,97.00000,97.00000,97.00000,0
1602682200,97.00000,97.00000,96.40000,97.00000,1040
1602768600,97.00000,97.00000,97.00000,97.00000,0
1602855000,97.00000,97.00000,97.00000,97.00000,0
1603114200,96.68000,96.68000,96.68000,96.68000,10
1603200600,96.50000,96.90000,96.00000,96.90000,36680
1603287000,96.90000,96.90000,96.90000,96.90000,0
1603373400,96.90000,96.90000,96.90000,96.90000,0
1603459800,97.00000,97.00000,96.00000,96.50000,40140
1603719000,96.72000,96.72000,96.20000,96.29000,640
1603805400,96.50000,96.50000,96.30000,96.30000,1760
1603891800,96.10000,96.30000,96.00000,96.00000,20300
1603978200,96.21000,96.50000,96.21000,96.50000,30
1604064600,96.35000,96.35000,95.40000,96.00000,20320
1604327400,99.50000,99.50000,95.70000,96.00000,1150
1604413800,95.90000,96.40000,95.90000,96.20000,140
1604500200,96.20000,96.70000,95.97000,96.70000,5010
1604586600,95.85000,96.70000,95.85000,96.70000,430
1604673000,96.65000,96.65000,96.10000,96.20000,370
1604932200,96.30000,96.30000,96.10000,96.10000,3900
1605018600,96.89000,97.10000,96.40000,96.50000,280
1605105000,96.72000,96.90000,96.50000,96.50000,260
1605191400,96.50000,96.50000,96.50000,96.50000,0
1605277800,97.90000,97.90000,96.50000,96.50000,90
1605537000,96.85000,100.00000,96.60000,100.00000,36430
1605623400,97.00000,97.70000,96.90000,97.20000,58530
1605709800,97.00000,97.00000,96.60000,96.90000,340
1605796200,98.00000,98.00000,96.60000,97.40000,106460
1605882600,97.00000,98.30000,97.00000,98.30000,110
1606141800,98.30000,98.30000,98.30000,98.30000,0
1606228200,97.00000,97.30000,96.50000,97.19000,110
1606314600,97.50000,97.50000,96.80000,97.30000,600
1606487400,96.90000,97.50000,96.90000,97.50000,230
1606746600,97.50000,98.50000,97.31000,98.50000,6790
1606833000,97.70000,98.00000,97.50000,98.00000,1830
1606919400,98.50000,98.50000,97.50000,97.60000,2420
1607005800,97.20000,98.20000,97.20000,97.80000,690
1607092200,97.70000,98.20000,97.60000,98.00000,3350
1607351400,97.70000,98.00000,97.00000,97.70000,2850
1607437800,98.40000,99.90000,98.00000,98.50000,14980
1607524200,98.50000,99.90000,98.30000,99.50000,11220
1607610600,99.90000,100.00000,99.50000,99.90000,4520
1607697000,100.00000,100.40000,99.75000,99.95000,7720
1607956200,100.50000,101.90000,100.40000,101.20000,23880
1608042600,101.70000,102.60000,100.50000,100.70000,11790
1608129000,100.70000,101.10000,100.40000,100.80000,9610
1608215400,102.00000,102.00000,100.70000,100.70000,410
1608301800,100.10000,100.50000,100.10000,100.50000,900
1608561000,101.10000,101.40000,100.30000,100.80000,11730
1608647400,145.39999,152.50000,132.70000,138.30000,1515440
1608733800,152.20000,161.00000,141.80000,160.00000,866700
1608820200,169.39999,177.30000,154.20000,162.50000,432790
1609165800,167.89999,169.60001,147.80000,149.30000,368810
1609252200,149.30000,149.30000,135.50000,140.10001,214720
1609338600,142.00000,146.70000,139.10001,139.89999,125190
1609425000,139.50000,139.80000,131.10001,135.00000,151670
1609770600,138.50000,139.50000,122.60000,130.00000,205250
1609857000,128.10001,134.30000,127.00000,132.70000,119950
1609943400,130.50000,142.00000,130.50000,136.10001,153520
1610029800,140.00000,142.00000,136.00000,138.60001,118220
1610116200,138.00000,139.80000,132.50000,133.30000,122140
1610375400,133.30000,137.00000,131.50000,132.00000,118700
1610461800,133.39999,135.80000,132.10001,133.50000,101950
1610548200,135.00000,144.00000,135.00000,141.50000,141830
1610634600,141.50000,147.70000,137.10001,137.50000,146600
1610721000,139.00000,139.00000,131.00000,135.10001,98440
1611066600,135.10001,139.10001,132.50000,138.20000,91540
1611153000,136.39999,138.00000,133.60001,134.50000,71370
1611239400,134.50000,134.89999,130.60001,132.39999,73920
1611325800,132.70000,133.89999,129.00000,133.30000,69620
1611585000,134.89999,135.80000,126.80000,127.80000,116800
1611671400,129.70000,130.00000,123.80000,124.20000,136530
1611757800,121.00000,123.00000,116.30000,116.50000,154950
1611844200,119.10000,120.60000,116.50000,119.90000,61720
1611930600,118.50000,120.00000,114.80000,117.40000,102030
