time,open,high,low,close,tick_volume
1472477400,77.10000,78.02000,76.60000,77.95000,3335300
1472563800,78.48000,78.48000,77.59000,77.84000,2309600
1472650200,77.58000,77.58000,76.49000,76.85000,3376600
1472736600,76.55000,76.85000,76.01000,76.84000,3261000
1472823000,77.57000,77.78000,76.56000,77.51000,3458300
1473168600,77.60000,78.17000,77.36000,78.00000,3978800
1473255000,77.40000,77.76000,76.95000,77.13000,3881700
1473341400,77.57000,77.90000,76.79000,77.75000,5019200
1473427800,77.30000,77.30000,76.00000,76.11000,4496700
1473687000,75.10000,76.15000,74.79000,75.85000,4638200
1473773400,75.02000,75.15000,73.35000,73.51000,5846500
1473859800,73.31000,73.69000,71.43000,71.80000,5624200
1473946200,71.87000,72.77000,71.83000,72.27000,5324800
1474032600,71.60000,71.80000,70.93000,71.03000,5411300
1474291800,71.53000,71.81000,70.81000,70.82000,4220500
1474378200,70.86000,71.31000,70.49000,70.50000,4337600
1474464600,71.12000,71.89000,70.71000,71.80000,4294500
1474551000,72.58000,72.80000,71.30000,71.41000,5204000
1474637400,71.39000,71.39000,69.15000,69.60000,5802100
1474896600,69.80000,70.20000,69.22000,69.32000,4688300
1474983000,68.75000,68.97000,67.83000,68.65000,4862200
1475069400,69.07000,72.18000,68.65000,71.90000,8044800
1475155800,71.82000,73.13000,71.29000,72.14000,6467700
1475242200,72.56000,73.37000,71.98000,72.92000,5110500
1475501400,72.92000,73.18000,72.43000,72.82000,3002200
1475587800,72.84000,73.23000,72.09000,72.65000,4532700
1475674200,73.28000,73.53000,72.47000,72.54000,4196900
1475760600,72.74000,74.00000,72.60000,73.54000,5269400
1475847000,73.81000,73.99000,73.22000,73.54000,3117600
1476106200,74.11000,74.87000,74.03000,74.77000,3766400
1476192600,74.53000,74.82000,73.28000,73.69000,3694800
1476279000,73.78000,74.45000,73.37000,74.00000,4128900
1476365400,73.36000,74.16000,72.84000,73.90000,4574000
1476451800,74.60000,74.60000,72.76000,73.22000,4494200
1476711000,73.22000,73.22000,71.86000,72.47000,5608500
