time,open,high,low,close,tick_volume
1472477400,23.53667,23.74000,23.24500,23.58167,6837000
1472563800,23.60667,24.04167,23.50000,23.90833,20785200
1472650200,22.48667,22.62500,21.69167,22.19500,49602000
1472736600,22.21167,23.55667,22.21167,23.44333,29465400
1472823000,23.48167,24.34333,23.27000,24.19667,16949400
1473168600,24.19333,24.61833,24.06333,24.16167,9730200
1473255000,24.16667,24.79500,24.16667,24.55500,10987800
1473341400,24.50000,24.73333,24.41833,24.49667,9521400
1473427800,24.34500,24.74333,24.05667,24.06833,8560200
1473687000,23.98167,24.58167,23.75500,24.52500,9514200
1473773400,24.50833,24.80833,24.16167,24.51000,9221400
1473859800,24.44500,25.07833,24.39833,24.72167,12386400
1473946200,24.78667,25.14500,24.70333,24.74833,8545200
1474032600,24.52500,24.97333,24.49833,24.85000,11595600
1474291800,25.00000,25.33167,24.90667,25.12333,6480000
1474378200,25.16667,25.33000,25.00500,25.01167,5690400
1474464600,24.97333,25.00000,24.68667,24.93667,7879800
1474551000,25.11167,25.54000,25.07333,25.43000,7462200
1474637400,25.54167,25.69500,25.15833,25.20333,6544200
1474896600,24.99333,25.11833,24.81000,24.97333,6432000
1474983000,25.00000,25.32667,24.92667,25.31667,5340000
1475069400,25.38167,25.80167,25.33167,25.76000,7644000
1475155800,25.69500,26.23833,25.60833,26.01333,11133600
1475242200,26.03167,26.66667,26.03167,26.55500,10474800
1475501400,26.51167,26.62333,26.09333,26.51333,6561600
1475587800,26.50000,26.82167,26.35667,26.67000,6507000
1475674200,26.59833,27.16833,26.57167,26.89167,7490400
1475760600,26.81833,26.81833,26.39500,26.60000,8041800
1475847000,26.69500,26.83167,26.35000,26.65333,4560600
1476106200,26.68333,26.81333,26.58833,26.62333,6245400
1476192600,26.60167,26.61667,25.85667,25.91333,9816000
1476279000,24.75833,25.87667,24.53667,25.70333,17697000
1476365400,25.52000,25.53000,25.01333,25.22667,10468800
1476451800,25.42167,25.66500,25.07167,25.08167,5176800
1476711000,25.20000,25.28667,24.31333,24.33333,8865000
1476797400,24.67667,24.94167,24.61000,24.74333,5346600
1476883800,24.81500,24.99333,24.62333,24.69333,3820800
1476970200,24.70000,24.85500,24.38500,24.75667,5259600
1477056600,24.72333,25.13167,24.58000,25.02833,6322200
1477315800,25.13167,25.57667,25.12667,25.25500,5557200
1477402200,25.18833,25.30000,24.91500,24.97000,4425600
1477488600,24.95000,25.41667,24.83500,25.24167,4696800
1477575000,25.34167,25.56000,24.92333,24.94167,3972600
1477661400,24.96167,25.47833,24.86000,25.26500,3583800
1477920600,25.41167,25.93333,25.35167,25.63833,6390600
1478007000,25.62500,25.64000,25.04000,25.30167,6012600
1478093400,25.25167,25.33167,24.39667,24.47000,6481800
1478179800,24.50833,24.80833,24.20000,24.26667,5943600
1478266200,24.39667,25.08333,24.31667,24.66667,9435600
1478529000,25.14000,25.57500,25.08333,25.40500,8429400
1478615400,25.30167,25.82833,25.21333,25.48833,6589800
1478701800,25.23000,26.51667,25.23000,26.50333,10962600
1478788200,26.66667,27.22000,25.11500,25.31833,14128800
1478874600,25.16667,26.23333,24.93000,26.00167,8031600
1479133800,26.05833,26.50000,25.91667,26.07500,5893800
1479220200,26.27333,26.92833,26.26000,26.57500,7124400
1479306600,26.36000,27.00000,26.34500,26.73833,6618600
1479393000,26.62000,27.61500,26.56667,27.35833,10128600
1479479400,27.42833,27.42833,26.71667,26.89167,9695400
1479738600,27.10667,27.10667,26.38667,26.84333,27423000
1479825000,23.93000,24.04167,23.01667,23.28833,70686000
1479911400,23.37667,23.47667,23.01833,23.28167,13584600
1480084200,23.33333,23.58833,23.21000,23.58500,6158400
1480343400,23.56167,23.66667,22.57333,22.71000,19363800
1480429800,22.65833,22.86500,22.18500,22.26333,15851400
1480516200,22.36167,22.55833,22.02000,22.39500,9906000
1480602600,22.40000,22.46500,21.58000,21.60333,13218600
1480689000,21.41333,21.55667,21.01167,21.11000,15634800
1480948200,21.25000,21.79500,21.22833,21.49167,14617200
1481034600,21.71167,21.71500,21.31333,21.55833,8263200
1481121000,21.48500,21.66000,21.09167,21.56167,8976600
1481207400,21.62000,21.99333,21.51333,21.77333,7525800
1481293800,21.94167,21.99667,21.48167,21.67833,6087000
1481553000,21.66000,21.75333,21.16667,21.29833,9307800
1481639400,21.48167,21.64500,21.31833,21.54000,6903000
1481725800,21.53333,21.59167,21.21667,21.36833,6351000
1481812200,21.50000,21.71000,21.41667,21.50167,5467200
1481898600,21.50000,21.56333,21.33000,21.55333,9288000
1482157800,21.58333,21.66667,21.33333,21.40667,7787400
1482244200,21.50333,21.63167,20.96667,21.05333,8164200
1482330600,20.88833,21.22167,20.84500,21.01833,9869400
1482417000,21.13167,21.20333,20.59500,20.84333,8254200
1482503400,20.83333,21.25167,20.83333,21.23333,5720400
1482849000,21.17000,21.35833,21.09167,21.18167,4294200
1482935400,21.14333,21.22000,20.80000,20.82833,6484800
1483021800,20.83333,21.15167,20.75333,20.85500,5220000
1483108200,20.96000,21.06500,20.76500,20.84167,5716200
1483453800,20.97500,21.32167,20.97000,21.15667,6822600
1483540200,21.20000,21.35500,21.03500,21.33333,9618000
1483626600,21.34000,22.50000,21.32500,21.99500,19710600
1483713000,22.04500,22.70500,21.86667,22.50833,17364600
1483972200,22.61333,22.62333,22.18500,22.28667,9012600
1484058600,22.28667,22.58333,22.18500,22.44667,6822000
1484145000,22.64000,23.00000,22.51333,22.91667,13449600
1484231400,22.88333,22.88333,22.24333,22.72667,8821800
1484317800,22.79667,23.23833,22.79667,23.08000,9078000
1484663400,23.01333,23.25000,22.75000,23.07500,9562200
1484749800,22.91833,23.15000,22.59833,23.12667,9674400
1484836200,23.61667,23.93833,23.41667,23.65333,14199000
1484922600,23.63667,23.83000,23.58000,23.68500,6543600
1485181800,23.68667,23.74000,23.32667,23.47333,8125800
1485268200,23.59500,24.09833,23.35167,23.99667,9315000
1485354600,24.19833,24.69000,24.18500,24.35333,9778200
1485441000,24.50000,24.66667,24.08500,24.25833,6060000
1485527400,24.16667,24.27167,23.86500,24.19667,5182800
1485786600,24.16167,24.19000,23.71167,24.14667,5910600
1485873000,24.10333,24.73000,24.02000,24.59333,11955600
1485959400,24.66667,24.70833,24.10167,24.34833,6888000
1486045800,24.20167,24.47500,24.15000,24.26167,6619200
1486132200,24.91833,25.26667,24.63167,25.17000,12250800
1486391400,24.95333,25.01333,24.79000,24.94000,5144400
1486477800,25.00000,25.27833,24.98667,25.02500,6399600
1486564200,25.21667,25.31500,25.00000,25.31500,7446000
1486650600,25.48333,25.96167,25.42167,25.91500,10436400
1486737000,25.92500,26.08167,25.82500,25.88167,5796600
1486996200,25.90167,26.16333,25.83500,26.03833,5173200
1487082600,25.86500,26.18333,25.56000,26.15167,5250600
1487169000,26.15167,26.27500,25.84500,25.89167,10386000
1487255400,25.89833,25.95833,25.23333,25.48833,10594800
1487341800,25.43167,25.80500,25.00167,25.79333,9032400
1487687400,25.80000,26.25167,25.70833,25.96667,8539200
1487773800,25.98167,26.09833,25.77000,25.89500,4258800
1487860200,25.87167,25.89500,25.04833,25.45667,11825400
1487946600,25.25000,25.50167,24.68833,25.50167,8863800
1488205800,25.50000,25.85000,25.38333,25.65833,8468400
1488292200,25.56167,25.70833,25.17333,25.31667,28769400
1488378600,25.31667,25.31667,19.16833,19.20167,130718400
1488465000,19.37000,19.63000,19.16667,19.41500,40552200
1488551400,19.51833,19.65500,19.20000,19.25833,19546800
1488810600,19.32167,19.44167,18.95000,19.10833,16516800
1488897000,19.12833,19.43833,19.02833,19.04167,12099600
1488983400,19.13167,19.33333,19.03333,19.09167,14211600
1489069800,19.16167,19.30500,19.01167,19.17500,9406200
1489156200,19.19333,19.90000,19.15167,19.81333,28248000
1489411800,19.85000,19.95833,19.46667,19.61333,12711000
1489498200,19.52500,19.65833,19.33333,19.44000,6750000
1489584600,19.47000,19.58167,19.26000,19.49167,7648800
1489671000,19.56667,19.63000,19.34000,19.49667,8227200
1489757400,19.58000,19.60000,19.29667,19.30167,9666000
1490016600,19.25000,19.34667,18.98333,19.14500,17354400
1490103000,19.14500,19.31667,18.46167,18.51667,17113800
1490189400,18.53333,18.77000,18.38167,18.62000,10230000
1490275800,18.66167,18.83333,18.62000,18.64833,7872600
1490362200,18.72500,18.84667,18.53333,18.62833,7157400
1490621400,18.41500,18.72500,18.34000,18.63333,7836600
1490707800,18.65167,18.90333,18.61833,18.81167,8372400
1490794200,18.85833,19.11833,18.81667,18.90500,8297400
1490880600,19.05167,19.20167,18.89500,18.91667,8524800
1490967000,18.86167,19.02500,18.73667,18.78000,15658800
1491226200,18.80500,18.95500,18.37000,18.50333,15679200
1491312600,18.47333,18.63167,18.27667,18.30333,7297800
1491399000,18.33333,18.40833,17.88500,18.00167,14037600
1491485400,18.08333,18.51000,18.08333,18.48000,10633200
1491571800,18.59667,18.87000,18.51500,18.70000,15034200
1491831000,18.67667,18.79000,18.57333,18.73500,10855800
1491917400,18.60167,18.93667,18.50000,18.91167,9955200
1492003800,18.83333,19.03333,18.75167,18.89667,8963400
1492090200,18.95000,19.01667,18.70000,18.70167,10377600
1492435800,18.41667,18.63833,18.12500,18.31167,17945400
1492522200,18.27833,18.36500,18.08667,18.18167,7537800
1492608600,18.18167,18.37833,18.08667,18.19333,9751200
1492695000,18.20833,18.33833,18.06833,18.14000,7459200
1492781400,18.23833,18.26500,17.98000,18.09167,8891400
1493040600,18.22667,18.35333,18.09333,18.30333,9952800
1493127000,18.36500,18.52667,18.34833,18.40000,7919400
1493213400,18.40000,18.49667,18.17333,18.21167,6292200
1493299800,18.35333,18.49833,18.28000,18.32500,6588600
1493386200,18.30333,18.30333,17.89500,18.06833,14538000
1493645400,18.12500,18.20667,18.02500,18.07000,5769600
1493731800,18.07000,18.34333,18.06667,18.31833,11849400
1493818200,18.62333,18.98833,18.53500,18.85667,11460600
1493904600,18.88833,19.61167,18.88833,19.27333,14230800
1493991000,19.24667,19.53333,19.14667,19.38500,9355800
1494250200,19.36833,19.53667,19.27167,19.47167,6246600
1494336600,19.41667,19.77000,19.36833,19.71667,8903400
1494423000,19.43500,19.46000,19.12667,19.30500,15398400
1494509400,19.28333,19.28333,19.03167,19.19167,6919200
1494595800,19.15500,19.41667,19.02667,19.41000,5862600
1494855000,20.21833,20.34667,19.86667,19.93500,19520400
1494941400,20.00000,20.10833,19.70000,19.77833,7966800
1495027800,19.55333,19.73833,19.05667,19.07833,9026400
1495114200,18.93167,19.08833,18.71667,18.95167,9411000
1495200600,19.66667,19.67333,19.11000,19.41667,12878400
1495459800,19.56833,19.62833,19.31667,19.51833,8328600
1495546200,19.56667,19.82833,19.41833,19.68667,8090400
1495632600,19.75167,19.75167,19.45667,19.66167,9049800
1495719000,19.74000,19.89500,19.55833,19.60667,7423800
1495805400,19.54167,19.76500,19.37500,19.68000,6177000
1496151000,19.70500,19.92833,19.16833,19.50000,17436600
1496237400,19.60000,19.91667,19.29333,19.76500,29721000
1496323800,22.18833,23.32833,22.16667,23.16500,90764400
1496410200,22.87833,23.28333,22.72167,23.01833,26334000
1496669400,22.91500,23.49833,22.81833,23.42000,20781600
1496755800,23.24500,23.54833,23.09667,23.19000,9665400
1496842200,23.19000,23.55000,23.11000,23.33833,10173600
1496928600,23.33333,23.33333,22.90500,23.20333,10540800
1497015000,23.14500,23.30000,22.21667,22.34000,14595000
1497274200,22.05000,22.16667,21.41333,22.16667,14017200
1497360600,22.33333,22.61167,22.11500,22.45833,7266000
1497447000,22.48333,22.57333,22.05167,22.31333,6631200
1497533400,21.90500,22.11333,21.47333,22.00667,13980000
1497619800,22.01333,22.12667,21.78167,21.93167,7641600
1497879000,22.01667,22.42167,21.91833,22.35667,8474400
1497965400,22.28333,22.35000,22.04167,22.05500,5904000
1498051800,22.04000,22.27500,21.90833,22.15667,6296400
1498138200,22.16667,22.75833,22.12000,22.67667,10479600
1498224600,22.71167,23.15667,22.63667,23.06833,9867000
1498483800,23.07500,23.12000,22.61500,22.85167,5423400
1498570200,22.80667,23.10667,22.47333,22.49667,9624600
1498656600,22.55500,22.78833,22.37500,22.69833,10025400
1498743000,22.76667,22.83333,22.20500,22.45000,7924800
1498829400,22.56333,22.70333,22.30167,22.30167,6385800
1499088600,22.47500,22.61833,22.06667,22.15500,3558600
1499261400,22.15667,22.44333,22.01833,22.30500,6916200
1499347800,22.18000,22.32500,21.95833,22.10667,5761200
1499434200,22.52500,23.05833,22.45667,22.69167,9588600
1499693400,22.74333,23.10000,22.60000,22.92833,8237400
1499779800,22.94333,23.26667,22.83333,23.14333,5527800
1499866200,23.30000,23.55833,23.20333,23.23167,7545600
1499952600,23.37000,23.98333,23.33333,23.50000,12576600
1500039000,23.16333,23.38500,23.09667,23.16000,6553200
1500298200,23.08667,23.21500,22.94833,23.11000,6080400
1500384600,23.00000,23.38833,22.88500,23.23833,4078200
1500471000,23.33333,23.73000,23.27667,23.46167,4593000
1500557400,22.97500,23.50000,22.97000,23.25167,6835800
1500643800,23.21167,23.24000,22.96667,23.12000,4030200
1500903000,23.15833,23.32833,23.09167,23.24167,3529800
1500989400,23.31000,23.32667,23.12167,23.24333,3120600
1501075800,23.33333,23.33333,23.03333,23.12167,5022000
1501162200,23.18167,23.23333,22.17500,22.50333,9122400
1501248600,22.41000,22.65500,22.19500,22.28333,5613000
1501507800,22.31167,22.40833,21.73333,21.96333,10386600
1501594200,22.09667,22.34500,22.06500,22.18000,5328600
1501680600,22.37667,22.48000,21.52500,21.89167,7370400
1501767000,21.96500,22.05333,21.74333,21.95833,4143000
1501853400,22.03167,22.05000,21.68667,21.74500,4985400
1502112600,21.76000,21.98333,21.56833,21.83000,5530800
1502199000,21.72167,21.77500,21.48167,21.60667,5332200
