time,open,high,low,close,tick_volume
1472477400,32.28000,32.55000,32.28000,32.54000,1484300
1472563800,32.58000,32.64000,32.45000,32.62000,1438000
1472650200,32.62000,32.78000,32.36000,32.56000,2406300
1472736600,32.58000,32.72000,32.32000,32.52000,2299300
1472823000,32.60000,32.74000,32.31000,32.47000,2333500
1473168600,32.55000,32.55000,32.11000,32.35000,2519400
1473255000,32.36000,32.38000,32.04000,32.32000,2810200
1473341400,32.20000,32.27000,31.99000,32.00000,2009500
1473427800,31.72000,31.73000,31.24000,31.24000,3377600
1473687000,31.05000,31.62000,31.02000,31.50000,4242800
1473773400,31.17000,31.29000,30.98000,31.05000,4143100
1473859800,31.10000,31.15000,30.68000,30.77000,3981500
1473946200,30.70000,31.28000,30.54000,31.09000,4475000
1474032600,31.06000,31.44000,30.92000,31.13000,6606300
1474291800,31.14000,31.25000,30.84000,31.10000,2867900
1474378200,31.30000,31.36000,31.02000,31.02000,2013300
1474464600,31.11000,31.21000,30.88000,31.19000,3109900
1474551000,31.25000,31.37000,31.20000,31.27000,3087600
1474637400,31.11000,31.27000,31.10000,31.15000,3035400
1474896600,30.99000,31.34000,30.97000,31.22000,3006700
1474983000,31.23000,31.53000,31.13000,31.43000,3574600
1475069400,31.46000,31.55000,31.28000,31.53000,1763400
1475155800,31.48000,31.56000,31.13000,31.25000,2460400
1475242200,31.41000,31.63000,31.32000,31.50000,2790600
1475501400,31.35000,31.42000,30.96000,31.14000,2622400
1475587800,31.14000,31.14000,30.74000,30.88000,2753200
1475674200,31.03000,31.32000,31.03000,31.23000,2975400
1475760600,31.25000,31.26000,30.63000,31.03000,3911900
1475847000,31.03000,31.65000,31.01000,31.44000,3702100
1476106200,31.63000,31.63000,31.39000,31.41000,1734500
1476192600,31.32000,31.48000,31.02000,31.12000,2690500
1476279000,31.12000,31.70000,31.10000,31.67000,2422700
1476365400,32.22000,32.60000,32.18000,32.48000,4808200
1476451800,32.92000,33.03000,32.62000,32.73000,3957900
1476711000,32.71000,32.75000,32.37000,32.46000,2707000
1476797400,32.74000,32.77000,31.98000,32.08000,3743200
1476883800,32.11000,32.25000,31.98000,32.24000,3160200
1476970200,32.15000,32.31000,31.97000,32.01000,3100300
1477056600,31.75000,31.96000,31.68000,31.88000,3141000
1477315800,32.05000,32.15000,31.85000,31.96000,1939900
1477402200,31.92000,31.96000,31.76000,31.87000,1876100
1477488600,31.83000,32.12000,31.76000,31.98000,1412700
1477575000,32.03000,32.10000,31.65000,31.65000,1821100
1477661400,31.69000,31.83000,31.22000,31.46000,2512100
1477920600,31.58000,31.60000,31.38000,31.51000,2461900
1478007000,31.73000,31.73000,31.13000,31.27000,2252500
1478093400,31.19000,31.34000,31.06000,31.12000,2028600
1478179800,31.24000,31.53000,31.18000,31.35000,2647800
1478266200,31.35000,31.37000,30.99000,31.11000,2983500
1478529000,31.47000,31.50000,31.22000,31.45000,2053500
1478615400,31.44000,32.05000,31.32000,31.98000,2594300
1478701800,31.90000,32.20000,31.62000,32.08000,3747400
1478788200,32.21000,33.03000,32.13000,33.00000,4208200
1478874600,32.91000,33.27000,32.86000,33.21000,3030500
1479133800,33.29000,33.57000,33.13000,33.40000,3367300
1479220200,33.37000,33.51000,33.24000,33.34000,3129900
1479306600,33.15000,33.27000,32.41000,32.56000,5138600
1479393000,32.65000,33.03000,32.54000,32.93000,3390200
1479479400,32.92000,33.23000,32.87000,32.94000,2779100
1479738600,32.94000,33.09000,32.77000,32.94000,1790700
