time,open,high,low,close,tick_volume
1472477400,87.39000,88.40000,87.32000,88.30000,8934500
1472563800,87.72000,88.30000,87.46000,87.54000,11619400
1472650200,87.75000,87.85000,87.03000,87.31000,11407800
1472736600,87.36000,88.31000,86.98000,88.31000,29793300
1472823000,88.48000,88.87000,88.04000,88.20000,17470400
1473168600,88.25000,88.64000,87.88000,88.64000,14472100
1473255000,88.31000,88.41000,87.71000,87.95000,17556400
1473341400,87.95000,88.18000,87.63000,87.78000,23465700
1473427800,87.10000,87.17000,86.24000,86.24000,21955000
1473687000,86.04000,88.38000,85.96000,88.25000,16105700
1473773400,87.55000,87.91000,87.01000,87.05000,19682700
1473859800,87.12000,87.60000,86.87000,87.01000,25397900
1473946200,86.75000,88.27000,86.75000,88.06000,13833600
1474032600,87.62000,88.11000,87.30000,88.05000,23518300
1474291800,87.92000,88.95000,87.25000,88.37000,19173900
1474378200,88.50000,88.95000,88.18000,88.58000,33986500
1474464600,88.54000,88.79000,86.44000,87.80000,55409800
1474551000,87.77000,89.30000,87.77000,88.99000,52692700
1474637400,88.63000,88.94000,87.49000,87.76000,48281400
1474896600,87.42000,88.43000,86.61000,87.85000,60276600
1474983000,88.06000,88.81000,87.66000,88.36000,65150800
1475069400,88.98000,89.73000,88.47000,89.46000,89806000
1475155800,89.16000,89.27000,87.54000,88.23000,74587500
1475242200,88.30000,90.22000,88.29000,89.75000,123735700
1475501400,89.35000,89.45000,88.41000,88.66000,26789500
1475587800,88.29000,88.68000,87.95000,88.35000,23317600
1475674200,88.48000,89.00000,88.21000,88.85000,64580300
1475760600,88.61000,89.73000,88.47000,89.22000,61462800
1475847000,89.01000,90.05000,88.30000,90.00000,20518800
1476106200,90.19000,90.33000,88.78000,89.06000,15492400
1476192600,88.83000,89.12000,88.20000,88.54000,11723100
1476279000,88.74000,89.01000,88.33000,88.57000,17118000
1476365400,88.05000,88.57000,87.60000,88.24000,11158100
1476451800,88.50000,88.96000,88.22000,88.43000,7369000
1476711000,88.43000,88.65000,87.71000,87.83000,7610600
1476797400,88.21000,88.27000,87.44000,87.45000,10749500
1476883800,86.65000,86.82000,85.44000,85.54000,12788800
1476970200,85.38000,85.52000,84.79000,84.93000,10175100
1477056600,84.41000,84.86000,84.24000,84.33000,13974100
1477315800,84.39000,84.70000,84.06000,84.10000,10573200
1477402200,87.49000,88.08000,86.97000,86.97000,20761200
1477488600,86.91000,87.74000,86.78000,87.40000,8464100
1477575000,87.51000,87.60000,86.45000,86.58000,6598300
1477661400,86.87000,87.23000,86.45000,86.84000,7021100
1477920600,87.01000,87.47000,86.69000,86.80000,8207100
1478007000,86.58000,86.99000,86.48000,86.85000,8564500
1478093400,86.77000,87.41000,86.56000,86.74000,7773200
1478179800,86.80000,86.98000,86.47000,86.60000,6899900
1478266200,86.69000,86.73000,85.07000,85.08000,9378100
1478529000,86.02000,86.57000,85.60000,86.56000,8878500
1478615400,86.77000,87.69000,86.59000,87.46000,7674600
1478701800,85.26000,86.54000,84.31000,85.93000,11972500
1478788200,85.51000,85.70000,82.18000,82.96000,22095000
1478874600,82.67000,84.06000,82.65000,83.58000,8905700
1479133800,83.56000,83.78000,82.76000,83.00000,12862500
