time,open,high,low,close,tick_volume
1472477400,123.34000,124.30000,122.69000,123.74000,769200
1472563800,123.68000,124.06000,122.75000,123.20000,1118200
1472650200,122.75000,123.08000,122.08000,122.53000,754400
1472736600,122.67000,123.16000,121.37000,122.86000,731900
1472823000,123.50000,124.33000,123.08000,123.51000,913600
1473168600,123.59000,123.81000,122.23000,123.22000,794800
1473255000,123.07000,124.32000,122.95000,124.14000,912800
1473341400,124.03000,124.81000,123.37000,124.35000,863500
1473427800,123.06000,123.87000,120.77000,120.78000,1071000
1473687000,119.88000,123.26000,119.25000,122.86000,958400
1473773400,121.28000,121.98000,120.50000,120.84000,624500
1473859800,120.76000,121.83000,120.44000,120.85000,507700
1473946200,120.98000,123.03000,120.17000,122.56000,1048800
1474032600,121.60000,121.89000,120.86000,121.52000,979800
1474291800,122.22000,123.33000,121.95000,122.39000,603300
1474378200,123.10000,123.59000,122.02000,122.03000,667800
1474464600,122.83000,123.66000,122.28000,123.45000,702400
1474551000,124.00000,124.87000,123.67000,123.96000,860900
1474637400,123.75000,123.75000,121.80000,121.93000,715300
1474896600,121.17000,122.10000,120.57000,121.35000,916500
1474983000,120.91000,122.93000,120.60000,122.69000,734900
1475069400,123.25000,124.92000,122.84000,124.78000,903400
1475155800,124.20000,125.67000,123.51000,123.99000,815200
1475242200,124.36000,126.59000,124.36000,125.53000,1438400
1475501400,125.35000,126.08000,124.19000,124.70000,1194900
1475587800,124.31000,124.77000,123.03000,123.65000,3124800
1475674200,125.56000,128.24001,124.48000,127.41000,2664700
1475760600,126.92000,127.10000,126.04000,126.92000,1918200
1475847000,125.99000,126.69000,123.24000,124.66000,1409400
1476106200,125.21000,125.91000,124.69000,125.09000,845400
1476192600,125.40000,125.40000,122.29000,123.07000,1005800
1476279000,123.27000,124.54000,123.00000,123.93000,738800
1476365400,123.10000,123.76000,122.06000,123.42000,768600
1476451800,123.97000,125.21000,123.97000,124.54000,804000
1476711000,124.59000,125.09000,124.08000,124.39000,739900
1476797400,125.62000,125.62000,122.76000,122.82000,1127600
1476883800,123.45000,123.96000,122.15000,123.73000,1294100
1476970200,123.09000,123.84000,122.52000,122.80000,1871300
1477056600,122.69000,124.80000,122.44000,123.20000,2081700
1477315800,123.95000,123.95000,120.50000,120.79000,1442900
1477402200,120.44000,121.64000,120.10000,121.35000,1112700
1477488600,120.85000,122.53000,120.82000,121.84000,1139000
1477575000,122.21000,122.44000,120.41000,121.71000,1126200
1477661400,121.90000,123.30000,121.64000,121.96000,1277700
1477920600,122.34000,123.18000,121.84000,122.75000,743400
1478007000,123.43000,123.58000,120.15000,121.18000,1067900
1478093400,121.02000,121.56000,119.43000,119.88000,1034700
1478179800,120.34000,120.34000,118.77000,119.29000,900800
1478266200,119.13000,122.01000,119.13000,120.55000,1023900
1478529000,123.95000,126.28000,123.82000,125.65000,1686800
1478615400,125.37000,126.72000,124.70000,126.41000,1134100
1478701800,125.80000,132.92999,125.77000,131.96001,2536700
1478788200,133.06000,137.32001,132.60001,136.97000,3409500
1478874600,136.11000,138.83000,135.75000,138.74001,1844400
1479133800,138.23000,139.73000,138.23000,138.99001,1648300
1479220200,138.50999,140.07001,137.20000,140.02000,1351300
1479306600,139.13000,139.85001,137.33000,137.81000,1080700
1479393000,138.03999,138.63000,136.91000,137.10001,705800
1479479400,136.89999,137.08000,135.60001,136.08000,1006800
1479738600,136.89999,137.75000,136.67999,137.23000,901100
1479825000,137.75000,138.17999,136.64000,137.82001,744600
1479911400,137.19000,138.71001,137.09000,138.28999,825000
1480084200,138.05000,139.03999,137.99001,139.03999,254000
1480343400,138.28999,138.64000,136.63000,136.75999,676000
1480429800,135.97000,137.61000,134.03000,136.95000,623700
1480516200,138.12000,139.94000,137.23000,138.92999,1191700
1480602600,140.03000,144.05000,140.00999,143.47000,2575900
1480689000,144.35001,144.69000,141.38000,141.89999,1782600
1480948200,143.09000,143.60001,141.19000,142.46001,1127000
1481034600,141.97000,142.92000,141.47000,142.55000,1385000
1481121000,142.35001,145.44000,141.84000,144.98000,1016300
1481207400,145.11000,145.11000,141.64000,141.89000,1361500
1481293800,141.64999,142.55000,141.13000,142.50999,901200
1481553000,142.67000,142.89999,140.81000,141.56000,800000
1481639400,142.12000,142.50000,140.41000,141.00999,769600
1481725800,140.58000,142.00000,140.00999,140.20000,1092300
1481812200,140.30000,144.45000,139.92000,143.00000,1485800
1481898600,143.66000,144.44000,142.33000,142.75000,1956400
1482157800,142.92000,143.44000,141.69000,142.82001,740300
1482244200,143.66000,144.53999,142.94000,143.91000,797900
1482330600,143.41000,143.82001,141.98000,142.39000,957500
1482417000,142.36000,143.39000,142.06000,142.80000,990800
1482503400,142.96001,143.25000,142.38000,142.74001,279500
1482849000,142.84000,143.50000,142.66000,143.27000,355400
1482935400,143.46001,143.75999,140.59000,140.87000,774200
1483021800,140.87000,141.55000,139.72000,140.25999,429300
1483108200,140.45000,141.14999,139.49001,140.00000,593400
1483453800,142.20000,144.25000,140.83000,142.55000,1115000
1483540200,142.50000,143.20000,141.89999,142.64000,637900
1483626600,142.35001,142.67000,139.92000,141.37000,557900
1483713000,141.91000,142.39999,141.06000,141.49001,727500
1483972200,141.53999,142.14999,140.37000,140.78000,519200
1484058600,141.16000,142.05000,140.74001,141.83000,721400
1484145000,142.00999,145.34000,141.28999,145.21001,1441300
1484231400,144.50000,144.61000,141.67999,143.75000,1231400
1484317800,144.70000,146.34000,144.31000,146.25000,947200
1484663400,145.39999,145.46001,143.55000,143.62000,1623900
1484749800,143.82001,145.44000,143.64000,144.39999,802000
1484836200,144.39000,145.52000,143.17000,143.75000,1174600
1484922600,144.46001,144.50000,142.44000,142.52000,1350300
1485181800,142.50000,142.82001,141.06000,142.50000,998400
1485268200,142.89999,146.17000,142.73000,145.48000,781100
1485354600,146.03999,149.88000,145.78999,149.52000,1634200
1485441000,149.07001,149.98000,148.03000,149.10001,1117200
1485527400,149.53000,150.14000,148.97000,149.27000,717200
1485786600,148.89999,148.89999,145.85001,147.33000,983000
1485873000,146.86000,147.52000,144.82001,147.13000,1345900
1485959400,147.14999,148.10001,145.09000,145.45000,1423200
1486045800,148.98000,152.87000,148.03999,149.75000,2040300
1486132200,150.69000,151.14999,149.14999,150.21001,1073000
1486391400,149.62000,150.11000,148.05000,148.64999,945000
1486477800,150.42999,150.42999,147.59000,147.97000,1342300
1486564200,146.89000,147.63000,145.38000,147.45000,1372400
1486650600,147.78999,149.52000,147.37000,149.37000,1002700
1486737000,149.75999,150.33000,149.05000,150.25000,1059000
1486996200,151.00999,153.13000,151.00000,152.46001,1625200
1487082600,151.95000,152.83000,150.95000,152.63000,836200
1487169000,153.64000,156.44000,153.07001,155.49001,1762900
1487255400,155.47000,155.75000,153.42999,154.41000,823200
1487341800,153.70000,154.38000,152.53000,153.89000,1079000
1487687400,154.12000,155.96001,154.00000,155.62000,921200
1487773800,156.49001,156.84000,155.49001,155.86000,1057900
1487860200,156.48000,156.48000,152.89000,153.70000,702200
1487946600,152.50999,155.11000,151.77000,155.03999,647700
1488205800,154.84000,156.27000,154.20000,156.14000,690600
1488292200,155.80000,156.62000,154.70000,154.84000,1090300
1488378600,156.94000,159.05000,155.03000,158.44000,1410000
1488465000,158.31000,159.03999,156.83000,157.09000,1159300
1488551400,157.00999,157.33000,155.95000,157.06000,766000
1488810600,155.94000,158.09000,155.87000,157.92999,964900
1488897000,158.00000,158.42999,156.84000,157.49001,1044400
1488983400,157.67000,159.36000,157.56000,157.64999,1164600
1489069800,157.36000,158.16000,155.25000,156.28999,879600
1489156200,157.75000,158.75000,156.16000,157.32001,1392300
1489411800,157.88000,159.07001,157.06000,158.08000,1055600
1489498200,157.31000,157.75999,156.14000,157.05000,742400
1489584600,157.89999,160.08000,157.72000,159.58000,822100
1489671000,160.08000,160.23000,157.71001,158.24001,1182400
1489757400,158.35001,159.50999,157.88000,159.10001,1806900
1490016600,159.17999,159.38000,157.82001,158.24001,833700
1490103000,159.20000,159.69000,156.48000,156.89999,1262400
1490189400,157.13000,157.77000,156.10001,157.55000,1018700
1490275800,157.63000,158.71001,156.70000,158.00000,872400
1490362200,158.03000,158.55000,156.05000,156.69000,1111100
1490621400,154.86000,156.32001,152.62000,155.64999,976300
1490707800,155.57001,159.03000,155.09000,158.42999,958700
1490794200,158.55000,159.86000,157.92999,158.97000,920700
1490880600,158.73000,160.66000,158.57001,160.05000,582700
1490967000,159.35001,161.23000,159.02000,160.32001,739600
1491226200,160.17000,161.30000,158.16000,159.61000,1007700
1491312600,159.49001,160.92999,158.84000,160.25000,711800
1491399000,160.98000,163.14000,159.60001,159.81000,856200
1491485400,160.13000,161.41000,159.63000,160.23000,756700
1491571800,160.28000,161.62000,160.19000,161.02000,911100
