time,open,high,low,close,tick_volume
1555594200,23.75000,25.18000,23.05000,24.40000,87109500
1555939800,24.62000,25.68000,23.57000,24.99000,19746800
1556026200,25.38000,27.75000,25.23000,25.85000,19245400
1556112600,26.50000,27.03000,25.93300,26.80000,9477200
1556199000,27.45000,29.40000,26.67000,28.80000,16648300
1556285400,29.84000,30.68000,28.37000,29.85000,16825600
1556544600,30.77000,34.41000,29.86000,34.26000,25616700
1556631000,35.20000,35.29000,30.53000,30.98000,35885700
1556717400,31.50000,32.89000,30.50000,31.23000,13981300
1556803800,31.62000,31.68000,28.86000,29.74000,14052400
1556890200,29.55000,30.55000,28.12000,28.36000,10611000
1557149400,27.67000,30.00000,26.90000,29.50000,9930600
1557235800,29.67000,29.75000,28.16000,28.69000,6310900
1557322200,28.46000,30.20000,28.37000,29.51000,7115900
1557408600,29.09000,29.26000,28.42000,28.75000,4507200
1557495000,29.08000,29.45000,27.66000,29.05000,5709000
1557754200,27.80000,28.00000,26.39000,26.63000,9111300
1557840600,27.41000,29.02000,27.02000,28.99000,7075100
1557927000,28.95000,29.10000,28.13000,28.63000,4492800
1558013400,28.85000,31.15000,28.45000,30.86000,17612000
1558099800,25.87000,28.12000,25.70000,26.70000,26271800
1558359000,27.24000,27.24000,25.71000,25.85000,7269200
1558445400,26.30000,26.55000,25.30000,25.41000,6481700
1558531800,25.30000,25.34000,24.10000,24.60000,7955700
1558618200,24.15000,24.33000,23.60000,23.80000,4718200
1558704600,24.00000,25.99000,23.89000,25.50000,7738300
1559050200,25.65000,26.38000,25.41000,25.80000,4550900
1559136600,25.42000,25.78000,24.95000,25.58000,2537700
1559223000,25.54000,25.89000,25.13000,25.51000,1982200
1559309400,24.99000,25.63000,24.75000,24.92000,2618000
1559568600,24.98000,25.14000,24.23000,24.40000,3691300
1559655000,24.86000,24.95000,24.07000,24.20000,3687100
1559741400,24.52000,25.07000,23.91000,24.94000,2703200
1559827800,24.94000,25.97000,24.91000,25.81000,3573700
1559914200,26.00000,27.74000,25.97000,27.61000,6580200
1560173400,27.84000,28.95000,27.06800,27.94000,5750900
1560259800,28.18000,28.19000,26.16500,26.48000,4269000
1560346200,26.23000,27.50000,26.21000,27.05000,3160100
1560432600,27.29000,27.36000,26.67000,26.95000,1629500
1560519000,26.90000,27.96000,26.50000,27.41000,2630300
1560778200,27.66000,28.73000,27.33100,27.85000,4439500
1560864600,29.46000,29.81000,28.22000,28.80000,8769900
1560951000,29.00000,29.10000,27.56000,28.09000,3978800
1561037400,28.84000,29.08000,27.44000,27.54000,3975900
1561123800,27.32000,27.98000,27.22000,27.98000,5794600
1561383000,27.98000,28.11000,26.57000,26.69000,3242900
1561469400,26.55000,27.09000,25.82000,26.14000,2658700
1561555800,26.37000,26.69000,25.86400,26.23000,1960000
1561642200,26.33000,27.37000,26.30000,27.23000,2281800
1561728600,27.37000,27.65000,26.60000,27.22000,2714500
1561987800,27.60000,28.05000,26.44000,26.68000,3739800
1562074200,26.80000,27.16000,26.41000,26.91000,2749000
1562160600,26.94000,27.69000,26.94000,27.47000,2329600
1562333400,27.47000,27.50000,26.82000,27.25000,1870500
1562592600,27.20000,27.85000,26.65900,26.77000,2410700
1562679000,26.77000,27.07000,26.51000,26.72000,1793000
1562765400,26.96000,27.37000,26.30000,26.58000,2727400
1562851800,26.71000,26.72000,25.87000,26.10000,2843900
1562938200,26.23000,26.75000,26.13000,26.41000,1576400
1563197400,26.58000,26.89000,26.39000,26.67000,1633300
1563283800,26.66000,26.99000,26.30000,26.51000,1370400
1563370200,26.60000,26.71000,25.87000,25.91000,1815100
1563456600,25.72000,25.85000,25.32000,25.78000,1291500
1563543000,25.85000,26.18000,25.51000,25.56000,1563700
1563802200,25.63000,26.47000,25.45000,26.22000,2757500
1563888600,26.52000,26.85000,26.11000,26.78000,2391700
1563975000,26.93000,28.00000,26.85000,27.82000,4305300
1564061400,27.92000,27.97000,27.23000,27.59000,2253100
1564147800,27.98000,28.40000,27.30000,27.64000,2727900
1564407000,27.80000,28.32000,27.18000,27.86000,3178800
1564493400,27.61000,29.00000,27.32000,28.62000,3728900
1564579800,28.59000,29.59000,28.43000,28.99000,4222100
1564666200,28.99000,29.14000,27.91000,28.30000,8030300
1564752600,32.53000,35.21000,32.28000,33.57000,39770800
1565011800,32.90000,33.75000,32.15000,33.72000,9992200
1565098200,34.12000,34.43000,32.01000,32.68000,6060600
1565184600,32.25000,32.68000,31.52000,32.10000,3776400
1565271000,32.10000,33.61500,31.67000,33.39000,3784700
1565357400,33.30000,34.09600,32.81000,33.43000,2641700
1565616600,33.47000,36.10000,32.93000,33.62000,8901700
1565703000,33.46000,34.84000,33.40000,34.42000,3765000
1565789400,33.39000,33.88000,32.14000,32.23000,3896900
1565875800,33.07000,33.20000,31.52900,32.01000,4178900
1565962200,32.63000,32.77000,32.00000,32.22000,2534000
1566221400,32.88200,34.18000,32.58000,33.33000,3403900
1566307800,33.26000,35.05000,32.85000,34.36000,4895900
1566394200,35.13000,36.75000,35.13000,36.56000,8902700
1566480600,36.68000,36.83000,35.02000,35.43000,6010800
1566567000,34.93000,36.25000,34.00000,34.50000,5000800
1566826200,34.88000,35.38000,34.46000,35.38000,2522700
1566912600,35.54000,36.14000,33.28000,33.86000,4481900
1566999000,33.30100,34.18000,33.01000,33.92000,2231800
1567085400,34.36000,35.15000,34.15300,34.76000,2342300
1567171800,34.76000,35.00000,33.64000,34.42000,1534000
1567517400,33.93000,34.67000,33.23000,33.81000,2279900
1567603800,34.27000,34.40000,32.33000,32.62000,3550600
1567690200,32.95000,33.18000,30.80000,31.26000,6058500
1567776600,31.34000,31.48200,30.00000,30.36000,4555800
1568035800,30.46000,30.50000,27.59000,28.20000,10037900
1568122200,27.58000,29.13000,27.35000,28.80000,6358200
1568208600,29.00000,29.76000,28.53000,29.60000,4371800
1568295000,30.20000,30.37000,29.12000,29.77000,4322400
1568381400,29.66000,30.05000,28.80000,29.04000,2943100
1568640600,28.65000,29.83000,28.62000,29.26000,2042700
1568727000,29.00000,30.27000,28.68000,30.11000,6216200
1568813400,30.00000,30.00000,28.71000,29.50000,4859000
1568899800,29.50000,30.55000,29.02000,30.14000,5198500
1568986200,30.23000,30.73000,29.60000,30.22000,6862400
1569245400,29.97000,30.09000,28.34000,28.55000,5434200
1569331800,28.76000,28.79000,26.74000,27.11000,6651700
1569418200,27.07000,27.55000,26.75000,27.11000,3028800
1569504600,27.19000,27.73000,27.15000,27.38000,2657900
1569591000,27.35000,27.45000,25.87000,26.50000,4565700
1569850200,26.37000,26.66000,25.14000,26.45000,8066600
1569936600,26.56000,26.99000,26.25000,26.43000,3219200
1570023000,25.95000,26.88000,25.53000,26.51000,3825000
1570109400,26.43000,27.69000,25.76600,27.37000,4317600
1570195800,27.68000,28.04000,26.88000,27.31000,4226200
1570455000,27.29000,27.46000,26.33000,26.51000,3520700
1570541400,26.04000,26.04000,25.30000,25.63000,3240700
1570627800,25.98000,25.98000,25.48000,25.65000,2429800
1570714200,25.59000,26.30000,25.36000,25.79000,3078200
1570800600,26.00000,27.51000,25.98000,26.89000,6850400
1571059800,26.32000,26.85000,25.82500,25.92000,6281400
1571146200,25.41000,25.60000,24.27000,25.57000,43258600
1571232600,25.00000,25.95000,24.81000,25.74000,15153100
1571319000,25.55000,26.52000,25.48000,25.99000,12184600
1571405400,26.04000,26.20000,24.89000,25.31000,9649900
1571664600,25.83000,26.95000,25.61000,26.76000,15204900
1571751000,26.40000,27.00000,25.78000,25.88000,8621500
1571837400,25.76000,26.30000,25.44000,25.70000,7082200
1571923800,25.82000,26.03000,25.24000,25.77000,5156100
1572010200,25.75000,26.48000,25.65000,25.86000,6480200
1572269400,26.14000,26.30000,25.72500,26.25000,7044500
1572355800,26.10000,26.69000,25.06000,25.57000,10660500
1572442200,25.73000,25.98500,25.03000,25.92000,6942700
1572528600,26.17000,26.38000,24.76000,25.14000,19917900
1572615000,19.63000,21.28000,18.71000,20.86000,77018800
1572877800,20.66000,21.10000,20.23000,20.58000,21788900
1572964200,20.50000,20.78000,20.29500,20.47000,13235900
1573050600,20.35000,20.65000,19.98000,20.04000,11731200
1573137000,20.10000,20.20000,19.60000,19.99000,11199700
1573223400,19.95000,20.20000,19.86000,20.06000,8667900
1573482600,20.09000,20.52000,19.90000,20.40000,9979300
1573569000,20.41000,20.90000,20.16000,20.52000,7508500
1573655400,20.38000,20.40000,20.04000,20.20000,7061600
1573741800,20.16000,20.16000,19.58000,19.60000,6284100
1573828200,19.72000,20.06000,19.53000,19.54000,8452100
1574087400,19.50000,19.66000,19.32000,19.50000,7980900
1574173800,19.56000,20.05000,19.36000,19.68000,6852600
1574260200,19.65000,19.83000,19.32000,19.40000,6038600
1574346600,19.30000,19.50800,19.06500,19.07000,5806000
