time,open,high,low,close,tick_volume
1472477400,44.31000,46.48000,44.31000,45.96000,1441400
1472563800,46.18000,46.43000,45.82000,46.28000,653700
1472650200,46.26000,46.81000,45.80000,46.45000,976300
1472736600,46.34000,46.35000,45.36700,46.24000,1114800
1472823000,46.41000,46.93000,46.11000,46.60000,1133600
1473168600,46.89000,47.30000,46.10000,46.27000,2586200
1473255000,44.00000,45.41000,43.62000,44.93000,3188400
1473341400,44.86000,45.05000,43.21000,43.33000,1218500
1473427800,43.04000,43.36000,41.92000,42.36000,1309300
1473687000,41.86000,42.48000,41.76000,42.42000,1289200
1473773400,41.90000,42.15000,40.45000,40.53000,2608600
1473859800,40.13000,41.31000,40.13000,40.66000,916400
1473946200,40.61000,41.84000,40.38000,41.26000,997700
1474032600,41.24000,41.48500,40.24000,40.78000,1076500
1474291800,40.79000,41.14000,40.07000,40.15000,973900
1474378200,40.21000,40.70000,39.94000,40.39000,974100
1474464600,40.63000,40.94000,40.12000,40.89000,708000
1474551000,41.40000,41.88000,41.05000,41.52000,1255800
1474637400,41.34000,41.79000,40.84000,41.63000,638700
1474896600,41.23000,41.40000,40.35000,40.38000,706900
1474983000,40.50000,40.50000,39.20000,39.65000,1317400
1475069400,39.56000,39.56000,37.60000,38.07000,2623900
1475155800,37.98000,39.25000,37.71000,37.84000,1278600
1475242200,37.89000,39.50000,37.89000,39.18000,1675900
1475501400,40.85000,41.02000,39.98000,40.55000,8712200
1475587800,40.34000,40.39000,38.90000,39.18000,1845400
1475674200,39.15000,39.54000,38.57000,38.93000,1271200
1475760600,38.93000,39.44000,38.55000,39.33000,849100
1475847000,39.52000,39.75000,39.00000,39.47000,938300
1476106200,39.90000,40.27000,39.65000,40.02000,789400
1476192600,39.80000,40.07000,39.30000,39.57000,483900
1476279000,39.83000,40.56000,39.77000,40.38000,1011200
1476365400,40.25000,41.26500,39.90000,41.08000,1065800
1476451800,40.99000,41.55000,40.90800,41.21000,687200
1476711000,41.12000,41.21000,40.01000,40.05000,685800
1476797400,40.33000,40.78000,40.26000,40.51000,368000
1476883800,40.70000,41.14000,40.46000,40.97000,485900
1476970200,41.02000,41.21000,40.46500,40.65000,383500
1477056600,40.68000,41.23000,40.31000,41.16000,294700
1477315800,41.20000,41.53000,40.67000,41.42000,404000
1477402200,41.21000,41.23000,39.99000,40.27000,675700
