time,open,high,low,close,tick_volume
1601472600,10.00000,11.41000,9.11000,9.50000,338584400
1601559000,9.69000,10.10000,9.23000,9.46000,124297600
1601645400,9.06000,9.28000,8.94000,9.20000,55018300
1601904600,9.43000,9.49000,8.92000,9.03000,36316900
1601991000,9.04000,10.18000,8.90000,9.90000,90864000
1602077400,10.04000,10.49000,9.99000,10.00000,54672400
1602163800,10.29000,10.40000,9.99000,10.00000,34989200
1602250200,10.13000,10.19000,9.89000,9.95000,19653500
1602509400,10.04000,10.05000,9.66000,9.89000,20623600
1602595800,9.88000,9.88000,9.41000,9.47000,21847200
1602682200,9.60000,9.66000,9.29000,9.34000,13652600
1602768600,9.27000,9.91000,9.18000,9.91000,12924100
1602855000,9.94000,9.95000,9.66000,9.71000,11142500
1603114200,9.79000,9.82000,9.53000,9.57000,9126400
1603200600,9.60000,9.66000,9.27000,9.27000,11138200
1603287000,9.30000,9.48000,9.20000,9.20000,9190000
1603373400,9.37000,9.75000,9.22000,9.68000,17928600
1603459800,9.71000,9.83000,9.47000,9.49000,12618000
1603719000,9.72000,9.97000,9.60000,9.95000,23767300
1603805400,10.00000,11.04000,9.92000,10.95000,53695900
1603891800,10.66000,10.98500,10.10000,10.85000,30941700
1603978200,10.90000,11.10000,10.56000,10.75000,20515700
1604064600,10.61000,10.68000,9.85000,10.13000,19705500
1604327400,10.23000,10.57000,10.23000,10.54000,11677800
1604413800,10.57000,10.94000,10.44000,10.50000,21652800
1604500200,10.82000,10.92000,10.55000,10.72000,15783400
1604586600,10.90000,12.13000,10.85000,11.88000,48560400
1604673000,12.22000,14.96000,12.05000,13.83000,89977600
1604932200,14.96000,15.90000,14.11000,14.67000,60099000
1605018600,14.99000,15.01000,13.18000,14.00000,38078700
1605105000,14.57000,15.97000,14.40000,15.96000,47027900
1605191400,16.66000,17.06000,14.41000,14.58000,97904000
1605277800,14.49000,16.00000,14.49000,15.80000,76354800
1605537000,15.96000,16.10000,15.01000,15.93000,65326000
1605623400,16.29000,18.75000,16.18000,17.85000,116618500
1605709800,18.28000,19.25000,17.54000,17.90000,89957900
1605796200,18.50000,18.98000,17.96000,18.98000,56225400
1605882600,19.03000,19.66000,18.00000,18.15000,72104000
1606141800,18.63000,21.45000,18.57000,21.04000,84716300
1606228200,22.35000,24.27000,20.63000,23.82000,115468800
1606314600,23.96000,29.75000,23.69000,29.05000,202563700
1606487400,31.19000,33.50000,26.12000,27.66000,207834000
1606746600,28.24000,30.15000,24.11000,27.11000,137243000
1606833000,28.09000,28.14000,24.45000,25.67000,84050000
1606919400,22.24000,23.40000,21.15000,22.51000,149062100
1607005800,23.55000,25.62000,23.50000,24.03000,85634300
1607092200,24.88000,25.24000,23.51000,23.85000,56044100
1607351400,24.44000,29.00000,24.44000,28.94000,118463700
1607437800,30.63000,31.24000,27.25000,28.59000,124754300
1607524200,28.68000,28.85000,25.33000,26.63000,79634700
1607610600,25.54100,28.04000,25.15000,27.04000,57774800
1607697000,27.15000,28.27000,26.06000,27.20000,52764400
1607956200,28.26000,28.26000,26.73000,27.24000,44734500
1608042600,26.82000,27.10000,25.52000,26.43000,49273200
1608129000,25.71000,26.16000,25.11000,25.92000,44013400
1608215400,26.52000,27.45000,26.05000,27.23000,53829800
1608301800,26.27000,26.85000,25.80000,25.97000,71042900
1608561000,26.19000,28.70000,25.40000,28.51000,76729100
1608647400,29.03000,29.42000,26.82000,28.04000,66033100
1608733800,28.95000,29.39000,28.05000,28.69000,58772200
1608820200,28.79800,29.16000,27.52000,27.75000,26306800
1609165800,28.39000,28.59000,25.40000,25.63000,55878700
1609252200,25.75000,26.18200,24.34000,24.66000,47302400
1609338600,24.97000,25.91000,24.63000,25.10000,34586700
1609425000,24.63000,24.72000,23.52000,23.55000,39922500
1609770600,23.91000,24.50000,22.50000,23.37000,44970400
1609857000,23.18000,24.67000,22.89000,24.60000,29050400
1609943400,24.12000,24.46000,23.25000,23.54000,32732900
1610029800,24.02000,25.19000,23.67000,25.00000,32240000
1610116200,25.70000,26.44000,24.70000,25.20000,41313800
1610375400,24.61000,26.60000,24.31000,25.93000,32609000
1610461800,26.34000,26.42000,25.51000,26.18000,26887200
1610548200,25.71000,27.43000,25.13000,25.50000,51216600
1610634600,25.45000,25.62000,24.37000,24.92000,32908000
1610721000,26.26000,28.00000,25.46000,25.64000,92285500
1611066600,26.81000,27.54000,26.00000,26.62000,48675800
1611153000,27.29000,27.30000,25.70000,26.34000,37459000
1611239400,26.42000,26.68000,25.30000,25.98000,29891400
1611325800,25.85000,32.65000,25.82000,32.58000,156844700
1611585000,34.46000,39.58000,29.56000,36.23000,191345300
1611671400,35.14000,36.87000,34.32000,35.37000,65870000
1611757800,32.97000,45.00000,32.25000,39.00000,170758800
1611844200,39.54000,42.00000,33.10000,35.66000,85250700
1611930600,36.61000,38.01000,34.66000,35.18000,42030900
1612189800,35.33000,35.62000,32.58000,33.96000,43460900
1612276200,34.10000,34.20000,30.50000,31.02000,69647900
1612362600,32.39000,32.95000,31.38000,31.76000,35312000
1612449000,32.58000,33.18000,31.05000,32.05000,31565000
1612535400,32.61000,35.20000,31.75000,34.05000,62375300
1612794600,37.22000,39.22000,35.89000,36.05000,72376000
1612881000,36.90000,38.25500,36.13000,38.17000,44243200
1612967400,38.15000,38.24000,35.00000,35.70000,45177200
1613053800,35.79000,35.98000,32.61000,33.11000,52094900
1613140200,33.36000,33.65000,31.34000,31.91000,60925600
1613485800,30.02000,30.44000,27.30000,27.84000,180294300
1613572200,27.99000,29.73000,27.00000,27.08000,151007000
1613658600,24.99000,26.31000,24.50000,25.17000,313175100
1613745000,27.02000,29.96000,26.90000,29.00000,320063700
1614004200,29.96000,30.19000,27.53600,28.00000,183049500
1614090600,25.96000,27.46000,23.90000,26.75000,145289400
1614177000,26.71000,27.23000,25.75000,26.39000,90095700
1614263400,25.82000,26.44000,23.15000,23.96000,161776400
1614349800,24.20000,24.50000,22.70000,23.90000,119588600
1614609000,25.19000,25.90000,24.62000,24.81000,85059900
1614695400,25.00000,25.59000,24.26000,24.48000,73997000
1614781800,24.99000,25.16800,23.43000,23.59000,79046200
1614868200,24.85000,25.56000,23.05000,24.73000,161611200
1614954600,24.36000,24.68000,20.18000,23.95000,173468600
1615213800,23.77000,24.58000,22.40000,22.52000,94432800
1615300200,23.38000,24.74000,23.10000,24.26000,99586500
1615386600,25.03000,26.24000,24.27000,24.75000,103212800
1615473000,25.95000,26.84000,25.58000,26.73000,84788700
1615559400,25.74000,26.92000,25.18000,26.92000,58721900
1615815000,27.35000,27.47000,26.31000,26.79000,56101500
1615901400,26.75000,27.10000,25.23000,25.61000,73615100
1615987800,24.52000,25.73000,24.30000,25.21000,77081700
