time,open,high,low,close,tick_volume
1472540400,1122.35315,1129.80774,1111.99927,1124.83801,6867204
1472626800,1128.97949,1145.13147,1125.66626,1129.39368,7173247
1472713200,1137.26257,1150.59497,1119.86816,1130.22205,8070982
1472799600,1136.02014,1174.53625,1123.18140,1166.66736,8089953
1473058800,1171.22314,1172.05139,1153.41455,1161.28345,3855544
1473145200,1159.62683,1169.98059,1152.17200,1160.45508,5665546
1473231600,1161.69763,1168.05896,1158.38428,1163.76831,4549932
1473318000,1158.79846,1166.66736,1140.98987,1157.97021,8621452
1473404400,1153.82874,1166.72949,1149.68713,1159.62683,4347373
1473663600,1138.91919,1144.71729,1125.66626,1133.12097,5059036
1473750000,1139.74756,1139.74756,1104.54456,1104.54456,9959114
1473836400,1115.72656,1122.68445,1108.68604,1115.31250,5290306
1473922800,1113.65588,1132.70691,1111.17102,1130.22205,4982084
1474009200,1129.39368,1131.05029,1114.89832,1117.79736,11111575
1474268400,1126.90881,1139.79724,1123.18140,1139.74756,4123004
1474354800,1134.77759,1150.51538,1132.29272,1135.19177,3807362
1474441200,1152.17200,1159.62683,1144.34290,1154.65698,4329141
1474527600,1164.18250,1181.57690,1154.65698,1172.05139,5714166
1474614000,1170.39478,1170.39478,1155.07104,1166.25317,4403971
1474873200,1159.62683,1159.62683,1128.15125,1139.74756,5473223
1474959600,1150.92957,1155.48535,1118.13293,1126.90881,5276198
1475046000,1130.63611,1153.82874,1130.63611,1143.06067,5139188
1475132400,1155.89941,1159.62683,1149.27295,1151.75793,5062215
1475218800,1127.32288,1134.36353,1108.27185,1131.87854,8815978
1475478000,1134.36353,1158.79846,1126.28748,1155.48535,4718359
1475564400,1158.79846,1180.74866,1155.48535,1166.66736,12134076
1475650800,1168.73816,1193.17310,1159.62683,1182.81934,6952724
1475737200,1190.68823,1199.46411,1183.95410,1184.06177,8986089
1475823600,1188.61755,1208.49683,1176.72375,1191.93066,11650176
1476082800,1196.48645,1197.31470,1182.40515,1194.82983,5886276
1476169200,1198.14294,1201.12488,1182.81934,1191.10242,5841413
1476255600,1192.34485,1207.66846,1188.20325,1200.62793,6432226
1476342000,1186.96094,1188.20325,1137.67676,1144.71729,9101828
1476428400,1158.79846,1169.98059,1146.37390,1148.44470,7256375
1476687600,1144.30322,1156.72766,1128.56543,1132.70691,5254397
1476774000,1138.91919,1145.54565,1135.19177,1140.57581,4822471
1476860400,1144.30322,1153.82874,1130.63611,1147.20215,6959431
1476946800,1145.95984,1162.52588,1145.00220,1157.97021,6060214
1477033200,1156.31360,1162.11169,1139.33325,1147.20215,7905907
1477292400,1152.58618,1169.98059,1152.17200,1160.45508,4579487
1477378800,1165.42493,1173.29382,1158.79846,1161.69763,4159336
1477465200,1155.07104,1160.86926,1142.97791,1156.72766,3666527
1477551600,1157.55603,1162.52588,1143.06067,1155.89941,5311638
1477638000,1155.48535,1166.25317,1129.80774,1133.94934,8186747
1477900800,1118.21155,1127.73706,1105.29004,1105.37280,11462371
1477987200,1109.51428,1126.49463,1106.61536,1112.41345,7897782
1478073600,1113.24170,1123.54419,1095.84729,1101.64551,9282326
1478160000,1099.16052,1120.69653,1092.94824,1111.17102,7123338
1478246400,1098.33215,1102.47375,1075.96802,1080.52368,6995878
1478505600,1107.44360,1115.31250,1093.77661,1114.89832,7353894
1478592000,1113.24170,1128.15125,1107.85767,1120.69653,5853611
1478678400,1076.79626,1180.74866,1068.51331,1180.74866,13558007
1478764800,1194.41565,1284.70081,1194.41565,1268.13464,20494845
1478851200,1264.82153,1282.21594,1218.43640,1223.82043,12639370
1479110400,1234.17419,1267.30640,1233.76013,1250.74036,8771761
1479196800,1251.15454,1271.86206,1232.51758,1261.50830,10516093
1479283200,1268.96301,1293.39795,1257.78088,1259.43750,9539020
1479369600,1249.91199,1266.47815,1239.14404,1259.02344,7658956
1479456000,1266.89233,1288.01416,1242.85156,1254.88196,11678271
1479715200,1263.57910,1270.61963,1247.01294,1252.81116,6152438
1479801600,1263.99316,1278.90271,1259.00525,1277.24609,7671277
1479888000,1276.00354,1288.84241,1269.37720,1276.41785,5815633
1479974400,1275.58948,1292.98389,1275.17529,1291.74146,4160418
1480060800,1288.42822,1292.15564,1278.90271,1283.87256,3380370
1480320000,1276.00354,1284.28674,1267.30640,1278.07434,7060278
1480406400,1275.17529,1285.52905,1269.37720,1280.97351,6988947
1480492800,1278.48853,1292.15564,1273.93286,1282.63013,7401459
1480579200,1274.76123,1307.06506,1274.76123,1307.06506,10171828
1480665600,1295.46875,1313.83728,1287.18567,1292.98389,8225748
1480924800,1279.73096,1325.28784,1279.73096,1312.03491,5482572
1481011200,1308.72168,1317.99622,1293.39795,1312.44897,9561073
1481097600,1321.97461,1365.87476,1298.88965,1365.87476,7419499
1481184000,1362.56152,1365.87476,1323.95337,1348.06616,8056961
1481270400,1345.16711,1349.11316,1306.23682,1320.31787,8594271
1481529600,1320.31787,1323.63123,1287.18567,1295.88293,6931540
1481616000,1299.19617,1307.89343,1289.67065,1304.58008,5284091
1481702400,1301.26685,1314.10571,1293.39795,1299.19617,7693726
1481788800,1299.61035,1321.97461,1290.91309,1313.69153,8248238
1481875200,1319.07544,1321.97461,1304.58008,1311.20654,8876106
1482134400,1312.86316,1312.86316,1287.59985,1292.15564,5371023
1482220800,1287.59985,1322.80286,1286.07996,1319.07544,4568602
1482307200,1312.86316,1324.87366,1309.96411,1319.48962,4440649
1482393600,1319.48962,1331.08594,1314.51978,1328.60095,3541054
1482480000,1327.77271,1334.39905,1321.14624,1329.42932,1524479
1482912000,1325.70190,1335.22742,1318.24719,1333.98499,2916820
1482998400,1324.45947,1338.54065,1321.92322,1337.71228,2579108
1483084800,1340.19727,1348.06616,1332.74255,1348.06616,3029059
1483430400,1355.93506,1362.56152,1346.14954,1356.76343,6545438
1483516800,1355.93506,1360.07666,1348.89453,1360.07666,4193594
1483603200,1359.66235,1359.66235,1319.07544,1326.11609,5014102
1483689600,1325.70190,1335.64160,1321.97461,1335.64160,3845009
1483948800,1339.78308,1343.92456,1321.97461,1325.28784,4835642
1484035200,1320.73206,1324.45947,1295.57227,1308.72168,6307412
1484121600,1306.65088,1323.21704,1299.61035,1317.41895,5696247
1484208000,1321.97461,1324.45947,1309.13574,1317.00476,3941532
1484294400,1324.04529,1342.26794,1312.21045,1335.64160,4664736
1484553600,1331.08594,1336.77136,1305.40845,1307.06506,5564327
1484640000,1302.09521,1315.34814,1293.81226,1300.02454,4513163
1484726400,1308.30750,1308.30750,1282.75854,1286.35742,4982045
1484812800,1293.39795,1297.53955,1278.07434,1285.52905,5715006
1484899200,1288.42822,1292.56970,1276.83191,1282.63013,5185782
1485158400,1272.69043,1281.80176,1262.33655,1273.93286,4358413
1485244800,1282.63013,1296.29712,1278.90271,1288.01416,6278183
1485331200,1298.36792,1314.10571,1298.36792,1307.47925,5876850
1485417600,1311.62073,1324.04529,1307.21655,1314.10571,6530120
1485504000,1313.69153,1319.61316,1295.05457,1306.23682,4396086
1485763200,1295.88293,1298.36792,1280.55933,1283.87256,3574095
1485849600,1280.97351,1295.46875,1268.13464,1268.96301,6094503
1485936000,1283.45837,1293.08826,1275.58948,1290.08484,5145430
1486022400,1284.28674,1292.56970,1278.48853,1285.94336,5232686
1486108800,1286.77161,1330.25757,1278.90271,1325.70190,7875201
1486368000,1325.28784,1328.18677,1304.16602,1311.62073,5926705
1486454400,1309.96411,1324.45947,1308.72168,1312.03491,5796025
1486540800,1312.86316,1318.66125,1289.67065,1298.36792,5952127
1486627200,1304.58008,1327.35852,1302.09521,1325.70190,9605308
1486713600,1331.91418,1342.67065,1326.94446,1342.26794,5783632
1486972800,1342.68225,1351.37939,1334.81335,1343.51050,6006841
1487059200,1338.95483,1342.26794,1330.25757,1340.19727,7754411
1487145600,1343.51050,1361.73315,1340.19727,1355.93506,7191679
1487232000,1350.55115,1357.59167,1341.43970,1349.72278,4876400
1487318400,1351.37939,1360.49072,1330.59973,1336.88403,4662240
1487577600,1348.48035,1364.21814,1347.23792,1355.10669,4093012
1487664000,1353.03601,1360.49072,1342.69385,1343.09631,3729330
1487750400,1345.99536,1361.31897,1337.29822,1344.75293,4915316
1487836800,1344.33875,1350.96521,1333.49207,1337.71228,6695301
1487923200,1338.54065,1348.06616,1316.17639,1332.74255,5519817
1488182400,1337.71228,1343.09631,1333.15674,1336.88403,4489712
1488268800,1343.09631,1344.75293,1327.35852,1331.50012,6222904
1488355200,1343.51050,1365.46057,1341.02563,1365.04639,9472049
1488441600,1362.14734,1370.92322,1350.96521,1352.62183,5411885
1488528000,1347.23792,1367.94556,1345.16711,1365.46057,6039459
1488787200,1361.73315,1368.35962,1357.59167,1361.73315,5179777
1488873600,1361.73315,1364.21814,1351.79346,1357.59167,4184387
1488960000,1353.45007,1362.97559,1343.51050,1355.10669,7796498
1489046400,1353.45007,1366.28894,1348.12830,1366.28894,5705803
1489132800,1366.28894,1376.72144,1360.49072,1361.31897,5847357
1489392000,1359.24829,1385.75403,1358.00586,1378.71338,7102230
1489478400,1386.16821,1429.23999,1362.56152,1420.54285,11232980
1489564800,1428.41174,1456.57410,1413.67200,1438.35144,9340387
1489651200,1447.04858,1455.02515,1443.32117,1452.43262,6962670
1489737600,1487.63550,1492.19116,1413.67200,1458.23071,10571295
1489996800,1456.98816,1465.68542,1451.19006,1464.85706,4743415
1490083200,1470.65527,1477.28174,1446.32886,1456.98816,6704287
1490169600,1444.56372,1451.54553,1419.30042,1430.06836,10167071
1490256000,1427.99756,1434.62402,1414.43823,1426.34094,7669611
1490342400,1426.75513,1433.27637,1413.50220,1425.51270,4911778
1490598000,1416.40125,1416.40125,1396.93616,1408.94666,5313746
1490684400,1415.98718,1428.41174,1404.91272,1426.75513,5005006
1490770800,1434.62402,1437.52307,1411.43152,1414.74475,6336728
1490857200,1392.79456,1416.33923,1340.61145,1397.35034,5843175
1490943600,1393.62292,1411.90356,1384.92566,1396.52197,6980381
1491202800,1401.07776,1403.97668,1366.70300,1369.18787,7347019
1491289200,1377.88513,1388.65308,1371.67285,1384.92566,10875252
1491375600,1384.51160,1398.59277,1376.22852,1389.48145,5055881
1491462000,1378.71338,1391.19604,1367.53125,1387.82483,6519653
1491548400,1382.85498,1389.06726,1376.64270,1387.41064,5396543
1491807600,1384.92566,1396.52197,1382.42090,1391.13794,4284394
1491894000,1386.58228,1396.52197,1377.47095,1388.65308,10588596
1491980400,1394.03711,1397.76440,1378.02356,1378.29932,5349603
1492066800,1379.54175,1384.09741,1371.25867,1377.88513,4748191
1492498800,1379.95593,1382.85498,1335.34338,1336.05566,6843582
1492585200,1338.12646,1350.96521,1338.12646,1342.68225,8867559
1492671600,1340.61145,1365.04639,1337.71228,1363.38977,7878496
1492758000,1367.53125,1372.69995,1358.00586,1358.83411,6647677
1493017200,1385.75403,1405.21924,1385.75403,1401.07776,7658205
1493103600,1403.14844,1407.70410,1393.20874,1403.14844,7072980
1493190000,1404.39087,1430.48254,1403.14844,1427.16931,8003289
1493276400,1434.62402,1447.87695,1421.78528,1439.59375,10449432
1493362800,1438.35144,1443.32117,1418.05786,1421.37109,6242505
1493708400,1437.10889,1446.22034,1423.02771,1439.17969,5912118
1493794800,1433.79565,1441.25049,1429.65417,1441.25049,3721083
1493881200,1444.56372,1456.57410,1439.59375,1456.57410,7482776
1493967600,1451.19006,1459.16675,1444.56372,1456.98816,5130684
1494226800,1458.23071,1458.23071,1439.59375,1443.73535,6317377
1494313200,1445.39197,1450.36182,1440.42224,1449.53345,5864452
1494399600,1442.49292,1463.20044,1442.49292,1462.78638,6137422
1494486000,1464.44299,1464.44299,1454.50330,1458.23071,5835242
1494572400,1456.98816,1465.27124,1453.67505,1457.40234,4591562
1494831600,1461.95813,1462.37219,1454.91748,1461.95813,4374523
