time,open,high,low,close,tick_volume
1489132800,970.00000,987.50000,970.00000,983.00000,112862
1489392000,983.00000,983.00000,983.00000,983.00000,0
1489478400,983.00000,983.00000,983.00000,983.00000,0
1489564800,983.00000,983.00000,983.00000,983.00000,0
1489651200,983.00000,983.00000,983.00000,983.00000,0
1489737600,983.00000,983.00000,983.00000,983.00000,0
1489996800,983.00000,983.00000,983.00000,983.00000,0
1490083200,983.00000,983.00000,983.00000,983.00000,0
1490169600,983.00000,983.00000,983.00000,983.00000,0
1490256000,983.00000,983.00000,983.00000,983.00000,0
1490342400,983.00000,983.00000,983.00000,983.00000,0
1490598000,983.00000,983.00000,983.00000,983.00000,0
1490684400,983.00000,983.00000,983.00000,983.00000,0
1490770800,983.00000,983.00000,983.00000,983.00000,0
1490857200,983.00000,983.00000,983.00000,983.00000,0
1490943600,983.00000,983.00000,983.00000,983.00000,0
1491202800,983.00000,983.00000,983.00000,983.00000,0
1491289200,983.00000,983.00000,983.00000,983.00000,0
1491375600,983.00000,983.00000,983.00000,983.00000,0
1491462000,983.00000,983.00000,983.00000,983.00000,0
1491548400,983.00000,983.00000,983.00000,983.00000,0
1491807600,983.00000,983.00000,983.00000,983.00000,0
1491894000,983.00000,983.00000,983.00000,983.00000,0
1491980400,983.00000,983.00000,983.00000,983.00000,0
1492066800,983.00000,983.00000,983.00000,983.00000,0
1492498800,983.00000,983.00000,983.00000,983.00000,0
1492585200,983.00000,983.00000,983.00000,983.00000,0
1492671600,983.00000,983.00000,983.00000,983.00000,0
1492758000,983.00000,983.00000,983.00000,983.00000,0
1493017200,983.00000,983.00000,983.00000,983.00000,0
1493103600,983.00000,983.00000,983.00000,983.00000,0
1493190000,983.00000,983.00000,983.00000,983.00000,0
1493276400,983.00000,983.00000,983.00000,983.00000,0
1493362800,983.00000,983.00000,983.00000,983.00000,0
1493794800,1215.00000,1225.50000,1213.00000,1221.00000,113854
1493881200,1230.00000,1236.31995,1225.00000,1229.00000,486014
1493967600,1233.00000,1233.00000,1213.71802,1214.00000,343080
1494226800,1215.00000,1219.71997,1204.00000,1211.00000,202844
1494313200,1214.00000,1225.00000,1211.18005,1222.00000,279004
1494399600,1224.00000,1224.00000,1216.00000,1217.00000,370045
1494486000,1223.00000,1226.00000,1215.38501,1223.00000,202025
1494572400,1228.00000,1228.00000,1220.00000,1226.00000,100744
1494831600,1229.00000,1229.00000,1215.18005,1224.00000,193378
1494918000,1220.00000,1226.97998,1215.76001,1223.00000,115933
