time,open,high,low,close,tick_volume
1569504600,27.17000,27.98000,24.75000,25.76000,47067700
1569591000,26.17000,26.17000,23.75000,25.24000,15976000
1569850200,25.26000,25.85000,25.00000,25.10000,4482900
1569936600,25.00000,25.17000,22.51000,22.51000,8816100
1570023000,22.25000,23.18000,21.76000,22.60000,9454700
1570109400,22.49000,22.82000,21.14000,22.33000,8280000
1570195800,22.35000,23.42000,22.30600,23.01000,3229200
1570455000,23.07000,24.33000,22.49000,23.51000,2741400
1570541400,23.60000,23.90000,22.33000,23.21000,2902100
1570627800,23.63000,24.80000,23.25000,24.00000,3165600
1570714200,24.10000,24.20000,22.80000,23.14000,3490300
1570800600,23.10000,23.40000,22.11000,22.39000,3394900
1571059800,22.17000,22.28000,21.40000,21.47000,2651100
1571146200,21.51000,23.68000,21.51000,23.44500,2871400
1571232600,23.54000,23.54000,22.46000,23.03000,2457000
1571319000,23.00000,23.96000,23.00000,23.86000,1185400
1571405400,24.30000,24.68000,23.12000,23.52000,3392200
1571664600,23.99000,24.37000,21.77400,22.26000,7992800
1571751000,22.67000,22.69800,20.93000,21.16000,5875400
1571837400,21.13000,21.74000,20.46000,21.08000,4938000
1571923800,21.24000,21.45000,20.70000,21.34000,2684500
1572010200,21.13000,23.09000,21.00000,22.40000,2517700
1572269400,22.55000,22.67000,21.45000,21.46000,4159900
1572355800,21.57000,24.16000,21.43000,23.18000,5125200
1572442200,23.32000,23.73500,22.66000,23.72000,2481800
1572528600,23.49000,23.94000,22.91000,23.87000,1910100
1572615000,23.87000,25.30000,23.75300,24.99000,4894700
1572877800,25.30000,26.50000,23.54000,24.61000,5985100
1572964200,24.05000,24.25000,22.25000,22.74000,13499900
1573050600,22.93000,23.20000,22.29000,23.02000,3778400
1573137000,23.02000,23.31000,22.41000,22.63000,2818800
1573223400,22.45000,23.55000,22.25000,23.52000,2897100
1573482600,23.44000,24.17000,22.45000,24.04000,2895700
1573569000,24.32000,24.99000,24.19000,24.69000,2374800
1573655400,24.46000,26.85300,24.15000,25.98000,6242500
1573741800,26.20000,26.26000,25.40000,25.93000,3036300
1573828200,26.01000,28.82000,25.71000,27.23000,7295000
1574087400,27.34000,30.36000,26.24000,30.25000,9065200
1574173800,29.99000,32.01000,28.80000,29.24000,6946000
1574260200,29.09000,29.99000,27.75000,29.10000,2565100
1574346600,29.13000,30.00000,28.66100,29.80000,1706700
1574433000,30.11000,30.65000,28.90000,29.36000,1639400
1574692200,29.49000,31.11000,29.49000,30.87000,2920900
1574778600,31.41000,31.50000,29.74700,30.96000,2217100
1574865000,31.05000,33.07000,29.85000,32.16000,4229800
1575037800,32.66000,35.75000,32.51000,35.23000,5680000
1575297000,35.30000,37.02000,32.96000,36.84000,6578100
1575383400,35.91000,36.00000,33.14000,33.48000,7836100
1575469800,34.78000,35.30000,31.22000,32.96000,8624600
1575556200,33.65000,33.65000,30.51000,31.31000,6496100
1575642600,31.80000,33.39000,31.36000,32.63000,6812300
1575901800,33.31000,35.35000,33.04000,34.77000,7761400
1575988200,35.04000,35.10000,31.62000,32.78000,13158400
1576074600,32.12000,32.38000,29.87000,32.03000,7289000
1576161000,31.62000,32.36000,29.86000,30.85000,6793700
1576247400,30.99000,31.97000,30.25000,31.53000,3306100
1576506600,31.65000,31.92000,30.21000,31.34000,3885600
1576593000,31.60000,33.32000,30.60000,32.93000,5533800
1576679400,32.71000,33.50000,31.35400,31.89000,4947600
1576765800,31.74000,32.39000,31.00000,31.93000,3319000
1576852200,32.00000,32.25000,29.80000,29.99000,8509200
1577111400,30.15000,30.20000,28.87000,29.22000,4376500
1577197800,29.07000,29.25000,28.56000,28.75000,1972600
1577370600,29.00000,29.18000,26.74000,27.00000,8501700
1577457000,27.00000,27.30000,25.67000,27.00000,6794900
1577716200,26.83000,28.10800,26.47000,27.69000,4853000
1577802600,27.48000,29.06000,27.31000,28.40000,3601700
1577975400,28.90000,30.02000,27.80000,29.74000,5916200
1578061800,29.49000,31.25000,29.29000,30.60000,4974100
1578321000,30.61000,31.70500,29.72000,29.75000,4028900
1578407400,29.44000,30.84000,28.83000,30.40000,3072000
1578493800,30.07000,30.25000,28.85000,29.65000,7474100
1578580200,29.38000,29.94000,27.58500,27.87000,6567700
1578666600,27.85000,28.15000,26.89000,28.01000,5938400
1578925800,28.30000,28.97000,27.24000,28.53000,3619100
1579012200,28.80000,30.26000,28.35000,29.69000,4819100
1579098600,30.96000,31.44000,29.77400,30.86000,7822700
1579185000,31.10000,31.80000,30.36000,30.83000,5701300
1579271400,31.00000,31.95000,30.78300,31.70000,3831300
1579617000,31.69000,33.70000,31.60000,32.00000,4914300
1579703400,32.32000,33.20000,30.53000,30.68000,5374900
1579789800,30.69000,31.59000,29.96000,30.06000,3268500
1579876200,30.08000,30.77000,28.85000,30.50000,5259000
1580135400,29.67000,31.38000,29.20000,31.25000,4228500
1580221800,31.56000,31.65000,30.56000,31.38000,3737900
1580308200,32.36000,32.36000,30.81000,31.50000,3508500
1580394600,31.25000,32.30000,31.25000,32.26000,3785400
1580481000,32.25000,32.52000,31.02100,32.36000,3366300
1580740200,32.87000,33.50000,31.94000,33.37000,4807800
1580826600,33.91000,34.60000,33.28000,33.47000,7687600
1580913000,34.04000,34.09000,31.64000,32.70000,9397700
1580999400,29.94000,30.75000,28.82000,29.00000,12108500
1581085800,28.59000,28.59000,27.05000,27.86000,7796900
1581345000,27.83000,29.06000,27.62000,28.60000,3770500
1581431400,28.75000,29.18000,28.20000,28.65000,2413300
1581517800,28.84000,29.21000,28.25000,28.34000,2460300
1581604200,28.20000,30.27000,27.40000,28.85000,6879000
1581690600,28.89000,28.89000,27.50000,27.66000,2947500
