time,open,high,low,close,tick_volume
1472477400,107.46000,109.72000,107.37000,108.73000,616200
1472563800,108.73000,108.73000,106.83000,107.92000,788800
1472650200,107.92000,108.60000,106.15000,107.76000,974400
1472736600,107.84000,108.81000,107.05000,108.18000,750100
1472823000,108.24000,109.68000,108.04000,108.56000,509700
1473168600,108.56000,108.92000,107.30000,108.39000,763400
1473255000,108.53000,110.41000,108.09000,110.19000,867000
1473341400,109.18000,110.40000,108.52000,108.77000,784500
1473427800,107.78000,108.45000,106.49000,107.15000,912300
1473687000,107.33000,108.98000,106.40000,108.65000,889600
1473773400,107.65000,108.80000,105.95000,106.73000,710500
1473859800,106.49000,108.59000,106.38000,106.93000,874800
1473946200,105.73000,107.59000,105.27000,107.48000,855400
1474032600,106.65000,107.45000,106.12000,107.19000,929400
1474291800,108.12000,108.80000,107.15000,108.05000,827700
1474378200,108.80000,109.78000,107.39000,107.87000,555900
1474464600,108.09000,109.51000,107.90000,109.28000,840100
1474551000,109.75000,109.98000,107.94000,108.81000,769900
1474637400,108.77000,110.03000,108.54000,108.60000,500500
1474896600,108.16000,108.32000,105.73000,105.80000,602700
1474983000,105.85000,107.26000,105.04000,106.37000,702600
1475069400,106.61000,107.06000,105.74000,106.83000,542000
1475155800,106.48000,108.26000,106.17000,106.66000,886600
1475242200,107.99000,111.93000,107.93000,110.50000,1612700
1475501400,110.29000,112.61000,109.73000,111.54000,1168800
1475587800,111.86000,112.92000,111.18000,112.19000,849100
1475674200,112.41000,112.70000,111.13000,111.17000,655100
1475760600,110.95000,112.14000,110.26000,111.91000,689200
1475847000,112.80000,114.42000,112.43000,114.00000,1182900
1476106200,114.42000,115.40000,113.82000,113.97000,1053400
1476192600,113.86000,114.18000,112.59000,112.64000,837700
1476279000,112.90000,112.98000,111.44000,111.46000,867700
1476365400,110.36000,111.88000,108.93000,111.31000,777500
1476451800,111.94000,112.04000,109.89000,110.34000,569200
1476711000,110.65000,111.28000,109.78000,110.44000,721300
1476797400,111.61000,111.71000,110.17000,110.22000,681300
1476883800,110.84000,111.94000,110.29000,111.33000,843400
1476970200,110.57000,110.93000,109.92000,110.51000,462100
1477056600,109.36000,109.61000,108.71000,109.36000,645300
1477315800,109.47000,110.47000,108.47000,108.77000,685400
