time,open,high,low,close,tick_volume
1472477400,37.61000,37.65000,37.27000,37.29000,4780700
1472563800,37.26000,37.52000,36.98500,37.00000,6873600
1472650200,37.00000,37.24000,36.84000,37.15000,7166300
1472736600,37.27000,37.32000,36.58000,36.83000,10412200
1472823000,37.01000,37.12500,36.30000,37.07000,6726900
1473168600,37.05000,37.65000,37.02000,37.18000,6416900
1473255000,37.33000,38.58000,37.26000,38.56000,10817700
1473341400,38.65000,39.33000,38.50100,39.27000,12037300
1473427800,38.75000,39.02000,37.91000,38.01000,10747100
1473687000,37.65000,38.84000,37.54000,38.77000,8635000
1473773400,38.62000,40.33000,38.41000,39.86000,17924900
1473859800,39.99000,40.28000,39.53000,39.96000,13042100
1473946200,40.31000,41.14000,39.87000,40.83000,12702800
1474032600,40.71000,40.88000,40.32500,40.70000,11909400
1474291800,40.24000,40.46000,39.75000,40.01000,7574500
1474378200,40.30000,40.30000,39.67000,39.69000,5563300
1474464600,39.86000,40.39000,39.70000,40.29000,5378400
1474551000,40.42000,40.66000,40.14000,40.49000,5691000
1474637400,39.60000,40.49500,39.60000,40.07000,6234600
1474896600,39.38000,40.51000,39.38000,40.34000,9054400
1474983000,40.04000,41.23000,39.49000,41.06000,8674100
1475069400,41.15000,41.19000,40.21000,40.97000,6751200
1475155800,40.91000,41.30000,40.36000,40.39000,7953000
1475242200,40.29000,41.05000,40.27000,40.97000,8685600
1475501400,40.87000,41.20000,40.16000,40.59000,6925000
1475587800,41.30000,41.30000,40.44000,40.78000,5046600
1475674200,40.95000,40.95000,40.40000,40.44000,6128200
1475760600,40.32000,40.39000,39.86000,40.18000,6312000
1475847000,40.42000,40.42000,39.62000,39.88000,6109900
1476106200,40.13000,40.17000,39.59000,39.86000,6636700
1476192600,40.03000,40.11000,38.96000,39.19000,9955700
1476279000,39.77000,39.80000,39.30000,39.53000,7039900
1476365400,39.39000,39.40000,38.75000,39.20000,7865200
1476451800,39.46000,39.89000,39.23000,39.24000,6647600
1476711000,39.24000,39.62000,39.16000,39.48000,5279500
1476797400,40.00000,40.18000,39.78000,39.83000,5475900
1476883800,39.97000,40.47000,39.84000,40.24000,6587700
1476970200,40.23000,40.29000,39.82000,40.09000,13337500
1477056600,41.85000,44.24000,41.84000,44.15000,37554700
1477315800,44.00000,44.52000,43.14000,43.87000,19079000
1477402200,43.66000,44.07000,43.00000,43.31000,9463900
1477488600,43.00000,43.21000,42.31000,42.33000,10918800
1477575000,42.55000,42.57000,41.62100,41.69000,9447300
1477661400,41.98000,41.98000,41.07000,41.76000,11979200
1477920600,41.78000,42.00000,41.36000,41.66000,7160000
1478007000,41.68000,42.29500,41.29000,41.54000,9399000
1478093400,41.43000,41.57000,41.08000,41.35000,7920600
1478179800,41.32000,41.50000,40.92000,41.19000,6239900
1478266200,40.30000,41.48500,40.30000,40.90000,6541300
1478529000,41.52000,41.65000,41.06000,41.28000,7904900
1478615400,41.42000,42.15000,41.09000,41.58000,6968100
1478701800,40.60000,41.47000,40.58000,41.26000,9744400
1478788200,41.90000,41.90000,39.58000,40.45000,12097600
1478874600,40.77000,40.77000,39.80000,40.08000,10775700
1479133800,40.40000,40.40000,38.45000,38.81000,17877800
1479220200,39.04000,39.48000,38.90000,38.94000,16037800
1479306600,39.05000,39.21000,38.71000,39.07000,12730900
1479393000,39.12000,40.05500,38.95000,39.88000,9758500
1479479400,40.08000,40.57000,39.91000,40.08000,9521500
1479738600,40.12000,40.77000,40.11600,40.63000,6667200
1479825000,40.99000,41.10000,39.95000,40.33000,7734700
1479911400,40.31000,40.43000,39.85000,40.05000,5770600
1480084200,40.40000,40.56000,39.99000,40.26000,2324300
1480343400,40.26000,40.49000,39.92500,39.96000,4170600
1480429800,40.07000,40.36000,39.79000,39.89000,5083700
1480516200,40.10000,40.18000,39.18000,39.28000,8420700
1480602600,39.56000,39.68000,38.18000,38.34000,11265600
1480689000,38.34000,38.75000,38.06000,38.62000,6335200
1480948200,38.85000,39.34000,38.65000,38.99000,5053900
1481034600,39.23000,39.26000,38.71000,38.98000,5954500
1481121000,39.08000,39.46000,38.80000,39.45000,7012000
1481207400,39.68000,40.00000,39.45000,39.61000,6102600
1481293800,39.70000,39.79000,39.37500,39.65000,3923700
1481553000,39.60000,39.90000,39.35000,39.43000,4474500
1481639400,39.55000,39.74500,39.39000,39.43000,6385900
1481725800,39.46000,39.89000,39.46000,39.55000,4658700
1481812200,39.80000,40.29000,39.35000,39.54000,6418900
1481898600,39.90000,39.90000,39.12000,39.32000,9786300
1482157800,39.40000,39.80000,39.11000,39.44000,4268600
1482244200,39.61000,39.74000,39.26000,39.74000,3637200
1482330600,39.84000,40.74000,39.82000,40.09000,6768200
1482417000,40.04000,40.09000,39.54000,39.68000,5065000
1482503400,39.82000,39.87000,39.48000,39.58000,3378100
1482849000,39.50000,40.08000,39.43000,39.72000,2660100
1482935400,39.76000,40.03000,39.53000,39.57000,3292400
1483021800,39.54000,40.17000,39.54000,39.96000,3708000
1483108200,39.96000,40.07000,39.34000,39.47000,5012100
1483453800,40.29000,40.98000,40.00000,40.25000,8247400
1483540200,40.35000,41.03000,40.04500,41.00000,6806400
1483626600,41.43000,41.72000,41.04000,41.06000,6432000
1483713000,41.24000,41.64000,40.79000,41.45000,5586400
1483972200,41.49000,41.51000,41.11000,41.40000,3943900
1484058600,41.40000,41.55000,41.07000,41.08000,4174900
1484145000,41.23000,41.38000,40.83500,41.28000,4425300
1484231400,41.28000,41.60500,40.92000,41.56000,3840500
1484317800,41.65000,41.84000,41.53000,41.60000,3917700
1484663400,41.60000,41.71000,41.20000,41.27000,5932900
1484749800,41.41000,41.49000,41.11000,41.35000,4706000
1484836200,41.25000,41.68000,41.03000,41.27000,4717600
1484922600,41.39000,41.72000,41.30000,41.69000,6868500
1485181800,41.86000,42.11000,41.25000,41.62000,8497100
1485268200,41.95000,42.04000,41.53000,41.96000,6106500
1485354600,42.36000,42.44000,41.66000,41.71000,8604000
1485441000,42.36000,42.50000,41.28500,41.50000,11838100
1485527400,41.00000,41.20000,39.92000,40.27000,22749200
1485786600,40.17000,40.27000,39.42000,39.86000,11486000
1485873000,39.70000,40.01000,39.45000,39.78000,9100100
1485959400,39.96000,40.00000,39.11000,39.31000,8860400
1486045800,39.40000,39.84000,39.02000,39.58000,8736800
1486132200,39.79000,39.93000,39.55000,39.59000,7131100
1486391400,39.64000,39.83000,39.34000,39.74000,8206400
1486477800,40.01000,40.34000,39.70000,40.02000,7956300
1486564200,40.18000,40.99000,39.92000,40.88000,7399000
1486650600,40.44000,40.99500,40.30000,40.83000,6467600
1486737000,40.82000,40.86000,40.56000,40.58000,6248200
1486996200,40.83000,41.30000,40.74000,41.17000,6260900
1487082600,41.18000,41.63000,40.94000,41.62000,6496400
1487169000,41.69000,41.93000,41.27000,41.87000,7124600
1487255400,41.87000,42.31000,41.70000,42.15000,5730800
1487341800,41.92000,42.30000,41.80000,41.96000,5106000
1487687400,41.93000,42.56000,41.90000,42.43000,5874700
1487773800,42.30000,42.53000,42.12000,42.42000,4316200
1487860200,42.37000,42.67000,42.16000,42.53000,5456300
1487946600,42.11000,43.07000,41.83000,43.07000,6769500
1488205800,42.89000,42.89000,42.35000,42.64000,5026700
1488292200,42.49000,42.49000,41.99000,42.00000,6956800
1488378600,42.31000,42.52000,41.99000,42.43000,6003800
1488465000,42.40000,42.86000,42.20000,42.77000,4572300
1488551400,42.70000,43.04000,42.58000,43.03000,4214400
1488810600,42.98000,43.03000,42.63000,42.87000,6032800
1488897000,42.80000,43.20000,42.71000,42.89000,4404700
1488983400,42.84000,43.18000,42.72000,42.79000,4573900
1489069800,42.66000,43.00000,42.45000,42.92000,3487900
1489156200,43.19000,43.28000,42.76000,42.99000,4636200
1489411800,42.87000,42.96500,42.45000,42.59000,5526900
1489498200,42.51000,42.64000,41.74000,42.10000,5888000
1489584600,42.29000,42.57000,41.89000,42.39000,4291800
1489671000,42.50000,42.58000,42.14000,42.40000,3998600
1489757400,42.57000,43.30000,42.37000,43.08000,12307900
1490016600,43.10000,43.32000,42.81000,43.16000,6686900
1490103000,43.33000,43.40000,42.46000,42.64000,7758400
1490189400,42.59500,43.24000,42.45000,43.19000,6513300
1490275800,43.13000,43.61000,43.00000,43.14000,7176400
1490362200,43.48000,43.49500,42.93500,43.13000,5739500
1490621400,42.69000,43.20000,42.58000,43.08000,3850300
1490707800,42.87000,43.25000,42.84000,43.15000,4396500
