time,open,high,low,close,tick_volume
1597671000,9.85000,9.90000,9.85000,9.90000,280200
1597757400,9.94000,9.94000,9.80000,9.86000,11300
1597843800,9.83000,9.83000,9.82000,9.82000,900
1597930200,9.85000,9.88000,9.83000,9.88000,57300
1598016600,9.88000,9.88000,9.74000,9.79300,55700
1598275800,9.85000,9.89000,9.80000,9.80000,3200
1598362200,9.85000,9.90000,9.80000,9.81000,16800
1598448600,9.85000,9.90000,9.80000,9.83000,18200
1598535000,9.86000,9.87000,9.85000,9.85000,4800
1598621400,9.84000,9.90000,9.82000,9.88500,118600
1598880600,9.90000,9.95000,9.90000,9.90000,7800
1598967000,9.92000,9.98000,9.92000,9.95000,218800
1599053400,10.00000,10.10100,9.90000,10.00000,187700
1599139800,16.20000,18.98000,14.60000,18.74000,87005000
1599226200,22.85000,25.75000,19.24000,22.50000,52378800
1599571800,21.20000,22.40000,20.10000,20.13000,6789300
1599658200,20.63000,21.00000,18.12000,18.50000,5085200
1599744600,19.31000,20.45000,18.00000,18.25000,2827400
1599831000,18.50000,18.83000,16.54000,17.63000,4684500
1600090200,18.25000,19.71000,17.75000,18.80000,4506200
1600176600,19.42000,19.50000,18.08000,18.35000,2553700
1600263000,18.80000,19.60000,18.20000,18.66000,3111300
1600349400,17.81000,18.50000,17.75000,17.88000,1353500
1600435800,18.00000,18.33000,17.71000,17.85000,1813800
1600695000,17.58000,18.64000,16.72000,18.35000,2250400
1600781400,18.75000,20.35000,18.50000,18.99000,3792700
1600867800,19.00000,19.38000,16.49000,16.74000,3891400
1600954200,16.10000,16.70000,15.11000,16.00000,2479100
1601040600,16.50000,17.15000,16.09500,17.15000,1058100
1601299800,17.78000,18.60000,17.30000,17.86000,1857300
1601386200,17.99000,18.05000,16.75000,16.90000,1453400
1601472600,17.02000,17.40000,16.55000,16.75000,952200
1601559000,16.80000,17.09000,16.50000,16.65000,589600
1601645400,15.88000,16.50000,15.71000,15.93000,1223600
1601904600,16.40000,16.44000,14.75000,14.95000,2351600
1601991000,14.90000,15.00000,13.56000,13.70000,2760700
1602077400,14.04000,14.37000,13.70000,13.72000,1163600
1602163800,13.90000,14.35000,13.72000,14.10000,1119700
1602250200,14.75000,14.93900,14.35000,14.75000,1074200
1602509400,15.01000,15.70000,14.76000,15.70000,1206200
1602595800,15.90000,16.00000,14.88000,15.10000,1009100
1602682200,15.01000,15.21000,14.23000,14.50000,887500
1602768600,14.76000,15.18000,14.23000,14.65000,667800
1602855000,15.20000,15.21000,14.32000,14.48000,907000
1603114200,14.63400,15.00000,14.50000,14.54000,615200
1603200600,14.96000,15.12000,14.45000,15.10000,923100
1603287000,15.40000,15.40000,13.93000,14.19000,899500
1603373400,14.21000,14.35200,13.31000,13.75000,1128700
1603459800,14.35000,14.49000,13.66000,13.87000,1161000
1603719000,13.75000,13.89900,12.86000,12.92000,1024900
1603805400,13.11000,13.20000,12.35000,12.40000,761000
1603891800,12.10000,12.18000,11.50000,11.59000,969500
1603978200,11.73000,12.38000,11.66000,12.00000,579600
