time,open,high,low,close,tick_volume
1472477400,177.67000,178.67000,177.64999,178.57001,284500
1472563800,178.73000,179.17000,178.21001,178.80000,387300
1472650200,178.46001,178.77000,176.73000,177.55000,584300
1472736600,177.12000,180.87000,176.92999,180.71001,560700
1472823000,181.08000,182.24001,180.71001,182.14999,383300
1473168600,182.20000,182.20000,179.50999,180.42000,546400
1473255000,180.09000,180.33000,179.02000,179.71001,390500
1473341400,179.64000,181.50999,178.91000,180.21001,539100
1473427800,178.75000,179.28999,176.06000,176.06000,516500
1473687000,175.27000,180.03000,174.45000,179.80000,462300
1473773400,178.58000,178.95000,177.28000,177.58000,432900
1473859800,177.36000,178.61000,175.48000,176.25999,378400
1473946200,175.81000,178.50000,175.49001,178.19000,375000
1474032600,177.53999,177.55000,175.39000,177.19000,601500
1474291800,177.88000,178.42999,176.27000,176.70000,261300
1474378200,177.83000,177.83000,175.98000,175.99001,569700
1474464600,176.12000,178.24001,176.09000,178.05000,289300
1474551000,178.31000,182.35001,178.31000,182.13000,457000
1474637400,182.20000,182.21001,180.10001,180.10001,278900
1474896600,179.61000,179.61000,178.03999,178.35001,319900
1474983000,178.25999,179.78000,177.38000,179.58000,392300
1475069400,179.92999,183.03000,179.89000,182.84000,463500
1475155800,181.92000,183.12000,180.55000,181.30000,566600
1475242200,182.42000,183.49001,180.88000,182.47000,539200
1475501400,181.16000,183.00000,181.00999,182.09000,327300
1475587800,182.28000,182.69000,180.75000,181.95000,524500
1475674200,181.48000,182.95000,181.31000,182.31000,312000
1475760600,181.72000,181.78999,179.78000,181.31000,419900
1475847000,181.19000,181.19000,178.81000,179.88000,419800
1476106200,180.60001,181.23000,179.00000,179.39999,223800
1476192600,179.23000,179.23000,175.28999,176.86000,644400
1476279000,176.52000,177.27000,175.86000,176.37000,327900
1476365400,174.86000,175.02000,173.58000,173.88000,375800
1476451800,173.87000,175.59000,172.92000,172.94000,483400
1476711000,172.69000,172.92000,171.32001,171.42999,450500
1476797400,172.56000,172.61000,170.42000,172.52000,531500
1476883800,172.86000,174.70000,172.17000,174.56000,438000
1476970200,174.48000,174.61000,172.62000,173.17999,401100
1477056600,171.47000,172.92999,170.39999,172.39999,352000
1477315800,173.71001,174.87000,171.47000,171.50999,365400
1477402200,171.47000,172.36000,170.45000,171.34000,471900
1477488600,171.13000,171.25999,169.44000,169.73000,758300
1477575000,170.30000,170.52000,167.75000,168.48000,678200
1477661400,168.98000,169.44000,167.50000,167.91000,851900
1477920600,168.56000,174.88000,168.56000,173.31000,2106900
1478007000,172.87000,174.78999,171.27000,171.58000,2830100
1478093400,171.67999,171.97000,169.96001,170.07001,724200
1478179800,170.47000,171.31000,169.67000,170.36000,439000
1478266200,170.81000,171.32001,169.42000,169.47000,1033700
1478529000,171.32001,173.03999,171.27000,172.85001,550000
1478615400,173.12000,174.89000,172.14000,174.03999,756800
1478701800,173.25999,177.23000,171.57001,176.95000,970000
1478788200,177.09000,180.50000,176.60001,179.81000,1157500
1478874600,179.57001,180.31000,178.00999,178.95000,713700
1479133800,179.06000,180.25000,178.96001,179.58000,729500
1479220200,179.45000,181.78000,178.19000,181.64999,832900
1479306600,181.38000,181.71001,180.02000,181.28000,611100
1479393000,181.49001,182.25000,180.75000,181.42000,956000
1479479400,181.10001,181.86000,179.96001,180.12000,318400
1479738600,181.14999,182.03999,180.78000,182.03999,573900
1479825000,182.70000,183.87000,181.78000,183.78999,581700
1479911400,183.25000,184.42999,183.25000,184.20000,377700
1480084200,184.22000,184.60001,182.20000,183.13000,172100
1480343400,182.80000,183.35001,181.16000,182.08000,415000
1480429800,181.63000,182.20000,180.98000,181.10001,293200
1480516200,181.69000,182.31000,180.94000,181.11000,740700
1480602600,181.41000,182.64000,181.23000,181.83000,668200
1480689000,181.66000,182.69000,181.32001,182.32001,518300
1480948200,183.17000,184.92999,181.16000,181.64000,569400
1481034600,183.78000,185.36000,182.00999,183.05000,924300
1481121000,183.72000,183.95000,182.78999,183.50999,962100
1481207400,182.63000,183.77000,182.63000,183.28999,1462500
1481293800,183.12000,185.92999,182.96001,185.80000,792900
1481553000,185.72000,185.81000,184.13000,184.89000,401000
1481639400,186.00000,189.44000,185.50999,188.03999,1369800
1481725800,187.74001,188.82001,186.33000,186.66000,868500
1481812200,186.10001,187.19000,185.25999,186.97000,699200
1481898600,187.75000,188.47000,184.82001,185.00000,1113700
1482157800,185.09000,185.85001,183.86000,184.42999,410000
1482244200,185.33000,186.89000,184.92000,186.33000,395500
1482330600,186.28000,186.63000,185.78999,185.81000,376400
1482417000,186.00000,186.38000,184.70000,186.00999,486500
1482503400,186.42999,186.59000,185.62000,185.92999,190000
