time,open,high,low,close,tick_volume
1472477400,50.71000,51.01000,50.67000,50.72000,1342400
1472563800,50.84000,50.88000,50.35000,50.60000,747800
1472650200,50.54000,50.67000,50.23000,50.52000,1238000
1472736600,50.61000,50.72000,50.35000,50.72000,623600
1472823000,50.92000,51.28000,50.91000,51.08000,836500
1473168600,50.92000,51.50000,50.88000,51.21000,1204700
1473255000,51.03000,51.13000,50.63000,50.77000,1012200
1473341400,50.58000,50.96000,50.50000,50.83000,1040400
1473427800,50.41000,50.52000,49.50000,49.52000,1477000
1473687000,49.50000,50.39000,49.42000,50.27000,1522000
1473773400,49.92000,50.52000,49.91000,49.96000,2010300
1473859800,49.95000,50.23000,49.73000,49.80000,1276300
1473946200,49.79000,50.37000,49.72000,50.24000,1182500
1474032600,50.06000,50.32000,49.77000,50.26000,2159000
1474291800,50.18000,50.87000,50.18000,50.71000,1616800
1474378200,51.00000,51.38000,50.71000,50.76000,1585600
1474464600,50.88000,51.40000,50.74000,51.33000,1433300
1474551000,51.50000,51.59000,51.04000,51.21000,1456000
1474637400,51.02000,51.16000,50.69000,50.78000,1298000
1474896600,50.61000,51.01000,50.58000,50.78000,939100
1474983000,50.92000,51.19000,50.71000,50.77000,1118000
1475069400,50.84000,50.95000,50.22000,50.59000,1156600
1475155800,50.14000,50.32000,49.99000,50.07000,1317300
1475242200,50.22000,50.63000,50.22000,50.45000,1523500
1475501400,50.48000,50.67000,50.20000,50.40000,1146800
1475587800,50.45000,50.54000,49.77000,49.92000,1315900
1475674200,49.99000,50.27000,49.70000,49.85000,1533900
1475760600,49.70000,49.86000,49.42000,49.72000,1775200
1475847000,49.74000,49.85000,49.24000,49.49000,1296300
1476106200,49.53000,49.98000,49.53000,49.89000,1056700
1476192600,49.82000,49.98000,49.38000,49.60000,1226000
1476279000,49.65000,49.85000,49.51000,49.69000,1334600
1476365400,49.41000,49.80000,49.18000,49.63000,1463500
1476451800,49.78000,50.37000,49.78000,49.82000,1262000
1476711000,49.82000,50.24000,49.82000,50.15000,846400
1476797400,50.32000,50.65000,50.15000,50.24000,696300
1476883800,50.33000,50.48000,49.92000,50.17000,713100
1476970200,50.09000,50.22000,49.79000,49.98000,1115400
1477056600,49.70000,49.97000,49.44000,49.93000,856700
1477315800,50.16000,50.58000,50.15000,50.55000,888500
1477402200,50.45000,51.33000,50.45000,50.95000,1806800
1477488600,51.07000,51.62000,50.76000,51.29000,1519500
1477575000,51.27000,51.57000,50.75000,50.97000,1644100
1477661400,51.90000,52.27000,51.22000,51.98000,3055400
1477920600,52.14000,52.77000,52.14000,52.63000,2013000
1478007000,52.30000,52.38000,51.15000,51.29000,2367500
1478093400,51.34000,51.60000,51.09000,51.15000,1221100
1478179800,51.18000,51.37000,50.89000,51.03000,1277700
1478266200,51.18000,51.55000,51.15000,51.23000,1855600
1478529000,51.76000,52.02000,51.66000,52.01000,1363300
1478615400,52.03000,52.34000,51.92000,52.24000,1322000
1478701800,51.74000,52.93000,51.59000,52.76000,1548600
1478788200,52.80000,53.05000,52.28000,52.90000,1788900
1478874600,52.88000,53.75000,52.84000,53.67000,1661500
1479133800,53.65000,54.28000,53.30000,54.10000,1660200
1479220200,54.29000,54.92000,54.14000,54.91000,1732100
1479306600,54.96000,55.31000,54.37000,54.57000,2083000
1479393000,54.48000,54.74000,54.38000,54.67000,1237700
1479479400,54.65000,54.93000,54.47000,54.61000,1396600
1479738600,55.01000,55.38000,54.82000,55.35000,1362000
1479825000,55.54000,55.69000,55.27000,55.43000,1512400
1479911400,55.38000,55.66000,55.04000,55.18000,1493400
1480084200,55.33000,55.76000,55.33000,55.63000,471900
1480343400,55.59000,55.93000,55.43000,55.86000,1236700
1480429800,55.84000,56.02000,55.67000,55.90000,1125500
1480516200,55.83000,55.83000,55.47000,55.49000,1318000
1480602600,55.49000,55.71000,55.23000,55.47000,1007000
1480689000,55.71000,55.90000,55.52000,55.81000,1033500
1480948200,55.86000,55.99000,55.07000,55.28000,1535900
1481034600,55.41000,55.74000,55.13000,55.72000,1268800
1481121000,55.74000,56.29000,55.54000,56.29000,1274200
1481207400,56.30000,56.70000,56.21000,56.44000,1592900
1481293800,56.38000,56.70000,56.01000,56.52000,1412900
1481553000,56.45000,57.08000,56.40000,56.92000,1293000
1481639400,57.08000,57.36000,56.68000,57.05000,1412900
1481725800,57.12000,57.24000,56.45000,56.51000,1265600
1481812200,56.38000,56.83000,56.24000,56.65000,1073300
1481898600,56.79000,57.00000,56.49000,56.59000,2404300
1482157800,56.87000,57.55000,56.87000,57.41000,978500
1482244200,57.49000,58.00000,57.35000,57.50000,1195900
1482330600,57.50000,57.73000,57.29000,57.29000,786600
1482417000,57.26000,57.45000,57.12000,57.32000,942200
1482503400,57.31000,57.48000,57.12000,57.36000,662500
1482849000,57.48000,57.56000,57.29000,57.41000,543400
1482935400,57.42000,57.55000,57.27000,57.32000,598200
1483021800,57.07000,57.23000,57.05000,57.15000,632100
1483108200,57.32000,57.48000,56.91000,57.05000,693000
1483453800,57.11000,57.20000,56.58000,56.87000,1174700
1483540200,57.09000,57.41000,56.96000,56.97000,1348600
1483626600,56.99000,57.55000,56.95000,57.21000,1113100
1483713000,57.10000,57.31000,56.93000,57.03000,1147500
1483972200,57.07000,57.21000,56.41000,56.42000,1374900
1484058600,56.24000,56.74000,56.17000,56.69000,1210200
1484145000,56.62000,57.06000,56.52000,56.91000,1260600
1484231400,56.91000,57.13000,56.65000,57.10000,1081800
1484317800,57.15000,57.48000,57.08000,57.24000,962700
1484663400,57.11000,57.23000,56.83000,56.91000,877000
1484749800,56.93000,57.38000,56.88000,57.36000,943900
1484836200,56.99000,57.46000,56.99000,57.31000,1239400
1484922600,57.43000,57.59000,57.16000,57.36000,985400
1485181800,57.41000,57.55000,57.01000,57.24000,1278500
1485268200,57.26000,57.59000,57.14000,57.54000,968100
1485354600,57.60000,58.08000,57.55000,57.82000,2194600
1485441000,57.91000,58.08000,57.58000,57.65000,1181800
1485527400,57.85000,57.97000,57.46000,57.51000,918000
1485786600,57.60000,57.60000,57.34000,57.45000,748500
1485873000,57.48000,57.78000,57.29000,57.38000,994800
1485959400,57.37000,57.66000,56.83000,56.90000,1876800
1486045800,56.99000,57.41000,56.92000,57.35000,1638700
1486132200,57.61000,57.90000,57.44000,57.58000,1736700
1486391400,57.67000,57.76000,57.31000,57.36000,903700
1486477800,57.40000,57.92000,57.37000,57.65000,1134900
1486564200,57.60000,57.79000,57.53000,57.74000,1260300
1486650600,57.78000,57.98000,57.65000,57.86000,957500
1486737000,57.78000,58.35000,57.74000,57.96000,1154900
1486996200,58.08000,58.64000,58.08000,58.49000,1114400
1487082600,58.21000,58.58000,58.15000,58.43000,989400
1487169000,58.09000,59.19000,58.06000,59.11000,1299800
1487255400,58.92000,59.12000,58.68000,59.05000,1922900
1487341800,59.22000,60.79000,58.60000,60.75000,2822500
1487687400,60.50000,61.53000,60.47000,61.22000,1821700
1487773800,61.35000,61.72000,61.20000,61.68000,1402100
1487860200,61.84000,61.98000,61.25000,61.57000,1337800
1487946600,61.55000,61.64000,61.16000,61.35000,1992900
1488205800,61.38000,61.80000,61.38000,61.75000,980900
