time,open,high,low,close,tick_volume
1472477400,67.70296,68.06168,67.60856,67.94839,2849236
1472563800,67.88546,68.04279,67.45752,67.55821,3798981
1472650200,67.33166,67.45752,66.92889,66.97923,5321879
1472736600,67.17432,67.31907,66.51982,67.16174,5134854
1472823000,67.45752,67.79106,67.01070,67.29390,4872986
1473168600,67.33795,67.64632,66.38137,66.71491,5832742
1473255000,66.53241,66.89113,66.26180,66.61422,4010954
1473341400,66.46318,66.80931,66.40655,66.55129,4465408
1473427800,66.07929,66.14223,64.61296,64.61926,6766280
1473687000,64.31718,65.67023,64.12209,65.46885,6120510
1473773400,64.86469,65.04091,64.22278,64.39270,5630304
1473859800,64.31089,64.73254,63.83889,63.97734,6502506
1473946200,63.83889,64.76400,63.72561,64.63814,4989301
1474032600,64.55003,64.55003,62.83826,62.99559,12273754
1474291800,63.24733,63.67527,63.07741,63.20956,5269283
1474378200,63.41724,63.87665,63.08370,63.08370,4941949
1474464600,63.34172,64.24166,63.22845,64.16615,4997087
1474551000,64.65073,65.12272,64.58150,64.82064,5680039
1474637400,64.25425,64.82064,64.13467,64.54374,4205130
1474896600,64.29201,64.79547,64.05286,64.33606,5330459
1474983000,64.24166,64.65073,64.05286,64.41158,6831588
1475069400,64.61926,64.73883,63.98364,64.41158,7962002
1475155800,64.68219,64.68219,63.48647,63.59975,5911080
1475242200,63.82631,64.21020,63.59975,63.93959,8030012
1475501400,63.93959,64.61296,63.74449,64.46193,6311031
1475587800,64.55003,64.70107,63.75079,63.83260,5091474
1475674200,64.00252,64.39899,63.83260,64.34865,4360375
1475760600,64.26054,64.32977,63.78855,64.24166,5802234
1475847000,63.53682,63.56828,62.81309,63.29767,6257800
1476106200,63.03336,63.58087,62.70610,62.92007,7178784
1476192600,62.64946,62.85085,61.96350,62.15859,6856217
1476279000,62.18376,62.46067,62.01384,62.25928,6067120
1476365400,61.92574,62.98930,61.76841,62.83826,5987670
1476451800,63.19698,63.42983,62.97672,63.03336,5040308
1476711000,63.01448,63.20956,62.71240,62.75016,3896864
1476797400,63.24103,63.29767,62.73128,62.92637,4836598
1476883800,63.09629,63.20327,62.76904,62.78162,6378087
1476970200,62.77533,63.04594,62.47326,62.48584,6160076
1477056600,61.91315,62.16488,61.43486,62.09566,6506955
1477315800,62.51731,62.84455,62.35368,62.63058,6813791
1477402200,63.63121,64.25425,63.22215,63.78855,10729405
1477488600,63.56199,64.07803,63.40466,63.56828,5933485
1477575000,63.86406,63.95217,62.92637,62.97672,5640950
1477661400,63.25991,64.27942,63.25991,64.09062,7069620
1477920600,64.19761,64.56891,64.12838,64.31718,6379041
1478007000,64.44934,64.77029,63.75079,64.19761,6426711
1478093400,64.09692,64.54374,63.66268,63.90182,6539530
1478179800,64.06545,64.13467,63.38578,63.59346,3883834
1478266200,63.71303,64.04657,63.39837,63.76966,4143794
1478529000,64.80177,65.03461,64.51228,64.85210,6715432
1478615400,64.96539,65.39962,64.58150,65.05349,4010954
1478701800,63.61863,66.26180,63.61863,65.95972,7951197
1478788200,66.31844,68.25677,66.29327,68.22530,9701798
1478874600,67.90434,68.54626,67.33795,68.50850,6594191
1479133800,68.86092,68.86092,67.79736,67.87917,6576077
1479220200,67.87288,67.97986,67.12398,67.76589,6031208
1479306600,67.09880,67.57710,66.92889,67.31277,4302218
1479393000,67.35683,67.61485,67.09251,67.14915,3537909
1479479400,67.12398,67.31277,66.94147,67.02328,4254548
1479738600,67.24355,67.37571,66.84078,67.24355,3459889
1479825000,67.47011,67.54562,67.25613,67.30019,4196072
1479911400,67.57080,68.14349,67.57080,68.03650,3779437
1480084200,68.36375,68.72247,68.14978,68.45815,1602824
1480343400,68.28194,68.58401,68.14978,68.25047,3898612
1480429800,68.38892,68.87350,68.37634,68.49591,4979767
1480516200,68.61548,69.22593,67.79106,67.79106,6534127
1480602600,67.96728,68.07426,67.38200,67.64002,6444348
1480689000,67.99245,68.32599,67.64002,68.10573,4964672
1480948200,68.42039,68.47073,67.56451,67.60226,4890624
1481034600,67.52675,67.77848,67.38830,67.60856,3463226
1481121000,67.65261,69.12524,67.38830,69.02454,6772000
1481207400,69.01825,69.02454,68.05538,68.23788,5034747
1481293800,68.30711,69.21964,68.00504,69.09377,5447569
1481553000,68.86092,69.54059,68.46444,69.47137,7116654
1481639400,69.77974,70.28949,69.38955,69.42102,6050276
1481725800,69.44619,69.50283,68.65324,68.76652,4387547
1481812200,68.62177,68.86721,68.04279,68.04909,5738038
1481898600,68.22530,68.76022,68.02391,68.29453,12690072
1482157800,68.95531,69.89931,68.52108,69.74197,6099059
1482244200,69.81120,69.85526,69.32033,69.63499,3584784
1482330600,69.81750,69.93707,69.52171,69.53430,3303054
1482417000,69.59093,69.70422,69.03084,69.51542,3317673
1482503400,69.44619,69.74827,69.25110,69.63499,2070785
1482849000,69.88042,69.93707,69.54059,69.84267,1695940
1482935400,69.85526,69.91190,69.28886,69.34550,3010837
1483021800,69.40214,69.74197,69.24480,69.57206,4613820
1483108200,69.59723,69.72310,68.83575,68.98679,3496595
1483453800,69.47137,69.83009,69.22593,69.74827,4353224
1483540200,70.14474,70.29578,69.59093,69.79232,4912235
1483626600,69.96224,70.44682,69.57835,70.07552,5315046
1483713000,70.11958,71.00692,69.89301,70.83071,4166358
1483972200,70.92511,70.92511,70.02517,70.16991,3867785
1484058600,70.32725,70.37759,69.89301,70.01888,2860836
1484145000,70.24544,70.24544,69.59093,69.85526,4363712
1484231400,69.94336,69.94336,69.04343,69.74197,4202269
1484317800,69.81120,70.01888,69.13153,69.36438,4577273
1484663400,69.08748,69.39584,68.84834,69.20705,3559519
1484749800,69.35179,69.78603,69.11265,69.49024,4131877
1484836200,69.87414,70.23285,69.23852,69.68533,4494010
1484922600,69.82379,69.91819,69.24480,69.72310,4980403
1485181800,69.75456,70.04405,69.21334,69.43990,3649297
1485268200,69.65387,70.28949,69.43990,70.23914,5148360
1485354600,70.40277,70.80553,68.45815,69.83009,8030806
1485441000,69.72939,70.16363,68.93015,69.45248,6349644
1485527400,69.32033,69.79232,68.98049,69.03713,4496870
1485786600,68.79169,68.97420,68.12460,68.70359,4623831
1485873000,68.62177,69.10635,68.21272,69.01825,6269717
1485959400,68.99308,69.16929,67.90434,68.08055,7420789
1486045800,68.01762,68.39522,67.24355,68.19383,7491341
1486132200,68.30082,69.08748,68.28194,69.00566,5420397
1486391400,69.10635,70.01259,69.02454,69.65387,6720834
1486477800,70.09440,70.31467,69.83637,70.01259,4408522
1486564200,69.91190,69.91190,69.44619,69.47766,3292885
1486650600,69.47766,69.67905,69.22593,69.28257,4217206
1486737000,69.38326,70.01888,69.27628,69.88672,4257249
1486996200,70.23914,70.54752,70.11958,70.49717,4498141
1487082600,70.47829,70.68597,70.13845,70.21397,4404549
1487169000,69.93707,70.53493,69.89301,70.42794,4171125
1487255400,70.57269,70.69226,70.36501,70.52863,4452537
1487341800,70.44053,70.69226,70.23914,70.57898,4023030
1487687400,70.60416,70.98804,70.50976,70.79925,3395534
1487773800,70.70485,70.93140,70.30837,70.89994,3504698
1487860200,70.92511,71.03839,70.46570,70.54122,5516531
1487946600,70.37130,70.91882,70.32725,70.77407,4636543
1488205800,70.85588,71.09503,70.50346,70.99434,4340195
1488292200,71.09503,71.23348,70.69855,70.83071,4675633
1488378600,71.51668,72.02014,71.40340,71.54185,8080860
1488465000,71.63625,71.76841,70.88106,70.91882,4577591
1488551400,70.91882,71.38452,70.59157,70.69855,4939089
1488810600,70.37759,70.67338,70.19509,70.27061,5994026
1488897000,70.39648,70.74261,70.16991,70.66079,3904491
1488983400,70.78666,70.89994,70.26432,70.32725,4102480
1489069800,70.40277,70.69855,67.36942,70.44053,4639562
1489156200,70.73002,70.84959,70.03776,70.57269,5116898
1489411800,70.83701,70.94399,70.45941,70.67967,4729341
1489498200,70.40907,70.59157,70.20139,70.37759,3487537
1489584600,70.56010,71.30270,70.40277,71.16425,5035700
1489671000,70.96916,71.25236,70.45312,70.69855,4661808
1489757400,70.91252,71.71177,70.65450,71.39710,11825815
1490016600,71.36564,71.79358,71.00692,71.43487,4858844
1490103000,71.52927,71.83763,70.47199,70.58527,5676067
1490189400,70.71743,70.74890,70.11958,70.44053,3379803
1490275800,70.44053,70.76778,70.20768,70.38389,3634679
1490362200,70.47199,70.66079,70.06293,70.35872,3574773
1490621400,69.90560,70.44053,69.50912,70.37759,3957881
1490707800,70.11328,71.20831,70.05664,70.95028,5176485
1490794200,70.83071,70.83071,70.42794,70.52234,3176093
1490880600,70.45941,70.89994,70.39018,70.76778,2354262
1490967000,70.79925,70.88106,70.39018,70.61674,3946599
1491226200,70.66079,70.78666,70.00629,70.44053,3373447
1491312600,70.65450,71.27124,70.63562,71.10761,4720760
1491399000,71.20201,71.98238,70.76778,70.79925,4785909
1491485400,70.84330,71.06985,70.60416,70.74261,3473077
1491571800,70.88106,71.24606,70.62933,71.10761,3280014
1491831000,71.10761,71.58590,70.91252,71.03839,3332928
1491917400,70.79925,71.22089,70.64191,71.20201,3803272
1492003800,70.97546,71.00063,70.57269,70.63562,4139504
1492090200,70.51604,70.92511,70.37130,70.54122,3592570
1492435800,70.81812,71.29012,70.67338,71.28383,5567538
1492522200,71.08244,71.54185,71.00063,71.46633,4324464
1492608600,71.71177,71.90686,70.93140,71.06356,4078486
1492695000,71.08874,71.93832,70.99434,71.70547,3928485
1492781400,71.74323,72.54877,71.74323,72.36626,8991992
1493040600,72.99560,73.37319,72.83197,73.20327,5013613
1493127000,73.48018,73.82631,73.25991,73.54940,5278817
1493213400,73.84518,75.04720,73.32285,74.38641,8108190
1493299800,74.48710,75.03461,74.32347,74.75142,5409751
1493386200,75.00944,75.27376,74.63184,74.88358,7115224
1493645400,74.91504,75.33040,74.68219,74.83952,4064026
1493731800,74.85840,75.21082,74.73254,75.09126,4765252
1493818200,75.07867,75.80869,74.88987,75.70799,5761873
1493904600,75.91567,76.14852,75.61359,76.14852,5048253
1493991000,75.65135,76.43172,75.59471,76.36878,3873346
1494250200,76.38137,76.49465,76.07929,76.19887,4306667
1494336600,76.43801,76.74638,76.21146,76.43801,3092194
1494423000,76.25551,76.35620,75.59471,76.16111,3389178
1494509400,75.73317,76.38766,75.37445,76.32473,4371975
1494595800,76.15482,76.26809,75.92826,76.04153,3910370
1494855000,76.02266,76.33102,75.94084,76.09818,3471171
1494941400,76.20516,76.45060,76.01637,76.40025,3213435
1495027800,75.98489,75.98489,75.15418,75.25488,5335544
1495114200,75.20453,75.50661,74.23537,75.12272,4108995
1495200600,75.36186,76.36878,75.14160,76.24921,5099260
1495459800,76.50095,76.80931,76.43172,76.56387,3468946
1495546200,76.56387,77.07993,76.54500,76.82190,5409433
1495632600,76.84078,77.30648,76.68345,76.82819,3830285
1495719000,77.04845,77.16174,76.80302,76.93518,4348775
1495805400,76.97294,77.05475,76.51353,76.68345,3378532
1496151000,76.65199,76.73380,76.23663,76.31844,4236115
1496237400,76.50095,76.51353,76.14852,76.32473,6543661
1496323800,76.27438,76.87225,76.19887,76.64569,5107364
1496410200,76.82190,77.31277,76.59534,76.85337,3810581
1496669400,76.94777,76.99812,76.10447,76.13593,5088296
1496755800,75.75204,76.04153,75.30522,75.59471,4746979
1496842200,75.91567,75.94714,75.12272,75.38074,2854162
1496928600,75.38074,75.84015,74.94022,75.48144,5638884
1497015000,75.62618,76.03524,75.40591,75.92197,3383299
1497274200,75.67653,75.86533,75.11013,75.44367,4869014
1497360600,75.47514,75.61989,75.26117,75.55695,3745273
1497447000,75.55695,75.77722,75.26746,75.52549,2811100
1497533400,75.41221,76.09818,75.38704,75.99119,3094736
1497619800,76.21775,76.60164,75.68282,75.78980,7215490
1497879000,76.29327,76.94147,76.14852,76.68345,5392907
1497965400,76.50095,77.10509,76.44431,76.46947,4263923
1498051800,76.75896,76.90371,76.45689,76.62051,4341784
1498138200,76.67086,77.38200,76.66457,76.88483,4793377
1498224600,76.78414,77.05475,76.45689,76.91630,6119398
1498483800,77.03587,77.46381,76.65828,76.69604,2613111
1498570200,76.72750,76.86595,76.46947,76.51982,2706226
1498656600,76.82190,77.15544,76.58276,77.09251,2862107
1498743000,77.04217,77.06734,75.90938,76.55759,3747815
1498829400,76.78414,77.18062,76.53870,76.84708,3829808
1499088600,77.16174,77.50157,76.81561,76.82819,1837202
1499261400,77.01070,77.41347,76.88483,77.27502,2761682
1499347800,77.13027,77.40717,76.70233,76.70863,4859480
1499434200,76.95406,77.34424,76.80302,77.16174,2801248
1499693400,77.23726,77.87288,76.99812,77.44493,3262376
1499779800,77.50787,77.83511,77.00440,77.74701,3104112
1499866200,78.04909,78.53367,77.82253,77.85400,3776894
1499952600,77.82882,77.86658,77.30648,77.45123,4271073
1500039000,77.68407,77.80994,77.27502,77.66520,2827626
1500298200,77.86658,77.86658,77.40088,77.47640,2927574
1500384600,77.29390,77.37571,76.73380,77.17432,2990021
1500471000,77.43864,77.55192,77.12398,77.45752,2718779
1500557400,77.31907,77.58968,76.97294,77.06104,2910095
1500643800,76.96035,77.72184,76.68974,77.71555,3928803
1500903000,77.71555,77.87917,77.30648,77.48899,5847202
1500989400,76.71491,76.77785,75.51290,75.78351,7629425
1501075800,75.78351,75.87791,75.07237,75.22971,4757307
1501162200,75.12272,75.15418,74.16615,74.69478,6764850
1501248600,74.75771,75.17307,74.44305,74.80805,3417621
1501507800,74.99056,75.10384,74.53745,74.61926,3451785
1501594200,74.88987,75.04720,74.48710,74.81435,2468194
1501680600,74.76400,75.76463,74.67590,75.73946,3717307
1501767000,75.75834,76.21775,75.43109,76.21146,3227577
1501853400,76.28697,76.56387,75.92826,76.45689,2865920
1502112600,75.08496,75.36186,74.17243,74.58779,7906387
1502199000,74.54374,74.88358,74.26683,74.38011,4396604
1502285400,74.61926,74.73883,73.65009,73.75708,5058423
1502371800,73.56199,73.81372,73.05853,73.48018,5018698
1502458200,73.63122,74.10950,73.22215,73.56199,3322440
1502717400,73.82001,73.97734,73.59345,73.72562,2949184
1502803800,73.70673,73.70673,72.81938,72.97672,3631024
1502890200,72.95155,74.32347,72.88861,74.26054,5485864
1502976600,74.12209,74.12209,73.05223,73.06482,4325099
1503063000,73.02706,73.17181,72.59283,72.67464,4386276
1503322200,72.76274,72.81309,72.17118,72.54877,3040075
1503408600,72.73757,72.89491,72.39144,72.80679,3823929
1503495000,72.63058,74.80805,72.32851,73.65009,9857362
1503581400,73.76337,73.76337,72.34109,72.56136,6881959
1503667800,72.86343,73.05853,72.38515,72.41661,3569053
1503927000,72.55507,72.86343,72.49213,72.58024,5529561
1504013400,72.41032,74.72624,72.02014,74.70107,8855338
1504099800,74.85840,75.43109,74.45564,75.26746,8285523
1504186200,75.28635,75.63876,74.77029,75.34298,6322631
1504272600,75.35557,75.61989,74.14726,74.21020,4202428
1504618200,72.74387,72.93896,69.93707,69.98741,22592720
1504704600,69.85526,69.91190,68.65953,68.98049,14601480
1504791000,68.98049,69.26998,68.65953,69.21334,8188276
1504877400,69.29515,69.43990,68.81686,68.94273,6998115
1505136600,69.23222,69.68533,68.77281,68.99937,8935265
1505223000,69.26998,69.42102,69.03713,69.13783,6302610
1505309400,69.32033,69.52171,69.10635,69.40214,6071410
1505395800,69.39584,71.29012,69.28886,71.20201,11175119
1505482200,71.57332,71.69289,70.94399,71.16425,10375534
1505741400,71.36564,71.51668,70.89365,70.96916,6418924
1505827800,71.11391,71.52297,70.96287,71.52297,5288828
1505914200,71.25865,71.88798,71.25236,71.80617,5458692
1506000600,71.85651,72.26558,71.47263,72.05790,4076103
1506087000,72.00755,72.44808,71.82505,72.37885,4502273
1506346200,72.32221,72.37256,71.56073,71.92574,5879459
1506432600,72.10825,72.37885,71.88798,72.19635,6388098
1506519000,72.28445,73.92071,72.27187,73.74449,8859470
1506605400,73.62492,73.65639,72.61170,72.90120,9580399
1506691800,72.57394,73.08370,72.05161,73.05223,5196666
1506951000,73.09000,74.04028,72.96413,73.99622,3703641
1507037400,74.26054,74.26054,73.80743,74.07803,3513438
1507123800,74.17873,74.39899,73.95847,74.02769,4449041
