time,open,high,low,close,tick_volume
1472477400,31.02000,31.41000,30.99000,31.05000,7450500
1472563800,31.16000,31.64000,31.16000,31.61000,7895800
1472650200,31.65000,31.87000,31.16000,31.46000,9889300
1472736600,31.64000,31.85000,30.63000,30.98000,8278300
1472823000,31.12000,31.37000,30.69000,31.27000,6039300
1473168600,31.32000,31.47000,30.41000,30.73000,8764800
1473255000,30.52000,30.86000,30.46000,30.77000,6639600
1473341400,30.82000,31.13000,30.75000,30.92000,6000500
1473427800,30.92000,31.32000,30.64000,30.65000,6911100
1473687000,30.40000,30.99000,30.09000,30.87000,12056500
1473773400,30.46000,30.69000,30.15000,30.44000,8564500
1473859800,30.40000,30.53000,30.06000,30.21000,7300900
1473946200,30.27000,31.03000,30.17000,30.93000,9050200
1474032600,30.68000,30.71000,30.41000,30.53000,7553400
1474291800,30.72000,31.35000,30.60000,30.89000,6921700
1474378200,31.14000,31.17000,30.71000,30.75000,4335100
1474464600,30.98000,31.29000,30.69000,31.13000,9268000
1474551000,31.40000,31.63000,31.20000,31.24000,6949800
1474637400,31.15000,31.25000,30.62000,30.67000,5727500
1474896600,30.43000,30.75000,30.34000,30.46000,7806500
1474983000,30.28000,30.75000,29.86000,30.73000,6376700
1475069400,31.00000,31.09000,30.62000,31.06000,4705200
1475155800,31.05000,31.42000,30.55000,30.69000,7154300
1475242200,31.03000,31.76000,30.85000,31.57000,8757000
1475501400,31.56000,31.82000,31.35000,31.48000,5643500
1475587800,31.61000,32.15000,31.55000,31.85000,9514100
1475674200,32.00000,32.89000,31.98000,32.61000,9919100
1475760600,32.60000,32.65000,32.11000,32.43000,7737600
1475847000,32.43000,32.63000,32.18000,32.40000,7524500
1476106200,32.67000,32.86000,32.40000,32.45000,4260100
1476192600,32.40000,32.61000,31.65000,31.90000,7041900
1476279000,31.93000,32.06000,31.71000,31.73000,4321400
1476365400,31.55000,31.55000,30.90000,31.43000,8958800
1476451800,31.94000,32.21000,31.65000,31.97000,7684000
