time,open,high,low,close,tick_volume
1472477400,80.40000,81.00000,79.20000,80.80000,2690
1472563800,80.00000,80.80000,78.40000,80.00000,550
1472650200,80.00000,80.80000,78.60000,80.00000,1405
1472736600,80.60000,80.80000,75.80000,78.40000,3295
1472823000,79.20000,79.40000,77.20000,78.00000,755
1473168600,79.00000,81.00000,78.80000,81.00000,6090
1473255000,80.80000,81.00000,80.32000,80.80000,4435
1473341400,82.00000,82.00000,77.80000,78.00000,29100
1473427800,78.40000,79.60000,77.20000,77.20000,3205
1473687000,79.80000,80.80000,78.00000,80.00000,4975
1473773400,80.20000,81.00000,79.00000,79.20000,3220
1473859800,79.20000,79.80000,78.80000,79.20000,1760
1473946200,76.80000,80.80000,76.80000,80.00000,3050
1474032600,80.20000,80.60000,78.40000,79.60000,19535
1474291800,79.40000,80.60000,78.00000,80.00000,1480
1474378200,80.00000,81.00000,78.40000,79.60000,8470
1474464600,79.20000,80.40000,78.40000,79.20000,4555
1474551000,80.00000,80.20000,79.20000,79.60000,3805
1474637400,80.00000,80.00000,79.20000,79.40000,4530
1474896600,78.40000,80.00000,78.40000,78.40000,8835
1474983000,79.20000,81.00000,78.60000,79.20000,5660
1475069400,79.60000,79.80000,75.20000,75.80000,4670
1475155800,76.00000,79.00000,75.00000,77.80000,2435
1475242200,78.20000,78.86000,76.00000,78.00000,1610
1475501400,77.60000,78.00000,75.40000,76.20000,1350
1475587800,76.00000,76.00000,74.00000,74.60000,940
1475674200,75.06000,77.00000,74.60000,75.20000,1225
1475760600,74.40000,75.20000,70.60000,71.00000,1505
1475847000,70.00000,70.98000,67.40000,67.80000,1945
1476106200,68.60000,69.40000,65.20000,67.20000,2505
1476192600,66.40000,67.60000,65.20000,65.40000,1065
1476279000,65.20000,67.00000,64.20000,64.20000,510
1476365400,66.00000,69.40000,64.20000,67.00000,2210
1476451800,67.80000,73.20000,67.20000,67.80000,1230
1476711000,68.60000,68.80000,67.00000,67.00000,365
1476797400,67.96000,68.40000,64.00000,64.60000,2045
1476883800,65.00000,66.60000,62.60000,63.00000,1940
1476970200,63.84000,65.00000,61.00000,61.40000,1975
1477056600,61.00000,64.20000,59.80000,60.20000,1705
1477315800,60.80000,63.40000,53.80000,55.40000,14160
1477402200,56.80000,57.00000,54.00000,55.20000,2825
1477488600,55.20000,57.00000,52.00000,52.00000,7360
1477575000,52.40000,52.40000,44.50000,47.20000,145280
1477661400,49.00000,50.40000,46.60000,47.60000,9570
1477920600,48.00000,49.10000,45.80000,46.80000,6085
1478007000,46.80000,49.00000,46.80000,48.20000,10780
1478093400,49.20000,49.60000,47.20000,48.40000,6085
1478179800,48.40000,50.40000,48.00000,49.80000,4735
1478266200,49.20000,49.60000,48.00000,48.00000,4630
1478529000,50.00000,50.20000,48.00000,48.40000,8145
1478615400,48.00000,48.20000,47.40000,48.00000,5625
1478701800,47.40000,49.40000,47.40000,49.40000,5060
1478788200,48.40000,49.20000,46.40000,46.60000,6490
1478874600,47.40000,47.40000,43.40000,44.40000,25170
1479133800,46.00000,46.00000,43.40000,43.80000,7725
1479220200,43.60000,45.00000,43.60000,44.60000,3430
1479306600,45.00000,50.00000,44.40000,48.80000,5885
1479393000,49.20000,50.98000,48.00000,48.80000,4140
1479479400,49.20000,50.60000,48.00000,49.00000,5165
1479738600,49.00000,53.00000,48.80000,53.00000,6520
1479825000,53.60000,56.80000,52.80000,56.40000,8195
1479911400,56.80000,58.80000,55.20000,58.00000,6585
1480084200,58.34000,58.40000,56.20000,58.20000,3305
1480343400,59.40000,59.40000,56.60000,57.20000,2940
1480429800,58.00000,58.40000,56.90000,57.20000,3155
1480516200,57.80000,58.20000,57.00000,57.20000,4250
1480602600,57.40000,58.20000,56.40000,56.40000,1865
1480689000,58.40000,58.80000,57.00000,58.60000,2710
1480948200,58.60000,62.80000,58.60000,62.80000,4635
1481034600,64.40000,65.40000,62.60000,64.00000,7725
1481121000,64.00000,65.20000,62.80000,64.20000,4310
1481207400,64.60000,64.60000,63.40000,64.20000,5460
1481293800,64.80000,66.58000,63.30000,65.40000,5465
1481553000,64.80000,66.68000,61.80000,61.80000,5505
1481639400,61.60000,63.00000,58.80000,59.20000,4230
1481725800,58.60000,59.60000,57.40000,58.20000,4835
1481812200,58.40000,58.80000,55.40000,56.00000,4530
1481898600,56.40000,56.80000,52.80000,54.20000,12435
1482157800,55.00000,57.00000,54.00000,55.00000,1955
1482244200,55.20000,57.00000,55.00000,57.00000,3105
1482330600,55.00000,57.60000,55.00000,57.40000,4050
1482417000,59.00000,59.00000,56.20000,56.60000,3015
1482503400,56.20000,56.98000,55.60000,56.60000,2660
1482849000,56.40000,56.60000,54.20000,54.40000,2440
1482935400,54.40000,54.40000,52.80000,52.80000,1540
1483021800,53.00000,53.80000,52.60000,53.00000,1085
1483108200,53.20000,53.40000,52.00000,53.40000,2520
1483453800,54.00000,58.00000,53.20000,54.60000,21870
1483540200,55.20000,55.60000,54.00000,54.20000,3635
1483626600,54.40000,54.60000,52.20000,53.60000,12895
1483713000,56.60000,58.40000,54.80000,56.80000,7955
1483972200,56.40000,56.70000,53.60000,54.00000,10335
1484058600,54.80000,55.40000,52.00000,52.40000,6405
1484145000,52.00000,53.00000,50.20000,51.40000,6445
1484231400,51.20000,51.64000,49.20000,50.40000,5815
1484317800,51.00000,55.60000,50.60000,54.60000,8960
1484663400,54.00000,55.60000,53.60000,54.80000,4585
1484749800,55.00000,55.00000,54.20000,55.00000,1550
1484836200,54.60000,55.80000,54.40000,55.20000,1510
1484922600,54.20000,55.20000,54.20000,54.60000,2205
1485181800,54.40000,55.40000,53.00000,53.00000,1175
1485268200,53.40000,55.40000,52.60000,54.20000,2235
1485354600,54.60000,55.00000,53.80000,54.00000,1730
1485441000,55.00000,55.00000,53.20000,53.60000,1355
1485527400,54.00000,54.20000,53.40000,53.40000,1265
1485786600,54.00000,54.20000,53.20000,54.00000,2235
1485873000,53.80000,56.00000,53.60000,55.60000,3695
1485959400,56.20000,56.20000,55.80000,55.80000,2485
1486045800,56.20000,57.00000,55.80000,56.20000,3650
1486132200,56.80000,57.60000,55.20000,55.40000,2170
1486391400,55.00000,56.20000,55.00000,55.40000,2190
1486477800,56.00000,56.80000,55.60000,55.80000,1695
1486564200,55.40000,56.00000,55.00000,55.20000,1770
1486650600,55.20000,56.80000,55.00000,56.20000,1530
1486737000,55.60000,56.40000,55.20000,55.80000,1645
1486996200,56.20000,56.40000,55.60000,56.00000,1800
1487082600,56.00000,56.80000,55.80000,56.00000,2355
1487169000,55.60000,56.40000,55.00000,55.40000,1475
1487255400,55.20000,55.60000,51.00000,53.00000,4215
1487341800,54.00000,54.00000,46.40000,50.20000,11825
1487687400,52.00000,52.00000,46.00000,48.20000,5520
1487773800,48.80000,48.80000,45.60000,46.40000,6055
1487860200,45.60000,47.00000,44.00000,46.40000,17900
1487946600,46.00000,51.00000,46.00000,46.40000,7700
1488205800,45.20000,49.00000,45.00000,49.00000,11330
1488292200,48.60000,49.60000,46.60000,47.00000,6765
1488378600,48.20000,48.20000,45.00000,46.20000,8760
1488465000,46.60000,46.60000,43.80000,44.80000,14360
1488551400,44.60000,46.40000,43.00000,46.20000,17045
1488810600,46.20000,46.80000,44.60000,45.80000,2645
1488897000,46.20000,46.40000,40.60000,41.00000,8925
1488983400,41.40000,42.20000,39.80000,40.60000,15570
1489069800,40.40000,40.80000,39.40000,40.20000,5225
1489156200,40.40000,41.20000,40.00000,40.00000,5820
1489411800,40.00000,41.20000,39.20000,40.00000,9955
1489498200,39.80000,39.80000,38.00000,39.40000,10625
1489584600,39.40000,42.20000,39.40000,42.00000,21605
1489671000,42.00000,42.20000,39.40000,40.20000,18000
1489757400,40.00000,40.20000,38.00000,39.00000,21365
1490016600,38.80000,39.20000,38.20000,38.20000,4990
1490103000,38.60000,38.60000,36.40000,36.40000,9210
1490189400,36.20000,37.00000,35.60000,36.60000,9465
1490275800,38.00000,38.00000,36.60000,37.00000,8920
1490362200,36.60000,37.60000,36.60000,37.40000,3465
1490621400,37.80000,38.20000,37.00000,37.80000,8560
1490707800,37.40000,40.00000,36.80000,37.20000,14235
1490794200,36.80000,38.20000,35.80000,36.80000,16755
1490880600,36.80000,37.20000,33.82000,35.60000,26325
1490967000,35.60000,36.60000,34.60000,35.80000,7895
1491226200,35.80000,36.80000,34.40000,34.40000,4710
1491312600,35.00000,35.00000,31.60000,32.60000,22680
1491399000,32.60000,34.40000,31.20000,31.40000,15580
1491485400,31.60000,34.60000,31.20000,34.00000,20825
1491571800,35.80000,36.40000,33.80000,33.80000,14450
1491831000,33.60000,34.20000,33.20000,33.80000,4775
1491917400,33.80000,35.40000,33.20000,33.80000,7045
1492003800,33.60000,34.78000,32.20000,32.80000,6345
1492090200,32.60000,33.60000,32.40000,33.20000,6765
1492435800,33.60000,34.00000,32.60000,33.40000,4095
1492522200,32.80000,34.00000,32.80000,33.40000,3020
1492608600,33.40000,34.40000,33.40000,33.60000,3355
1492695000,34.40000,34.40000,33.60000,34.00000,3415
1492781400,34.20000,35.20000,32.40000,33.20000,9385
1493040600,34.20000,34.62000,33.20000,34.00000,5185
1493127000,34.20000,34.80000,34.00000,34.00000,4660
1493213400,34.00000,34.40000,33.80000,33.80000,3675
1493299800,34.20000,34.30000,33.60000,33.60000,3720
1493386200,33.60000,33.80000,33.00000,33.80000,5270
1493645400,33.60000,34.10000,33.40000,33.40000,3190
1493731800,33.20000,33.60000,33.00000,33.20000,4995
1493818200,33.20000,33.80000,32.80000,32.80000,3390
1493904600,32.80000,33.10000,32.00000,32.40000,4765
1493991000,35.00000,35.00000,31.40000,31.60000,11045
1494250200,31.20000,32.40000,28.80000,30.00000,8455
1494336600,30.20000,30.36000,29.00000,29.80000,6000
1494423000,30.60000,31.00000,29.20000,29.80000,4670
1494509400,29.80000,30.80000,29.00000,30.00000,8190
1494595800,30.40000,30.40000,29.00000,29.20000,10620
1494855000,29.40000,29.80000,28.00000,28.60000,54320
1494941400,28.80000,30.00000,27.80000,27.80000,31435
1495027800,27.60000,30.60000,27.40000,27.80000,22590
1495114200,27.60000,28.00000,27.60000,27.80000,16250
1495200600,28.80000,29.00000,27.80000,28.00000,11175
1495459800,28.00000,28.20000,27.80000,28.20000,8455
1495546200,28.20000,28.20000,25.20000,27.20000,29980
1495632600,27.40000,27.40000,26.80000,27.00000,15755
1495719000,27.00000,28.20000,26.80000,28.20000,24050
1495805400,28.80000,35.40000,28.80000,33.20000,63165
1496151000,33.40000,34.20000,30.00000,30.00000,33075
1496237400,30.00000,30.00000,27.00000,28.00000,30385
1496323800,28.40000,29.20000,27.40000,28.20000,17745
1496410200,28.60000,30.40000,27.60000,30.00000,18305
1496669400,30.40000,31.40000,28.40000,28.60000,13145
1496755800,29.40000,31.20000,28.20000,29.80000,17010
1496842200,30.00000,30.60000,27.00000,27.80000,35975
1496928600,28.00000,30.40000,27.40000,28.00000,22050
1497015000,28.60000,31.80000,28.00000,31.00000,45050
1497274200,31.20000,33.00000,29.60000,29.60000,26310
1497360600,29.80000,30.00000,28.80000,29.00000,17645
1497447000,29.00000,29.16000,28.20000,28.20000,18150
1497533400,28.20000,30.00000,27.00000,27.40000,49425
1497619800,27.00000,29.80000,26.40000,29.00000,49000
1497879000,29.00000,31.00000,27.20000,30.40000,88015
1497965400,30.00000,32.40000,29.00000,31.40000,26205
1498051800,31.20000,36.20000,30.00000,35.80000,49135
1498138200,36.00000,41.40000,34.40000,40.20000,56790
1498224600,40.20000,41.40000,38.00000,38.20000,138530
1498483800,38.80000,41.80000,35.40000,36.60000,40910
1498570200,36.40000,38.00000,35.60000,35.60000,18055
1498656600,36.20000,38.40000,35.00000,36.80000,53430
1498743000,36.80000,37.00000,35.00000,36.20000,23940
1498829400,36.60000,37.00000,35.60000,36.00000,13265
1499088600,36.60000,37.00000,35.00000,36.00000,8535
1499261400,36.00000,36.60000,33.60000,35.80000,26155
1499347800,35.80000,37.80000,35.40000,37.40000,10885
1499434200,37.60000,39.60000,37.00000,38.00000,17845
1499693400,38.20000,38.20000,36.00000,36.60000,9125
1499779800,36.60000,37.20000,35.40000,37.00000,11315
1499866200,37.60000,43.20000,36.20000,43.00000,60020
1499952600,44.20000,44.80000,40.00000,43.80000,51105
1500039000,43.40000,45.00000,41.80000,44.40000,56015
1500298200,45.60000,45.60000,42.60000,43.60000,19260
1500384600,43.80000,44.00000,41.60000,42.20000,13400
1500471000,42.00000,47.60000,41.80000,45.60000,37505
1500557400,45.60000,48.20000,44.60000,48.20000,42200
1500643800,48.60000,51.00000,45.00000,47.20000,78525
1500903000,48.60000,48.60000,45.00000,45.20000,24760
1500989400,50.00000,51.80000,46.74000,50.20000,42340
1501075800,51.00000,51.60000,47.80000,51.00000,53365
1501162200,52.00000,53.00000,49.20000,52.00000,27725
1501248600,51.00000,52.00000,49.40000,50.60000,19935
1501507800,50.00000,51.00000,48.00000,49.60000,17615
1501594200,50.40000,50.40000,46.60000,48.20000,19895
1501680600,48.20000,49.80000,45.20000,47.60000,18060
1501767000,51.00000,51.00000,46.40000,47.80000,18990
1501853400,47.80000,49.40000,47.60000,48.20000,14315
1502112600,48.80000,49.00000,45.00000,45.40000,24715
1502199000,46.00000,46.00000,43.60000,44.40000,12815
1502285400,44.00000,46.80000,43.00000,46.40000,25490
1502371800,44.00000,49.00000,44.00000,47.80000,30125
1502458200,47.60000,51.00000,47.20000,49.80000,32170
1502717400,50.20000,50.20000,45.80000,46.80000,19085
